0	Index      	 *	Score 	Summary	Detail	
1	15533 31236	 * 	193.81	DCR|3VULN|3DMG|3ZMB	1RCVC|236DMG|468VULN|5MBVNT|68BPWR|789ZMB|aRCR
2	16162 33523	 * 	189.22	DCR|4VULN|3DMG	1RCVC|278aVULN|3LIT|49aDMG|5aLHND|6RCR|aBPWR
3	33346 23261	 * 	189.22	DCR|3VULN|2DMG|1AART|2ZMB	1AART|2RPLT|389VULN|4CGEN|59ZMB|69DMG|7MBVNT|9BPWR|aRCR
4	33356 23261	   	189.22	DCR|3VULN|2DMG|1AART|2ZMB	1AART|2RPLT|389VULN|4MLV|59ZMB|69DMG|7MBVNT|9BPWR|aRCR
5	31232 63334	 * 	186.42	DCR|4VULN|1AART|1DMG|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9RCVC|aDMG
6	36254 33211	 * 	184.87	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|2ZMB|359aVULN|4RPLT|6RCR|7CDMG|8ERES
7	15215 33363	 * 	184.37	ACR|3DMG|1AART|1VULN|2CDMG	1RCVC|25aDMG|35aFEWX|4RCR|5aBPWR|6MGNLIT|7VULN|8AART|9aCDMG
8	15211 33363	   	184.27	ACR|3DMG|1AART|1VULN|2CDMG	1RCVC|25aDMG|3aFEWX|4RCR|6MGNLIT|7VULN|8AART|9aCDMG|aBPWR
9	15611 33363	   	184.07	ACR|3DMG|1AART|1VULN|2CDMG	1RCVC|25aDMG|3aDUST|4RCR|6MGNLIT|7VULN|8AART|9aCDMG|aBPWR
10	36233 46312	 * 	183.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2ZMB|345VULN|6BELT|7CDMG|8DUST|9RCR|aDMG
11	36233 13412	   	183.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2ZMB|345VULN|6DUST|7CDMG|8BELT|9RCR|aDMG
12	15133 38123	   	182.02	DCR|4VULN|3DMG	1RCVC|26aDMG|3DMSP|467aVULN|5MBVNT|6aBPWR|8aLIT|9RCR
13	15533 32744	   	181.72	DCR|4VULN|3DMG	1RCVC|236DMG|468aVULN|5MBVNT|6BPWR|7LEGI|9RCR
14	31513 25215	 * 	181.69	ACR|3VULN|2DMG|1AART	1AART|2TLV|3ERES|4RCR|5RPLT|69DMG|78aVULN
15	15541 11322	   	180.85	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|235DMG|4RCR|5BPWR|6BEXP|7ZMB|8DUR|9VULN|aAART
16	15215 33263	   	180.59	ACR|3VULN|2DMG|1AART	1RCVC|25DMG|35FEWX|4RCR|5BPWR|6MGNLIT|789VULN|aAART
17	15211 33263	   	180.49	ACR|3VULN|2DMG|1AART	1RCVC|25DMG|3FEWX|4RCR|6MGNLIT|789VULN|aAART
18	15533 33116	 * 	180.41	DCR|3DMG|2VULN|1AART|1DUR	1RCVC|236DMG|46VULN|5MBVNT|6BPWR|7DUR|8BELT|9AART|aRCR
19	15141 38214	   	180.39	ACR|3VULN|2DMG|1AART	1RCVC|25DMG|3DMSP|4RCR|5BPWR|6MBVNT|789VULN|aAART
20	15611 33263	   	180.39	ACR|3VULN|2DMG|1AART	1RCVC|25DMG|3DUST|4RCR|6MGNLIT|789VULN|aAART
21	33344 32216	   	180.38	DCR|4VULN|1AART|1DMG	1AART|2RPLT|358aVULN|4CGEN|6RCR|7BEXP|9DMG
22	33354 32216	   	180.38	DCR|4VULN|1AART|1DMG	1AART|2RPLT|358aVULN|4MLV|6RCR|7BEXP|9DMG
23	31254 32216	   	180.28	DCR|4VULN|1AART|1DMG	1AART|2TLV|358aVULN|4RPLT|6RCR|7BEXP|9DMG
24	33344 33212	 * 	180.28	DCR|4VULN|1AART|2CDMG	1AART|2RPLT|359aVULN|4CGEN|6RCR|7aCDMG|8aERES|aBPWR
25	33354 33212	   	180.28	DCR|4VULN|1AART|2CDMG	1AART|2RPLT|359aVULN|4MLV|6RCR|7aCDMG|8aERES|aBPWR
26	15533 31274	   	180.28	DCR|3VULN|3DMG|2ZMB	1RCVC|236DMG|468VULN|5MBVNT|68BPWR|78ZMB|9RMIN|aRCR
27	63611 33363	   	180.26	ACR|3DMG|1AART|1VULN|2CDMG	13aFEWX|25aDMG|4RCR|6MGNLIT|7VULN|8AART|9aCDMG|aBPWR
28	16311 51513	 * 	179.89	ACR|2VULN|2DMG|1AART|2ZMB	1RCVC|28VULN|3CGEN|4RCR|58DMG|68ZMB|79RPLT|8BPWR|aAART
29	16211 51513	   	179.79	ACR|2VULN|2DMG|1AART|2ZMB	1RCVC|28VULN|3TLV|4RCR|58DMG|68ZMB|79RPLT|8BPWR|aAART
30	36233 13253	 * 	179.32	DCR|4VULN|1AART|2ZMB|1CDMG	1AART|29ZMB|3459VULN|6DUST|7CDMG|89LHND|9BPWR|aRCR
31	15141 32274	 * 	179.18	ACR|3DMG|2VULN|2ZMB|1DUR	1RCVC|25aDMG|3DMSP|4RCR|5aBPWR|6MBVNT|7DUR|8aVULN|9aZMB
32	16311 53533	 * 	178.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|28VULN|3CGEN|4RCR|5DMG|6ZMB|7DUR|9CDMG|aAART
33	16211 53533	   	178.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|28VULN|3TLV|4RCR|5DMG|6ZMB|7DUR|9CDMG|aAART
34	16311 14533	 * 	178.59	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|28VULN|3CGEN|4RCR|58DMG|6RPLT|78ASPD|8BPWR|9LHND|aAART
35	32221 46413	   	178.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1AART|27BEXP|3DMSP|4CDMG|57aVULN|67DUR|7BPWR|8RCR|9ZMB
36	16211 14533	   	178.49	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|28VULN|3TLV|4RCR|58DMG|6RPLT|78ASPD|8BPWR|9LHND|aAART
37	16311 14523	   	178.49	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|28VULN|3CGEN|4RCR|58DMG|6RPLT|78ASPD|8BPWR|9DUST|aAART
38	16211 14523	   	178.39	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|28VULN|3TLV|4RCR|58DMG|6RPLT|78ASPD|8BPWR|9DUST|aAART
39	15533 31136	   	178.06	DCR|3DMG|2VULN|3ZMB	1RCVC|236DMG|46VULN|5MBVNT|6BPWR|789ZMB|aRCR
40	34212 36521	 * 	178.03	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	13AART|2LHND|4RCR|5DMSP|6DMG|7ASPD|8aVULN|9ZMB
41	36232 26142	   	177.67	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|2ZMB|348aVULN|5LSRICY|6LEGI|7CDMG|9RCR
42	31232 63634	   	177.62	DCR|3VULN|1AART|1DMG|2DUR	1AART|25TLV|345VULN|5BPWR|68DUR|7RCR|9RCVC|aDMG
43	31232 23611	 * 	177.59	DCR|5VULN|1AART|1DUR	1AART|25TLV|3459aVULN|5BPWR|6BEXP|7RCR|8DUR
44	31232 33611	   	177.59	DCR|5VULN|1AART|1DUR	1AART|25TLV|3459aVULN|5BPWR|6FEWX|7RCR|8DUR
45	31232 63111	   	177.59	DCR|5VULN|1AART|1DUR	1AART|25TLV|3459aVULN|5BPWR|6DUR|7RCR|8LHND
46	31232 63211	   	177.59	DCR|5VULN|1AART|1DUR	1AART|25TLV|3459aVULN|5BPWR|6DUR|7RCR|8FEWX
47	31232 63351	   	177.59	DCR|5VULN|1AART|1DUR	1AART|25TLV|3458aVULN|5BPWR|6DUR|7RCR|9LWND
48	31232 63511	   	177.59	DCR|5VULN|1AART|1DUR	1AART|25TLV|3459aVULN|5BPWR|6DUR|7RCR|8LWND
49	15533 33714	   	177.56	DCR|3VULN|3DMG|2DUR	1RCVC|236DMG|468VULN|5MBVNT|6BPWR|79DUR|aRCR
50	31232 63321	   	177.49	DCR|5VULN|1AART|1DUR	1AART|25TLV|3458aVULN|5BPWR|6DUR|7RCR|9DUST
51	31232 63362	   	177.49	DCR|5VULN|1AART|1DUR	1AART|259TLV|3458aVULN|5BPWR|6DUR|7RCR
52	36254 32212	   	177.28	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2ZMB|358VULN|4RPLT|6RCR|7BEXP|9DMG|aLIT
53	36233 13416	 * 	177.22	DCR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB	1AART|2ZMB|345VULN|6DUST|7CDMG|8BELT|9RCR|aFLTHEA
