0	Index      	 *	Score 	Summary	Detail	
1	25514 11332	 * 	183.19	ACR|3VULN|2DMG|1AART	14LWND|2RCVC|3RCR|4BPWR|578VULN|6aDMG|9AART
2	52221 31423	 * 	179.56	ACR|3VULN|3ZMB|1AART|2DUR	178ZMB|289DUST|3FEWX|4RCR|59DUR|689VULN|89BPWR|aAART
3	25514 11333	 * 	179.25	ACR|3VULN|1AART|1DMG|1CDMG	14LWND|2RCVC|3RCR|4BPWR|578VULN|6DMG|9AART|aCDMG
4	52422 12423	 * 	177.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7ERES|8aDMG|9VULN
5	23226 12253	 * 	175.89	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|27aVULN|3RCVC|4DMG|5RPLT|6RCR|8ZMB|9AART
6	23311 66411	 * 	175.76	DCR|3VULN|3CDMG|1AART|1DUR	19aLWND|29aVULN|3DUR|4DUST|5LEGI|6RCR|7AART|89aCDMG|9aBPWR
7	25543 11332	 * 	174.50	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1LWND|2RCVC|3RCR|4ZMB|5ERES|6DMG|78VULN|9AART|aFLTHEA
8	23226 12254	 * 	173.88	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1LWND|27VULN|3RCVC|4DMG|5RPLT|6RCR|8ZMB|9AART|aFLTHEA
9	26314 11311	 * 	173.77	DCR|3VULN|2DMG|1AART	149LWND|24BEXP|3RCVC|49BPWR|579VULN|69DMG|8AART|aRCR
10	26355 11311	   	173.67	DCR|3VULN|2DMG|1AART	159LWND|2BEXP|3RCVC|479VULN|69DMG|8AART|9BPWR|aRCR
11	63222 44223	 * 	172.60	DCR|4VULN|1AART|1ZMB|1DUR|1ASPD	1LIT|2ZMB|3456VULN|7DUR|8ASPD|9RCR|aAART
12	25514 11331	   	172.54	ACR|3VULN|1AART|1DMG|1DUR	14LWND|2RCVC|3RCR|4BPWR|578VULN|6DMG|9AART|aDUR
13	12236 24631	   	172.42	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|2DUST|3FEWX|4AART|5aDMG|67VULN|8RCR|9ZMB
14	63111 34825	   	172.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|68DMG|7CDMG|9VULN|aAART
15	32311 12421	 * 	171.82	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	1RCVC|2aFEWX|3RPLT|4aDMG|5DUR|6RCR|7VULN|8aZMB|9AART|aBPWR
16	33153 12224	   	171.69	DCR|2VULN|2DMG|1AART|2RCVC	14RCVC|2aMLV|3AART|5CANHEL|6aDMG|7RCR|8RPLT|9aVULN|aBPWR
17	36153 12224	   	171.69	DCR|2VULN|2DMG|1AART|2RCVC	14RCVC|2aCGEN|3AART|5CANHEL|6aDMG|7RCR|8RPLT|9aVULN|aBPWR
18	23133 15354	   	171.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1LWND|245VULN|3LIT|6AART|7ZMB|8DMG|9DUR|aRCR
19	25311 12421	   	171.52	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	1aLWND|2RCVC|3RPLT|4aDMG|5DUR|6RCR|7VULN|8aZMB|9AART|aBPWR
20	34153 12224	   	171.49	DCR|2VULN|2DMG|1AART|2RCVC	14RCVC|2aERES|3AART|5CANHEL|6aDMG|7RCR|8RPLT|9aVULN|aBPWR
21	52422 33253	 * 	171.32	ACR|2DMG|1AART|2ASPD|1FLTHEA|1ZMB|1DUR	1ZMB|2aDUST|3DUR|4RCR|5AART|6LIT|7aDMG|8FLTHEA|9aASPD|aBPWR
22	63241 31623	 * 	170.47	DCR|2VULN|2DMG|1AART|2ZMB	1LIT|25ZMB|38VULN|47DMG|6FEWX|9RCR|aAART
23	52221 31422	 * 	170.45	ACR|4VULN|3ZMB|2DUR	178ZMB|289DUST|3FEWX|4RCR|59DUR|689aVULN|89BPWR
24	63241 21623	   	170.37	DCR|2VULN|2DMG|1AART|2ZMB	1LIT|25ZMB|38VULN|47DMG|6DUST|9RCR|aAART
25	52143 12423	 * 	169.38	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3CDMG|46AART|5DMG|7LIT|8RCR|9DUR|aVULN
26	63242 31623	   	169.02	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2ZMB|38VULN|47DMG|5DUST|6RCVC|9RCR|aAART
27	23335 63141	 * 	168.75	DCR|3DMG|2VULN|1CDMG|1DUR	18LWND|28VULN|3DUR|4CDMG|5BELT|6LEGI|78aDMG|8BPWR|9RCR
28	33113 12224	   	168.72	DCR|2VULN|2DMG|1AART	1RCVC|24aMLV|3AART|4aBPWR|5CANHEL|6aDMG|7RCR|8RPLT|9aVULN
29	36113 12224	   	168.72	DCR|2VULN|2DMG|1AART	1RCVC|24aCGEN|3AART|4aBPWR|5CANHEL|6aDMG|7RCR|8RPLT|9aVULN
30	33162 31614	 * 	168.52	ACR|3DMG|2AART|2DUR	1RCVC|29MLV|37AART|4RMIN|5RCR|69aDMG|89DUR|9BPWR
31	23133 13443	 * 	168.50	DCR|4VULN|2AART|1DUR	1LWND|2457VULN|3LIT|6aAART|8DUR|9RCR
32	34113 12224	   	168.42	DCR|2VULN|2DMG|1AART	1RCVC|24aERES|3AART|4aBPWR|5CANHEL|6aDMG|7RCR|8RPLT|9aVULN
33	23133 13444	   	168.06	DCR|4VULN|1AART|1ZMB|1DUR	1LWND|2457VULN|3LIT|6AART|8DUR|9RCR|aZMB
34	25543 11333	   	167.79	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LWND|2RCVC|3RCR|4ZMB|5ERES|6DMG|78VULN|9AART|aASPD
35	23133 11554	   	167.56	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1LWND|245VULN|3LIT|6AART|7DMG|8ASPD|9DUR|aRCR
36	61531 16321	 * 	167.33	ACR|3DMG|2VULN|3DUR	18aLIT|268DUR|3LHND|4aVULN|5RCR|78aDMG|8aBPWR|9RMIN
37	63111 32162	 * 	167.20	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1aLIT|2ZMB|3aASPD|4MBVNT|5RCR|6DMG|7AART|8ERES|9aVULN|aBPWR
38	63111 32862	   	167.20	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1aLIT|2ZMB|3aASPD|4MBVNT|5RCR|6DMG|7AART|8TLV|9aVULN|aBPWR
39	23226 12251	   	167.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LWND|27VULN|3RCVC|4DMG|5RPLT|6RCR|8ZMB|9AART|aASPD
40	52422 35232	   	167.00	ACR|2VULN|3ZMB|1AART|2DUR	18aZMB|28DUST|3aDUR|4RCR|5AART|6LIT|78MLV|8aBPWR|9aVULN
41	52143 12421	 * 	166.90	DCR|2AART|2DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3CDMG|46AART|5aDMG|7LIT|8RCR|9DUR
42	33162 35511	   	166.84	ACR|2VULN|2DMG|1AART	1RCVC|28MLV|3AART|4aRMIN|5RCR|68DMG|78VULN|8BPWR|9LWND
43	33162 35521	   	166.84	ACR|2VULN|2DMG|1AART	1RCVC|28MLV|3AART|4aRMIN|5RCR|68DMG|78VULN|8BPWR|9LHND
44	52422 31232	   	166.80	ACR|2VULN|3ZMB|1AART|2DUR	18aZMB|28DUST|3aDUR|4RCR|5AART|6LIT|78TLV|8aBPWR|9aVULN
45	33162 35512	   	166.74	ACR|2VULN|2DMG|1AART	1RCVC|28MLV|3AART|4RMIN|5RCR|68DMG|78VULN|8BPWR|9LWND|aDUST
46	33162 35513	   	166.74	ACR|2VULN|2DMG|1AART	1RCVC|28MLV|3AART|4RMIN|5RCR|68DMG|78VULN|8BPWR|9LWND|aERES
47	33162 35522	   	166.74	ACR|2VULN|2DMG|1AART	1RCVC|28MLV|3AART|4RMIN|5RCR|68DMG|78VULN|8BPWR|9LHND|aDUST
