0	Index      	 *	Score 	Summary	Detail	
1	51111 11463	 * 	215.17	ACR|3DMG|2VULN|1AART|1CDMG|2DUR	1AART|2RCR|39DUR|49VULN|5CDMG|6RCVC|7TLV|89aDMG|9BPWR
2	51313 62113	 * 	212.79	ACR|3DMG|2VULN|1AART|3CDMG	1AART|2RCR|378VENICY|4RPLT|578DMG|678CDMG|78aBPWR|9aVULN
3	51313 62114	   	212.79	ACR|3DMG|2VULN|1AART|3CDMG	1AART|2RCR|378VENICY|4RPLT|578DMG|678CDMG|78BPWR|9aVULN
4	43812 21154	 * 	212.07	DCR|4VULN|3DMG|1AART	1MBVNT|2367VULN|467DMG|5RCVC|67BPWR|8AART|9RCR|aDUR
5	43822 21154	   	209.26	DCR|4VULN|3DMG|1AART	1MBVNT|2367VULN|4DMSP|567DMG|67BPWR|8AART|9RCR|aDUR
6	51133 13661	 * 	208.73	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	1AART|2RCR|38DUR|48ASPD|5CDMG|6BEXP|789VULN|8BPWR|aDMG
7	51111 52261	 * 	207.28	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUR|469VULN|5CDMG|7FEWX|8aDMG
8	51611 22151	   	207.28	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8LWND|9aDMG
9	51611 22351	   	207.18	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8DUST|9aDMG
10	43812 21151	   	206.30	DCR|4VULN|3DMG|1AART	1MBVNT|2367VULN|467DMG|5aRCVC|67BPWR|8AART|9RCR
11	43812 21153	   	205.13	DCR|4VULN|3DMG|1AART	1MBVNT|2367VULN|467DMG|5RCVC|67BPWR|8AART|9RCR|aLWND
12	43812 21152	   	205.03	DCR|4VULN|3DMG|1AART	1MBVNT|2367VULN|467DMG|5RCVC|67BPWR|8AART|9RCR|aSNIHEL
13	43822 21151	   	203.63	DCR|4VULN|3DMG|1AART	1MBVNT|2367VULN|4DMSP|567DMG|67BPWR|8AART|9RCR|aRCVC
14	51121 32261	 * 	203.07	ACR|2AART|2VULN|2DMG|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|69VULN|8aDMG
15	51121 32551	   	203.07	ACR|2AART|2VULN|2DMG|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|68VULN|9aDMG
16	51631 12261	   	202.97	ACR|2AART|2VULN|2DMG|1CDMG	17AART|2RCR|39VULN|4DUST|5CDMG|6DUR|8aDMG
17	51612 33351	   	202.52	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|34VULN|5DUR|6TLV|7ZMB|8CDMG|9aDMG
18	43822 21153	   	202.32	DCR|4VULN|3DMG|1AART	1MBVNT|2367VULN|4DMSP|567DMG|67BPWR|8AART|9RCR|aLWND
19	43822 21152	   	202.22	DCR|4VULN|3DMG|1AART	1MBVNT|2367VULN|4DMSP|567DMG|67BPWR|8AART|9RCR|aSNIHEL
20	51612 42113	 * 	201.14	ACR|3VULN|2AART|1DMG|1CDMG	19AART|2RCR|346VULN|5DUR|7CDMG|8LWND|aDMG
21	51611 22113	   	201.14	ACR|3VULN|2AART|1DMG|1CDMG	19AART|2RCR|345VULN|6DUR|7CDMG|8LWND|aDMG
22	51111 53513	   	201.14	ACR|3VULN|2AART|1DMG|1CDMG	19AART|2RCR|3DUR|468VULN|5CDMG|7LWND|aDMG
23	51111 56113	   	201.14	ACR|3VULN|2AART|1DMG|1CDMG	19AART|2RCR|3DUR|467VULN|5CDMG|8LWND|aDMG
24	51121 32265	   	201.14	ACR|3VULN|2AART|1DMG|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|69aVULN|8DMG
