0	Index      	 *	Score 	Summary	Detail	
1	26256 12332	 * 	203.16	DCR|4VULN|2DMG|2CDMG|2DUR|1ZMB	17DMG|27CDMG|3489VULN|5ZMB|67DUR|7BPWR|aRCR
2	14824 14126	 * 	198.19	DCR|3DMG|2VULN|1AART|3ASPD|1SELL	1MBVNT|24aASPD|39aDMG|5SELL|6AART|7RCR|8aVULN|aBPWR
3	26226 26121	 * 	194.32	DCR|2VULN|2DMG|2AART|2CDMG	1aDMG|2aCDMG|39VULN|4TLV|5aCGEN|68AART|7RCR|aBPWR
4	22332 36132	 * 	194.32	DCR|3VULN|3DMG|1AART	19aDMG|2CGEN|389VULN|49LSRICY|5RPLT|6AART|7RCR|9BPWR
5	23142 43523	 * 	193.49	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	146DMG|2LHND|3RCR|5DUR|7ZMB|8VULN|9AART|aCDMG
6	22361 25251	 * 	193.45	DCR|5VULN|3DMG	179DMG|2CGEN|3579aVULN|479FEWX|6BELT|79BPWR|8RCR
7	17251 71112	 * 	192.89	ACR|4VULN|2DMG|1AART	1MBVNT|27ERES|3RCR|47DMG|5789VULN|6RPLT|7BPWR|aAART
8	26431 12312	   	192.26	DCR|4VULN|2DMG|2CDMG|2DUR	17DMG|25CDMG|3RMIN|4578VULN|57BPWR|67DUR|9RCVC|aRCR
9	26256 11332	   	191.36	DCR|4VULN|2DMG|1CDMG|1ZMB|1DUR	17DMG|2CDMG|3489VULN|5ZMB|6DUR|aRCR
10	14823 84372	 * 	189.58	DCR|2VULN|2DMG|1AART|3ASPD|1ZMB	1MBVNT|24aASPD|3aDMG|5BEXP|6ZMB|7aVULN|8RCR|9AART|aBPWR
11	26256 12312	   	189.06	DCR|3VULN|2DMG|2CDMG|2DUR|1ZMB	17DMG|27CDMG|348VULN|5ZMB|67DUR|7BPWR|9RCVC|aRCR
12	26246 12332	   	189.06	DCR|3VULN|2DMG|2CDMG|2DUR|1ZMB	17DMG|27CDMG|389VULN|4RCVC|5ZMB|67DUR|7BPWR|aRCR
13	13125 47472	 * 	188.37	DCR|4VULN|2DMG|1AART	1MBVNT|2aLWND|3DUST|457aVULN|6aDMG|8RCR|9AART|aBPWR
14	26253 62232	 * 	188.12	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1DMG|2CDMG|348VULN|5LIT|67AART|9RCR|aDUR
15	26253 62233	   	188.12	DCR|3VULN|2AART|1DMG|1CDMG|1ASPD	1DMG|2CDMG|348VULN|5LIT|67AART|9RCR|aASPD
