0	Index      	 *	Score 	Summary	Detail	
1	15136 36323	 * 	206.74	ACR|4VULN|3DMG|3CDMG	149CDMG|2ERES|3679VULN|5RCR|89aDMG|9BPWR
2	11643 48445	 * 	205.47	DCR|3VULN|2DMG|1AART|2CDMG|1ASPD	1aCDMG|24aVULN|3MBVNT|5ASPD|6AART|7RCR|8LHND|9aDMG|aBPWR
3	63461 11211	   	204.42	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR	1DUR|2aVULN|3ERES|4AART|5LWND|6RCR|7aCDMG|8ZMB|9aDMG|aBPWR
4	14161 31241	 * 	201.70	ACR|4VULN|1AART|1DMG|2CDMG|1DUR	15CDMG|2DMG|3689VULN|4RCR|7AART|aDUR
5	14161 31242	   	201.70	ACR|4VULN|1AART|1DMG|2CDMG|1ASPD	15CDMG|2DMG|3689VULN|4RCR|7AART|aASPD
6	14163 31221	   	201.70	ACR|4VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|2DMG|3568VULN|4RCR|7AART|aDUR
7	14163 31222	   	201.70	ACR|4VULN|1AART|1DMG|2CDMG|1ASPD	19CDMG|2DMG|3568VULN|4RCR|7AART|aASPD
8	14163 31241	 * 	201.28	ACR|5VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|35689VULN|4RCR|7AART|aLWND
9	14163 31242	   	201.28	ACR|5VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|35689VULN|4RCR|7AART|aBEXP
10	14163 31243	   	201.28	ACR|5VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|35689VULN|4RCR|7AART|aRMIN
11	14161 31225	 * 	200.80	ACR|4VULN|3CDMG|1AART|1DMG	159CDMG|2DMG|368aVULN|4RCR|7AART
12	14163 31235	   	199.45	ACR|4VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3568VULN|4RCR|7AART|9MGNSTR|aZMB
13	11644 47254	 * 	198.92	DCR|4VULN|2DMG|1AART|1CDMG	1CDMG|2489VULN|3MBVNT|57DMG|6AART|aRCR
14	14163 31532	 * 	198.88	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2aDMG|356VULN|4RCR|7AART|8DUR|9MLV
15	14161 31222	   	197.71	ACR|3VULN|3CDMG|1AART|1DMG|1ZMB	159CDMG|2DMG|368VULN|4RCR|7AART|aZMB
16	14163 31141	   	197.29	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DMG|3569VULN|4RCR|7AART|8RCVC|aDUR
17	14163 31142	   	197.29	ACR|4VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2DMG|3569VULN|4RCR|7AART|8RCVC|aASPD
18	11643 48325	   	196.33	DCR|2VULN|2DMG|1AART|2CDMG|2ASPD	1aCDMG|24VULN|3MBVNT|5aASPD|6AART|7RCR|8aDMG|9LEGI|aBPWR
19	22413 21236	 * 	196.21	DCR|3VULN|3DMG|2FLTHEA|2DUR	12aDMG|35DUR|45aVULN|5aBPWR|6BEXP|7LWND|8aFLTHEA|9RCR
20	11613 48445	 * 	195.86	DCR|2VULN|2DMG|3CDMG|1AART|1ASPD	14aCDMG|2aVULN|3MBVNT|5ASPD|6AART|7RCR|8LHND|9aDMG|aBPWR
21	14163 31263	   	195.39	ACR|4VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2DMG|3568VULN|4RCR|7AART|9BELT|aASPD
22	12146 32234	 * 	194.82	DCR|3VULN|3CDMG|1AART|1DMG|1ASPD	18aCDMG|2ASPD|38aVULN|4DMG|5FEWX|6RCR|78aLWND|8aBPWR|9AART
23	14161 31243	   	194.76	ACR|4VULN|1AART|1DMG|2CDMG	15CDMG|2DMG|3689VULN|4RCR|7AART|aRMIN
24	14163 31223	   	194.76	ACR|4VULN|1AART|1DMG|2CDMG	19CDMG|2DMG|3568VULN|4RCR|7AART|aRMIN
25	14163 31224	   	194.76	ACR|4VULN|1AART|1DMG|2CDMG	19CDMG|2DMG|3568VULN|4RCR|7AART|aLHND
26	14163 31225	   	194.76	ACR|4VULN|1AART|1DMG|2CDMG	19CDMG|2DMG|3568VULN|4RCR|7AART|aLIT
27	14163 31253	   	194.76	ACR|4VULN|1AART|1DMG|2CDMG	1aCDMG|2DMG|3568VULN|4RCR|7AART|9BEXP
28	22413 52223	   	194.50	DCR|3VULN|3DMG|1FLTHEA|2DUR	12aDMG|35DUR|45aVULN|5aBPWR|6LWND|7RCR|8FLTHEA|9aERES
29	23265 11153	 * 	193.71	DCR|3DMG|2AART|2VULN	19aDMG|2aMLV|3LWND|48AART|5LIT|6RCR|7aVULN|aBPWR
30	23365 11153	   	193.71	DCR|3DMG|2AART|2VULN	19aDMG|2aMLV|3LHND|48AART|5LIT|6RCR|7aVULN|aBPWR
31	11634 21247	 * 	193.49	DCR|3DMG|2VULN|1AART|2CDMG|1SELL	17CDMG|27VULN|3MBVNT|4SELL|57aDMG|6AART|7BPWR|8MLV|9RCR
32	11634 21547	 * 	193.49	DCR|3DMG|2VULN|1AART|2CDMG|1SELL	17CDMG|27VULN|3MBVNT|4SELL|57aDMG|6AART|7BPWR|8RMIN|9RCR
33	11634 21747	 * 	193.39	DCR|3DMG|2VULN|1AART|2CDMG|1SELL	17CDMG|27VULN|3MBVNT|4SELL|57aDMG|6AART|7BPWR|8ERES|9RCR
34	22414 21163	 * 	193.26	DCR|3DMG|2VULN|1AART|2ZMB|1DUR	127DMG|3DUR|47VULN|57ZMB|6AART|7BPWR|8LHND|9LWND|aRCR
