0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31136 21116	9	 * 	276.69	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56aVULN|79DMG|8RCR|9BPWR
2	12235 51232	7	 * 	269.04	DCR|3VULN|3DMG|2DUR	1RMIN|23DLOT|47DUR|579DMG|678VULN|7BPWR|aRCR
3	12235 51622	7	   	269.04	DCR|3VULN|3DMG|2DUR	1RMIN|23DLOT|47DUR|578DMG|679VULN|7BPWR|aRCR
4	53513 13233	8	 * 	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9DUR|aRCR
5	53513 13233	7	   	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9DUR|aRCR
6	53112 31463	3	 * 	268.10	DCR|4VULN|2DUR|1DMG|1AART	1RCVC|2AART|3489VULN|5DMG|68ERES|78DUR|8BPWR|aRCR
7	11211 24424	2	   	267.37	DCR|3VULN|2DMG|2TLV|1CDMG|1ASPD	12RMIN|379VULN|4CDMG|57TLV|67DMG|7BPWR|8ASPD|aRCR
8	31136 21114	9	   	266.04	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56VULN|79DMG|8RCR|9BPWR|aTLV
9	16412 12222	8	   	265.86	DCR|3VULN|3DMG|1TLV|1ASPD	1RMIN|278ZMB|378DMG|4CGEN|5TLV|678VULN|78BPWR|9RCR|aASPD
10	16432 12222	8	   	265.86	DCR|3VULN|3DMG|1TLV|1ASPD	1RMIN|278ZMB|378DMG|4MLV|5TLV|678VULN|78BPWR|9RCR|aASPD
11	55123 11225	8	 * 	265.37	DCR|3VULN|3DUR|2CDMG|1TLV	1RCVC|279VULN|3LWND|467DUR|57CDMG|7BPWR|8TLV|aRCR
12	53351 33214	9	   	264.91	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1RCVC|2AART|39LWND|49aVULN|5TLV|6DUR|7RCR|89DMG|9BPWR
13	21131 53134	3	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1LHND|2DUR|3AART|4TLV|56aVULN|7RCR|89DMG
14	26231 53134	2	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1LHND|2AART|3DUR|4TLV|56aVULN|7RCR|89DMG
15	55123 31124	10	 * 	264.58	DCR|4VULN|2DUR|3CDMG	1RCVC|279aVULN|3LWND|47DUR|567CDMG|7BPWR|8RCR
16	53112 31433	3	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|2AART|348VULN|59DMG|68ERES|78DUR|8BPWR|aRCR
17	53152 31433	4	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|2AART|348VULN|59DMG|68ERES|78DUR|8BPWR|aRCR
18	53523 11423	3	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|2AART|38DMG|49ERES|568VULN|78DUR|8BPWR|aRCR
19	31136 21112	9	 * 	263.01	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	19DUST|29aDUR|3AART|4CDMG|56VULN|79DMG|8RCR|9BPWR
20	55222 21116	9	   	263.00	DCR|3VULN|2DMG|2DUR|1AART|1SELL	1RCVC|29aVULN|3SELL|4LWND|59DUR|6AART|79DMG|8RCR|9BPWR
21	55123 21116	9	   	262.31	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	1RCVC|29aVULN|39LWND|4DUR|5CDMG|6AART|79DMG|8RCR|9BPWR
22	21131 51114	3	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1LHND|28DUR|3AART|4TLV|56aVULN|7DMG|9RCR
23	26231 51114	2	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1LHND|2AART|38DUR|4TLV|56aVULN|7DMG|9RCR
24	53112 11663	3	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RCVC|2AART|349VULN|5DMG|67DUR|8TLV|aRCR
25	53136 11263	3	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RCVC|2AART|356VULN|47DUR|8DMG|9TLV|aRCR
26	53152 11263	5	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RCVC|2AART|346VULN|57DUR|8DMG|9TLV|aRCR
27	53216 11263	2	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RCVC|2AART|37DUR|456VULN|8DMG|9TLV|aRCR
28	53512 53113	9	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RCVC|2AART|3DMG|4TLV|56DUR|789VULN|aRCR
29	31131 51114	2	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1DUST|28DUR|3AART|4TLV|56aVULN|7DMG|9RCR
30	31131 51114	3	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1DUST|28DUR|3AART|4TLV|56aVULN|7DMG|9RCR
31	21113 16514	8	   	260.62	DCR|3VULN|2DUR|2AART|1TLV|1ASPD	18LHND|28DUR|37AART|4ASPD|5TLV|68aVULN|8BPWR|9RCR
32	31113 16514	8	   	260.42	DCR|3VULN|2DUR|2AART|1TLV|1ASPD	18DUST|28DUR|37AART|4ASPD|5TLV|68aVULN|8BPWR|9RCR
33	14126 12152	8	 * 	260.33	DCR|3VULN|3DUR|2TLV|1ASPD	1RMIN|278VULN|38TLV|457DUR|678CGEN|78BPWR|9RCR|aASPD
34	31136 21126	8	   	259.01	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1DUST|29DUR|3AART|4CDMG|56aVULN|7DMG|8RCR
35	21143 16225	2	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1LHND|234DUR|5CDMG|689VULN|7TLV|aRCR
36	11233 11415	2	   	258.78	DCR|3VULN|3DUR|2TLV|1AART	12RMIN|368VULN|48TLV|5AART|789DUR|8BPWR|aRCR
37	14333 11415	3	   	258.78	DCR|3VULN|3DUR|2TLV|1AART	1RMIN|268VULN|3RCVC|48TLV|5AART|789DUR|8BPWR|aRCR
38	53233 11415	1	   	258.78	DCR|3VULN|3DUR|2TLV|1AART	1RCVC|2RMIN|368VULN|48TLV|5AART|789DUR|8BPWR|aRCR
39	53112 31415	3	 * 	258.68	DCR|3VULN|3DUR|1DMG|1AART	1RCVC|2AART|348VULN|5DMG|68ERES|789DUR|8BPWR|aRCR
40	31136 21115	10	   	258.09	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56VULN|79DMG|8RCR|9BPWR|aLIT
41	12534 23253	4	   	257.56	DCR|3VULN|3DUR|2LIT|1CDMG	1RMIN|2DLOT|357VULN|457DUR|57BPWR|67LIT|8TBNT|9RCR|aCDMG
42	53513 13313	9	 * 	257.33	DCR|4VULN|2TLV|1DMG|1AART	1RCVC|2AART|3DMG|46TLV|5679VULN|6BPWR|8LHND|aRCR
43	53513 13324	7	   	257.33	DCR|4VULN|2TLV|1DMG|1AART	1RCVC|2AART|3DMG|46TLV|5679VULN|6BPWR|8RPLT|aRCR
44	53513 13363	8	   	257.33	DCR|4VULN|2TLV|1DMG|1AART	1RCVC|2AART|3DMG|46TLV|5679VULN|6BPWR|8LHND|aRCR
45	15353 41112	9	 * 	257.30	DCR|2VULN|2DMG|2DUR|2ASPD|1AART|1SELL	1RMIN|2SELL|3AART|49VULN|5aDUR|69ASPD|79DMG|8RCR|9BPWR
46	53513 13612	8	 * 	257.23	DCR|4VULN|3TLV|1DMG|1AART	1RCVC|2AART|3DMG|468TLV|567aVULN|6BPWR|9RCR
47	14123 16253	6	   	256.37	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RMIN|28VULN|3TLV|46DUR|5CDMG|7RCR|9aDMG
48	11211 24353	2	   	256.26	DCR|3VULN|2DMG|2TLV|1CDMG	12RMIN|379VULN|4CDMG|57TLV|67DMG|7BPWR|8BBNT|aRCR
49	14311 24353	3	   	256.26	DCR|3VULN|2DMG|2TLV|1CDMG	1RMIN|279VULN|3RCVC|4CDMG|57TLV|67DMG|7BPWR|8BBNT|aRCR
50	53211 24353	1	   	256.26	DCR|3VULN|2DMG|2TLV|1CDMG	1RCVC|2RMIN|379VULN|4CDMG|57TLV|67DMG|7BPWR|8BBNT|aRCR
51	21134 13134	3	 * 	256.20	DCR|2VULN|2DMG|2DUR|2TLV|1AART	1LHND|25DUR|3AART|45TLV|5BPWR|6aVULN|7RCR|89DMG
52	26234 13134	2	   	256.20	DCR|2VULN|2DMG|2DUR|2TLV|1AART	1LHND|2AART|35DUR|45TLV|5BPWR|6aVULN|7RCR|89DMG
53	14121 43325	9	 * 	255.86	DCR|3VULN|2DUR|2TLV|1DMG	1RMIN|278VULN|37TLV|47DUR|5RPLT|6DLOT|7BPWR|9DMG|aRCR
54	31625 41133	5	   	255.68	DCR|2VULN|3DMG|2DUR|1CDMG	16DUST|24DUR|39aDMG|56VULN|6BPWR|7RCR|8CDMG
55	31625 61133	6	   	255.68	DCR|2VULN|3DMG|2DUR|1CDMG	1DUST|24DUR|39aDMG|56VULN|7RCR|8CDMG
56	21131 53164	3	   	254.89	DCR|3VULN|1DMG|2AART|1TLV|1DUR	1LHND|2DUR|39AART|4TLV|56aVULN|7RCR|8DMG
57	16412 12221	8	   	254.85	DCR|3VULN|3DMG|1TLV	1RMIN|278ZMB|378DMG|4CGEN|5TLV|678VULN|78BPWR|9RCR|aBEXP
58	16412 12224	8	   	254.85	DCR|3VULN|3DMG|1TLV	1RMIN|278ZMB|378DMG|4CGEN|5TLV|678VULN|78BPWR|9RCR|aBELT
59	16412 12226	8	   	254.85	DCR|3VULN|3DMG|1TLV	1RMIN|278ZMB|378DMG|4CGEN|5TLV|678VULN|78BPWR|9RCR|aRCVC
60	16432 12221	8	   	254.85	DCR|3VULN|3DMG|1TLV	1RMIN|278ZMB|378DMG|4MLV|5TLV|678VULN|78BPWR|9RCR|aBEXP
61	16432 12224	8	   	254.85	DCR|3VULN|3DMG|1TLV	1RMIN|278ZMB|378DMG|4MLV|5TLV|678VULN|78BPWR|9RCR|aBELT
62	16432 12226	8	   	254.85	DCR|3VULN|3DMG|1TLV	1RMIN|278ZMB|378DMG|4MLV|5TLV|678VULN|78BPWR|9RCR|aRCVC
63	14131 11246	9	   	254.82	DCR|4VULN|2DUR|1TLV	1RMIN|2689VULN|3TLV|458CGEN|78DUR|8BPWR|aRCR
64	31661 35113	6	   	254.45	DCR|3VULN|3DMG|1DUR	19DUST|2DUR|379DMG|4FEWX|5ZMB|689VULN|9BPWR|aRCR
65	34621 35113	6	   	254.45	DCR|3VULN|3DMG|1DUR	19DUST|2FEWX|379DMG|4DUR|5ZMB|689VULN|9BPWR|aRCR
66	55423 31111	8	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1RCVC|279VULN|3DMG|4DUR|5CDMG|6LIT|8RCR|aASPD
67	53133 16263	5	   	253.61	DCR|4VULN|1DMG|1TLV|1AART	1RCVC|2AART|3567VULN|45FEWX|5BPWR|8DMG|9TLV|aRCR
68	53133 42241	10	   	253.61	DCR|4VULN|1DMG|1TLV|1AART	1RCVC|2AART|359aVULN|45FEWX|5BPWR|6TLV|7RCR|8DMG
69	52213 16313	7	   	253.51	DCR|4VULN|2TLV|1DUR|1AART	1RCVC|2CGEN|3AART|46TLV|567aVULN|6BPWR|8RCR|9DUR
70	53123 42241	10	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1RCVC|2AART|359aVULN|4LHND|6TLV|7RCR|8DMG
71	53153 13243	9	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1RCVC|2AART|3457VULN|6BEXP|8DMG|9TLV|aRCR
72	53153 13263	8	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1RCVC|2AART|3457VULN|6BEXP|8DMG|9TLV|aRCR
73	53153 13263	7	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1RCVC|2AART|3457VULN|6BEXP|8DMG|9TLV|aRCR
74	53121 22241	10	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1RCVC|2AART|369aVULN|4LHND|5TLV|7RCR|8DMG
75	53131 22241	10	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1RCVC|2AART|369aVULN|4FEWX|5TLV|7RCR|8DMG
76	53152 12241	10	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1RCVC|2AART|349aVULN|5DUR|6MLV|7RCR|8DMG
77	53152 22241	10	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1RCVC|2AART|349aVULN|5DUR|6ZMB|7RCR|8DMG
78	53153 53233	7	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1RCVC|2AART|3457VULN|6DUR|8DMG|9ERES|aRCR
79	53153 53233	8	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1RCVC|2AART|3457VULN|6DUR|8DMG|9ERES|aRCR
80	12516 23151	6	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|2DLOT|36aVULN|4BEXP|5aDUR|7RCR|8aDMG|9LEGI|aBPWR
81	12516 23151	7	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|2DLOT|36aVULN|4BEXP|5aDUR|7RCR|8aDMG|9LEGI|aBPWR
82	12516 23321	9	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|2DLOT|36aVULN|4BEXP|5aDUR|7RCR|8LEGI|9aDMG|aBPWR
83	12516 23351	8	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|2DLOT|36aVULN|4BEXP|5aDUR|7RCR|8LEGI|9aDMG|aBPWR
84	12535 23121	9	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|2DLOT|36aVULN|4aDUR|5DUST|7RCR|8LWND|9aDMG|aBPWR
85	12535 23251	6	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|2DLOT|36aVULN|4aDUR|5DUST|7RCR|8BEXP|9aDMG|aBPWR
86	12535 23251	7	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|2DLOT|36aVULN|4aDUR|5DUST|7RCR|8BEXP|9aDMG|aBPWR
87	53153 53333	7	 * 	252.99	DCR|5VULN|1DUR|1AART	1RCVC|2AART|3457aVULN|6DUR|8RCR|9BELT
88	55123 31122	10	   	252.94	DCR|3VULN|2DUR|3CDMG|1ASPD	1RCVC|279VULN|3LWND|47DUR|567CDMG|7BPWR|8RCR|aASPD
89	55623 31122	10	   	252.94	DCR|3VULN|2DUR|3CDMG|1ASPD	1RCVC|279VULN|3LHND|47DUR|567CDMG|7BPWR|8RCR|aASPD
90	31623 34335	3	   	252.69	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1DUST|2DUR|39DMG|4CDMG|5TLV|68VULN|7ASPD|aRCR
91	16423 16112	6	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	1RMIN|29ZMB|39DMG|4DUR|5CDMG|6RPLT|789VULN|9BPWR|aRCR
92	16423 32112	7	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	1RMIN|29ZMB|39DMG|4DUR|5CDMG|689VULN|7RPLT|9BPWR|aRCR
93	16423 32212	8	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	1RMIN|29ZMB|39DMG|4DUR|5CDMG|689VULN|7RPLT|9BPWR|aRCR
94	14521 23112	6	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	1RMIN|289VULN|39ZMB|4DUR|5RPLT|6CDMG|79DMG|9BPWR|aRCR
95	14521 23412	7	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	1RMIN|279VULN|39ZMB|4DUR|5RPLT|6CDMG|89DMG|9BPWR|aRCR
96	21131 52114	3	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1LHND|28DUR|3AART|4TLV|56aVULN|7ASPD|9RCR
97	26231 52114	2	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1LHND|2AART|38DUR|4TLV|56aVULN|7ASPD|9RCR
98	53136 12613	3	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1RCVC|2AART|356VULN|49DUR|7ASPD|8TLV|aRCR
99	53216 12613	2	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1RCVC|2AART|39DUR|456VULN|7ASPD|8TLV|aRCR
100	53116 11163	3	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1RCVC|2AART|349VULN|5TLV|67DUR|8ASPD|aRCR
101	53132 11663	3	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1RCVC|2AART|369VULN|47DUR|5ASPD|8TLV|aRCR
102	53152 12613	5	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1RCVC|2AART|346VULN|59DUR|7ASPD|8TLV|aRCR
103	53212 11663	2	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1RCVC|2AART|37DUR|469VULN|5ASPD|8TLV|aRCR
104	12553 41112	9	 * 	252.62	DCR|2VULN|2DMG|2CDMG|1DUR|1ASPD|1AART	1RMIN|2DLOT|39VULN|49CDMG|5DUR|6ASPD|79DMG|8RCR|9BPWR|aAART
105	53351 33212	10	   	252.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1RCVC|2AART|39LWND|49VULN|5TLV|6aDUR|7RCR|89DMG|9BPWR
106	31131 52114	3	   	252.55	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1DUST|28DUR|3AART|4TLV|56aVULN|7ASPD|9RCR
107	31131 52114	2	   	252.55	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1DUST|28DUR|3AART|4TLV|56aVULN|7ASPD|9RCR
108	21112 23152	7	 * 	252.49	DCR|2VULN|2DMG|3ASPD|1DUR|1AART	1aLHND|2DUR|3AART|459ASPD|6aVULN|7RCR|8aDMG|aBPWR
109	53512 53213	9	   	252.39	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1RCVC|2AART|38DMG|4TLV|56DUR|79VULN|aRCR
110	55222 21114	9	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV|1AART|1SELL	1RCVC|29VULN|3SELL|4LWND|59DUR|6AART|79DMG|8RCR|9BPWR|aTLV
111	23152 23154	3	 * 	252.28	DCR|3VULN|2ASPD|1DMG|1TLV|1AART	1aLHND|2BEXP|3AART|45aVULN|6TLV|7RCR|8DMG|9aASPD|aBPWR
112	53513 13213	8	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9FEWX|aRCR
113	53513 13213	7	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9FEWX|aRCR
114	53513 13213	9	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9BEXP|aRCR
115	53513 13241	8	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9RCR|aFEWX
116	53513 13241	7	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9RCR|aFEWX
117	53513 13243	7	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9RCR|aRMIN
118	53513 13243	8	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9RCR|aRMIN
119	53513 13253	9	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9LWND|aRCR
120	53513 13314	7	   	252.27	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|39DMG|46TLV|567VULN|6BPWR|8RPLT|aRCR
121	22152 23154	3	   	252.18	DCR|3VULN|2ASPD|1DMG|1TLV|1AART	1aLHND|2DUST|3AART|45aVULN|6TLV|7RCR|8DMG|9aASPD|aBPWR
122	53513 13223	9	   	252.17	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9LEGI|aRCR
123	53513 13242	7	   	252.17	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9RCR|aDLOT
124	53513 13242	8	   	252.17	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|38DMG|46TLV|567VULN|6BPWR|9RCR|aDLOT
125	14621 13111	10	 * 	252.00	DCR|4VULN|3DUR	1RMIN|2689VULN|3LWND|489DUR|5RPLT|789BEXP|89BPWR|aRCR
126	14221 13111	10	   	251.90	DCR|4VULN|3DUR	1RMIN|2689VULN|3DUST|489DUR|5RPLT|789BEXP|89BPWR|aRCR
127	14221 14111	10	   	251.90	DCR|4VULN|3DUR	1RMIN|2689VULN|3DUST|489DUR|5RPLT|789FEWX|89BPWR|aRCR
128	14221 15111	10	   	251.90	DCR|4VULN|3DUR	1RMIN|2689VULN|3DUST|489DUR|5RPLT|789LWND|89BPWR|aRCR
129	14523 11114	9	   	251.65	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1RMIN|29VULN|39ZMB|4DUR|5CDMG|6AART|79DMG|8RCR|9BPWR|aTLV
130	55123 21114	9	   	251.65	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1RCVC|29VULN|39LWND|4DUR|5CDMG|6AART|79DMG|8RCR|9BPWR|aTLV
131	52432 11225	1	   	251.60	DCR|4VULN|3DUR	1RCVC|2aDUST|35aDUR|4BELT|679aVULN|8RCR|aBPWR
132	55123 31111	9	   	251.60	DCR|3VULN|2DUR|3CDMG|1AART	1RCVC|27aVULN|3LWND|47DUR|567CDMG|7BPWR|8RCR|9AART
133	55623 31111	9	   	251.60	DCR|3VULN|2DUR|3CDMG|1AART	1RCVC|27aVULN|3LHND|47DUR|567CDMG|7BPWR|8RCR|9AART
134	53153 36323	9	   	251.60	DCR|5VULN|2LIT|1AART	1RCVC|2AART|3459aVULN|69ERES|79LIT|8RCR|9BPWR
135	32432 11225	2	   	251.50	DCR|4VULN|3DUR	12aDUST|35aDUR|4BELT|679aVULN|8RCR|aBPWR
136	36432 11225	1	   	251.50	DCR|4VULN|3DUR	12aDUST|35aDUR|4BELT|679aVULN|8RCR|aBPWR
137	14123 46223	5	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1RMIN|268VULN|3TLV|4DUR|5CDMG|7RCR|9ZMB|aDMG
138	14124 51133	4	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1RMIN|26aVULN|3TLV|4DUR|5ZMB|7RCR|8CDMG|9DMG
