0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55274 11411	3	 * 	309.42	DCR|5VULN|3DMG|3TLV	1689aVULN|2LIT|3MBVNT|48aDMG|58aTLV|7RCR|8aBPWR
2	53153 21322	1	   	300.31	DCR|4VULN|3DMG|3TLV|2AART	1289VULN|3aAART|4FEWX|589TLV|6RCR|789DMG|89BPWR
3	53163 21322	1	   	300.31	DCR|4VULN|3DMG|3TLV|2AART	1289VULN|3aAART|4BEXP|589TLV|6RCR|789DMG|89BPWR
4	53153 21321	1	   	292.54	DCR|4VULN|3DMG|3TLV	1289VULN|3AART|4FEWX|589TLV|6RCR|789DMG|89BPWR|aLHND
5	53153 21325	1	   	292.54	DCR|4VULN|3DMG|3TLV	1289VULN|3AART|4FEWX|589TLV|6RCR|789DMG|89BPWR|aMLV
6	53163 21321	1	   	292.54	DCR|4VULN|3DMG|3TLV	1289VULN|3AART|4BEXP|589TLV|6RCR|789DMG|89BPWR|aLHND
7	53163 21325	1	   	292.54	DCR|4VULN|3DMG|3TLV	1289VULN|3AART|4BEXP|589TLV|6RCR|789DMG|89BPWR|aMLV
8	53153 21323	1	   	292.44	DCR|4VULN|3DMG|3TLV	1289VULN|3AART|4FEWX|589TLV|6RCR|789DMG|89BPWR|aBBNT
9	53153 21324	1	   	292.44	DCR|4VULN|3DMG|3TLV	1289VULN|3AART|4FEWX|589TLV|6RCR|789DMG|89BPWR|aTBNT
10	53163 21323	1	   	292.44	DCR|4VULN|3DMG|3TLV	1289VULN|3AART|4BEXP|589TLV|6RCR|789DMG|89BPWR|aBBNT
11	53163 21324	1	   	292.44	DCR|4VULN|3DMG|3TLV	1289VULN|3AART|4BEXP|589TLV|6RCR|789DMG|89BPWR|aTBNT
12	55274 11111	3	   	290.98	DCR|4VULN|3DMG|2TLV	169aVULN|2LIT|3MBVNT|48aDMG|5aTLV|7RCR|aBPWR
13	53452 31332	1	   	288.74	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1269VULN|35DMG|4CDMG|7RCR|8TLV|aDUR
14	53161 11511	7	 * 	286.26	DCR|3VULN|2DMG|2DUR|1TLV|2AART	149VULN|23AART|5BELT|69DUR|79DMG|8RCR|9BPWR|aTLV
15	53153 21322	4	 * 	285.40	DCR|3VULN|3DMG|3TLV|3AART	189VULN|23aAART|4FEWX|589TLV|6RCR|789DMG|89BPWR
16	53153 21322	3	   	285.40	DCR|3VULN|3DMG|3TLV|3AART	189VULN|23aAART|4FEWX|589TLV|6RCR|789DMG|89BPWR
17	53163 21322	3	   	285.40	DCR|3VULN|3DMG|3TLV|3AART	189VULN|23aAART|4BEXP|589TLV|6RCR|789DMG|89BPWR
18	53254 21322	5	   	285.40	DCR|3VULN|3DMG|3TLV|3AART	189VULN|25aAART|3FEWX|489TLV|6RCR|789DMG|89BPWR
19	55274 11414	3	   	283.63	DCR|4VULN|2DMG|2TLV	1689VULN|2LIT|3MBVNT|48DMG|58TLV|7RCR|8BPWR|aASPD
20	53123 83326	7	 * 	282.78	DCR|4VULN|3DUR|1TLV|2AART	1789VULN|23AART|489DUR|5MBVNT|6RCR|89BPWR|aTLV
21	53521 33622	1	 * 	282.05	DCR|3VULN|3DUR|2DMG|1TLV	12aVULN|36aDUR|47FEWX|5TLV|8aDMG|9RCR|aBPWR
22	52311 35621	2	 * 	280.58	DCR|5VULN|2DUR|1DMG|2ASPD	1467aVULN|2BEXP|37ASPD|57DUR|7BPWR|8DMG|9RCR
23	52111 21343	1	   	280.49	DCR|4VULN|2DUR|1TLV|2CDMG	138aVULN|2aCDMG|4LIT|5RPLT|6TLV|7RCR|9aDUR|aBPWR
24	52215 21343	1	   	280.49	DCR|4VULN|2DUR|1TLV|2CDMG	148aVULN|2aCDMG|3RPLT|5LIT|6TLV|7RCR|9aDUR|aBPWR
