0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23512 24511	1	 * 	283.37	DCR|3VULN|3DMG|1TLV|2CDMG|1AART	16aDMG|25aVULN|3TLV|46FEWX|6aBPWR|7RCR|8aCDMG|9AART
2	23611 63316	9	 * 	281.77	DCR|5VULN|2DMG|2DUR|1SELL	1aDMG|2BELT|3SELL|4589aVULN|6RCR|7aDUR|aBPWR
3	24132 33145	1	 * 	277.03	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2LIT|379VULN|4TBNT|59DUR|6RCR|8RMIN|9BPWR|aTLV
4	23611 63326	8	 * 	276.65	DCR|4VULN|3DUR|2DMG|1SELL	1aDMG|2BELT|3SELL|458aVULN|6RCR|79aDUR|aBPWR
5	24143 26121	1	   	272.11	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	17DMG|2LIT|367VULN|4AART|57ASPD|7BPWR|8RCR|9TLV|aCGEN
6	24143 26122	1	   	272.11	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	17DMG|2LIT|367VULN|4AART|57ASPD|7BPWR|8RCR|9TLV|aLWND
7	24143 26123	1	   	272.01	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	17DMG|2LIT|367VULN|4AART|57ASPD|7BPWR|8RCR|9TLV|aDUST
8	23261 31516	9	 * 	271.93	DCR|3VULN|3DMG|2DUR|1CDMG	13aDMG|2BELT|4RCVC|5CDMG|6aDUR|79aVULN|8RCR|aBPWR
9	23611 41221	5	   	269.55	DCR|3VULN|3DMG|1TLV|1DUR|1SELL	168DMG|2BELT|3SELL|456VULN|6BPWR|7DUR|9RCR|aTLV
10	23615 21221	5	   	269.55	DCR|3VULN|3DMG|1TLV|1DUR|1SELL	158DMG|2BELT|3SELL|456VULN|5BPWR|7DUR|9RCR|aTLV
11	23616 41221	4	   	269.55	DCR|3VULN|3DMG|1TLV|1DUR|1SELL	168DMG|2BELT|3SELL|456VULN|6BPWR|7DUR|9RCR|aTLV
12	23626 41221	3	   	269.55	DCR|3VULN|3DMG|1TLV|1DUR|1SELL	168DMG|2BELT|3SELL|456VULN|6BPWR|7DUR|9RCR|aTLV
13	23536 22125	1	 * 	267.77	DCR|5VULN|2TLV|1DMG	1DMG|2456aVULN|36TLV|6BPWR|7LWND|8RCR|9BEXP
14	23343 26126	1	   	267.61	DCR|2VULN|2DMG|1TLV|2ASPD|2LIT|1CDMG|1AART	17DMG|26VULN|37LIT|4AART|57ASPD|7BPWR|8RCR|9TLV|aCDMG
15	23512 14511	1	   	267.61	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	1aDMG|25aVULN|3TLV|46FEWX|7RCR|8aCDMG|9AART|aBPWR
16	23533 32781	1	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	16DMG|249VULN|3TLV|5MBVNT|7DUR|8RCR|aCDMG
17	21532 34332	1	 * 	267.15	DCR|4VULN|2DMG|1TLV	16DMG|2BEXP|3TLV|458aVULN|7RCR|9LIT
18	23562 34332	1	   	267.15	DCR|4VULN|2DMG|1TLV	16DMG|258aVULN|3TLV|4BEXP|7RCR|9LIT
19	24216 22125	4	 * 	267.02	DCR|4VULN|2DMG|2TLV	12DMG|356aVULN|46TLV|6BPWR|7LWND|8RCR|9BEXP
20	23536 21143	1	   	266.92	DCR|4VULN|2DMG|2TLV	1aDMG|2456VULN|36TLV|6BPWR|7TBNT|8DMSP|9RCR
21	23536 21343	1	   	266.92	DCR|4VULN|2DMG|2TLV	1aDMG|2456VULN|36TLV|6BPWR|7TBNT|8RCVC|9RCR
22	14361 36131	10	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1DUST|2LIT|378aVULN|4DUR|5TLV|6RCR|9DMG
23	23536 22135	1	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|2456VULN|36TLV|6BPWR|79LWND|8RCR|aDUR
24	23536 22143	1	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|2456VULN|36TLV|6BPWR|7LWND|8RCR|9ZMB|aDUR
25	23116 32266	4	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	1aDMG|2BELT|3LWND|47aVULN|5ASPD|6RCR|8CDMG|9aDUR|aBPWR
26	24132 33142	1	 * 	264.05	DCR|3VULN|3DUR|2DMG	19DMG|2LIT|379VULN|4TBNT|59aDUR|6RCR|8RMIN|9BPWR
27	23524 43311	1	 * 	263.89	DCR|3VULN|2DMG|1TLV|3CDMG	17DMG|278VULN|3TLV|4CGEN|567CDMG|7BPWR|9ERES|aRCR
28	23536 22121	1	   	263.08	DCR|4VULN|2TLV|1DMG|1CDMG	1DMG|2456VULN|36TLV|6BPWR|7LWND|8RCR|9BEXP|aCDMG
29	23536 22151	1	   	263.08	DCR|4VULN|2TLV|1DMG|1CDMG	1DMG|2456VULN|36TLV|6BPWR|7LWND|8RCR|9LHND|aCDMG
30	23536 23362	1	   	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1DMG|2456VULN|36TLV|6BPWR|7ZMB|8ERES|9RCR|aCDMG
31	23332 33445	1	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	19DMG|279VULN|3LIT|4TBNT|5DUR|6RCR|89ZMB|9BPWR|aTLV
32	23112 64511	1	 * 	262.36	DCR|4VULN|2DMG|2CDMG|1AART	1aDMG|256aVULN|3ERES|4FEWX|7RCR|8aCDMG|9AART|aBPWR
33	21532 34333	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|2BEXP|3TLV|458VULN|7RCR|9LIT|aDUR
34	23562 34333	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|258VULN|3TLV|4BEXP|7RCR|9LIT|aDUR
35	23533 32782	1	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|249VULN|3TLV|5MBVNT|7DUR|8RCR|aLIT
36	24216 22135	4	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	12DMG|356VULN|46TLV|6BPWR|79LWND|8RCR|aDUR
37	24216 22143	4	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	12DMG|356VULN|46TLV|6BPWR|7LWND|8RCR|9ZMB|aDUR
38	26316 43332	10	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	15DMG|2CGEN|3MLV|457VULN|5BPWR|69TLV|8RCR|aDUR
39	21512 43153	9	   	262.12	DCR|3VULN|2DMG|2TLV|2ASPD|1NUKE	19DMG|29ASPD|3NUKE|48aVULN|5LWND|69TLV|7RCR|9BPWR
40	21513 43153	9	   	262.12	DCR|3VULN|2DMG|2TLV|2ASPD|1NUKE	19DMG|29ASPD|3NUKE|48aVULN|5FEWX|69TLV|7RCR|9BPWR
41	24211 23345	9	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	12DMG|37aVULN|46TLV|5BEXP|8RCR|9DUR
42	24143 26113	1	   	262.05	DCR|3VULN|2DMG|2ASPD|1DUR|1AART	17DMG|2LIT|367VULN|4AART|57ASPD|7BPWR|8RCR|9TBNT|aDUR
43	24216 21143	4	 * 	261.52	DCR|3VULN|3DMG|2TLV	12aDMG|356VULN|46TLV|6BPWR|7TBNT|8DMSP|9RCR
44	24216 21343	4	   	261.52	DCR|3VULN|3DMG|2TLV	12aDMG|356VULN|46TLV|6BPWR|7TBNT|8RCVC|9RCR
45	23336 32141	3	 * 	260.64	DCR|5VULN|2DMG|1AART	18DMG|2BELT|3AART|4578aVULN|6BBNT|8BPWR|9RCR
46	23261 31526	8	 * 	260.46	DCR|2VULN|3DMG|3DUR|1CDMG	13aDMG|2BELT|4RCVC|5CDMG|69aDUR|7aVULN|8RCR|aBPWR
47	22546 12313	1	   	260.29	DCR|2VULN|3DMG|2TLV|2LIT	158DMG|2LHND|38TLV|45LIT|58BPWR|6MLV|78VULN|9RCR|aASPD
48	22546 12313	2	   	260.29	DCR|2VULN|3DMG|2TLV|2LIT	158DMG|2LWND|38TLV|45LIT|58BPWR|6MLV|78VULN|9RCR|aASPD
49	22546 32313	1	   	260.29	DCR|2VULN|3DMG|2TLV|2LIT	158DMG|2LHND|38TLV|45LIT|58BPWR|6CGEN|78VULN|9RCR|aASPD
50	22546 32313	2	   	260.29	DCR|2VULN|3DMG|2TLV|2LIT	158DMG|2LWND|38TLV|45LIT|58BPWR|6CGEN|78VULN|9RCR|aASPD
51	14361 31141	8	 * 	260.23	DCR|4VULN|2DUR|1TLV	1DUST|2LIT|389aVULN|47DUR|5TLV|6RCR
52	24626 22411	2	 * 	260.14	DCR|2VULN|3DMG|3TLV|1CDMG|1AART	12aDMG|3MBVNT|4CDMG|5aVULN|68aTLV|7RCR|9AART|aBPWR
53	24121 12314	3	   	260.06	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5BEXP|6MLV|78VULN|8BPWR|9RCR|aDUR
54	24121 32314	3	   	260.06	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5BEXP|6CGEN|78VULN|8BPWR|9RCR|aDUR
55	24122 12314	3	   	260.06	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5LWND|6MLV|78VULN|8BPWR|9RCR|aDUR
56	24122 32314	3	   	260.06	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5LWND|6CGEN|78VULN|8BPWR|9RCR|aDUR
57	24161 12314	4	   	260.06	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5BEXP|6MLV|78VULN|8BPWR|9RCR|aDUR
58	24161 32314	4	   	260.06	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5BEXP|6CGEN|78VULN|8BPWR|9RCR|aDUR
59	24162 12314	4	   	260.06	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5LWND|6MLV|78VULN|8BPWR|9RCR|aDUR
60	24162 32314	4	   	260.06	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5LWND|6CGEN|78VULN|8BPWR|9RCR|aDUR
61	24121 52314	3	   	259.96	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5BEXP|6ERES|78VULN|8BPWR|9RCR|aDUR
62	24122 52314	3	   	259.96	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5LWND|6ERES|78VULN|8BPWR|9RCR|aDUR
63	24123 12314	3	   	259.96	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5DUST|6MLV|78VULN|8BPWR|9RCR|aDUR
64	24123 32314	3	   	259.96	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5DUST|6CGEN|78VULN|8BPWR|9RCR|aDUR
65	24163 12314	4	   	259.96	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5DUST|6MLV|78VULN|8BPWR|9RCR|aDUR
66	24163 12314	5	   	259.96	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5DUST|6MLV|78VULN|8BPWR|9RCR|aDUR
67	24163 32314	5	   	259.96	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5DUST|6CGEN|78VULN|8BPWR|9RCR|aDUR
68	24163 32314	4	   	259.96	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5DUST|6CGEN|78VULN|8BPWR|9RCR|aDUR
69	23343 26151	1	 * 	259.88	DCR|3VULN|2DMG|3ASPD|2LIT|1AART	17DMG|269VULN|37LIT|4AART|57aASPD|7BPWR|8RCR
70	24123 52314	3	   	259.86	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5DUST|6ERES|78VULN|8BPWR|9RCR|aDUR
71	24163 32314	6	   	259.86	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	128DMG|3TLV|48LIT|5DUST|6ERES|78VULN|8BPWR|9RCR|aDUR
72	24216 22121	4	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	12DMG|356VULN|46TLV|6BPWR|7LWND|8RCR|9BEXP|aCDMG
73	24216 22151	4	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	12DMG|356VULN|46TLV|6BPWR|7LWND|8RCR|9LHND|aCDMG
74	21632 34512	3	   	259.61	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	16DMG|2ASPD|3DUR|45VULN|7RCR|8LIT|9CDMG|aTLV
75	24212 31314	6	 * 	259.54	DCR|3DMG|3DUR|1VULN|2TLV	128DMG|3VULN|48TLV|5MLV|6LIT|78aDUR|8BPWR|9RCR
76	24212 35314	7	   	259.54	DCR|3DMG|3DUR|1VULN|2TLV	128DMG|3VULN|48TLV|5MLV|6LIT|78aDUR|8BPWR|9RCR
77	24216 23362	4	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	12DMG|356VULN|46TLV|6BPWR|7ZMB|8ERES|9RCR|aCDMG
78	23533 12347	1	   	259.50	DCR|5VULN|1TLV|1DMG	1DMG|24789VULN|3TLV|5MBVNT|6FEWX|aRCR
79	34232 15352	8	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|2LIT|3DMG|469VULN|5TLV|7aDUR|8RCR
80	14361 31131	10	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1DUST|2LIT|38aVULN|47DUR|5TLV|6RCR|9DMG
81	14361 36132	9	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1DUST|2LIT|378VULN|4aDUR|5TLV|6RCR|9DMG
82	23512 24325	1	   	258.94	DCR|4VULN|2DMG|1TLV	16DMG|258aVULN|3TLV|46FEWX|6BPWR|7RCR|9BEXP
83	23512 24335	1	   	258.94	DCR|4VULN|2DMG|1TLV	16DMG|258aVULN|3TLV|46FEWX|6BPWR|7RCR|9LWND
84	23332 33145	1	   	258.89	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	19DMG|27VULN|39LIT|4TBNT|59DUR|6RCR|8RMIN|9BPWR|aTLV
85	22532 34325	2	   	258.84	DCR|4VULN|2DMG|1TLV	16DMG|2LWND|3TLV|458aVULN|7RCR|9BEXP
86	22532 34325	1	   	258.84	DCR|4VULN|2DMG|1TLV	16DMG|2LHND|3TLV|458aVULN|7RCR|9BEXP
87	22532 34335	1	   	258.84	DCR|4VULN|2DMG|1TLV	16DMG|2LHND|3TLV|458aVULN|7RCR|9LWND
88	23532 34325	1	   	258.84	DCR|4VULN|2DMG|1TLV	16DMG|248aVULN|3TLV|5LHND|7RCR|9BEXP
89	23532 34335	1	   	258.84	DCR|4VULN|2DMG|1TLV	16DMG|248aVULN|3TLV|5LHND|7RCR|9LWND
90	24232 41125	9	   	258.84	DCR|4VULN|2DMG|1TLV	12DMG|379aVULN|4LHND|5BEXP|6TLV|8RCR
91	24312 41125	9	   	258.84	DCR|4VULN|2DMG|1TLV	12DMG|3LHND|479aVULN|5BEXP|6TLV|8RCR
92	26316 43322	9	   	258.84	DCR|4VULN|2DMG|1TLV	15DMG|2CGEN|3MLV|457aVULN|5BPWR|6TLV|8RCR|9ERES
93	23533 12247	1	   	258.74	DCR|4VULN|2DMG|1TLV	18DMG|2479VULN|3TLV|5MBVNT|6FEWX|aRCR
94	23533 31347	1	   	258.74	DCR|4VULN|2DMG|1TLV	16DMG|2489VULN|3TLV|5MBVNT|7LHND|aRCR
95	23533 34347	1	   	258.74	DCR|4VULN|2DMG|1TLV	16DMG|2489VULN|3TLV|5MBVNT|7FEWX|aRCR
96	23533 42347	1	   	258.74	DCR|4VULN|2DMG|1TLV	19DMG|2478VULN|3TLV|5MBVNT|6BEXP|aRCR
97	23533 42746	1	   	258.74	DCR|4VULN|2DMG|1TLV	19DMG|247aVULN|3TLV|5MBVNT|6BEXP|8RCR
98	24213 12347	4	   	258.74	DCR|4VULN|2DMG|1TLV	12DMG|3789VULN|4TLV|5MBVNT|6FEWX|aRCR
99	23336 32142	3	   	258.55	DCR|4VULN|2DMG|1DUR|1AART	18DMG|2BELT|3AART|4578VULN|6BBNT|8BPWR|9RCR|aDUR
100	21144 53321	6	   	258.53	DCR|3VULN|2DMG|2DUR|2ASPD|1SELL	1aDMG|25ASPD|3RCVC|4SELL|6RCR|78aVULN|9aDUR|aBPWR
101	23533 72733	1	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DMG|249VULN|3TLV|5MBVNT|6CDMG|7RCR|8LIT|aDUR
102	24161 11314	5	   	258.01	DCR|3DMG|3DUR|1VULN|1TLV|2LIT	128DMG|3TLV|48LIT|5VULN|6MLV|78aDUR|8BPWR|9RCR
103	24161 31314	5	   	258.01	DCR|3DMG|3DUR|1VULN|1TLV|2LIT	128DMG|3TLV|48LIT|5VULN|6CGEN|78aDUR|8BPWR|9RCR
104	23536 22122	1	   	257.74	DCR|4VULN|2TLV|1DMG	1DMG|2456VULN|36TLV|6BPWR|7LWND|8RCR|9BEXP|aLIT
105	23536 22152	1	   	257.74	DCR|4VULN|2TLV|1DMG	1DMG|2456VULN|36TLV|6BPWR|7LWND|8RCR|9LHND|aLIT
106	23536 23216	1	   	257.74	DCR|4VULN|2TLV|1DMG	1DMG|2456VULN|36TLV|6BPWR|7ZMB|8LWND|9ASPD|aRCR
107	23615 36211	10	   	257.61	DCR|3VULN|2DMG|1TLV|2CDMG|1SELL	15DMG|2BELT|3SELL|458VULN|5BPWR|67CDMG|9RCR|aTLV
108	23536 21431	1	   	257.54	DCR|4VULN|2TLV|1DMG	1DMG|2456VULN|36TLV|6BPWR|7TBNT|8ERES|9LIT|aRCR
109	23112 24511	1	   	257.07	DCR|3VULN|3DMG|2CDMG|1AART	16aDMG|25aVULN|3ERES|46FEWX|6aBPWR|7RCR|8aCDMG|9AART
110	23135 24511	1	   	257.07	DCR|3VULN|3DMG|2CDMG|1AART	16aDMG|24aVULN|3ERES|56FEWX|6aBPWR|7RCR|8aCDMG|9AART
111	23533 72511	1	 * 	256.94	DCR|2VULN|2DMG|2TLV|3CDMG|1AART	1aDMG|24VULN|3aTLV|5MBVNT|68aCDMG|7RCR|9AART|aBPWR
