0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24663 13223	6	 * 	281.10	DCR|4VULN|2DMG|2DUR|2AART	14AART|2DMSP|39DMG|569aVULN|79DUR|8RCR|9BPWR
2	24265 13223	6	   	273.33	DCR|4VULN|2DMG|2DUR|1AART	1AART|2DMSP|369aVULN|49DMG|5RCVC|79DUR|8RCR|9BPWR
3	24625 13223	6	   	273.33	DCR|4VULN|2DMG|2DUR|1AART	1AART|2DMSP|39DMG|469aVULN|5RCVC|79DUR|8RCR|9BPWR
4	51111 22526	5	 * 	272.67	DCR|3VULN|3DUR|1TLV|1DMG	1RMIN|245DUR|356VULN|5BPWR|7DMG|8ASPD|9RCR|aTLV
5	23122 16163	4	 * 	271.28	DCR|3VULN|3DMG|2TLV|1AART	1AART|2RPLT|379VULN|47TLV|579DMG|6DLOT|79BPWR|89ERES|aRCR
6	24162 26221	10	 * 	268.65	DCR|3VULN|3DMG|3ASPD|2AART	14AART|2DMSP|378ASPD|578DMG|678VULN|78BPWR|9BEXP|aRCR
7	24162 26231	10	   	268.65	DCR|3VULN|3DMG|3ASPD|2AART	14AART|2DMSP|378ASPD|578DMG|678VULN|78BPWR|9LWND|aRCR
8	51111 24521	4	 * 	265.66	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|248DUR|38VULN|5LIT|6BEXP|78DMG|8BPWR|9RCR|aTLV
9	23225 16221	1	 * 	265.06	DCR|4VULN|3DUR|2ASPD|1AART	1AART|2DMSP|379DUR|469aVULN|59ASPD|8RCR|9BPWR
10	24225 16221	2	   	265.06	DCR|4VULN|3DUR|2ASPD|1AART	1AART|2DMSP|379DUR|469aVULN|59ASPD|8RCR|9BPWR
11	51111 22126	5	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1RMIN|245DUR|356VULN|5BPWR|7DMG|8ZMB|9RCR|aTLV
12	21233 82636	1	   	262.74	DCR|2VULN|3DMG|2TLV|1DUR|1AART	1AART|2DLOT|38aDMG|4MBVNT|5DUR|68TLV|78VULN|8BPWR|9RCR
13	25133 22154	10	 * 	262.56	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	1AART|29TLV|3LWND|49aVULN|5BEXP|6CDMG|7RCR|89DUR|9BPWR
14	25313 63111	9	 * 	262.24	DCR|3VULN|3DUR|3TLV|1AART	1AART|28aTLV|38aDUR|46FEWX|5BEXP|78aVULN|8aBPWR|9RCR
15	25351 33111	9	   	262.24	DCR|3VULN|3DUR|3TLV|1AART	1AART|28aTLV|38aDUR|4LWND|5RCVC|6FEWX|78aVULN|8aBPWR|9RCR
16	25353 43111	9	   	262.24	DCR|3VULN|3DUR|3TLV|1AART	1AART|28aTLV|38aDUR|46LWND|5BEXP|78aVULN|8aBPWR|9RCR
17	25311 23111	9	   	262.14	DCR|3VULN|3DUR|3TLV|1AART	1AART|28aTLV|38aDUR|4FEWX|5RCVC|6DUST|78aVULN|8aBPWR|9RCR
18	25314 33111	9	   	262.14	DCR|3VULN|3DUR|3TLV|1AART	1AART|28aTLV|38aDUR|46FEWX|5DUST|78aVULN|8aBPWR|9RCR
19	25351 23111	9	   	262.14	DCR|3VULN|3DUR|3TLV|1AART	1AART|28aTLV|38aDUR|4LWND|5RCVC|6DUST|78aVULN|8aBPWR|9RCR
20	25315 23151	8	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1AART|28TLV|358DUR|4FEWX|6DUST|789VULN|8BPWR|aRCR
21	25315 23611	9	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1AART|2aTLV|35aDUR|4FEWX|6DUST|79aVULN|8RCR|aBPWR
22	25315 23621	8	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1AART|2aTLV|35aDUR|4FEWX|6DUST|79aVULN|8RCR|aBPWR
23	25314 13111	9	   	262.04	DCR|3VULN|3DUR|3TLV|1AART	1AART|28aTLV|38aDUR|4FEWX|56DUST|78aVULN|8aBPWR|9RCR
24	25354 13111	9	   	262.04	DCR|3VULN|3DUR|3TLV|1AART	1AART|28aTLV|38aDUR|4LWND|56DUST|78aVULN|8aBPWR|9RCR
25	26323 45121	5	 * 	261.88	DCR|4VULN|2DUR|1TLV|1AART	1AART|2aFEWX|369aVULN|4TLV|5BEXP|7RCR|8aDUR|aBPWR
26	26326 25121	5	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	1AART|2aFEWX|359aVULN|4TLV|6LHND|7RCR|8aDUR|aBPWR
27	26326 35121	5	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	1AART|2aFEWX|359aVULN|4TLV|6BEXP|7RCR|8aDUR|aBPWR
28	26326 35121	6	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	1AART|2aFEWX|359aVULN|4TLV|6BEXP|7RCR|8aDUR|aBPWR
29	26352 26121	7	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	1AART|2aFEWX|349aVULN|5LHND|6RCR|7TLV|8aDUR|aBPWR
30	26326 33111	9	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	1AART|2aFEWX|357aVULN|4TLV|6BEXP|8aDUR|9RCR|aBPWR
31	26356 33111	9	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	1AART|2aFEWX|347aVULN|5TLV|6BEXP|8aDUR|9RCR|aBPWR
32	26326 53111	9	   	261.78	DCR|4VULN|2DUR|1TLV|1AART	1AART|2aFEWX|357aVULN|4TLV|6DUST|8aDUR|9RCR|aBPWR
33	26622 25312	6	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	1AART|2FEWX|35DUR|459aVULN|5BPWR|6ERES|7RCR|8TLV
34	21233 82638	1	 * 	261.67	DCR|2VULN|2DMG|2TLV|2DUR|1AART	1AART|2DLOT|38DMG|4MBVNT|5aDUR|68TLV|78VULN|8BPWR|9RCR
35	23122 63621	6	 * 	260.80	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	1AART|2RPLT|39aVULN|4TLV|5aDUR|6aCDMG|7RMIN|8RCR|aBPWR
36	21233 82635	1	   	260.74	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1AART|2DLOT|38DMG|4MBVNT|5DUR|68TLV|78VULN|8BPWR|9RCR|aCDMG
37	56123 32531	4	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	1RMIN|28TLV|3LIT|48DUR|5ZMB|6aDMG|78VULN|8BPWR|9RCR
38	56133 32531	3	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	1RMIN|28TLV|3LIT|48DUR|5ZMB|6aDMG|78VULN|8BPWR|9RCR
39	51253 32531	3	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	1RMIN|28DUR|3LIT|48TLV|5ZMB|6aDMG|78VULN|8BPWR|9RCR
40	24265 13223	5	   	260.05	DCR|3VULN|2DMG|2DUR|2AART	16AART|2DMSP|39aVULN|49DMG|5RCVC|79DUR|8RCR|9BPWR
41	24625 13223	5	   	260.05	DCR|3VULN|2DMG|2DUR|2AART	16AART|2DMSP|39DMG|49aVULN|5RCVC|79DUR|8RCR|9BPWR
42	24663 13221	6	   	260.05	DCR|3VULN|2DMG|2DUR|2AART	14AART|2DMSP|39DMG|569VULN|79DUR|8RCR|9BPWR|aLWND
43	24663 13222	6	   	260.05	DCR|3VULN|2DMG|2DUR|2AART	14AART|2DMSP|39DMG|569VULN|79DUR|8RCR|9BPWR|aFEWX
44	24236 51223	5	   	258.65	DCR|4VULN|2DMG|2ASPD|1AART	1AART|2DMSP|369aVULN|4RMIN|59DMG|79ASPD|8RCR|9BPWR
45	24263 51223	4	   	258.65	DCR|4VULN|2DMG|2ASPD|1AART	1AART|2DMSP|369aVULN|49DMG|5RMIN|79ASPD|8RCR|9BPWR
46	24623 51223	4	   	258.65	DCR|4VULN|2DMG|2ASPD|1AART	1AART|2DMSP|39DMG|469aVULN|5RMIN|79ASPD|8RCR|9BPWR
47	51113 31551	5	 * 	258.12	DCR|3VULN|3DUR|1DMG|2CDMG	1RMIN|249DUR|39aVULN|5DUST|6DMG|7RCR|89CDMG|9BPWR
48	22322 26165	9	 * 	257.37	DCR|5VULN|2TLV|1AART	1AART|28DUST|35LHND|4589aVULN|58BPWR|6RCR|78TLV
49	51111 35126	7	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|245DUR|35VULN|5BPWR|6CGEN|78DMG|9RCR|aTLV
50	25136 25331	9	   	257.22	DCR|3VULN|2TLV|2DUR|1AART	1AART|2aTLV|3LWND|45aVULN|6ASPD|7MLV|8RCR|9aDUR|aBPWR
51	51111 25126	7	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1RMIN|245DUR|35VULN|5BPWR|6NUKE|78DMG|9RCR|aTLV
52	26352 16111	9	 * 	255.48	DCR|4VULN|3TLV|1DUR|1AART	1AART|28aFEWX|348aVULN|5LHND|6DUR|78aTLV|8aBPWR|9RCR
53	21233 82631	1	   	255.39	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1AART|2DLOT|38DMG|4MBVNT|5DUR|68TLV|78VULN|8BPWR|9RCR|aASPD
54	21233 82632	1	   	255.39	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1AART|2DLOT|38DMG|4MBVNT|5DUR|68TLV|78VULN|8BPWR|9RCR|aLIT
55	23124 12541	10	   	255.38	DCR|4VULN|2TLV|2ASPD|1AART	1AART|2RPLT|3569VULN|45TLV|59BPWR|79FEWX|89ASPD|aRCR
56	22322 26166	10	   	255.28	DCR|4VULN|2TLV|1DUR|1AART	1AART|28DUST|35LHND|4589VULN|58BPWR|6RCR|78TLV|aDUR
57	51241 32521	3	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RMIN|248DUR|38LIT|5BEXP|6DMG|78VULN|8BPWR|9RCR|aTLV
58	15131 24533	3	   	254.60	DCR|3VULN|2DMG|1TLV	18LHND|2ASPD|348VULN|5LIT|6BEXP|78DMG|8BPWR|9RCR|aTLV
59	51131 22252	3	 * 	254.29	DCR|4VULN|2DUR|2CDMG	1RMIN|2aDUR|349aVULN|5LIT|6BEXP|7aCDMG|8RCR|aBPWR
60	51162 12252	4	   	254.29	DCR|4VULN|2DUR|2CDMG	1RMIN|2aDUR|369aVULN|4LIT|5BEXP|7aCDMG|8RCR|aBPWR
61	26622 23511	8	   	254.28	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1AART|2FEWX|35DUR|457VULN|5BPWR|6ERES|8RCR|9CDMG|aTLV
62	16173 14631	5	   	254.28	DCR|3VULN|2DMG|2TLV	18LHND|2MBVNT|368VULN|4LIT|5aDMG|78TLV|8BPWR|9RCR
63	24343 61212	1	   	254.25	DCR|3VULN|1TLV|2CDMG|2AART	16AART|24CDMG|34aVULN|4BPWR|5ASPD|7LIT|8RCR|9TLV
64	23122 12621	7	 * 	254.19	DCR|3VULN|2TLV|2CDMG|1DUR|1AART	1AART|2RPLT|39aVULN|4aTLV|5DUR|6ERES|7aCDMG|8RCR|aBPWR
65	23124 14143	9	 * 	254.19	DCR|3VULN|3TLV|1DMG|1DUR|1AART	1AART|2RPLT|356VULN|457TLV|5BPWR|8DUR|9DMG|aRCR
66	26323 45131	5	   	254.06	DCR|3VULN|3DUR|1TLV|1AART	1AART|2aFEWX|36aVULN|4TLV|5BEXP|7RCR|89aDUR|aBPWR
67	26326 25131	5	   	254.06	DCR|3VULN|3DUR|1TLV|1AART	1AART|2aFEWX|35aVULN|4TLV|6LHND|7RCR|89aDUR|aBPWR
68	26326 35131	5	   	254.06	DCR|3VULN|3DUR|1TLV|1AART	1AART|2aFEWX|35aVULN|4TLV|6BEXP|7RCR|89aDUR|aBPWR
69	26326 35131	6	   	254.06	DCR|3VULN|3DUR|1TLV|1AART	1AART|2aFEWX|35aVULN|4TLV|6BEXP|7RCR|89aDUR|aBPWR
70	26352 26131	7	   	254.06	DCR|3VULN|3DUR|1TLV|1AART	1AART|2aFEWX|34aVULN|5LHND|6RCR|7TLV|89aDUR|aBPWR
71	26622 11211	6	   	253.96	DCR|3VULN|3DUR|1TLV|1AART	1AART|2FEWX|356DUR|459VULN|5BPWR|7TLV|8CGEN|aRCR
72	26622 13221	9	   	253.96	DCR|3VULN|3DUR|1TLV|1AART	1AART|2FEWX|356DUR|457VULN|5BPWR|8CGEN|9TLV|aRCR
73	26622 13521	9	   	253.96	DCR|3VULN|3DUR|1TLV|1AART	1AART|2FEWX|356DUR|457VULN|5BPWR|8MLV|9TLV|aRCR
74	26622 12261	8	   	253.96	DCR|3VULN|3DUR|1TLV|1AART	1AART|2FEWX|356DUR|459VULN|5BPWR|7BEXP|8TLV|aRCR
75	26622 11151	6	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	1AART|2FEWX|356DUR|459VULN|5BPWR|7TLV|8LEGI|aRCR
76	26622 11311	7	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	1AART|2FEWX|356DUR|459VULN|5BPWR|7ERES|8TLV|aRCR
77	26622 11622	6	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	1AART|2FEWX|356DUR|45aVULN|5BPWR|7TLV|8RCR|9DUST
78	26622 13121	9	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	1AART|2FEWX|356DUR|457VULN|5BPWR|8ERES|9TLV|aRCR
79	23153 22153	9	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1AART|2RPLT|39VULN|4LWND|59DMG|6LHND|7TLV|89DUR|9BPWR|aRCR
80	36222 22432	9	   	253.64	DCR|3VULN|3DMG|1TLV	1RPLT|2DMSP|37aDMG|4TLV|58aVULN|6aBEXP|9RCR|aBPWR
81	23122 25441	4	   	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1AART|2RPLT|39VULN|4TLV|59DMG|69DUR|7BBNT|8TBNT|9BPWR|aRCR
82	23122 51366	4	   	253.47	DCR|2VULN|3DMG|1TLV|2LIT|1AART	1AART|2RPLT|38VULN|4TLV|58aDMG|68LIT|7BELT|8BPWR|9RCR
83	15164 31233	8	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2ASPD|356VULN|4LIT|7DMG|8DUR|9RCR|aTLV
84	15164 32231	9	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2ASPD|356VULN|4LIT|7TLV|8DUR|9RCR|aDMG
85	22322 26162	9	   	252.68	DCR|4VULN|2TLV|1CDMG|1AART	1AART|28DUST|35LHND|4589VULN|58BPWR|6RCR|78TLV|aCDMG
86	54123 32531	2	   	252.48	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	1RMIN|28LIT|3ZMB|48TLV|5DUR|6aDMG|78VULN|8BPWR|9RCR
87	24265 13221	6	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	1AART|2DMSP|369VULN|49DMG|5RCVC|79DUR|8RCR|9BPWR|aLWND
88	24265 13222	6	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	1AART|2DMSP|369VULN|49DMG|5RCVC|79DUR|8RCR|9BPWR|aFEWX
89	24625 13221	6	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	1AART|2DMSP|39DMG|469VULN|5RCVC|79DUR|8RCR|9BPWR|aLWND
90	24625 13222	6	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	1AART|2DMSP|39DMG|469VULN|5RCVC|79DUR|8RCR|9BPWR|aFEWX
91	23133 31141	10	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	1AART|2RPLT|389VULN|46DUR|59DMG|79CGEN|9BPWR|aRCR
92	23133 36141	10	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	1AART|2RPLT|389VULN|46DUR|59DMG|79MLV|9BPWR|aRCR
93	24326 51223	7	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	1AART|24DMSP|3RCVC|59DUR|69DMG|79aVULN|8RCR|9BPWR
94	36222 12363	7	   	252.09	DCR|2VULN|3DMG|2TLV|2LIT	1RPLT|2DMSP|379DMG|49TLV|57VULN|67CGEN|79BPWR|89LIT|aRCR
95	24125 13223	6	   	251.83	DCR|4VULN|2DUR|2ASPD|1AART	1AART|2DMSP|39ASPD|469aVULN|5RCVC|79DUR|8RCR|9BPWR
96	23326 22411	9	   	251.79	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	1AART|2RPLT|3aFEWX|4aTLV|5DMG|6RCR|7CDMG|89aVULN|aBPWR
