0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16343 13162	9	 * 	317.53	DCR|3VULN|3DMG|3DUR|2ASPD|1CDMG	19aDMG|29aVULN|36ASPD|4DMSP|5CDMG|79aDUR|8RCR|9aBPWR
2	16214 13125	10	 * 	311.84	DCR|4VULN|3DMG|2DUR|2TLV	13aDMG|2458VULN|6aDUR|7aTLV|9RCR|aBPWR
3	12125 13162	9	   	303.63	DCR|3VULN|3DMG|3DUR|2ASPD|1SELL	19aDMG|25ASPD|3SELL|4RCVC|69aVULN|79aDUR|8RCR|9aBPWR
4	13253 13162	9	   	302.63	DCR|3VULN|3DMG|3DUR|2CDMG	19aDMG|2RMIN|34CDMG|5DMSP|69aVULN|79aDUR|8RCR|9aBPWR
5	16211 41352	7	 * 	302.22	DCR|4VULN|3DMG|2ASPD|3LIT	137DMG|247aVULN|57aLIT|6RCR|7aBPWR|8TBNT|9aASPD
6	16211 41212	10	   	301.81	DCR|4VULN|3DMG|1TLV|2LIT	137DMG|247aVULN|57LIT|6RCR|7BPWR|8AART|9TLV
7	16611 41312	9	   	297.75	DCR|4VULN|2DMG|3LIT|1TLV|1DUR	17DMG|2347VULN|57aLIT|6RCR|7BPWR|8DUR|9TLV
8	16611 41312	10	   	297.75	DCR|4VULN|2DMG|3LIT|1TLV|1DUR	17DMG|2347VULN|57aLIT|6RCR|7BPWR|8DUR|9TLV
9	16211 41431	9	   	296.76	DCR|3VULN|3DMG|1TLV|1DUR|2LIT|1ASPD	137DMG|247VULN|57LIT|6RCR|7BPWR|8ASPD|9TLV|aDUR
10	13223 13162	9	   	296.31	DCR|3VULN|3DMG|3DUR|1CDMG	19aDMG|2RMIN|3CDMG|4RCVC|5DMSP|69aVULN|79aDUR|8RCR|9aBPWR
11	16211 41216	10	   	295.42	DCR|3VULN|3DMG|1TLV|1DUR|2LIT	137DMG|247VULN|57LIT|6RCR|7BPWR|8AART|9TLV|aDUR
12	16211 41216	9	   	295.42	DCR|3VULN|3DMG|1TLV|1DUR|2LIT	137DMG|247VULN|57LIT|6RCR|7BPWR|8AART|9TLV|aDUR
13	16211 62131	4	 * 	294.03	DCR|5VULN|3DMG|1CDMG	138DMG|2456aVULN|7CDMG|9RCR
14	16214 62131	5	   	294.03	DCR|5VULN|3DMG|1CDMG	138DMG|2456aVULN|7CDMG|9RCR
15	16614 22131	6	   	294.03	DCR|5VULN|3DMG|1CDMG	168DMG|2345aVULN|7CDMG|9RCR
16	11313 11234	6	   	293.47	DCR|3VULN|3DMG|3DUR|1ASPD|1NUKE	18aDMG|28aDUR|3ASPD|4BEXP|5NUKE|6RCR|78aVULN|8aBPWR|9BBNT
17	11353 11234	6	   	293.47	DCR|3VULN|3DMG|3DUR|1ASPD|1NUKE	18aDMG|28aDUR|3ASPD|4FEWX|5NUKE|6RCR|78aVULN|8aBPWR|9BBNT
18	11363 11234	6	   	293.47	DCR|3VULN|3DMG|3DUR|1ASPD|1NUKE	18aDMG|28aDUR|3ASPD|4LHND|5NUKE|6RCR|78aVULN|8aBPWR|9BBNT
19	16313 12234	6	   	293.47	DCR|3VULN|3DMG|3DUR|1ASPD|1NUKE	18aDMG|28aVULN|3ASPD|4BEXP|5NUKE|6RCR|78aDUR|8aBPWR|9BBNT
20	16322 42235	5	   	293.47	DCR|3VULN|3DMG|3DUR|1ASPD	18aDMG|28aVULN|3ASPD|4ZMB|5MBVNT|6RCR|78aDUR|8aBPWR|9BBNT
21	12123 13162	9	   	293.42	DCR|3VULN|3DMG|3DUR|1ASPD|1SELL	19aDMG|2ASPD|3SELL|4RCVC|5DMSP|69aVULN|79aDUR|8RCR|9aBPWR
22	12543 11234	6	   	293.37	DCR|3VULN|3DMG|3DUR|1ASPD|1NUKE	18aDMG|2ASPD|38aDUR|4LEGI|5NUKE|6RCR|78aVULN|8aBPWR|9BBNT
23	16221 26213	7	   	293.37	DCR|3VULN|3DMG|3DUR|1ASPD	138DMG|289VULN|458DUR|6RCR|7LEGI|8BPWR|aASPD
24	11211 26213	7	   	293.37	DCR|3VULN|3DMG|3DUR|1ASPD	138DMG|258DUR|489VULN|6RCR|7LEGI|8BPWR|aASPD
25	11651 26213	7	   	293.37	DCR|3VULN|3DMG|3DUR|1ASPD	148DMG|258DUR|389VULN|6RCR|7LEGI|8BPWR|aASPD
26	16363 12234	6	   	293.37	DCR|3VULN|3DMG|3DUR|1ASPD|1NUKE	18aDMG|28aVULN|3ASPD|4DUST|5NUKE|6RCR|78aDUR|8aBPWR|9BBNT
27	16611 41311	9	   	292.75	DCR|4VULN|2DMG|1TLV|1DUR|2LIT	17DMG|2347VULN|57LIT|6RCR|7BPWR|8DUR|9TLV|aBELT
28	16611 41313	9	   	292.75	DCR|4VULN|2DMG|1TLV|1DUR|2LIT	17DMG|2347VULN|57LIT|6RCR|7BPWR|8DUR|9TLV|aFEWX
29	16611 41313	10	   	292.75	DCR|4VULN|2DMG|1TLV|1DUR|2LIT	17DMG|2347VULN|57LIT|6RCR|7BPWR|8DUR|9TLV|aRPLT
30	16611 41333	10	   	292.75	DCR|4VULN|2DMG|1DUR|1TLV|2LIT	17DMG|2347VULN|57LIT|6RCR|7BPWR|8DUR|9LHND|aTLV
31	16611 41311	10	   	292.65	DCR|4VULN|2DMG|1TLV|1DUR|2LIT	17DMG|2347VULN|57LIT|6RCR|7BPWR|8DUR|9TLV|aLEGI
