0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25133 63352	7	 * 	292.17	DCR|5VULN|3DUR|2TLV	179DUR|2RMIN|3579aVULN|457FEWX|579BPWR|6RCR|89TLV
2	11262 44131	7	 * 	290.36	DCR|3VULN|3DUR|2DMG|1TLV	168VULN|2BELT|389DUR|4TLV|5LIT|78DMG|8BPWR|aRCR
3	53324 22413	7	 * 	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1FEWX|2359VULN|45DUR|5BPWR|6TLV|7RCR|8aDMG
4	25153 12252	5	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	15DUR|2RMIN|3459VULN|5BPWR|6TLV|78DMG|aRCR
5	12112 63636	10	 * 	288.57	DCR|4VULN|3TLV|2DUR|1DMG	167aVULN|2LIT|37DUR|467TLV|5LEGI|67BPWR|8DMG|9RCR
6	25133 63351	7	   	282.14	DCR|4VULN|3DUR|2TLV	179DUR|2RMIN|3579VULN|457FEWX|579BPWR|6RCR|89TLV|aASPD
7	12112 13152	10	   	281.74	DCR|4VULN|3DUR|2TLV	1679VULN|2LIT|378DUR|47TLV|5LEGI|7BPWR|aRCR
8	22212 13152	10	   	281.74	DCR|4VULN|3DUR|2TLV	178DUR|2LIT|3679VULN|47TLV|5LEGI|7BPWR|aRCR
9	12115 63224	4	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1679VULN|2LIT|35DUR|4TLV|8RCR|aDMG
10	22215 63224	4	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2LIT|3679VULN|4TLV|8RCR|aDMG
11	25153 22224	6	 * 	279.23	DCR|4VULN|3DMG|2DUR	15DUR|2RMIN|3458VULN|5BPWR|679DMG|aRCR
12	22261 16621	2	 * 	278.01	DCR|3VULN|3DUR|1TLV|3LIT|1CDMG	178DUR|278LIT|3CGEN|4TBNT|5CDMG|678VULN|78BPWR|9RCR|aTLV
13	22361 16621	3	   	278.01	DCR|3VULN|3DUR|1TLV|3LIT|1CDMG	178DUR|278LIT|3CGEN|4TBNT|5CDMG|678VULN|78BPWR|9RCR|aTLV
14	23234 32332	9	 * 	277.20	DCR|4VULN|3DUR|2DMG	137DUR|257aLHND|457aVULN|57aBPWR|6RPLT|8aDMG|9RCR
15	23234 32462	8	   	277.20	DCR|4VULN|3DUR|2DMG	137DUR|257aLHND|457aVULN|57aBPWR|6RPLT|8RCR|9aDMG
16	23233 32332	9	   	277.10	DCR|4VULN|3DUR|2DMG	137DUR|27aLHND|457aVULN|6RPLT|7aBPWR|8aDMG|9RCR
17	23233 32462	8	   	277.10	DCR|4VULN|3DUR|2DMG	137DUR|27aLHND|457aVULN|6RPLT|7aBPWR|8RCR|9aDMG
18	16233 32332	9	   	277.10	DCR|4VULN|3DUR|2DMG	157aVULN|247LWND|37aDUR|6RPLT|7aBPWR|8aDMG|9RCR
19	16233 32462	8	   	277.10	DCR|4VULN|3DUR|2DMG	157aVULN|247LWND|37aDUR|6RPLT|7aBPWR|8RCR|9aDMG
20	16263 42332	9	   	277.10	DCR|4VULN|3DUR|2DMG	167aVULN|257LWND|37aDUR|4RPLT|7aBPWR|8aDMG|9RCR
21	26333 32332	9	   	277.10	DCR|4VULN|3DUR|2DMG	17aDUR|247LWND|357aVULN|6RPLT|7aBPWR|8aDMG|9RCR
22	26333 32462	8	   	277.10	DCR|4VULN|3DUR|2DMG	17aDUR|247LWND|357aVULN|6RPLT|7aBPWR|8RCR|9aDMG
23	26363 42332	9	   	277.10	DCR|4VULN|3DUR|2DMG	17aDUR|257LWND|367aVULN|4RPLT|7aBPWR|8aDMG|9RCR
24	24434 32332	9	   	276.90	DCR|4VULN|3DUR|2DMG	17aDUR|257DUST|3DMSP|457aVULN|57aBPWR|6RPLT|8aDMG|9RCR
25	24324 32332	9	   	276.90	DCR|4VULN|3DUR|2DMG	17aDUR|257DUST|357aVULN|4DMSP|57aBPWR|6RPLT|8aDMG|9RCR
26	14325 32332	9	   	276.80	DCR|4VULN|3DUR|2DMG	137aVULN|257DUST|47aDUR|6RPLT|7aBPWR|8aDMG|9RCR
27	13225 16126	1	 * 	275.97	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	168VULN|28BEXP|37DMG|4CDMG|58TLV|8BPWR|9DUR|aRCR
28	12112 63633	10	   	275.83	DCR|3VULN|3TLV|2DUR|1DMG	167VULN|2LIT|37DUR|467TLV|5LEGI|67BPWR|8DMG|9RCR|aASPD
29	53324 23632	5	   	275.43	DCR|4VULN|2DUR|1TLV|1CDMG|1AART	1FEWX|2358VULN|45DUR|5BPWR|6AART|7CDMG|9RCR|aTLV
30	13263 13254	1	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1578VULN|24BEXP|34DMG|4BPWR|6TLV|9RCR|aDUR
31	53326 22413	7	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1FEWX|2359VULN|4DUR|6TLV|7RCR|8aDMG
32	15126 32252	3	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1479VULN|2RMIN|3TLV|58DMG|6DUR|aRCR
33	13224 14126	1	 * 	274.69	DCR|4VULN|3DMG|3CDMG	157aVULN|2BEXP|37aDMG|467CDMG|7aBPWR|8aLWND|9RCR
34	13224 14126	2	   	274.69	DCR|4VULN|3DMG|3CDMG	157aVULN|2LHND|37aDMG|467CDMG|7aBPWR|8aLWND|9RCR
35	13263 13224	1	 * 	274.59	DCR|4VULN|3DMG|1TLV	1578VULN|24BEXP|349DMG|4BPWR|6TLV|aRCR
36	52163 13124	3	   	274.59	DCR|4VULN|3DMG|1TLV	18FEWX|249DMG|3457VULN|4BPWR|6TLV|aRCR
37	52163 13324	3	   	274.59	DCR|4VULN|3DMG|1TLV	1FEWX|249DMG|3457VULN|4BPWR|6TLV|8RCVC|aRCR
38	53263 13124	2	   	274.59	DCR|4VULN|3DMG|1TLV	18FEWX|2457VULN|349DMG|4BPWR|6TLV|aRCR
39	53263 13324	2	   	274.59	DCR|4VULN|3DMG|1TLV	1FEWX|2457VULN|349DMG|4BPWR|6TLV|8RCVC|aRCR
40	13224 14326	2	   	274.49	DCR|4VULN|3DMG|3CDMG	157aVULN|2LHND|37aDMG|467CDMG|7aBPWR|8aDUST|9RCR
41	13426 12224	1	   	274.49	DCR|4VULN|3DMG|1TLV	1348VULN|2BEXP|579DMG|6TLV|aRCR
42	13426 12224	2	   	274.49	DCR|4VULN|3DMG|1TLV	1348VULN|2LHND|579DMG|6TLV|aRCR
43	12133 24852	10	 * 	274.44	DCR|3VULN|3DUR|3TLV|1CDMG	18aVULN|2LIT|38aDUR|4ZMB|5CDMG|6MBVNT|78aTLV|8aBPWR|9RCR
44	22233 24852	10	   	274.44	DCR|3VULN|3DUR|3TLV|1CDMG	18aDUR|2LIT|38aVULN|4ZMB|5CDMG|6MBVNT|78aTLV|8aBPWR|9RCR
45	14326 12224	3	   	274.39	DCR|4VULN|3DMG|1TLV	1348VULN|2DUST|579DMG|6TLV|aRCR
46	12112 63633	9	   	274.07	DCR|3VULN|3TLV|2DUR|1DMG|2LIT	167VULN|2aLIT|37DUR|467TLV|5LEGI|67BPWR|8DMG|9RCR
47	12431 64321	1	   	273.92	DCR|3VULN|3DUR|1TLV|1DMG|1AART	16aVULN|2AART|359DUR|4DMG|7RCR|8TLV
48	25133 63353	7	   	273.73	DCR|4VULN|3DUR|2TLV	179DUR|2RMIN|3579VULN|457FEWX|579BPWR|6RCR|89TLV|aBBNT
49	53324 22211	9	   	272.67	DCR|3VULN|3DUR|1TLV|1DMG	1FEWX|235VULN|459DUR|5BPWR|6TLV|7RCR|8LIT|aDMG
50	12116 63224	5	   	272.36	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	1679VULN|25LIT|3DUR|4TLV|8RCR|aDMG
51	12143 63224	4	   	272.36	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	1679VULN|24LIT|3DUR|5TLV|8RCR|aDMG
52	22216 63224	5	   	272.36	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	1DUR|25LIT|3679VULN|4TLV|8RCR|aDMG
53	22243 63224	4	   	272.36	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	1DUR|24LIT|3679VULN|5TLV|8RCR|aDMG
54	25132 63116	7	   	272.29	DCR|4VULN|2DUR|1TLV|1DMG	17DUR|2RMIN|3579VULN|47FEWX|6RCR|7BPWR|8TLV|aDMG
55	22215 44131	7	   	272.21	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	189DUR|28LIT|36VULN|4TLV|5BELT|78DMG|8BPWR|aRCR
56	25153 14222	5	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|27RMIN|3458VULN|5BPWR|6TLV|9DMG|aRCR
57	25153 22222	5	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|26RMIN|3458VULN|5BPWR|7TLV|9DMG|aRCR
58	25153 52222	6	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2RMIN|3458VULN|5BPWR|6RCVC|7TLV|9DMG|aRCR
59	53324 22116	8	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1FEWX|2359VULN|45DUR|5BPWR|6TLV|7RCR|8CGEN|aDMG
60	53324 22323	10	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	18FEWX|2359VULN|45DUR|5BPWR|6TLV|7RCR|aDMG
61	53324 22431	7	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1FEWX|235aVULN|45DUR|5BPWR|6TLV|7RCR|8DMG|9BEXP
62	53326 22523	10	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1FEWX|2359VULN|48DUR|6TLV|7RCR|aDMG
63	25153 32116	7	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	15DUR|2RMIN|3459VULN|5BPWR|6DUST|7RCR|8TLV|aDMG
64	53324 22411	7	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1FEWX|2359VULN|45DUR|5BPWR|6TLV|7RCR|8DMG|aBBNT
65	53324 22412	7	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1FEWX|2359VULN|45DUR|5BPWR|6TLV|7RCR|8DMG|aMBVNT
66	25153 21141	9	   	270.80	DCR|3VULN|3DUR|2DMG|2LIT	158DUR|2RMIN|345VULN|58BPWR|68DMG|78LIT|9BELT|aRCR
67	25132 63113	7	   	270.57	DCR|5VULN|2DUR|1TLV	17DUR|2RMIN|3579aVULN|47FEWX|6RCR|7BPWR|8TLV
68	25142 63113	7	   	270.57	DCR|5VULN|2DUR|1TLV	17DUR|2RMIN|3579aVULN|47BEXP|6RCR|7BPWR|8TLV
69	25362 63113	7	   	270.57	DCR|5VULN|2DUR|1TLV	17DUR|2RMIN|37BEXP|4579aVULN|6RCR|7BPWR|8TLV
70	53324 22113	8	   	270.47	DCR|5VULN|2DUR|1TLV	1FEWX|2359aVULN|45DUR|5BPWR|6TLV|7RCR|8CGEN
71	53324 22153	9	   	270.47	DCR|5VULN|2DUR|1TLV	1FEWX|2359aVULN|45DUR|5BPWR|6TLV|7RCR|8CGEN
72	53324 22233	7	   	270.47	DCR|5VULN|2DUR|1TLV	1FEWX|2359aVULN|45DUR|5BPWR|6TLV|7RCR|8BEXP
73	53324 22613	8	   	270.47	DCR|5VULN|2DUR|1TLV	1FEWX|2359aVULN|45DUR|5BPWR|6TLV|7RCR|8ZMB
74	53324 42113	7	   	270.47	DCR|5VULN|2DUR|1TLV	1FEWX|2359aVULN|45DUR|5BPWR|6CGEN|7RCR|8TLV
