0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21361 64238	9	 * 	296.21	DCR|3VULN|3DUR|3ASPD|2CDMG|1TLV	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aTLV
2	21361 64231	10	   	289.62	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aAART
3	21361 64234	9	 * 	286.00	DCR|3VULN|3DUR|3ASPD|3CDMG	157ASPD|28aCDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR
4	21361 64281	10	   	286.00	DCR|3VULN|3DUR|3ASPD|3CDMG	157ASPD|289CDMG|378VULN|478DUR|6MBVNT|78BPWR|aRCR
5	21115 22611	8	 * 	283.92	DCR|3VULN|3DMG|3CDMG|1ASPD	1ASPD|29aCDMG|3BEXP|4LIT|59aDMG|6CGEN|79aVULN|8RCR|9aBPWR
6	21231 11611	8	   	283.92	DCR|3VULN|3DMG|3CDMG|1ASPD	1ASPD|29aCDMG|3CGEN|4BEXP|59aVULN|6LIT|79aDMG|8RCR|9aBPWR
7	21515 22611	8	   	283.92	DCR|3VULN|3DMG|3CDMG|1ASPD	1ASPD|29aCDMG|3LHND|4LIT|59aDMG|6CGEN|79aVULN|8RCR|9aBPWR
8	21361 13156	9	 * 	282.96	DCR|4VULN|3ASPD|2DUR|1CDMG	158ASPD|2CDMG|389aVULN|48DUR|6RPLT|7RCR|8BPWR
9	31353 23425	7	 * 	282.66	DCR|3VULN|3DMG|3DUR	1BEXP|28aDMG|3FEWX|4CGEN|58aDUR|6LHND|78aVULN|8aBPWR|9RCR
10	31351 21425	3	   	282.66	DCR|3VULN|3DMG|3DUR	1BEXP|28aDMG|3FEWX|4MLV|58aVULN|6LHND|78aDUR|8aBPWR|9RCR
11	21322 44621	6	 * 	282.64	DCR|3VULN|3DMG|3ASPD|1CDMG|1NUKE|1SELL	189ASPD|2CDMG|389VULN|4SELL|5NUKE|6RCR|789DMG|89BPWR|aLHND
12	21322 44623	6	 * 	282.64	DCR|3VULN|3DMG|3ASPD|1CDMG|1NUKE|1SELL	189ASPD|2CDMG|389VULN|4SELL|5NUKE|6RCR|789DMG|89BPWR|aFEWX
13	11251 21425	2	   	282.56	DCR|3VULN|3DMG|3DUR	1FEWX|28aDMG|3DUST|4MLV|58aVULN|6LHND|78aDUR|8aBPWR|9RCR
14	31251 21425	2	   	282.56	DCR|3VULN|3DMG|3DUR	1BEXP|28aDMG|3DUST|4MLV|58aVULN|6LHND|78aDUR|8aBPWR|9RCR
15	31321 21425	4	   	282.56	DCR|3VULN|3DMG|3DUR	1BEXP|28aDMG|3FEWX|4ERES|58aVULN|6LHND|78aDUR|8aBPWR|9RCR
16	31321 51425	4	   	282.56	DCR|3VULN|3DMG|3DUR	1BEXP|28aDMG|3FEWX|4ERES|58aVULN|6LWND|78aDUR|8aBPWR|9RCR
17	21322 44622	6	 * 	282.54	DCR|3VULN|3DMG|3ASPD|1CDMG|1NUKE|1SELL	189ASPD|2CDMG|389VULN|4SELL|5NUKE|6RCR|789DMG|89BPWR|aBBNT
18	21361 13153	10	 * 	280.38	DCR|3VULN|3ASPD|2DUR|1DMG|1CDMG	158ASPD|2CDMG|389VULN|48DUR|6RPLT|7RCR|8BPWR|aDMG
19	21361 13153	9	   	280.38	DCR|3VULN|3ASPD|2DUR|1DMG|1CDMG	158ASPD|2CDMG|389VULN|48DUR|6RPLT|7RCR|8BPWR|aDMG
20	21361 64232	10	   	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aRPLT
21	21361 64232	9	   	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aRMIN
22	21361 64233	9	   	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aCGEN
23	21361 64234	10	   	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aLHND
24	21361 64235	9	   	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aLWND
25	21361 64236	9	   	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aBELT
26	21361 64236	10	   	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aZMB
