0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66312 23143	9	 * 	281.27	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	1FEWX|269VULN|3LIT|4CDMG|59TLV|7DMG|89DUR|9BPWR|aRCR
2	23233 32213	5	 * 	280.01	DCR|3VULN|3DMG|3DUR	18aZMB|234DUR|5LIT|68aVULN|78aDMG|8aBPWR|9RCR
3	23233 62213	6	   	280.01	DCR|3VULN|3DMG|3DUR	18aZMB|234DUR|5LIT|68aVULN|78aDMG|8aBPWR|9RCR
4	36312 26143	9	   	269.42	DCR|3VULN|2TLV|2DUR|1CDMG	1DUST|269VULN|3LIT|4CDMG|59TLV|7ASPD|89DUR|9BPWR|aRCR
5	36312 51353	6	   	269.42	DCR|3VULN|2TLV|2DUR|1CDMG	1DUST|289VULN|3LIT|4CDMG|58TLV|6ASPD|78DUR|8BPWR|aRCR
6	36312 52143	9	   	269.42	DCR|3VULN|2TLV|2DUR|1CDMG	1DUST|279VULN|3LIT|4CDMG|59TLV|6ASPD|89DUR|9BPWR|aRCR
7	36133 33364	4	 * 	267.93	DCR|3VULN|2DMG|2TLV|1CDMG	1DUST|27aVULN|3BEXP|4LIT|5aTLV|6RCR|8CDMG|9aDMG|aBPWR
8	36312 21164	7	   	267.93	DCR|3VULN|2DMG|2TLV|1CDMG	1DUST|26aVULN|3LIT|4CDMG|5aTLV|7FEWX|8RCR|9aDMG|aBPWR
9	36312 22164	7	   	267.93	DCR|3VULN|2DMG|2TLV|1CDMG	1DUST|26aVULN|3LIT|4CDMG|5aTLV|7LHND|8RCR|9aDMG|aBPWR
10	43211 61353	1	 * 	265.89	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|28DMG|3TLV|49VULN|58DUST|6LIT|78DUR|8BPWR|aRCR
11	43312 36142	9	 * 	264.69	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	19CDMG|2RMIN|3DUR|49TLV|5DMG|6MLV|789VULN|9BPWR|aRCR
12	43312 26142	9	   	264.59	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	19CDMG|2RMIN|3DUR|49TLV|5DMG|6ERES|789VULN|9BPWR|aRCR
13	23241 41111	8	 * 	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	19ZMB|235DUR|4TLV|6RCR|79aVULN|89CDMG|9BPWR
14	23241 54111	8	   	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	19ZMB|235DUR|4TLV|69aVULN|7RCR|89CDMG|9BPWR
15	36312 22353	5	   	262.67	DCR|3VULN|2TLV|2ASPD|1DUR|1CDMG	1DUST|289VULN|3LIT|4CDMG|58TLV|6DUR|78ASPD|8BPWR|aRCR
16	36312 42353	6	   	262.67	DCR|3VULN|2TLV|2ASPD|1DUR|1CDMG	1DUST|289VULN|3LIT|4CDMG|58TLV|6DUR|78ASPD|8BPWR|aRCR
17	36312 31353	5	   	261.11	DCR|3VULN|2TLV|2DUR|1CDMG	1DUST|289VULN|3LIT|4CDMG|58TLV|6ZMB|78DUR|8BPWR|aRCR
18	36341 22353	4	   	260.91	DCR|3VULN|1TLV|2CDMG|2ASPD|1DUR	1DUST|289VULN|3LIT|4TLV|58CDMG|6DUR|78ASPD|8BPWR|aRCR
19	21313 12356	7	 * 	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1ZMB|2CDMG|3DUR|4TLV|579aVULN|6LIT|8RCR
20	36341 31353	4	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	1DUST|289VULN|3LIT|4TLV|58CDMG|6ZMB|78DUR|8BPWR|aRCR
21	44622 21133	9	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2LIT|368VULN|4DUR|5TLV|7FEWX|9DMG|aRCR
22	66312 23153	8	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|269VULN|3LIT|4CDMG|5TLV|7DMG|8DUR|aRCR
23	36312 46133	9	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|278VULN|3LIT|4CDMG|5TLV|6DUR|9DMG|aRCR
24	21253 36531	2	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ZMB|2CDMG|3TLV|49DMG|5aDUR|68VULN|7RCR
25	21312 36531	5	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ZMB|2CDMG|3aDUR|4TLV|59DMG|68VULN|7RCR
26	21313 46531	5	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ZMB|2CDMG|3aDUR|4TLV|58VULN|69DMG|7RCR
