0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43121 34161	9	 * 	291.78	DCR|4VULN|3DMG|3ASPD	17aASPD|2MBVNT|37aDMG|4CGEN|5ERES|678aVULN|7aBPWR|9RCR
2	11124 32574	5	 * 	283.16	DCR|3VULN|3DUR|2DMG|1TLV	178CGEN|278DUR|3aDMG|4TLV|578VULN|6MBVNT|78BPWR|9RCR
3	12125 32574	5	   	283.16	DCR|3VULN|3DUR|2DMG|1TLV	178CGEN|278VULN|3aDMG|4TLV|578DUR|6MBVNT|78BPWR|9RCR
4	42152 14121	6	   	281.46	DCR|4VULN|2DMG|2ASPD|2LIT	19ASPD|2456VULN|39DMG|7RCR|89LIT|9BPWR|aBEXP
5	42152 14122	6	   	281.46	DCR|4VULN|2DMG|2ASPD|2LIT	19ASPD|2456VULN|39DMG|7RCR|89LIT|9BPWR|aFEWX
6	42152 14123	6	   	281.46	DCR|4VULN|2DMG|2ASPD|2LIT	19ASPD|2456VULN|39DMG|7RCR|89LIT|9BPWR|aRMIN
7	42152 21132	5	 * 	281.36	DCR|3VULN|2DMG|2ASPD|2CDMG|2AART	1aASPD|245VULN|3aDMG|69AART|7RCR|8aCDMG|aBPWR
8	42152 21222	5	   	281.36	DCR|3VULN|2DMG|2ASPD|2CDMG|2AART	1aASPD|245VULN|3aDMG|68AART|7RCR|9aCDMG|aBPWR
9	42153 61133	6	   	279.50	DCR|4VULN|2DMG|1CDMG|1ASPD|1AART	1ASPD|246aVULN|36DMG|5DLOT|6BPWR|7RCR|8CDMG|9AART
10	42236 22412	5	   	278.72	DCR|4VULN|2ASPD|1DMG|1TLV|1CDMG	13ASPD|2678VULN|4CDMG|5DMG|9TLV|aRCR
11	42162 22314	5	   	276.81	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1ASPD|2567VULN|3DMG|4CDMG|8RCR|9TLV|aLIT
12	11224 32574	5	   	276.58	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	178CGEN|278DUR|3ASPD|4TLV|578VULN|6MBVNT|78BPWR|9RCR|aDMG
13	12225 32574	5	   	276.58	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	178CGEN|278VULN|3ASPD|4TLV|578DUR|6MBVNT|78BPWR|9RCR|aDMG
14	52162 23412	5	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1ZMB|2568VULN|37DMG|4CDMG|9TLV|aRCR
