0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52412 24233	2	 * 	285.30	DCR|4VULN|3DUR|2DMG	17LHND|2479VULN|348DUR|47BPWR|5ASPD|67DMG|aRCR
2	13661 33262	1	 * 	279.75	DCR|3VULN|2DMG|2TLV|2AART|1DUR	19TLV|279VULN|3DUR|4aAART|5BEXP|69DMG|8RCR|9BPWR
3	13316 14262	2	 * 	277.97	DCR|3VULN|3DMG|3TLV|1DUR	189TLV|2DUR|3BBNT|489VULN|5RPLT|689DMG|7RCVC|89BPWR|aRCR
4	13133 46116	9	 * 	275.10	DCR|2VULN|3DUR|2DMG|2TLV|1AART	1aTLV|245DUR|3LHND|6AART|7aVULN|8aDMG|9RCR|aBPWR
5	13453 21211	3	 * 	274.39	ACR|4VULN|2DMG|2TLV|1DUR|1CDMG|1AART	19TLV|2DUR|3RCR|4579VULN|69DMG|8AART|9BPWR|aCDMG
6	14653 21211	1	   	274.39	ACR|4VULN|2DMG|2TLV|1DUR|1CDMG|1AART	19TLV|2RCR|3DUR|4579VULN|69DMG|8AART|9BPWR|aCDMG
7	11212 61366	1	 * 	273.47	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	1TLV|24aDMG|3BEXP|5ASPD|6aVULN|7RCR|8DUR|9aCDMG|aBPWR
8	11312 61366	1	   	273.47	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	1TLV|24aDMG|3LHND|5ASPD|6aVULN|7RCR|8DUR|9aCDMG|aBPWR
9	11151 53512	1	 * 	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	1TLV|2DMG|3459aVULN|6CDMG|7ZMB|8RCR
10	12113 61366	3	 * 	272.77	DCR|3VULN|1TLV|1DMG|2CDMG|2ASPD|1DUR	1TLV|2aASPD|3LWND|4DMG|56aVULN|7RCR|8DUR|9aCDMG|aBPWR
11	12113 61366	4	   	272.77	DCR|3VULN|1TLV|1DMG|2CDMG|2ASPD|1DUR	1TLV|2aASPD|3LWND|4DMG|56aVULN|7RCR|8DUR|9aCDMG|aBPWR
12	11111 53512	1	 * 	272.49	DCR|4VULN|2DMG|1TLV|1CDMG	1TLV|24DMG|359aVULN|6CDMG|7ZMB|8RCR
13	11151 52513	1	   	272.39	DCR|4VULN|2DMG|1TLV|1CDMG	1TLV|2aDMG|3459VULN|6CDMG|7ERES|8RCR
14	13232 36266	1	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	19TLV|279VULN|3AART|4BEXP|5FEWX|69DMG|8RCR|9BPWR|aDUR
15	13561 33262	1	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	19TLV|279VULN|3LHND|4AART|5BEXP|69DMG|8RCR|9BPWR|aDUR
16	15122 33262	4	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	19TLV|279VULN|3LHND|4BEXP|5AART|69DMG|8RCR|9BPWR|aDUR
17	15161 33262	3	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	19TLV|279VULN|3LHND|4AART|5BEXP|69DMG|8RCR|9BPWR|aDUR
18	15512 33262	5	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	19TLV|279VULN|3AART|4BEXP|5LWND|69DMG|8RCR|9BPWR|aDUR
19	15612 33262	4	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	19TLV|279VULN|3BEXP|4LWND|5AART|69DMG|8RCR|9BPWR|aDUR
20	15622 33262	3	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	19TLV|279VULN|3BEXP|4LHND|5AART|69DMG|8RCR|9BPWR|aDUR
21	11151 62221	1	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18TLV|28DMG|345VULN|6DUR|78CGEN|8BPWR|9AART|aRCR
22	13661 33216	1	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1aTLV|27aVULN|3DUR|4AART|5BEXP|6aDMG|8RCR|9RMIN|aBPWR
23	13661 33261	1	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	19TLV|279VULN|3DUR|4AART|5BEXP|69DMG|8RCR|9BPWR|aFEWX
24	13661 33263	1	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	19TLV|279VULN|3DUR|4AART|5BEXP|69DMG|8RCR|9BPWR|aRPLT
25	13663 33216	1	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1aTLV|27aVULN|3DUR|4AART|5FEWX|6aDMG|8RCR|9RMIN|aBPWR
26	13233 36266	1	   	271.88	DCR|3VULN|2DMG|2TLV|1DUR|1AART	19TLV|279VULN|3AART|4BEXP|5DUST|69DMG|8RCR|9BPWR|aDUR
27	15542 12211	8	 * 	270.34	DCR|3VULN|2TLV|2DUR|2AART|1CDMG	19TLV|249VULN|37AART|5RMIN|6RCR|89DUR|9BPWR|aCDMG
28	11232 25363	1	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	1TLV|29DMG|3BEXP|4DUR|59ASPD|6ERES|7RCR|89aVULN|9BPWR
29	13453 21213	3	   	269.04	ACR|4VULN|2DMG|2TLV|1DUR|1AART	19TLV|2DUR|3RCR|4579VULN|69DMG|8AART|9BPWR|aLIT
30	14653 21213	1	   	269.04	ACR|4VULN|2DMG|2TLV|1DUR|1AART	19TLV|2RCR|3DUR|4579VULN|69DMG|8AART|9BPWR|aLIT
31	11132 61366	1	   	268.36	DCR|2VULN|2DMG|2TLV|2DUR|2ASPD	1aTLV|2aDMG|36VULN|48DUR|5aASPD|7RCR|9RPLT|aBPWR
32	11132 64236	1	   	268.36	DCR|2VULN|2DMG|2TLV|2DUR|2ASPD	1aTLV|2aDMG|36VULN|49DUR|5aASPD|7RPLT|8RCR|aBPWR
33	13453 23211	3	 * 	267.92	ACR|3VULN|2DMG|2TLV|2DUR|1CDMG|1AART	19TLV|27DUR|3RCR|459VULN|69DMG|8AART|9BPWR|aCDMG
34	14653 23211	1	   	267.92	ACR|3VULN|2DMG|2TLV|2DUR|1CDMG|1AART	19TLV|2RCR|37DUR|459VULN|69DMG|8AART|9BPWR|aCDMG
35	15433 21211	4	   	267.92	ACR|3VULN|2DMG|2TLV|2DUR|1CDMG|1AART	19TLV|257VULN|3RCR|49DUR|69DMG|8AART|9BPWR|aCDMG
36	13316 61522	4	 * 	267.52	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|27DUR|3LEGI|4LWND|5LIT|679VULN|7BPWR|8DMG|aRCR
37	13326 61522	3	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|27DUR|3LEGI|4LHND|5LIT|679VULN|7BPWR|8DMG|aRCR
38	13351 61522	4	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|27DUR|3LEGI|4LIT|5LWND|679VULN|7BPWR|8DMG|aRCR
39	13352 61522	4	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|27DUR|3LEGI|4LIT|5LHND|679VULN|7BPWR|8DMG|aRCR
40	52412 21233	2	   	267.52	DCR|4VULN|3DUR|1DMG	1LHND|2479VULN|348DUR|4BPWR|5ASPD|6DMG|aRCR
41	11151 62421	1	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1TLV|2DMG|3458VULN|6DUR|7CGEN|9AART|aRCR
42	11111 52513	1	   	266.99	DCR|3VULN|3DMG|1TLV|1CDMG	1TLV|24aDMG|359VULN|6CDMG|7ERES|8RCR
43	12115 31366	6	   	265.66	DCR|2VULN|2DMG|1TLV|2CDMG|2ASPD|1DUR	1TLV|2aASPD|3LWND|45DMG|6aVULN|7RCR|8DUR|9aCDMG|aBPWR
44	12313 31366	6	   	265.56	DCR|2VULN|2DMG|1TLV|2CDMG|2ASPD|1DUR	1TLV|2aASPD|3DUST|45DMG|6aVULN|7RCR|8DUR|9aCDMG|aBPWR
45	12313 61366	5	   	265.56	DCR|2VULN|2DMG|1TLV|2CDMG|2ASPD|1DUR	1TLV|2aASPD|3DUST|45DMG|6aVULN|7RCR|8DUR|9aCDMG|aBPWR
46	11131 51312	1	   	265.44	DCR|2VULN|3DUR|2DMG|2TLV	19TLV|2aDMG|39VULN|458DUR|69ZMB|7RCR|9BPWR
47	13651 51312	2	   	265.44	DCR|2VULN|3DUR|2DMG|2TLV	19TLV|238DUR|4aDMG|59VULN|69ZMB|7RCR|9BPWR
48	15542 12213	8	   	264.99	DCR|3VULN|2TLV|2DUR|2AART	19TLV|249VULN|37AART|5RMIN|6RCR|89DUR|9BPWR|aLIT
49	11313 61366	2	   	264.92	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|2aLWND|3ASPD|4DMG|56aVULN|7RCR|8DUR|9aCDMG|aBPWR
50	12313 61366	1	   	264.92	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|2aLWND|3ASPD|4DMG|56aVULN|7RCR|8DUR|9aCDMG|aBPWR
51	13311 61366	1	   	264.92	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|26aVULN|3ASPD|4DMG|5aLWND|7RCR|8DUR|9aCDMG|aBPWR
52	13312 61366	1	   	264.92	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|26aVULN|3ASPD|4DMG|5aLHND|7RCR|8DUR|9aCDMG|aBPWR
53	13313 61366	1	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|26aVULN|3ASPD|4DMG|5aDUST|7RCR|8DUR|9aCDMG|aBPWR
54	11154 63231	1	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|2DMG|349VULN|578DUR|6LWND|aRCR
55	11131 61231	1	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|2DMG|379VULN|458DUR|6LWND|aRCR
56	13651 61231	2	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|238DUR|4DMG|579VULN|6LWND|aRCR
57	13232 36265	1	   	264.04	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5FEWX|69DMG|8RCR|9BPWR|aASPD
58	15122 33265	4	   	264.04	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3LHND|4BEXP|5AART|69DMG|8RCR|9BPWR|aASPD
59	34152 36231	2	   	264.04	DCR|3VULN|2DMG|2TLV|1AART	1RMIN|2aDMG|34aVULN|5LIT|6RCR|7AART|8CGEN|9aTLV|aBPWR
60	13233 36265	1	   	263.94	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5DUST|69DMG|8RCR|9BPWR|aASPD
61	42622 33262	2	   	263.90	DCR|3VULN|2DMG|1TLV|1DUR|1AART	19BEXP|279VULN|3TLV|4LHND|5AART|69DMG|8RCR|9BPWR|aDUR
62	11111 62421	1	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|24DMG|358VULN|6DUR|7CGEN|9AART|aRCR
63	13351 62221	1	 * 	263.69	DCR|4VULN|2TLV|1DUR|1AART	18TLV|2458VULN|3ASPD|6DUR|78CGEN|8BPWR|9AART|aRCR
64	15351 62221	2	   	263.69	DCR|4VULN|2TLV|1DUR|1AART	18TLV|2458VULN|3ASPD|6DUR|78CGEN|8BPWR|9AART|aRCR
65	35265 33123	10	 * 	263.65	DCR|3VULN|3DMG|2CDMG|1DUR	1RMIN|2RCVC|358DMG|489VULN|68CDMG|7RCR|8BPWR|aDUR
66	13233 36262	1	   	263.40	DCR|3VULN|2DMG|2TLV|2AART	19TLV|279VULN|3aAART|4BEXP|5DUST|69DMG|8RCR|9BPWR
67	15233 36262	2	   	263.40	DCR|3VULN|2DMG|2TLV|2AART	19TLV|279VULN|3aAART|4BEXP|5DUST|69DMG|8RCR|9BPWR
68	12151 52513	2	   	263.11	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|2ASPD|3459VULN|6CDMG|7ERES|8RCR|aDMG
69	13351 52513	1	   	263.11	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|2459VULN|3ASPD|6CDMG|7ERES|8RCR|aDMG
70	13453 23213	3	   	262.58	ACR|3VULN|2DMG|2TLV|2DUR|1AART	19TLV|27DUR|3RCR|459VULN|69DMG|8AART|9BPWR|aLIT
71	14653 23213	1	   	262.58	ACR|3VULN|2DMG|2TLV|2DUR|1AART	19TLV|2RCR|37DUR|459VULN|69DMG|8AART|9BPWR|aLIT
72	15433 21213	4	   	262.58	ACR|3VULN|2DMG|2TLV|2DUR|1AART	19TLV|257VULN|3RCR|49DUR|69DMG|8AART|9BPWR|aLIT
73	16313 35363	6	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|29ERES|3DUST|4ASPD|59DMG|6DUR|7RCR|89aVULN|9BPWR
74	15313 22443	9	   	262.22	DCR|3VULN|2DMG|3TLV|1DUR	148TLV|28aVULN|35DMSP|6RCR|78DMG|8BPWR|9DUR
75	15313 22453	8	   	262.22	DCR|3VULN|2DMG|3TLV|1DUR	148TLV|28aVULN|35DMSP|6RCR|78DMG|8BPWR|9DUR
76	13352 35216	3	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	1aTLV|27DUR|3LEGI|4aVULN|5AART|6aDMG|8RCR|9RMIN|aBPWR
77	12151 53512	2	   	261.49	DCR|5VULN|1TLV|1CDMG	1TLV|2ASPD|3459aVULN|6CDMG|7ZMB|8RCR
78	13351 53512	1	   	261.49	DCR|5VULN|1TLV|1CDMG	1TLV|2459aVULN|3ASPD|6CDMG|7ZMB|8RCR
79	13453 21214	3	   	260.74	ACR|4VULN|2DMG|2TLV|1DUR|1AART	19TLV|2DUR|3RCR|4579VULN|69DMG|8AART|9BPWR|aFEWX
80	13453 21216	3	   	260.74	ACR|4VULN|2DMG|2TLV|1DUR|1AART	19TLV|2DUR|3RCR|4579VULN|69DMG|8AART|9BPWR|aCGEN
81	13316 61353	4	 * 	260.69	DCR|3VULN|3DUR|2TLV	17TLV|27aDUR|3LEGI|4LWND|5LIT|678VULN|7BPWR|9RCR
82	13351 61353	4	   	260.69	DCR|3VULN|3DUR|2TLV	17TLV|27aDUR|3LEGI|4LIT|5LWND|678VULN|7BPWR|9RCR
83	13453 21212	3	   	260.64	ACR|4VULN|2DMG|2TLV|1DUR|1AART	19TLV|2DUR|3RCR|4579VULN|69DMG|8AART|9BPWR|aERES
84	13453 21215	3	   	260.64	ACR|4VULN|2DMG|2TLV|1DUR|1AART	19TLV|2DUR|3RCR|4579VULN|69DMG|8AART|9BPWR|aTBNT
85	14653 21212	1	   	260.64	ACR|4VULN|2DMG|2TLV|1DUR|1AART	19TLV|2RCR|3DUR|4579VULN|69DMG|8AART|9BPWR|aERES
86	42531 11371	6	 * 	260.43	DCR|4VULN|2DUR|1TLV	17BEXP|2789VULN|3LIT|4TLV|5MBVNT|67DUR|7BPWR|aRCR
87	42531 31371	5	   	260.43	DCR|4VULN|2DUR|1TLV	17BEXP|2789VULN|3LIT|4TLV|5MBVNT|67DUR|7BPWR|aRCR
88	13351 71371	5	   	260.37	DCR|4VULN|2TLV|1DUR|2LIT	17TLV|2DUR|3LEGI|47LIT|5MBVNT|6789VULN|7BPWR|aRCR
89	15313 23662	10	 * 	260.20	DCR|4VULN|3TLV|2DUR	148TLV|289aVULN|35DMSP|6RCR|78DUR|8BPWR
90	11111 53515	1	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|24DMG|359VULN|6CDMG|7ZMB|8RCR|aASPD
91	11111 56362	1	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|24DMG|35aVULN|6CDMG|7RCVC|8RCR|9ASPD
92	11151 53522	1	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|2aDMG|345VULN|6CDMG|7ZMB|8RCR|9LIT
93	11111 52515	1	   	259.65	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|24DMG|359VULN|6CDMG|7ERES|8RCR|aASPD
94	11151 52522	1	   	259.65	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|2aDMG|345VULN|6CDMG|7ERES|8RCR|9LIT
95	14433 51211	1	 * 	259.63	ACR|4VULN|2TLV|2DUR|1CDMG|1AART	19TLV|2RCR|3ASPD|49DUR|5679VULN|8AART|9BPWR|aCDMG
96	11111 53542	1	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	19TLV|24DMG|35aVULN|6CDMG|7ZMB|8RCR
97	13413 25363	2	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|29DUR|3ASPD|4DMG|59DUST|6ERES|7RCR|89aVULN|9BPWR
98	52414 21231	2	   	259.21	DCR|4VULN|3DUR|1DMG	1LHND|2479VULN|348DUR|4BPWR|5RMIN|6DMG|aRCR
99	11154 51322	1	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2DMG|349VULN|58DUR|6ZMB|7RCR
100	52412 24333	2	   	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	17LHND|247VULN|34DUR|47BPWR|59ASPD|67DMG|8LEGI|aRCR
101	11132 64213	1	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2DMG|36aVULN|4DUR|5ASPD|7RPLT|8RCR|9CDMG
102	11151 53621	1	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2DMG|345VULN|6CDMG|7ZMB|8DUR|9LIT|aRCR
103	11151 54121	1	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2DMG|345VULN|6CDMG|7DUR|8CGEN|9LIT|aRCR
104	12163 23633	2	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2ASPD|39aVULN|4RPLT|5CDMG|6DMG|7DUR|8RCR
105	13363 23633	1	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|29aVULN|3ASPD|4RPLT|5CDMG|6DMG|7DUR|8RCR
106	15363 23633	2	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|29aVULN|3ASPD|4RPLT|5CDMG|6DMG|7DUR|8RCR
107	11151 52621	1	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2DMG|345VULN|6CDMG|7ERES|8DUR|9LIT|aRCR
108	11151 54221	1	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2DMG|345VULN|6CDMG|7DUR|8ERES|9LIT|aRCR
109	16221 11361	3	   	258.08	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	14TLV|2ERES|3CDMG|57aVULN|6DUR|8RCR|9DMG
110	16222 21361	3	   	258.08	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	14TLV|2ERES|3CDMG|5DUR|67aVULN|8RCR|9DMG
111	13426 11223	5	 * 	257.94	ACR|3VULN|3DUR|2DMG|3TLV	168TLV|28aDUR|3RCR|4BEXP|5aDMG|78aVULN|8aBPWR|9RMIN
112	13213 25234	1	 * 	257.91	DCR|3VULN|3TLV|3ASPD|1DUR|1AART	147TLV|247VULN|3AART|47BPWR|579ASPD|6RCVC|8RCR|aDUR
113	15213 25234	2	   	257.91	DCR|3VULN|3TLV|3ASPD|1DUR|1AART	147TLV|247VULN|3AART|47BPWR|579ASPD|6RCVC|8RCR|aDUR
