0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23713 43553	9	 * 	296.05	DCR|2VULN|3DMG|3DUR|3TLV|2LIT	1MBVNT|249DUR|349DMG|49aBPWR|5aVULN|6RCR|7aLIT|89aTLV
2	23713 78332	9	 * 	290.13	DCR|3VULN|3DUR|2DMG|2TLV	1MBVNT|248DUR|34DMG|48BPWR|568VULN|78TLV|9FEWX|aRCR
3	23713 78232	7	   	290.03	DCR|3VULN|3DUR|2DMG|2TLV	1MBVNT|248DUR|34DMG|48BPWR|568VULN|78TLV|9LEGI|aRCR
4	23713 78332	8	   	290.03	DCR|3VULN|3DUR|2DMG|2TLV	1MBVNT|248DUR|34DMG|48BPWR|568VULN|78TLV|9LEGI|aRCR
5	23713 43552	9	   	289.40	DCR|2VULN|3DMG|3DUR|2TLV	1MBVNT|249DUR|349DMG|49BPWR|5aVULN|6RCR|7LIT|89TLV
6	23713 43554	10	   	289.40	DCR|2VULN|3DMG|3DUR|2TLV	1MBVNT|249DUR|349DMG|49BPWR|5aVULN|6RCR|7LIT|89TLV
7	23112 15853	9	 * 	281.26	DCR|3VULN|3DMG|3DUR	1MBVNT|27aDUR|37aVULN|4LWND|5BEXP|67aDMG|7aBPWR|8RCR|9AART
8	23132 15853	9	   	281.26	DCR|3VULN|3DMG|3DUR	1MBVNT|27aDUR|37aVULN|4LHND|5BEXP|67aDMG|7aBPWR|8RCR|9AART
9	23713 43542	10	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|24DUR|34DMG|4BPWR|59aVULN|6RCR|7LIT|8TLV
10	23713 41727	10	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	1MBVNT|24aDUR|34DMG|4aBPWR|5aVULN|6RCR|7ASPD|8MLV|9aTLV
11	23713 41227	10	   	273.64	DCR|2VULN|3DUR|2DMG|2TLV	1MBVNT|24aDUR|34DMG|4aBPWR|5aVULN|6RCR|7ASPD|8ERES|9aTLV
12	23713 75232	7	   	271.90	DCR|3VULN|3DUR|2DMG|2ASPD	1MBVNT|248DUR|34DMG|48BPWR|568VULN|78ASPD|9DUST|aRCR
13	23713 74813	9	   	271.73	DCR|3VULN|3DMG|2DUR|1CDMG	1MBVNT|24DUR|349DMG|4BPWR|56aVULN|7CDMG|8RCR
14	23713 44153	8	   	270.81	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1MBVNT|247DUR|34DMG|4BPWR|58VULN|6RCR|9TLV|aCDMG
15	23713 44153	9	   	270.81	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1MBVNT|247DUR|34DMG|4BPWR|58VULN|6RCR|9TLV|aCDMG
16	23713 44743	7	   	270.81	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1MBVNT|247DUR|34DMG|4BPWR|59VULN|6RCR|8TLV|aCDMG
17	23713 77131	6	   	270.70	DCR|3VULN|3DUR|2DMG|2LIT	1MBVNT|24aDUR|34DMG|4aBPWR|56aVULN|7RCR|8aLIT|9RCVC
18	23318 43551	10	   	269.71	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	1MBVNT|239DUR|49VULN|5DMG|6RCR|7LIT|89TLV|9BPWR|aCDMG
19	23713 43551	10	   	269.20	DCR|3DMG|3DUR|1VULN|2TLV	1MBVNT|249DUR|349DMG|49BPWR|5VULN|6RCR|7LIT|89TLV|aAART
20	23163 46644	7	 * 	269.00	DCR|3VULN|2DUR|1TLV|2CDMG	1MBVNT|27DUR|378VULN|4TLV|5LIT|67CDMG|7BPWR|9RCR|aAART
21	23163 46246	9	   	269.00	DCR|3VULN|2DUR|1TLV|2CDMG	1MBVNT|27DUR|37aVULN|4TLV|5LIT|67CDMG|7BPWR|8AART|9RCR
22	23112 15811	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|27DUR|379VULN|4LWND|5BEXP|67DMG|7BPWR|8RCR|aTLV
23	23117 15611	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|27DUR|379VULN|4LWND|5FEWX|67DMG|7BPWR|8RCR|aTLV
24	23132 15811	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|27DUR|379VULN|4LHND|5BEXP|67DMG|7BPWR|8RCR|aTLV
25	23135 15311	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|27DUR|378VULN|4LHND|5LWND|67DMG|7BPWR|9RCR|aTLV
26	23135 15327	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|27DUR|378VULN|4LHND|5LWND|67DMG|7BPWR|9TLV|aRCR
27	23135 15811	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|27DUR|379VULN|4LHND|5LWND|67DMG|7BPWR|8RCR|aTLV
28	23135 15841	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|27DUR|379VULN|4LHND|5LWND|67DMG|7BPWR|8RCR|aTLV
29	23742 55311	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|27DUR|37DMG|4LWND|5LHND|678VULN|7BPWR|9RCR|aTLV
30	33613 63133	9	   	268.04	DCR|3VULN|3DMG|2DUR	1aDUR|24aLWND|349DMG|4aBPWR|56aVULN|7AART|8RCR
31	23713 43547	10	   	267.89	DCR|2VULN|3DMG|2DUR|1TLV	1MBVNT|24DUR|34aDMG|4BPWR|59VULN|6RCR|7LIT|8TLV
32	23713 41643	7	   	267.89	DCR|2VULN|3DMG|2DUR|1TLV	1MBVNT|24DUR|348DMG|4BPWR|59VULN|6RCR|7ASPD|aTLV
33	23713 41643	6	   	267.89	DCR|2VULN|3DMG|2DUR|1TLV	1MBVNT|24DUR|348DMG|4BPWR|59VULN|6RCR|7ASPD|aTLV
34	23713 43551	9	   	267.85	DCR|3DMG|3DUR|1VULN|2TLV	1MBVNT|249DUR|349DMG|49BPWR|5VULN|6RCR|7LIT|89TLV|aASPD
35	23163 46643	7	 * 	267.42	DCR|3VULN|2TLV|2DUR|2CDMG	1MBVNT|27DUR|378VULN|4aTLV|5LIT|67CDMG|7BPWR|9RCR
36	23712 64621	8	   	266.82	DCR|2VULN|3DUR|2DMG|1TLV	1MBVNT|245DUR|34DMG|4BPWR|6AART|7TLV|8aVULN|9RCR
37	23713 42753	9	 * 	266.67	DCR|2VULN|3DMG|3DUR|3LIT	1MBVNT|249DUR|349DMG|49aBPWR|5aVULN|6RCR|7aERES|89aLIT
38	23713 41647	7	   	266.38	DCR|3VULN|3DMG|2DUR	1MBVNT|24DUR|348DMG|4BPWR|59aVULN|6RCR|7ASPD
39	23713 41647	6	   	266.38	DCR|3VULN|3DMG|2DUR	1MBVNT|24DUR|348DMG|4BPWR|59aVULN|6RCR|7ASPD
