0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33314 53621	9	 * 	281.76	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	1TLV|29DUR|3LIT|4MLV|59ASPD|6DMG|7RCR|89aVULN|9BPWR
2	33542 52223	1	 * 	278.90	DCR|4VULN|2DMG|2TLV|1CDMG	17TLV|27DMG|3MLV|4BBNT|5CDMG|678aVULN|7BPWR|9RCR
3	33314 53622	9	   	268.51	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1TLV|29DUR|3LIT|4MLV|59ASPD|6DMG|7RCR|89VULN|9BPWR|aCDMG
4	33314 53623	10	 * 	264.38	DCR|2VULN|3ASPD|2DUR|1DMG|1TLV	1TLV|29DUR|3LIT|4MLV|59aASPD|6DMG|7RCR|89VULN|9BPWR
5	33314 33621	9	   	261.70	DCR|3VULN|2DUR|2ASPD|1TLV	1TLV|29DUR|3LIT|4MLV|59ASPD|6ZMB|7RCR|89aVULN|9BPWR
6	12562 12261	7	   	261.34	DCR|4VULN|2DMG|1DUR	1ZMB|2ERES|3457VULN|69DMG|8RCR|aDUR
7	23512 52223	1	   	258.94	DCR|4VULN|2DMG|1CDMG	17CGEN|27DMG|3MLV|4BBNT|5CDMG|678aVULN|7BPWR|9RCR
8	12516 16311	10	   	258.74	DCR|4VULN|2DMG|1CDMG	1ZMB|2ERES|389aVULN|4CDMG|57DMG|6RCR
9	12516 16313	9	   	258.74	DCR|4VULN|2DMG|1CDMG	1ZMB|2ERES|389aVULN|4CDMG|57DMG|6RCR
10	63523 62332	8	 * 	257.46	DCR|3VULN|3DUR|2LIT|1CDMG	129DUST|359VULN|45LIT|59BPWR|6CDMG|789DUR|aRCR
11	32516 25321	5	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2ERES|368aVULN|4CDMG|5DMG|7RCR|9ZMB
12	32516 25331	5	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2ERES|368aVULN|4CDMG|5DMG|7RCR|9MLV
13	32516 25313	5	   	257.30	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2ERES|368aVULN|4CDMG|5DMG|7RCR|9TBNT
14	13132 11524	2	 * 	257.18	DCR|2VULN|3DUR|2ASPD|1DMG|1CDMG	1ZMB|269DUR|3LHND|4DMG|59VULN|7CDMG|89ASPD|9BPWR|aRCR
15	13632 11524	3	   	257.18	DCR|2VULN|3DUR|2ASPD|1DMG|1CDMG	1ZMB|269DUR|3LHND|4DMG|59VULN|7CDMG|89ASPD|9BPWR|aRCR
16	15132 11524	1	   	257.18	DCR|2VULN|3DUR|2ASPD|1DMG|1CDMG	1ZMB|269DUR|3LHND|4DMG|59VULN|7CDMG|89ASPD|9BPWR|aRCR
17	33542 52221	1	   	256.26	DCR|3VULN|2DMG|2TLV|1CDMG	17TLV|27DMG|3MLV|4BBNT|5CDMG|678VULN|7BPWR|9RCR|aLWND
18	33542 52222	1	   	256.26	DCR|3VULN|2DMG|2TLV|1CDMG	17TLV|27DMG|3MLV|4BBNT|5CDMG|678VULN|7BPWR|9RCR|aBELT
19	33542 52323	1	   	256.26	DCR|3VULN|2DMG|2TLV|1CDMG	17TLV|27DMG|38MLV|4BBNT|5CDMG|67aVULN|7BPWR|9RCR
20	13132 63263	2	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1ZMB|2DUR|3LHND|49DMG|56aVULN|7TLV|8RCR
21	13632 63263	3	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1ZMB|2DUR|3LHND|49DMG|56aVULN|7TLV|8RCR
22	15132 63263	1	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1ZMB|2DUR|3LHND|49DMG|56aVULN|7TLV|8RCR
23	33314 33626	9	   	254.86	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	1TLV|29DUR|3LIT|4MLV|59ASPD|6ZMB|7RCR|89VULN|9BPWR|aDMG
24	33314 53621	10	   	254.86	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	1TLV|29DUR|3LIT|4MLV|59ASPD|6DMG|7RCR|89VULN|9BPWR|aRPLT
25	33314 53622	10	   	254.86	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	1TLV|29DUR|3LIT|4MLV|59ASPD|6DMG|7RCR|89VULN|9BPWR|aFEWX
26	33314 53623	9	   	254.86	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV	1TLV|29DUR|3LIT|4MLV|59ASPD|6DMG|7RCR|89VULN|9BPWR|aLWND
27	32511 21212	4	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2ERES|3578VULN|4CDMG|6DUR|9LWND|aRCR
28	32511 21252	4	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2ERES|3578VULN|4CDMG|6DUR|9FEWX|aRCR
29	32512 31312	9	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2ERES|3678VULN|4CDMG|5LWND|9DUR|aRCR
30	33344 62212	3	   	252.32	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	1TLV|2DUR|35LIT|46aVULN|7CGEN|8RCR|9DMG
31	13132 63223	2	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1ZMB|29DUR|3LHND|4DMG|56aVULN|7TLV|8RCR
32	13632 63223	3	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1ZMB|29DUR|3LHND|4DMG|56aVULN|7TLV|8RCR
33	15132 63223	1	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1ZMB|29DUR|3LHND|4DMG|56aVULN|7TLV|8RCR
34	33511 35153	1	 * 	252.02	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	17TLV|27DMG|3MLV|4aVULN|57CDMG|6BELT|7BPWR|8RCR|9DUR
