0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12344 43112	1	 * 	273.64	DCR|2VULN|3DUR|2DMG|2TLV	16TLV|248DUR|34DMG|4BPWR|5LIT|7RCR|9aVULN
2	16314 11532	1	 * 	267.57	DCR|5VULN|2TLV|3LIT	16TLV|245LIT|3459aVULN|45BPWR|7ERES|8RCR
3	11343 51131	10	 * 	265.78	DCR|4VULN|2TLV|1DMG|1DUR	1aTLV|2LHND|3aFEWX|4DMG|5DUR|6RCR|789aVULN|aBPWR
4	13443 51131	10	   	265.78	DCR|4VULN|2TLV|1DMG|1DUR	1aTLV|2FEWX|3aLWND|4DMG|5DUR|6RCR|789aVULN|aBPWR
5	15343 51131	10	   	265.78	DCR|4VULN|2TLV|1DMG|1DUR	1aTLV|2LWND|3aFEWX|4DMG|5DUR|6RCR|789aVULN|aBPWR
6	13543 51131	10	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1aTLV|2aFEWX|3LEGI|4DMG|5DUR|6RCR|789aVULN|aBPWR
7	11143 51131	10	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1aTLV|2LHND|3aDUST|4DMG|5DUR|6RCR|789aVULN|aBPWR
8	13143 51131	10	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1aTLV|2FEWX|3aDUST|4DMG|5DUR|6RCR|789aVULN|aBPWR
9	15143 51131	10	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1aTLV|2LWND|3aDUST|4DMG|5DUR|6RCR|789aVULN|aBPWR
10	13233 51131	10	   	261.87	DCR|4VULN|2TLV|2ASPD|1DUR	1aTLV|2FEWX|3aASPD|4LWND|5DUR|6RCR|789aVULN|aBPWR
11	12462 61232	1	 * 	260.54	DCR|3VULN|3DUR|2TLV|1SELL	1aTLV|24aDUR|3LIT|5FEWX|67aVULN|8RCR|9SELL|aBPWR
12	13442 53131	10	 * 	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2FEWX|3aLWND|4DMG|589VULN|6RCR|7aDUR|aBPWR
13	15342 53131	10	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2LWND|3aFEWX|4DMG|589VULN|6RCR|7aDUR|aBPWR
14	13542 53131	10	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2aFEWX|3LEGI|4DMG|589VULN|6RCR|7aDUR|aBPWR
15	11143 51161	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2LHND|3aDUST|4DMG|59DUR|6RCR|78aVULN|aBPWR
16	13142 51531	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2FEWX|3aDUST|4DMG|579VULN|6RCR|8aDUR|aBPWR
17	13142 55131	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2FEWX|3aDUST|4DMG|589VULN|6RCR|7aDUR|aBPWR
18	13143 51161	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2FEWX|3aDUST|4DMG|59DUR|6RCR|78aVULN|aBPWR
19	15142 53131	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2LWND|3aDUST|4DMG|589VULN|6RCR|7aDUR|aBPWR
20	36161 21234	8	   	257.22	DCR|3VULN|2TLV|2DUR|1AART	1RMIN|2AART|38aVULN|4LIT|5RCVC|6aDUR|7RCR|9aTLV|aBPWR
21	12341 33536	1	 * 	256.71	DCR|3DMG|3DUR|1VULN|1TLV|1CDMG	1TLV|247DUR|34aDMG|4BPWR|5RPLT|6CDMG|8VULN|9RCR
22	12341 32336	1	   	256.71	DCR|3DMG|3DUR|1VULN|1TLV|1CDMG	1TLV|248DUR|34aDMG|4BPWR|5RPLT|6CDMG|7VULN|9RCR
23	13232 51531	10	   	255.40	DCR|3VULN|2TLV|2DUR|2ASPD	1aTLV|2FEWX|3aASPD|4LWND|579VULN|6RCR|8aDUR|aBPWR
24	13232 53131	10	   	255.40	DCR|3VULN|2TLV|2DUR|2ASPD	1aTLV|2FEWX|3aASPD|4LWND|589VULN|6RCR|7aDUR|aBPWR
25	11343 51136	9	 * 	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|2LHND|3FEWX|4aDMG|5DUR|6RCR|789VULN
26	15262 51332	7	   	254.03	DCR|4VULN|2TLV|1DUR	19TLV|29LWND|3ASPD|4DUR|5789VULN|6RCR|9BPWR|aFEWX
27	15262 51333	7	   	254.03	DCR|4VULN|2TLV|1DUR	19TLV|29LWND|3ASPD|4DUR|5789VULN|6RCR|9BPWR|aRPLT
28	11143 51136	9	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|2LHND|3DUST|4aDMG|5DUR|6RCR|789VULN
29	13143 51136	9	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|2FEWX|3DUST|4aDMG|5DUR|6RCR|789VULN
30	15262 51331	7	   	253.93	DCR|4VULN|2TLV|1DUR	19TLV|29LWND|3ASPD|4DUR|5789VULN|6RCR|9BPWR|aTBNT
31	22162 53334	3	 * 	253.88	DCR|5VULN|2DUR|1AART|1SELL	1SELL|269LWND|34679VULN|5AART|69BPWR|89DUR|aRCR
32	16162 61232	1	   	253.86	DCR|3VULN|2TLV|2DUR|2LIT|1SELL	1aTLV|2aLIT|34DUR|5FEWX|67aVULN|8RCR|9SELL|aBPWR
33	15262 51131	10	   	253.68	DCR|2VULN|2DMG|2TLV|2ASPD|1DUR|1NUKE	1aTLV|2LWND|3aASPD|4DUR|57VULN|6RCR|8NUKE|9aDMG|aBPWR
34	11343 56322	2	 * 	253.28	DCR|2VULN|3DMG|3TLV|1DUR	16aTLV|24LHND|34aDMG|4aBPWR|5CGEN|7RCR|8DUR|9aVULN
35	11343 56322	1	   	253.28	DCR|2VULN|3DMG|3TLV|1DUR	16aTLV|24LHND|34aDMG|4aBPWR|5CGEN|7RCR|8DUR|9aVULN
36	13343 56322	2	   	253.28	DCR|2VULN|3DMG|3TLV|1DUR	16aTLV|24FEWX|34aDMG|4aBPWR|5CGEN|7RCR|8DUR|9aVULN
37	23225 11636	5	   	252.60	DCR|3VULN|2DMG|1TLV|2LIT|1SELL	1SELL|2RCVC|38DMG|4TLV|5RPLT|68aVULN|78LIT|8BPWR|9RCR
38	23225 31636	6	   	252.60	DCR|3VULN|2DMG|1TLV|2LIT|1SELL	1SELL|2RCVC|38DMG|4TLV|5RPLT|68aVULN|78LIT|8BPWR|9RCR
39	12344 32242	1	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|24DUR|34DMG|4BPWR|5LIT|6RCR|7FEWX|8RPLT|9aVULN
40	12344 36131	1	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|24DUR|34DMG|4BPWR|5LIT|6RCR|7aVULN|8BEXP|9RMIN
41	12344 36212	1	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|24DUR|34DMG|4BPWR|5LIT|6RCR|7aVULN|8RPLT|9LHND
42	12344 36222	1	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|24DUR|34DMG|4BPWR|5LIT|6RCR|7aVULN|8RPLT|9LWND
43	12344 36232	1	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|24DUR|34DMG|4BPWR|5LIT|6RCR|7aVULN|8RPLT|9ZMB
44	12341 63126	1	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|24DUR|34DMG|4BPWR|5RPLT|6aVULN|7ASPD|8CGEN|9RCR
45	16313 34132	1	   	252.30	DCR|4VULN|1TLV|1DUR|2LIT	1TLV|24LIT|3478VULN|4BPWR|5TBNT|6DUR|9RCVC|aRCR
46	12344 31512	1	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|24DUR|34DMG|4BPWR|5LIT|6RCR|7BEXP|8BBNT|9aVULN
47	12344 32512	1	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|24DUR|34DMG|4BPWR|5LIT|6RCR|7FEWX|8BBNT|9aVULN
48	12344 36331	1	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|24DUR|34DMG|4BPWR|5LIT|6RCR|7aVULN|8DUST|9RMIN
49	12341 62133	1	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|24DUR|34DMG|4BPWR|5RPLT|69VULN|7TBNT|8LIT|aRCR
50	11143 51136	7	   	252.01	DCR|2VULN|2DMG|2TLV|2DUR	18TLV|2LHND|38DUST|4aDMG|59DUR|6RCR|78VULN|8BPWR
51	23222 11262	3	   	251.87	DCR|2VULN|2DMG|2TLV|2DUR|1SELL	1SELL|2RCVC|35DMG|45TLV|5BPWR|6aVULN|7RCR|89DUR
52	23222 11262	4	   	251.87	DCR|2VULN|2DMG|2TLV|2DUR|1SELL	1SELL|2RCVC|35DMG|45TLV|5BPWR|6aVULN|7RCR|89DUR
53	26522 11262	1	   	251.87	DCR|2VULN|2DMG|2TLV|2DUR|1SELL	1SELL|25DMG|3RCVC|45TLV|5BPWR|6aVULN|7RCR|89DUR
54	16312 62141	1	   	251.41	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	1TLV|24LIT|346VULN|4BPWR|5FEWX|7DMG|8DUR|9ZMB|aRCR
55	23226 31262	3	   	250.79	DCR|3VULN|2DUR|1TLV|1DMG|1SELL	1SELL|2RCVC|3DMG|4TLV|56aVULN|7RCR|89DUR
56	23226 31262	4	   	250.79	DCR|3VULN|2DUR|1TLV|1DMG|1SELL	1SELL|2RCVC|3DMG|4TLV|56aVULN|7RCR|89DUR
57	26122 33432	1	 * 	250.48	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|24DMG|37DUR|5ASPD|69aVULN|8RCR
58	11343 51135	10	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LHND|3FEWX|4DMG|5DUR|6RCR|789VULN|aCDMG
59	11143 51135	10	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LHND|3DUST|4DMG|5DUR|6RCR|789VULN|aCDMG
60	15336 12422	2	   	249.86	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1TLV|2LWND|3DMG|4SELL|5CDMG|678VULN|9DUR|aRCR
61	12341 33535	1	   	249.36	DCR|3DUR|1VULN|2DMG|1TLV|1CDMG	1TLV|247DUR|34DMG|4BPWR|5RPLT|6CDMG|8VULN|9RCR|aLIT
62	12341 32335	1	   	249.36	DCR|3DUR|1VULN|2DMG|1TLV|1CDMG	1TLV|248DUR|34DMG|4BPWR|5RPLT|6CDMG|7VULN|9RCR|aLIT
63	13144 51131	10	   	249.33	DCR|4VULN|2TLV|1DMG	1aTLV|2FEWX|3aDUST|4DMG|5LHND|6RCR|789aVULN|aBPWR
64	16314 11512	1	   	249.23	DCR|4VULN|2TLV|3LIT	16TLV|245LIT|345aVULN|45BPWR|7ERES|8RCR|9DMSP
65	16314 11531	1	 * 	249.13	DCR|4VULN|3TLV|3LIT	16aTLV|245LIT|3459VULN|45BPWR|7ERES|8RCR
66	16314 11533	1	   	249.13	DCR|4VULN|2TLV|3LIT	16TLV|245LIT|3459VULN|45BPWR|7ERES|8RCR|aMBVNT
67	13543 32631	9	   	249.13	DCR|3DUR|1VULN|2DMG|2TLV|1CDMG	17TLV|2FEWX|3LEGI|47DMG|567DUR|7BPWR|8RCR|9CDMG|aVULN
68	13233 51631	10	 * 	248.25	DCR|3VULN|2TLV|3ASPD|1DUR	1aTLV|2FEWX|38aASPD|4LWND|5DUR|6RCR|79aVULN|aBPWR
