0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13531 13316	9	 * 	312.84	DCR|4VULN|3DMG|2DUR|1ASPD	157aVULN|2ASPD|37aDMG|457MLV|57aBPWR|6RCR|8aDUR|9AART
2	13561 13221	10	 * 	310.10	DCR|5VULN|3DMG|2ASPD	1578aVULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LIT
3	13561 13225	9	   	310.10	DCR|5VULN|3DMG|2ASPD	1578aVULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LIT
4	13561 13224	9	   	306.81	DCR|4VULN|3DMG|2ASPD|1DUR	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LIT|aDUR
5	13561 13226	10	   	306.81	DCR|4VULN|3DMG|2ASPD|1TLV	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LIT|aTLV
6	11341 54133	2	   	306.02	DCR|4VULN|2DMG|2DUR|1TLV|1CDMG	168aVULN|2TLV|3aDUR|4DUST|5CDMG|7aDMG|9RCR|aBPWR
7	11351 54133	2	   	306.02	DCR|4VULN|2DMG|2DUR|1TLV|1CDMG	168aVULN|2TLV|3aDUR|4CDMG|5DUST|7aDMG|9RCR|aBPWR
8	13561 13216	10	   	301.80	DCR|5VULN|3DMG|2ASPD	1578aVULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9CGEN
9	13561 13231	7	   	301.80	DCR|5VULN|3DMG|2ASPD	1578aVULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LWND
10	13561 13231	9	   	301.80	DCR|5VULN|3DMG|2ASPD	1578aVULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9FEWX
11	13561 13231	8	   	301.80	DCR|5VULN|3DMG|2ASPD	1578aVULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LWND
12	13561 13241	9	   	301.80	DCR|5VULN|3DMG|2ASPD	1578aVULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LHND
13	13561 13251	9	   	301.80	DCR|5VULN|3DMG|2ASPD	1578aVULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LWND
14	13561 13214	9	   	298.51	DCR|4VULN|3DMG|2ASPD|1DUR	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9CGEN|aDUR
15	13561 13224	8	   	298.51	DCR|4VULN|3DMG|2ASPD|1DUR	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9CGEN|aDUR
16	13561 13224	7	   	298.51	DCR|4VULN|3DMG|2ASPD|1DUR	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9CGEN|aDUR
17	13561 13242	10	   	298.51	DCR|4VULN|3DMG|2ASPD|1DUR	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LHND|aDUR
18	13561 13252	10	   	298.51	DCR|4VULN|3DMG|2ASPD|1DUR	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LWND|aDUR
19	12461 34133	6	   	297.85	DCR|4VULN|2DMG|2CDMG|1TLV|1DUR	148aVULN|2FEWX|3aCDMG|5TLV|6DUR|7aDMG|9RCR|aBPWR
20	13333 34226	2	 * 	297.68	DCR|3VULN|3DUR|2DMG|2ASPD	18aVULN|2aASPD|359DUR|4aDMG|6RCR|7AART|aBPWR
21	13433 34226	1	   	297.68	DCR|3VULN|3DUR|2DMG|2ASPD	18aVULN|259DUR|3aASPD|4aDMG|6RCR|7AART|aBPWR
22	13561 13112	7	 * 	297.44	DCR|4VULN|2DMG|2DUR|2ASPD	157aVULN|2aASPD|37DMG|457ERES|57aBPWR|6RCR|8BEXP|9aDUR
23	13561 13312	8	   	297.44	DCR|4VULN|2DMG|2DUR|2ASPD	157aVULN|2aASPD|37DMG|457ERES|57aBPWR|6RCR|8LHND|9aDUR
24	13561 13412	8	   	297.44	DCR|4VULN|2DMG|2DUR|2ASPD	157aVULN|2aASPD|37DMG|457ERES|57aBPWR|6RCR|8LWND|9aDUR
25	13561 13612	7	   	297.44	DCR|4VULN|2DMG|2DUR|2ASPD	157aVULN|2aASPD|37DMG|457ERES|57aBPWR|6RCR|8LWND|9aDUR
26	13561 13112	8	   	297.34	DCR|4VULN|2DMG|2DUR|2ASPD	157aVULN|2aASPD|37DMG|457ERES|57aBPWR|6RCR|8DUST|9aDUR
27	13561 13226	9	   	297.11	DCR|4VULN|3DMG|2ASPD|2LIT	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9aLIT
28	13521 13622	10	 * 	296.39	DCR|4VULN|2DMG|3ASPD|2CDMG	157aVULN|29aASPD|37DMG|457CGEN|57aBPWR|6RCR|8aCDMG
29	13525 13622	10	   	296.29	DCR|4VULN|2DMG|3ASPD|2CDMG	157aVULN|29aASPD|37DMG|47CGEN|6RCR|7aBPWR|8aCDMG
30	13535 13622	10	   	296.29	DCR|4VULN|2DMG|3ASPD|2CDMG	157aVULN|29aASPD|37DMG|47MLV|6RCR|7aBPWR|8aCDMG
31	13521 13632	10	 * 	292.91	DCR|4VULN|2DMG|3CDMG|2ASPD	157aVULN|2aASPD|37DMG|457CGEN|57aBPWR|6RCR|89aCDMG
32	13525 13632	10	   	292.81	DCR|4VULN|2DMG|3CDMG|2ASPD	157aVULN|2aASPD|37DMG|47CGEN|6RCR|7aBPWR|89aCDMG
33	13535 13632	10	   	292.81	DCR|4VULN|2DMG|3CDMG|2ASPD	157aVULN|2aASPD|37DMG|47MLV|6RCR|7aBPWR|89aCDMG
34	13561 13214	10	   	291.92	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9CGEN|aAART
35	13561 13216	9	   	291.92	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9CGEN|aAART
36	13561 13226	8	   	291.92	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9CGEN|aAART
37	13561 13226	7	   	291.92	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9CGEN|aAART
38	13561 13234	10	   	291.92	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9FEWX|aAART
39	13561 13235	7	   	291.92	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LWND|aAART
40	13561 13235	8	   	291.92	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LWND|aAART
41	13561 13261	7	   	291.82	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9TBNT|aAART
42	13561 13261	8	   	291.82	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9TBNT|aAART
43	13561 13211	9	 * 	291.78	DCR|4VULN|3DMG|3ASPD	1578VULN|28aASPD|378DMG|457ERES|578BPWR|6RCR|9CGEN
44	13561 13221	8	   	291.78	DCR|4VULN|3DMG|3ASPD	1578VULN|28aASPD|378DMG|457ERES|578BPWR|6RCR|9CGEN
45	13561 13221	7	   	291.78	DCR|4VULN|3DMG|3ASPD	1578VULN|28aASPD|378DMG|457ERES|578BPWR|6RCR|9CGEN
46	13561 13234	9	   	291.78	DCR|4VULN|3DMG|3ASPD	1578VULN|28aASPD|378DMG|457ERES|578BPWR|6RCR|9FEWX
47	13561 13234	8	   	291.78	DCR|4VULN|3DMG|3ASPD	1578VULN|28aASPD|378DMG|457ERES|578BPWR|6RCR|9LWND
48	13561 13234	7	   	291.78	DCR|4VULN|3DMG|3ASPD	1578VULN|28aASPD|378DMG|457ERES|578BPWR|6RCR|9LWND
49	13521 13234	7	   	291.69	DCR|5VULN|3DMG|1ASPD	1579aVULN|2ASPD|378DMG|457CGEN|57BPWR|6RCR
50	13525 13234	7	   	291.59	DCR|5VULN|3DMG|1ASPD	1579aVULN|2ASPD|378DMG|47CGEN|6RCR|7BPWR
51	13535 13234	7	   	291.59	DCR|5VULN|3DMG|1ASPD	1579aVULN|2ASPD|378DMG|47MLV|6RCR|7BPWR
52	11151 54133	3	   	291.34	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	168aVULN|2TLV|3aDUST|4DUR|5CDMG|7aDMG|9RCR|aBPWR
53	11151 54133	2	   	291.34	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	168aVULN|2TLV|3aDUST|4DUR|5CDMG|7aDMG|9RCR|aBPWR
54	13561 13222	10	   	290.56	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LIT|aRPLT
55	13561 13223	10	   	290.56	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LIT|aLWND
56	13561 13223	9	   	290.56	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LIT|aDMSP
57	13561 13224	10	   	290.56	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LIT|aFEWX
58	13561 13221	9	   	290.46	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LIT|aTBNT
59	13561 13222	9	   	290.46	DCR|4VULN|3DMG|2ASPD|1NUKE	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LIT|aNUKE
60	13561 13225	10	   	290.46	DCR|4VULN|3DMG|2ASPD	1578VULN|28ASPD|378DMG|457ERES|578BPWR|6RCR|9LIT|aDUST
61	13433 34242	1	   	289.85	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	18aVULN|25aDUR|3ASPD|4DMG|6RCR|7AART|9aCDMG|aBPWR
62	12651 14133	3	   	289.80	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	18aVULN|2FEWX|3aDUR|4TLV|56CDMG|7aDMG|9RCR|aBPWR
63	12423 16533	6	   	289.80	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	16aVULN|2FEWX|3aCDMG|47DMG|5TLV|8aDUR|9RCR|aBPWR
64	12631 54133	3	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	168aVULN|2FEWX|3aDUR|4ERES|5CDMG|7aDMG|9RCR|aBPWR
65	11341 14133	2	   	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	18aVULN|2TLV|3aDUR|4DUST|56CDMG|7aDMG|9RCR|aBPWR
66	11351 14133	2	   	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	18aVULN|2TLV|3aDUR|46CDMG|5DUST|7aDMG|9RCR|aBPWR
67	11354 24133	2	   	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	18aVULN|2TLV|3aDUR|45CDMG|6DUST|7aDMG|9RCR|aBPWR
68	13531 13336	9	   	288.99	DCR|4VULN|2DMG|1TLV|1DUR|1ASPD	157aVULN|2ASPD|37DMG|457MLV|57BPWR|6RCR|8DUR|9TLV
69	13555 31112	8	   	288.45	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	15aVULN|28ASPD|3aDMG|4ZMB|6CDMG|7RCR|9aDUR|aBPWR
70	13531 13266	7	   	288.40	DCR|4VULN|3DMG|1TLV|1ASPD	157aVULN|2ASPD|379DMG|457MLV|57BPWR|6RCR|8TLV
71	13531 13365	8	   	288.40	DCR|4VULN|3DMG|1DUR|1ASPD	1579VULN|2ASPD|37aDMG|457MLV|57BPWR|6RCR|8DUR
72	13333 34242	2	   	286.83	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	18aVULN|2aASPD|35DUR|4DMG|6RCR|7AART|9aCDMG|aBPWR
73	13531 13235	7	   	286.39	DCR|4VULN|2DMG|1TLV|1CDMG|1ASPD	1579VULN|2ASPD|37DMG|457MLV|57BPWR|6RCR|8TLV|aCDMG
74	13531 13164	8	   	286.24	DCR|5VULN|2DMG|2ASPD	1579aVULN|28ASPD|37DMG|457MLV|57BPWR|6RCR
75	13535 13632	8	   	285.70	DCR|4VULN|3DMG|1CDMG|1ASPD	1579VULN|2ASPD|37aDMG|47MLV|6RCR|7BPWR|8CDMG
76	13565 13233	7	   	285.50	DCR|4VULN|3DMG|1CDMG|1ASPD	1579VULN|2ASPD|378DMG|47ERES|6RCR|7BPWR|aCDMG
77	11336 55133	2	   	285.34	DCR|3VULN|3DUR|1DMG|2CDMG|1TLV	18aVULN|2TLV|36aDUR|4DMG|5DUST|7aCDMG|9RCR|aBPWR
78	13555 31212	7	   	284.55	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	15aVULN|2ASPD|3aDMG|4ZMB|68CDMG|7RCR|9aDUR|aBPWR
79	11514 35113	4	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	18aVULN|2TLV|3aDMG|4BEXP|5RCVC|6RCR|7CDMG|9aDUR|aBPWR
80	11514 35113	5	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	18aVULN|2TLV|3aDMG|45BEXP|6RCR|7CDMG|9aDUR|aBPWR
81	11341 54333	2	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	16aVULN|2TLV|3aDUR|4DUST|5CDMG|7aDMG|8DMSP|9RCR|aBPWR
82	11351 54333	2	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	16aVULN|2TLV|3aDUR|4CDMG|5DUST|7aDMG|8DMSP|9RCR|aBPWR
