0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24126 31612	10	 * 	311.41	DCR|4VULN|3DUR|2DMG|1TLV	147DUR|27DMG|3ASPD|5TLV|678aVULN|7BPWR|9RCR
2	24346 12232	4	   	290.87	DCR|3VULN|3DUR|2DMG|2CDMG|2LIT	18aDUR|2aDMG|38LIT|478VULN|5BELT|6RCR|8aBPWR|9aCDMG
3	24126 31212	10	   	290.36	DCR|3VULN|3DUR|2DMG|1TLV	147DUR|27DMG|3ASPD|5TLV|67aVULN|7BPWR|8RCVC|9RCR
4	24126 31611	9	   	290.36	DCR|3VULN|3DUR|2DMG|1TLV	147DUR|27DMG|3ASPD|5TLV|678VULN|7BPWR|9RCR|aRPLT
5	24126 31613	9	   	290.36	DCR|3VULN|3DUR|2DMG|1TLV	147DUR|27DMG|3ASPD|5TLV|678VULN|7BPWR|9RCR|aCGEN
6	24126 31613	10	   	290.36	DCR|3VULN|3DUR|2DMG|1TLV	147DUR|27DMG|3ASPD|5TLV|678VULN|7BPWR|9RCR|aBEXP
7	24126 31611	10	   	290.26	DCR|3VULN|3DUR|2DMG|1TLV	147DUR|27DMG|3ASPD|5TLV|678VULN|7BPWR|9RCR|aDUST
8	24126 31612	9	   	290.26	DCR|3VULN|3DUR|2DMG|1TLV	147DUR|27DMG|3ASPD|5TLV|678VULN|7BPWR|9RCR|aERES
9	24321 12451	9	 * 	283.40	DCR|2VULN|3DUR|2DMG|2TLV	14aDUR|2aDMG|3LIT|59VULN|6aTLV|7AART|8RCR|aBPWR
10	24321 12461	8	   	283.40	DCR|2VULN|3DUR|2DMG|2TLV	14aDUR|2aDMG|3LIT|59VULN|6aTLV|7AART|8RCR|aBPWR
11	26331 22451	9	   	281.88	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	12aDUR|3aLIT|4TLV|59VULN|6aDMG|7AART|8RCR|aBPWR
12	26331 22461	8	   	281.88	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	12aDUR|3aLIT|4TLV|59VULN|6aDMG|7AART|8RCR|aBPWR
13	21126 31612	10	 * 	281.84	DCR|4VULN|3DUR|2TLV	147DUR|2RMIN|3ASPD|57TLV|678aVULN|7BPWR|9RCR
