0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12331 53315	1	 * 	288.40	DCR|3VULN|2DMG|3ASPD|2TLV|2LIT	17LIT|247ASPD|34DMG|47BPWR|58aVULN|67TLV|9RCR
2	11611 34612	5	 * 	285.81	DCR|3VULN|2DUR|2ASPD|1DMG|2LIT|1CDMG	17LIT|25DUR|3RMIN|457VULN|57BPWR|67ASPD|8DMG|9CDMG|aRCR
3	14362 11125	7	 * 	285.01	DCR|4VULN|3CDMG|1DMG|1DUR|2LIT	17LIT|2579VULN|3BELT|457CDMG|57BPWR|6RCR|8DMG|aDUR
4	14362 11413	9	   	281.20	DCR|4VULN|3CDMG|1TLV|1DUR|2LIT	17LIT|2578VULN|3BELT|457CDMG|57BPWR|6RCR|9TLV|aDUR
5	14362 11124	7	   	279.76	DCR|4VULN|3CDMG|1DMG|2LIT|1ASPD	17LIT|2579VULN|3BELT|457CDMG|57BPWR|6RCR|8DMG|aASPD
6	14362 11122	7	   	278.42	DCR|4VULN|3CDMG|1DMG|2LIT|1AART	17LIT|2579VULN|3BELT|457CDMG|57BPWR|6RCR|8DMG|aAART
7	11611 16221	7	 * 	277.73	DCR|3VULN|3DUR|2TLV|2LIT|1CDMG	19LIT|256DUR|3RMIN|459VULN|59BPWR|79TLV|8RCR|aCDMG
8	14362 11431	8	   	275.95	DCR|4VULN|3CDMG|1DUR|2LIT|1ASPD	17LIT|2578VULN|3BELT|457CDMG|57BPWR|6RCR|9DUR|aASPD
9	11611 26161	10	 * 	275.02	DCR|3VULN|3DUR|2DMG	1LIT|257DUR|3RMIN|456VULN|5BPWR|8aDMG|9RCR
10	22355 34331	2	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1ERES|2359VULN|4CDMG|6RCR|7TLV|8DUR|aDMG
11	14362 11142	7	   	272.03	DCR|3VULN|3CDMG|1DMG|1DUR|2LIT|1AART	17LIT|257VULN|3BELT|457CDMG|57BPWR|6RCR|8DMG|9DUR|aAART
12	22512 42523	7	 * 	272.03	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1aERES|2aVULN|378DMG|4TLV|5CDMG|6RCR|9aDUR|aBPWR
