0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12326 66232	9	 * 	277.13	DCR|3VULN|2DMG|2DUR|1TLV	1TLV|24aVULN|3LWND|5LIT|6RCR|7aDMG|8ZMB|9aDUR|aBPWR
2	15323 26115	8	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	13TLV|23DUR|3BPWR|479VULN|5LHND|68DMG|aRCR
3	15512 32513	4	 * 	275.64	DCR|3VULN|3DUR|3TLV|2LIT	159TLV|269DUR|3ASPD|45aVULN|59BPWR|7RCR|89LIT
4	12132 42516	2	 * 	274.17	DCR|3VULN|3TLV|2DUR|1DMG|2LIT	159TLV|29aVULN|3DMG|45DUR|59BPWR|6DMSP|7RCR|89LIT
5	12123 38616	2	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	1aTLV|27aVULN|3DMG|4CDMG|5MBVNT|6RMIN|8RCR|9aDUR|aBPWR
6	12123 71763	2	 * 	271.06	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG|1AART	19TLV|29VULN|3DMG|4CDMG|5MBVNT|6RCR|7AART|89aDUR|9BPWR
7	11625 32153	3	 * 	269.93	DCR|3VULN|3DMG|3TLV	12aTLV|39aDMG|4CGEN|5LIT|67aVULN|8RCR|aBPWR
8	11615 32153	3	   	269.83	DCR|3VULN|3DMG|3TLV	12aTLV|39aDMG|4ERES|5LIT|67aVULN|8RCR|aBPWR
9	15321 41115	5	 * 	269.76	DCR|4VULN|2TLV|2DUR|1AART	13TLV|23DUR|3BPWR|4789VULN|5ERES|6AART|aRCR
10	15415 32213	5	   	268.53	DCR|3VULN|3DUR|3TLV|2ASPD	15aTLV|269DUR|3ERES|45aVULN|5aBPWR|7RCR|8aASPD
11	12152 41136	2	 * 	268.50	DCR|4VULN|2DMG|1TLV|1AART	1TLV|2578VULN|35DMG|4LEGI|5BPWR|6AART|9BELT|aRCR
12	15136 21136	2	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1TLV|2DUR|3DMG|4AART|5678VULN|9BELT|aRCR
13	15324 22511	6	   	267.09	DCR|3VULN|3DUR|3TLV|2LIT|1SELL	139TLV|235DUR|39BPWR|49aVULN|69LIT|7SELL|8RCR
14	12134 32511	2	   	267.07	DCR|2VULN|2DMG|2TLV|2DUR|2LIT	19TLV|29VULN|35DMG|46DUR|7RCR|89LIT|9BPWR|aCGEN
15	12134 32512	2	   	267.07	DCR|2VULN|2DMG|2TLV|2DUR|2LIT	19TLV|29VULN|35DMG|46DUR|7RCR|89LIT|9BPWR|aLHND
16	12134 32515	2	   	267.07	DCR|2VULN|2DMG|2TLV|2DUR|2LIT	19TLV|29VULN|35DMG|46DUR|7RCR|89LIT|9BPWR|aFEWX
17	23411 11653	7	 * 	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1RPLT|2AART|3DMSP|49VULN|5TLV|6RCR|79DMG|89aDUR|9BPWR
18	12134 32516	2	   	266.97	DCR|2VULN|2DMG|2TLV|2DUR|2LIT	19TLV|29VULN|35DMG|46DUR|7RCR|89LIT|9BPWR|aBBNT
19	33142 54223	4	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1LWND|25DUR|3458VULN|5BPWR|6RPLT|7RCR|9CDMG|aTLV
20	15321 22252	10	 * 	265.66	DCR|2VULN|2DMG|3TLV|2DUR|1CDMG	13aTLV|23DUR|3aBPWR|4aVULN|56ERES|7CDMG|8RCR|9aDMG
21	12134 32211	2	   	265.46	DCR|2VULN|3DUR|2DMG|1TLV	1TLV|2aVULN|35DMG|469DUR|7RCR|8ASPD
22	15323 26143	10	 * 	265.34	DCR|2VULN|3DUR|2DMG|2TLV	13TLV|23aDUR|3BPWR|47VULN|5LHND|68DMG|9RCR
23	12126 13116	2	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|256VULN|3DMG|4CDMG|7RPLT|89DUR|aRCR
24	15323 24161	10	 * 	264.00	DCR|2VULN|3DUR|3TLV|1DMG|2ASPD	137TLV|239DUR|39BPWR|49VULN|5LHND|6DMG|89ASPD|aRCR
25	23411 12661	10	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1RPLT|2AART|3DMSP|47aVULN|5TLV|6RCR|8aDMG|9aASPD|aBPWR
26	15512 32214	4	   	263.61	DCR|3VULN|2TLV|2DUR|2ASPD	15TLV|26DUR|38ASPD|459VULN|5BPWR|7RCR|aLIT
27	15321 42513	4	   	262.71	DCR|2VULN|3DUR|3TLV|1DMG|2LIT	139TLV|239DUR|39BPWR|4aVULN|5DMG|6DMSP|7RCR|89LIT
28	14135 12252	10	   	262.18	DCR|3VULN|2DMG|2TLV|1DUR|1SELL	1aTLV|2SELL|35aVULN|45MLV|5aBPWR|6DUR|7DMSP|8RCR|9aDMG
29	23411 12431	10	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	1RPLT|2AART|3DMSP|47aVULN|5aTLV|6RCR|89aDUR|aBPWR
30	11124 26115	8	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	12TLV|3LHND|479VULN|5DUR|68DMG|aRCR
31	14162 12252	10	   	261.98	DCR|3VULN|2DMG|2TLV|1DUR|1SELL	1aTLV|2SELL|34aVULN|5ERES|6DUR|7DMSP|8RCR|9aDMG|aBPWR
32	15323 26122	8	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	13TLV|23DUR|3BPWR|47VULN|5LHND|68DMG|9RCR|aAART
33	15323 26142	9	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	13TLV|23DUR|3BPWR|47VULN|5LHND|68DMG|9RCR|aAART
34	11331 42313	4	   	261.62	DCR|3VULN|3DMG|3TLV	12aTLV|3FEWX|49aVULN|58aDMG|6DMSP|7RCR|aBPWR
35	11365 42313	4	   	261.62	DCR|3VULN|3DMG|3TLV	12aTLV|3FEWX|48aDMG|59aVULN|6DMSP|7RCR|aBPWR
36	11366 12313	4	   	261.62	DCR|3VULN|3DMG|3TLV	12aTLV|3FEWX|48aDMG|5RCVC|69aVULN|7RCR|aBPWR
37	12326 63411	7	   	260.93	DCR|3VULN|2DMG|2TLV|2LIT	19TLV|249VULN|3LWND|57LIT|6RCR|89DMG|9BPWR|aCGEN
38	12326 63411	6	   	260.93	DCR|3VULN|2DMG|2TLV|2LIT	19TLV|249VULN|3LWND|57LIT|6RCR|89DMG|9BPWR|aCGEN
39	12326 63412	7	   	260.93	DCR|3VULN|2DMG|2TLV|2LIT	19TLV|249VULN|3LWND|57LIT|6RCR|89DMG|9BPWR|aLHND
40	12326 63412	6	   	260.93	DCR|3VULN|2DMG|2TLV|2LIT	19TLV|249VULN|3LWND|57LIT|6RCR|89DMG|9BPWR|aLHND
41	12326 66113	8	   	260.83	DCR|3VULN|2DMG|3TLV|2LIT	189TLV|249VULN|3LWND|5aLIT|6RCR|79DMG|9BPWR
42	11245 32153	2	   	260.83	DCR|3VULN|2DMG|3TLV|2LIT	12aTLV|3aLIT|49DMG|5CGEN|67aVULN|8RCR|aBPWR
43	15415 32211	5	   	260.59	DCR|3VULN|3DUR|2TLV	15TLV|269DUR|3ERES|45aVULN|5BPWR|7RCR|8ASPD
44	61232 32213	4	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	1aCGEN|2TLV|35aVULN|469DUR|7RCR|8aASPD|aBPWR
45	61232 32213	3	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	1aCGEN|2TLV|35aVULN|469DUR|7RCR|8aASPD|aBPWR
46	12115 24363	2	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	17TLV|28VULN|37DMG|4LHND|5ASPD|67DUR|7BPWR|9MLV|aRCR
47	33142 11315	4	   	260.43	DCR|4VULN|2DUR|1TLV	1LWND|25DUR|3459VULN|5BPWR|6TLV|7DMSP|8ASPD|aRCR
48	33142 16315	4	   	260.43	DCR|4VULN|2DUR|1TLV	1LWND|25DUR|3459VULN|5BPWR|6TLV|7RCVC|8ASPD|aRCR
49	15323 26126	8	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	13TLV|23DUR|3BPWR|47VULN|5LHND|68DMG|9RCR|aLIT
50	61232 32522	4	   	260.33	DCR|4VULN|2DUR|1TLV	1CGEN|2TLV|359aVULN|46DUR|7RCR|8LIT
51	61232 32522	3	   	260.33	DCR|4VULN|2DUR|1TLV	1CGEN|2TLV|359aVULN|46DUR|7RCR|8LIT
52	15322 63315	8	   	260.20	DCR|4VULN|2TLV|2DUR	13TLV|23DUR|3BPWR|4789VULN|5LWND|6MLV|aRCR
53	15323 63315	8	   	260.20	DCR|4VULN|2TLV|2DUR	13TLV|23DUR|3BPWR|4789VULN|5LHND|6MLV|aRCR
54	23651 23262	10	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1RPLT|2AART|368VULN|4CDMG|5DUR|7DMG|9RCR|aTLV
55	12123 26182	2	   	259.65	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|278VULN|3aDMG|4CDMG|5MBVNT|6LIT|9RCR
56	12113 24363	2	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|278VULN|3DMG|4LHND|5RMIN|67DUR|7BPWR|9MLV|aRCR
57	12214 24363	2	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|278VULN|3RMIN|4LHND|5DMG|67DUR|7BPWR|9MLV|aRCR
58	15322 13215	8	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	13TLV|23DUR|3BPWR|479VULN|56LWND|8DMG|aRCR
59	12152 12315	2	   	258.74	DCR|4VULN|2DMG|1TLV	1TLV|2579VULN|35DMG|4LEGI|5BPWR|6MLV|8ERES|aRCR
60	12152 12615	2	   	258.74	DCR|4VULN|2DMG|1TLV	1TLV|2578VULN|35DMG|4LEGI|5BPWR|6MLV|9ERES|aRCR
61	14212 31341	4	   	258.04	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1SELL	15TLV|2SELL|3RPLT|458VULN|5BPWR|6DUR|7RCR|9CDMG|aDMG
62	33142 13211	4	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1LWND|259DUR|345VULN|5BPWR|6TLV|7CDMG|8BEXP|aRCR
63	12123 71762	2	   	257.83	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	19TLV|29VULN|3DMG|4CDMG|5MBVNT|6RCR|7AART|89DUR|9BPWR|aFEWX
64	12123 71761	2	   	257.73	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	19TLV|29VULN|3DMG|4CDMG|5MBVNT|6RCR|7AART|89DUR|9BPWR|aDUST
65	12123 71764	2	   	257.73	DCR|2VULN|3TLV|2DUR|1DMG|1CDMG|1AART	19aTLV|29VULN|3DMG|4CDMG|5MBVNT|6RCR|7AART|89DUR|9BPWR
66	12421 63325	5	 * 	257.64	DCR|4VULN|2TLV|2CDMG	18TLV|289aVULN|3ERES|4BELT|5LIT|6RCR|78CDMG|8BPWR
67	12121 35414	2	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|2aVULN|38DMG|4CDMG|59DUR|6RMIN|7RCR
68	12324 13215	8	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2479VULN|36LWND|5DUR|8DMG|aRCR
69	21523 11616	1	 * 	257.49	DCR|5VULN|3DUR	1RPLT|24678VULN|368DUR|5BBNT|68BPWR|9LWND|aRCR
70	21523 11626	1	   	257.49	DCR|5VULN|3DUR	1RPLT|24678VULN|368DUR|5BBNT|68BPWR|9FEWX|aRCR
71	21523 11631	1	   	257.49	DCR|5VULN|3DUR	1RPLT|24678VULN|368DUR|5BBNT|68BPWR|9CGEN|aRCR
72	25523 11631	2	   	257.49	DCR|5VULN|3DUR	1RPLT|24678VULN|368DUR|5BBNT|68BPWR|9CGEN|aRCR
73	14165 11223	9	   	257.26	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	1TLV|2SELL|345aVULN|6DMG|7BEXP|8RCR|9DUR
74	12134 32161	2	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	1TLV|2aVULN|35DMG|469DUR|7RCR|8BELT
75	15512 32124	4	   	257.12	DCR|3VULN|2TLV|2DUR|1AART	15TLV|26DUR|3ASPD|459VULN|5BPWR|7RCR|8BELT|aAART
76	12421 63323	5	 * 	256.65	DCR|3VULN|2TLV|1DMG|2CDMG	18TLV|289VULN|3ERES|4BELT|5LIT|6RCR|78CDMG|8BPWR|aDMG
