0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12142 36226	10	 * 	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	19DUST|29TLV|3CDMG|47DUR|589VULN|6RCR|9BPWR|aDMG
2	41163 51122	6	 * 	267.88	DCR|3VULN|3DUR|3CDMG|3ASPD	134CDMG|29aASPD|59aDUR|6RCR|79aVULN|8BBNT|9aBPWR
3	12623 52214	6	 * 	265.48	DCR|4VULN|2TLV|1DMG|2ASPD	137DUST|23TLV|37BPWR|4578VULN|67ASPD|9DMG|aRCR
4	12142 36143	10	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|2TLV|3CDMG|47DUR|59aVULN|6RCR|8DMG
5	12142 36143	9	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|2TLV|3CDMG|47DUR|59aVULN|6RCR|8DMG
6	12142 36143	8	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|2TLV|3CDMG|47DUR|59aVULN|6RCR|8DMG
7	12142 36253	9	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|2TLV|3CDMG|47DUR|58aVULN|6RCR|9DMG
8	12142 36253	10	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|2TLV|3CDMG|47DUR|58aVULN|6RCR|9DMG
9	33112 12414	4	 * 	264.33	DCR|5VULN|2DUR|1DMG	17ZMB|2ERES|34678VULN|57DUR|7BPWR|9DMG|aRCR
10	33115 12414	5	   	264.33	DCR|5VULN|2DUR|1DMG	17ZMB|2ERES|34678VULN|57DUR|7BPWR|9DMG|aRCR
11	41122 41325	5	 * 	263.99	DCR|2VULN|2DMG|2TLV|3CDMG	13aCDMG|2ASPD|4aDMG|58TLV|6LIT|7aVULN|9RCR|aBPWR
12	21216 12161	2	 * 	263.21	DCR|3VULN|3DMG|1TLV|1AART	17MLV|237VULN|457DMG|6LEGI|7BPWR|8AART|9RCR|aTLV
13	33115 12214	6	 * 	259.21	DCR|4VULN|3DUR|1DMG	17ZMB|2ERES|3478VULN|567DUR|7BPWR|9DMG|aRCR
14	62623 12621	5	   	259.09	DCR|4VULN|2TLV|1DMG|1AART	13FEWX|23TLV|3BPWR|4567VULN|8RCR|9DMG|aAART
15	12142 36223	9	 * 	259.02	DCR|3VULN|2TLV|2DUR|2CDMG	19DUST|29TLV|3aCDMG|47DUR|589VULN|6RCR|9BPWR
16	12142 36223	8	   	259.02	DCR|3VULN|2TLV|2DUR|2CDMG	19DUST|29TLV|3aCDMG|47DUR|589VULN|6RCR|9BPWR
17	41261 13132	10	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2ASPD|3RPLT|4DMG|5TLV|6DUR|789VULN|aRCR
18	21326 16421	9	 * 	258.15	DCR|3VULN|3DUR|1TLV|1CDMG	178MLV|278VULN|3BEXP|4TLV|5DLOT|678DUR|78BPWR|9CDMG|aRCR
19	21216 12166	2	 * 	258.05	DCR|4VULN|3DMG|1AART	17MLV|237aVULN|457DMG|6LEGI|7BPWR|8AART|9RCR
20	43212 16142	9	 * 	257.18	DCR|3VULN|2DUR|1TLV|3CDMG	157CDMG|2CGEN|3RPLT|47aVULN|67DUR|7BPWR|8TLV|9RCR
21	12623 12641	5	 * 	257.17	DCR|5VULN|2TLV|1AART	13DUST|23TLV|3BPWR|4567aVULN|8RCR|9AART
22	42212 16142	9	   	257.08	DCR|3VULN|2DUR|1TLV|3CDMG	157CDMG|2ERES|3RPLT|47aVULN|67DUR|7BPWR|8TLV|9RCR
23	41152 32623	10	 * 	256.06	DCR|2VULN|2DUR|1TLV|3CDMG|3ASPD	138CDMG|247ASPD|58VULN|68DUR|8BPWR|9TLV|aRCR
24	41421 32342	4	 * 	255.23	DCR|3VULN|2DMG|3ASPD|2CDMG	17CDMG|235ASPD|47DMG|679VULN|7BPWR|8TBNT|aRCR
25	21216 12661	2	   	253.44	DCR|3VULN|3DMG|1TLV	17MLV|237VULN|457DMG|6LEGI|7BPWR|8DLOT|9RCR|aTLV
26	12142 36221	8	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	19DUST|29TLV|3CDMG|47DUR|589VULN|6RCR|9BPWR|aLWND
27	12142 36221	9	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	19DUST|29TLV|3CDMG|47DUR|589VULN|6RCR|9BPWR|aLWND
28	12142 36221	10	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	19DUST|29TLV|3CDMG|47DUR|589VULN|6RCR|9BPWR|aFEWX
29	12142 36222	8	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	19DUST|29TLV|3CDMG|47DUR|589VULN|6RCR|9BPWR|aBEXP
30	12142 36222	9	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	19DUST|29TLV|3CDMG|47DUR|589VULN|6RCR|9BPWR|aBEXP
