0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43162 61232	1	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	18TLV|28DMG|3ZMB|4BBNT|57DUR|689VULN|8BPWR|aRCR
2	32321 53256	3	 * 	271.93	DCR|3VULN|3DMG|2DUR|1CDMG	1LEGI|29DUR|369DMG|456VULN|69BPWR|7CDMG|89LWND|aRCR
3	32321 52516	3	   	271.73	DCR|3VULN|3DMG|2DUR|1CDMG	1LEGI|28DUR|367DMG|456VULN|6BPWR|9CDMG|aRCR
4	15324 32623	10	 * 	267.29	DCR|3VULN|3DMG|1TLV|1CDMG	1RPLT|27ZMB|357VULN|467DMG|7BPWR|8RCR|9CDMG|aTLV
5	22215 15215	10	 * 	266.05	DCR|4VULN|2TLV|1DMG	1FEWX|26TLV|3DMG|4LIT|569aVULN|6BPWR|7RCR|8ASPD
6	15324 32341	9	 * 	264.74	DCR|4VULN|3DMG|1DUR	1RPLT|27ZMB|3579VULN|467DMG|7BPWR|8DUR|aRCR
7	32321 52231	3	   	264.54	DCR|4VULN|3DMG|1DUR	1LEGI|2DUR|367DMG|4569VULN|6BPWR|8FEWX|aRCR
8	32321 54621	3	   	264.54	DCR|4VULN|3DMG|1DUR	1LEGI|2DUR|368DMG|4567VULN|6BPWR|9LWND|aRCR
9	34321 52531	3	   	264.54	DCR|4VULN|3DMG|1DUR	1LEGI|2FEWX|367DMG|4569VULN|6BPWR|8DUR|aRCR
10	32321 54631	3	   	264.44	DCR|4VULN|3DMG|1DUR	1LEGI|2DUR|368DMG|4567VULN|6BPWR|9DUST|aRCR
11	32321 55253	3	 * 	263.47	DCR|4VULN|2DMG|2DUR	1LEGI|29DUR|36DMG|456aVULN|6BPWR|7RCR|8RMIN
12	22215 11513	6	   	262.60	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1FEWX|26TLV|3DMG|4LIT|56aVULN|6BPWR|7AART|8RCR|9DUR
13	22215 15113	8	   	262.60	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1FEWX|26TLV|3DMG|4LIT|56aVULN|6BPWR|7RCR|8AART|9DUR
14	22215 15225	10	   	262.58	DCR|3VULN|2DMG|2TLV	1FEWX|26TLV|39DMG|4LIT|56aVULN|6BPWR|7RCR|8ASPD
15	32321 53336	3	   	262.54	DCR|4VULN|2DMG|1DUR|1CDMG	1LEGI|2DUR|36DMG|4569VULN|6BPWR|7CDMG|8FEWX|aRCR
16	43162 62232	1	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|28DMG|37ZMB|4BBNT|5DUR|689VULN|8BPWR|aRCR
17	22215 15432	8	   	260.83	DCR|3VULN|2DMG|2TLV|2LIT	1FEWX|26TLV|3aDMG|48LIT|569VULN|6BPWR|7RCR
18	22215 15431	8	   	259.49	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	1FEWX|26TLV|3DMG|48LIT|569VULN|6BPWR|7RCR|aDUR
19	32215 13436	9	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|2DUR|3CDMG|4TLV|579VULN|6ASPD|8DMG|aRCR
20	32215 21536	9	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|2DUR|3CDMG|4TLV|589VULN|6DMG|7ASPD|aRCR
21	41115 32623	5	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2ERES|35aVULN|4LIT|6CDMG|7DUR|8DMG|9RCR
22	63215 63221	5	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|257VULN|3DMG|4LIT|6CDMG|8DUR|9RCR|aTLV
23	32321 52521	3	   	258.07	DCR|3VULN|3DMG|2DUR	1LEGI|28DUR|367DMG|456VULN|6BPWR|9LWND|aRCR
24	32321 52541	3	   	258.07	DCR|3VULN|3DMG|2DUR	1LEGI|28DUR|367DMG|456VULN|6BPWR|9FEWX|aRCR
25	32321 52562	3	   	258.07	DCR|3VULN|3DMG|2DUR	1LEGI|28DUR|367DMG|456VULN|6BPWR|9CGEN|aRCR
26	32323 52231	3	   	258.07	DCR|3VULN|3DMG|2DUR	1LEGI|25DUR|367DMG|469VULN|6BPWR|8FEWX|aRCR
27	32323 54621	3	   	258.07	DCR|3VULN|3DMG|2DUR	1LEGI|25DUR|368DMG|467VULN|6BPWR|9LWND|aRCR
28	32321 52531	3	   	257.97	DCR|3VULN|3DMG|2DUR	1LEGI|28DUR|367DMG|456VULN|6BPWR|9DUST|aRCR
29	32323 54631	3	   	257.97	DCR|3VULN|3DMG|2DUR	1LEGI|25DUR|368DMG|467VULN|6BPWR|9DUST|aRCR
30	25211 73533	10	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1FEWX|2aDUR|3CDMG|4TLV|5MBVNT|6RCR|7aVULN|8LHND|9aDMG|aBPWR
31	46163 31213	3	 * 	257.40	DCR|4VULN|1TLV|2CDMG|1DUR	1TLV|2RCVC|34CDMG|568aVULN|7RCR|9DUR
32	15324 32623	9	   	257.34	DCR|3VULN|3DMG|1DUR|1CDMG	1RPLT|27ZMB|357VULN|467DMG|7BPWR|8RCR|9CDMG|aDUR
33	32214 63531	9	   	257.30	DCR|4VULN|1TLV|2CDMG|1DUR	1LEGI|2DUR|35CDMG|4TLV|6RCR|789aVULN
34	32321 52412	3	   	257.14	DCR|3VULN|3DMG|1DUR|1CDMG	1LEGI|2DUR|367DMG|456VULN|6BPWR|8BELT|9CDMG|aRCR
35	32321 53356	3	   	257.14	DCR|3VULN|3DMG|1DUR|1CDMG	1LEGI|2DUR|369DMG|456VULN|6BPWR|7CDMG|8FEWX|aRCR
36	32321 52333	3	   	257.04	DCR|3VULN|3DMG|1DUR|1CDMG	1LEGI|2DUR|367DMG|456VULN|6BPWR|8BBNT|9RCR|aCDMG
37	23521 62336	3	   	256.60	DCR|4VULN|3DMG	1FEWX|267DMG|3MBVNT|4569VULN|6BPWR|8RCR|aLIT
