0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65243 33223	2	 * 	303.30	DCR|4VULN|3DMG|3CDMG|1TLV	147DMG|234CDMG|47BPWR|579aVULN|6RCR|8TLV
2	65243 33323	2	   	287.05	DCR|4VULN|3DMG|3CDMG	147DMG|234CDMG|47BPWR|579aVULN|6RCR|8RMIN
3	25221 12535	7	   	284.56	DCR|4VULN|2DMG|3TLV|1ASPD	19aTLV|267aVULN|3LIT|4ASPD|5aDMG|8RCR|aBPWR
4	24232 32361	6	   	283.02	DCR|3VULN|3DMG|3TLV|1CDMG|1ASPD	19aTLV|2RMIN|3DUST|49aDMG|5ASPD|6RCR|7CDMG|89aVULN|9aBPWR
5	55333 14322	2	 * 	281.76	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	1RMIN|29DUR|349VULN|5LIT|6RCR|7DMG|89ASPD|9BPWR|aTLV
6	65243 33212	2	   	281.00	DCR|2VULN|3DMG|3CDMG|1TLV|1DUR|1ASPD	147DMG|234CDMG|47BPWR|57VULN|6RCR|8TLV|9ASPD|aDUR
7	65243 33221	2	   	280.66	DCR|3VULN|3DMG|3CDMG|1TLV	147DMG|234CDMG|47BPWR|579VULN|6RCR|8TLV|aMLV
8	65243 33222	2	   	280.66	DCR|3VULN|3DMG|3CDMG|1TLV	147DMG|234CDMG|47BPWR|579VULN|6RCR|8TLV|aLHND
9	61422 33113	1	 * 	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9MLV
10	61422 33123	1	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9CGEN
11	61422 33132	1	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9LWND
12	61422 33153	1	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9ZMB
13	63422 33113	2	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9MLV
14	63422 33123	2	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9CGEN
15	63422 33132	2	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9LWND
16	63422 33153	2	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9ZMB
17	55313 34113	4	   	276.22	DCR|4VULN|2DMG|2DUR	1RMIN|27DUR|3LWND|47DMG|578aVULN|6RCR|7BPWR|9MLV
18	55313 34123	4	   	276.22	DCR|4VULN|2DMG|2DUR	1RMIN|27DUR|3LWND|47DMG|578aVULN|6RCR|7BPWR|9CGEN
19	61362 33113	1	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|378aVULN|47DUR|5RMIN|6RCR|7BPWR|9MLV
20	61362 33123	1	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|378aVULN|47DUR|5RMIN|6RCR|7BPWR|9CGEN
21	61362 33132	1	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|378aVULN|47DUR|5RMIN|6RCR|7BPWR|9LWND
22	61362 33153	1	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|378aVULN|47DUR|5RMIN|6RCR|7BPWR|9ZMB
23	63362 33113	2	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|378aVULN|47DUR|5RMIN|6RCR|7BPWR|9MLV
24	63362 33123	2	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|378aVULN|47DUR|5RMIN|6RCR|7BPWR|9CGEN
25	63362 33132	2	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|378aVULN|47DUR|5RMIN|6RCR|7BPWR|9LWND
26	63362 33153	2	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2BEXP|378aVULN|47DUR|5RMIN|6RCR|7BPWR|9ZMB
27	62422 33113	1	   	276.12	DCR|4VULN|2DMG|2DUR	17DMG|2DUST|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9MLV
28	62422 33123	1	   	276.12	DCR|4VULN|2DMG|2DUR	17DMG|2DUST|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9CGEN
29	62422 33132	1	   	276.12	DCR|4VULN|2DMG|2DUR	17DMG|2DUST|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9LWND
30	62422 33153	1	   	276.12	DCR|4VULN|2DMG|2DUR	17DMG|2DUST|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9ZMB
31	64422 33113	2	   	276.12	DCR|4VULN|2DMG|2DUR	17DMG|2DUST|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9MLV
32	64422 33123	2	   	276.12	DCR|4VULN|2DMG|2DUR	17DMG|2DUST|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9CGEN
33	64422 33132	2	   	276.12	DCR|4VULN|2DMG|2DUR	17DMG|2DUST|37DUR|478aVULN|5RMIN|6RCR|7BPWR|9LWND
34	55213 33113	4	   	276.12	DCR|4VULN|2DMG|2DUR	1RMIN|27DUR|3DUST|47DMG|578aVULN|6RCR|7BPWR|9MLV
35	55213 33123	4	   	276.12	DCR|4VULN|2DMG|2DUR	1RMIN|27DUR|3DUST|47DMG|578aVULN|6RCR|7BPWR|9CGEN
36	55213 33132	4	   	276.12	DCR|4VULN|2DMG|2DUR	1RMIN|27DUR|3DUST|47DMG|578aVULN|6RCR|7BPWR|9LWND
37	55213 33153	4	   	276.12	DCR|4VULN|2DMG|2DUR	1RMIN|27DUR|3DUST|47DMG|578aVULN|6RCR|7BPWR|9ZMB
38	25262 11261	4	   	273.42	DCR|4VULN|2DMG|2TLV|1SELL	19TLV|2479VULN|3LIT|5CGEN|6SELL|89DMG|9BPWR|aRCR
39	25343 11261	2	   	273.42	DCR|4VULN|2DMG|2TLV|1SELL	19TLV|2379VULN|4MLV|5LIT|6SELL|89DMG|9BPWR|aRCR
