0	Index      	 *	Score 	Summary	Detail	
1	22643 13512	 * 	298.32	DCR|DCR|3VULN|1MLV|2DUR	19aVULN|29DUR|3ERES|4MLV|59DUST|67RCR|8TBNT|9BPWR
2	21343 13351	 * 	294.94	DCR|DCR|2VULN|1DMG|1MLV|1CDMG	1aVULN|2BEXP|3ERES|4MLV|5DUST|67RCR|8CDMG|9DMG
3	33343 13351	   	294.94	DCR|DCR|2VULN|1DMG|1MLV|1CDMG	1BEXP|2aVULN|3ERES|4MLV|5DUST|67RCR|8CDMG|9DMG
4	21343 13512	   	283.47	DCR|DCR|3VULN|1MLV	19aVULN|29BEXP|3ERES|4MLV|59DUST|67RCR|8TBNT|9BPWR
5	33343 13512	   	283.47	DCR|DCR|3VULN|1MLV	19BEXP|29aVULN|3ERES|4MLV|59DUST|67RCR|8TBNT|9BPWR
6	22643 13321	   	283.09	DCR|DCR|2VULN|1MLV|1CDMG	1aVULN|2DUR|3ERES|4MLV|59DUST|67RCR|8CDMG
7	21343 13562	   	281.29	DCR|DCR|2VULN|1DMG|1MLV	1aVULN|2BEXP|3ERES|4MLV|5DUST|67RCR|8TBNT|9DMG
8	33343 13562	   	281.29	DCR|DCR|2VULN|1DMG|1MLV	1BEXP|2aVULN|3ERES|4MLV|5DUST|67RCR|8TBNT|9DMG
9	21343 13353	   	277.04	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2BEXP|3ERES|4MLV|5DUST|67RCR|8CDMG|9DMG|aDUR
10	33343 13353	   	277.04	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1BEXP|2VULN|3ERES|4MLV|5DUST|67RCR|8CDMG|9DMG|aDUR
11	22643 13511	   	276.18	DCR|DCR|2VULN|1MLV|2DUR	19VULN|29DUR|3ERES|4MLV|59DUST|67RCR|8TBNT|9BPWR|aBBNT
12	22643 13513	   	276.08	DCR|DCR|2VULN|1MLV|2DUR|1MSE	19VULN|29DUR|3ERES|4MLV|59DUST|67RCR|8TBNT|9BPWR|aMSE
13	61322 14188	   	275.40	DCR|DCR|3VULN	1RPLT|2AAC|3MBVNT|48ERES|568VULN|78AME|8BPWR|9aRCR
14	61322 14488	   	275.40	DCR|DCR|3VULN	1RPLT|2AAC|3MBVNT|4ERES|568VULN|7AME|9aRCR
15	21343 13321	   	274.78	DCR|DCR|2VULN|1MLV|1CDMG	1aVULN|2BEXP|3ERES|4MLV|59DUST|67RCR|8CDMG
16	33343 13321	   	274.78	DCR|DCR|2VULN|1MLV|1CDMG	1BEXP|2aVULN|3ERES|4MLV|59DUST|67RCR|8CDMG
17	21343 13361	 * 	273.95	DCR|DCR|2MLV|1VULN|1CDMG	1VULN|2BEXP|3ERES|4aMLV|5DUST|67RCR|8CDMG|9AART
18	33343 13361	   	273.95	DCR|DCR|2MLV|1VULN|1CDMG	1BEXP|2VULN|3ERES|4aMLV|5DUST|67RCR|8CDMG|9AART
19	22643 13332	   	272.59	DCR|DCR|2MLV|1VULN|1CDMG	1VULN|2DUR|3ERES|4aMLV|5DUST|67RCR|8CDMG|9FEWX
20	22643 13362	   	272.59	DCR|DCR|2MLV|1VULN|1CDMG	1VULN|2DUR|3ERES|4aMLV|5DUST|67RCR|8CDMG|9LWND
21	61322 12388	   	270.79	DCR|DCR|2VULN|1MLV	1RPLT|2AAC|3MBVNT|47ERES|56VULN|8MLV|9aRCR
22	22643 13532	   	269.63	DCR|DCR|2VULN|1MLV	1aVULN|2DUR|3aERES|4MLV|5DUST|67RCR|8TBNT|9aLWND|aBPWR
23	21343 13352	   	268.64	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2BEXP|3ERES|4MLV|5DUST|67RCR|8CDMG|9DMG|aAME
24	21343 13355	   	268.64	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2BEXP|3ERES|4MLV|5aDUST|67RCR|8CDMG|9DMG
25	21343 13356	   	268.64	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2BEXP|3ERES|4MLV|5DUST|67RCR|8CDMG|9DMG|aLEGI
26	33343 13352	   	268.64	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1BEXP|2VULN|3ERES|4MLV|5DUST|67RCR|8CDMG|9DMG|aAME
27	33343 13355	   	268.64	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1BEXP|2VULN|3ERES|4MLV|5aDUST|67RCR|8CDMG|9DMG
28	33343 13356	   	268.64	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1BEXP|2VULN|3ERES|4MLV|5DUST|67RCR|8CDMG|9DMG|aLEGI
