0	Index      	 *	Score 	Summary	Detail	
1	12362 31121	 * 	267.22	DCR|4VULN|3DUR|1DMG|1CDMG|1RPLT	147DUR|2RPLT|348aVULN|4BPWR|5DMG|6CDMG|9RCR
2	35311 35124	 * 	266.06	DCR|DCR|2VULN|1MLV	1LHND|2AAC|3LWND|4LSRHEA|57VULN|6aRCR|8BBNT|9MLV
3	13663 23324	 * 	264.89	DCR|DCR|1VULN|1DMG|2DUR|1RPLT|1SELL	15DUR|2BELT|3BEXP|4VULN|6DMG|7RPLT|8SELL|9aRCR
4	12362 31521	 * 	264.66	DCR|3VULN|2DMG|3DUR|1CDMG|1RPLT	147DUR|2RPLT|34aVULN|4BPWR|58DMG|6CDMG|9RCR
5	12335 32163	 * 	261.65	DCR|3VULN|2ASPD|1MLV|2DUR|1AART|1RPLT	19DUR|2RPLT|359VULN|4AART|6ERES|7MLV|89ASPD|9BPWR|aRCR
6	12363 16216	 * 	259.71	DCR|5VULN|2DUR|1ASPD|1RPLT	14DUR|2RPLT|34789VULN|4BPWR|5MDPS|6ASPD|aRCR
7	12363 42216	   	259.71	DCR|5VULN|2DUR|1ASPD|1RPLT	14DUR|2RPLT|34689VULN|4BPWR|5MDPS|7ASPD|aRCR
8	33231 22143	   	258.39	DCR|DCR|2VULN|1AART	1578LHND|2BELT|3TBNT|48VULN|6AART|8BPWR|9aRCR
9	13163 53324	 * 	258.34	DCR|DCR|1VULN|1DMG|1RPLT|1SELL	1DUR|2BELT|36LWND|4VULN|5DMG|7RPLT|8SELL|9aRCR
10	33231 22443	   	258.29	DCR|DCR|2VULN|1AART	157LHND|2BELT|3TBNT|48VULN|6AART|9aRCR
11	51212 25124	 * 	257.22	ACR|DCR|2VULN|1DMG|1MLV	1LWND|2BEXP|36VULN|4CANTOX|5aRCR|7DMG|8BBNT|9MLV
12	51212 25324	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1LWND|2BEXP|36VULN|4CANTOX|5aRCR|7DMG|8TBNT|9MLV
13	16323 31223	 * 	253.95	DCR|DCR|2ASPD|1MLV|2DUR|1AART	17DUR|27CGEN|3LWND|4MLV|57ASPD|6AART|7BPWR|8aRCR|9LIT
14	12362 31221	 * 	253.39	DCR|3VULN|3DUR|1DMG|2CDMG|1RPLT	147DUR|2RPLT|34aVULN|4BPWR|5DMG|68CDMG|9RCR
15	12316 13246	   	252.07	DCR|DCR|1VULN|1CDMG|1RPLT	1DUR|2RPLT|3VULN|4LHND|5CGEN|6AAC|7aRCR|8TSLARM|9CDMG
16	12143 16411	   	251.99	DCR|3VULN|2ASPD|1MLV|2DUR|1RPLT	19DUR|2RPLT|39ASPD|4TBNT|5MLV|6AELOIC|7RCR|89aVULN|9BPWR
17	51313 12424	   	251.63	DCR|DCR|1VULN|1MLV|1ASPD	1LWND|2BEXP|3ASPD|4LSRHEA|5RCVC|6TBNT|7aRCR|8VULN|9MLV
18	21533 53521	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	19DUST|2FEWX|3AME|4CDMG|5VULN|6aRCR|7CGEN|8MLV
19	21533 52521	   	251.33	DCR|DCR|1VULN|1MLV|1CDMG	19DUST|2FEWX|3AME|4CDMG|5VULN|6aRCR|7ERES|8MLV
20	31226 41314	   	248.58	DCR|DCR|2VULN|1ZMB	17LHND|2BEXP|37VULN|4BBNT|57LWND|6aRCR|7BPWR|8BELT|9ZMB
21	11532 56121	 * 	248.52	DCR|DCR|1VULN|2CDMG	1DUR|2BEXP|3AME|47CDMG|59DUST|6aRCR|8VULN
22	12362 23424	   	248.47	DCR|4VULN|1DMG|2DUR|1RPLT	14DUR|2RPLT|347aVULN|4BPWR|5DMG|6LHND|8SNITOX|9RCR
23	21242 15131	   	248.28	DCR|DCR|2VULN|1SELL	1DUST|24FEWX|38VULN|5TLV|6aRCR|7SELL|9BEXP
24	21242 15161	   	248.28	DCR|DCR|2VULN|1SELL	1DUST|24FEWX|38VULN|5TLV|6aRCR|7SELL|9LHND
25	21252 15131	   	248.28	DCR|DCR|2VULN|1SELL	1DUST|2FEWX|38VULN|4RCVC|5TLV|6aRCR|7SELL|9BEXP
26	21252 15161	   	248.28	DCR|DCR|2VULN|1SELL	1DUST|2FEWX|38VULN|4RCVC|5TLV|6aRCR|7SELL|9LHND
27	31236 15151	   	248.28	DCR|DCR|2VULN|1SELL	15LHND|2BEXP|38VULN|4AME|6aRCR|7SELL|9LWND
28	21235 15151	   	248.08	DCR|DCR|2VULN|1SELL	15DUST|2FEWX|38VULN|4AME|6aRCR|7SELL|9LWND
29	11212 25134	   	247.99	ACR|DCR|2VULN|1DMG	1DUR|2BEXP|36VULN|4CANTOX|5aRCR|7DMG|8BBNT|9RMIN
30	11212 25334	   	247.99	ACR|DCR|2VULN|1DMG	1DUR|2BEXP|36VULN|4CANTOX|5aRCR|7DMG|8TBNT|9RMIN
31	14212 25134	   	247.99	ACR|DCR|2VULN|1DMG	1DUR|2FEWX|36VULN|4CANTOX|5aRCR|7DMG|8BBNT|9RMIN
32	14212 25334	   	247.99	ACR|DCR|2VULN|1DMG	1DUR|2FEWX|36VULN|4CANTOX|5aRCR|7DMG|8TBNT|9RMIN
33	12362 31122	   	247.08	DCR|3VULN|3DUR|1DMG|1CDMG|1RPLT	147DUR|2RPLT|348VULN|4BPWR|5DMG|6CDMG|9RCR|aLWND
34	12362 31123	   	247.08	DCR|3VULN|3DUR|1DMG|1CDMG|1RPLT	147DUR|2RPLT|348VULN|4BPWR|5DMG|6CDMG|9RCR|aAAC
35	12362 31126	   	247.08	DCR|3VULN|3DUR|1DMG|1CDMG|1RPLT	147DUR|2RPLT|348VULN|4BPWR|5DMG|6CDMG|9RCR|aBEXP
36	12362 31133	   	247.08	DCR|3VULN|3DUR|1DMG|1CDMG|1RPLT	147DUR|2RPLT|348VULN|4BPWR|5DMG|6CDMG|9CGEN|aRCR
37	12362 55113	   	247.08	DCR|3VULN|3DUR|1DMG|1CDMG|1RPLT	148DUR|2RPLT|347VULN|4BPWR|5DMG|6RMIN|9CDMG|aRCR
38	12362 65113	   	246.98	DCR|3VULN|3DUR|1DMG|1CDMG|1RPLT	148DUR|2RPLT|347VULN|4BPWR|5DMG|6ERES|9CDMG|aRCR
39	12362 31124	   	246.98	DCR|3VULN|3DUR|1DMG|1CDMG|1RPLT	147DUR|2RPLT|348VULN|4BPWR|5DMG|6CDMG|9RCR|aDUST
40	12362 31125	   	246.98	DCR|3VULN|3DUR|1DMG|1CDMG|1RPLT|1MSE	147DUR|2RPLT|348VULN|4BPWR|5DMG|6CDMG|9RCR|aMSE
41	12361 32122	 * 	246.70	DCR|3VULN|2MLV|3DUR|1RPLT	14aDUR|2RPLT|34aVULN|4aBPWR|5BBNT|6BEXP|7LWND|8RCR|9aMLV
42	12361 32342	   	246.70	DCR|3VULN|2MLV|3DUR|1RPLT	14aDUR|2RPLT|34aVULN|4aBPWR|5BBNT|6BEXP|7LWND|8aMLV|9RCR
43	12365 12342	   	246.60	DCR|3VULN|2MLV|3DUR|1RPLT	14aDUR|2RPLT|34aVULN|4aBPWR|5DUST|6BBNT|7LWND|8aMLV|9RCR
44	12143 26411	   	246.45	DCR|2VULN|2MLV|3DUR|1ASPD|1AART|1RPLT	169DUR|2RPLT|3ASPD|4TBNT|59MLV|7RCR|89VULN|9BPWR|aAART
45	15313 12424	   	246.29	DCR|DCR|1VULN|1MLV	1DUR|2AAC|3LWND|4LSRHEA|5RCVC|6TBNT|7aRCR|8VULN|9MLV
46	12336 32163	   	246.06	DCR|2VULN|2ASPD|2AART|1MLV|2DUR|1RPLT	19DUR|2RPLT|39VULN|46AART|5CGEN|7MLV|89ASPD|9BPWR|aRCR
47	12363 43216	   	246.06	DCR|5VULN|2DUR|1RPLT	14DUR|2RPLT|34689VULN|4BPWR|5MDPS|7AAC|aRCR
48	16222 15121	   	245.94	DCR|DCR|1VULN|1MLV|1SELL	1DUR|2CGEN|39DUST|4MLV|5TLV|6aRCR|7SELL|8VULN
49	26322 15121	   	245.94	DCR|DCR|1VULN|1MLV|1SELL	19DUST|2CGEN|3DUR|4MLV|5TLV|6aRCR|7SELL|8VULN
50	12125 62262	 * 	245.91	DCR|3VULN|3ASPD|2DUR|1RPLT	19DUR|2RPLT|379ASPD|4CGEN|5DUST|689VULN|9BPWR|aRCR
51	12362 43422	   	245.75	DCR|3VULN|1DMG|1MLV|2DUR|1RPLT	14DUR|2RPLT|347VULN|4BPWR|5DMG|6DUST|8SNITOX|9RCR|aMLV
52	15111 11314	   	245.07	DCR|DCR|1VULN|2DUR|1RPLT	1aDUR|2AAC|3RPLT|4LWND|5FEWX|69RCR|7VULN|8BELT
53	25114 11314	   	244.97	DCR|DCR|1VULN|2DUR|1RPLT	1DUST|2AAC|3RPLT|4LWND|5aDUR|69RCR|7VULN|8BELT
54	12335 32153	   	242.45	DCR|3VULN|1MLV|1ASPD|1AART|1RPLT	1DUR|2RPLT|359VULN|4AART|6ERES|7MLV|8ASPD|aRCR
55	11313 12254	   	242.41	DCR|DCR|1VULN|1ASPD	1DUR|2BEXP|3ASPD|4LSRHEA|5RCVC|6TBNT|7aRCR|8TLV|9VULN
56	11313 12434	   	242.41	DCR|DCR|1VULN|1ASPD	1DUR|2BEXP|3ASPD|4LSRHEA|5RCVC|6TBNT|7aRCR|8VULN|9RMIN
57	11313 12554	   	242.41	DCR|DCR|1VULN|1ASPD	1DUR|2BEXP|3ASPD|4LSRHEA|5RCVC|6TBNT|7aRCR|8RMIN|9VULN
58	14313 12354	   	242.41	DCR|DCR|1VULN|1ASPD	1DUR|2FEWX|3ASPD|4LSRHEA|5RCVC|6TBNT|7aRCR|8CGEN|9VULN
59	14313 12434	   	242.41	DCR|DCR|1VULN|1ASPD	1DUR|2FEWX|3ASPD|4LSRHEA|5RCVC|6TBNT|7aRCR|8VULN|9RMIN
60	16332 56321	   	242.31	DCR|DCR|1VULN|1CDMG	1DUR|2CGEN|3LWND|4CDMG|59DUST|6aRCR|7VULN|8RCVC
61	16234 53121	   	242.31	DCR|DCR|1VULN|1CDMG	1DUR|27CGEN|39DUST|4CDMG|5FEWX|6aRCR|8VULN
62	16332 53121	   	242.31	DCR|DCR|1VULN|1CDMG	1DUR|27CGEN|3LWND|4CDMG|59DUST|6aRCR|8VULN
63	26334 53121	   	242.31	DCR|DCR|1VULN|1CDMG	19DUST|27CGEN|3DUR|4CDMG|5FEWX|6aRCR|8VULN
64	11632 52121	   	242.11	DCR|DCR|1VULN|1CDMG	1DUR|2BEXP|37ERES|4CDMG|59DUST|6aRCR|8VULN
65	11632 56121	   	242.11	DCR|DCR|1VULN|1CDMG	1DUR|2BEXP|38ERES|4CDMG|59DUST|6aRCR|7VULN
66	14632 52121	   	242.11	DCR|DCR|1VULN|1CDMG	1DUR|2FEWX|37ERES|4CDMG|59DUST|6aRCR|8VULN
67	12362 31522	   	241.20	DCR|2VULN|2DMG|3DUR|1CDMG|1RPLT	147DUR|2RPLT|34VULN|4BPWR|58DMG|6CDMG|9RCR|aLWND
68	12362 31523	   	241.20	DCR|2VULN|2DMG|3DUR|1CDMG|1RPLT	147DUR|2RPLT|34VULN|4BPWR|58DMG|6CDMG|9RCR|aAAC
69	12362 31526	   	241.20	DCR|2VULN|2DMG|3DUR|1CDMG|1RPLT	147DUR|2RPLT|34VULN|4BPWR|58DMG|6CDMG|9RCR|aBEXP
70	12362 31533	   	241.20	DCR|2VULN|2DMG|3DUR|1CDMG|1RPLT	147DUR|2RPLT|34VULN|4BPWR|58DMG|6CDMG|9CGEN|aRCR
71	12362 31524	   	241.10	DCR|2VULN|2DMG|3DUR|1CDMG|1RPLT	147DUR|2RPLT|34VULN|4BPWR|58DMG|6CDMG|9RCR|aDUST
72	12362 31525	   	241.10	DCR|2VULN|2DMG|3DUR|1CDMG|1RPLT|1MSE	147DUR|2RPLT|34VULN|4BPWR|58DMG|6CDMG|9RCR|aMSE
73	16663 33233	 * 	240.96	DCR|DCR|1DMG|1MLV|1AART	1DUR|2CGEN|3LIT|4AART|5DMG|6aRCR|78DUST|9MLV
74	31532 56131	   	240.31	DCR|DCR|1VULN|2CDMG	19LHND|2BEXP|3AME|47CDMG|5DUST|6aRCR|8VULN
75	31532 56121	   	240.21	DCR|DCR|1VULN|2CDMG	1LHND|2BEXP|3AME|47CDMG|59DUST|6aRCR|8VULN
76	14243 31261	   	240.07	DCR|2VULN|3ASPD|1MLV|2DUR|1AART	17DUR|24FEWX|37VULN|579ASPD|6AART|7BPWR|8RCR|aMLV
77	14253 31261	   	240.07	DCR|2VULN|3ASPD|1MLV|2DUR|1AART	17DUR|2FEWX|37VULN|4RCVC|579ASPD|6AART|7BPWR|8RCR|aMLV
78	31212 25134	   	239.69	ACR|DCR|2VULN|1DMG	1LHND|2BEXP|36VULN|4CANTOX|5aRCR|7DMG|8BBNT|9RMIN
79	34212 25134	   	239.69	ACR|DCR|2VULN|1DMG	1LHND|2FEWX|36VULN|4CANTOX|5aRCR|7DMG|8BBNT|9RMIN
80	15111 11311	   	238.52	DCR|DCR|1VULN|1RPLT	1DUR|2AAC|3RPLT|4LWND|5FEWX|69RCR|7VULN|8BELT|aLIT
81	15111 11313	   	238.52	DCR|DCR|1VULN|1RPLT	1DUR|2AAC|3RPLT|4LWND|5aFEWX|69RCR|7VULN|8BELT
82	15111 11315	   	238.52	DCR|DCR|1VULN|1RPLT	1DUR|2AAC|3RPLT|4LWND|5FEWX|69RCR|7VULN|8BELT|aRCVC
83	35111 11314	   	238.52	DCR|DCR|1VULN|1RPLT	1LHND|2AAC|3RPLT|4LWND|5FEWX|69RCR|7VULN|8BELT|aDUR
84	53113 32243	   	238.52	DCR|DCR|1VULN|1AART	13LWND|2BELT|4DUR|5AART|6LHND|7FEWX|8VULN|9aRCR
85	53142 32243	   	238.52	DCR|DCR|1VULN|1AART	13LWND|2BELT|4AART|5DUR|6LHND|7FEWX|8VULN|9aRCR
86	55111 11314	   	238.52	DCR|DCR|1VULN|1RPLT	1LWND|2AAC|3RPLT|4LHND|5FEWX|69RCR|7VULN|8BELT|aDUR
87	15111 11312	   	238.42	DCR|DCR|1VULN|1RPLT	1DUR|2AAC|3RPLT|4LWND|5FEWX|69RCR|7VULN|8BELT|aERES
88	15111 11316	   	238.42	DCR|DCR|1VULN|1RPLT	1DUR|2AAC|3RPLT|4LWND|5FEWX|69RCR|7VULN|8BELT|aDUST
89	25114 11311	   	238.42	DCR|DCR|1VULN|1RPLT	1DUST|2AAC|3RPLT|4LWND|5DUR|69RCR|7VULN|8BELT|aLIT
90	25114 11313	   	238.42	DCR|DCR|1VULN|1RPLT	1DUST|2AAC|3RPLT|4LWND|5DUR|69RCR|7VULN|8BELT|aFEWX
91	25114 11315	   	238.42	DCR|DCR|1VULN|1RPLT	1DUST|2AAC|3RPLT|4LWND|5DUR|69RCR|7VULN|8BELT|aRCVC
92	53113 35243	   	238.42	DCR|DCR|1VULN|1AART	13LWND|2BELT|4DUR|5AART|6LHND|7DUST|8VULN|9aRCR
93	53113 52243	   	238.42	DCR|DCR|1VULN|1AART	13LWND|2BELT|4DUR|5AART|6LEGI|7FEWX|8VULN|9aRCR
94	53113 61243	   	238.42	DCR|DCR|1VULN|1AART	13LWND|2BELT|4DUR|5AART|6FEWX|7LEGI|8VULN|9aRCR
95	25114 11312	   	238.32	DCR|DCR|1VULN|1RPLT	1DUST|2AAC|3RPLT|4LWND|5DUR|69RCR|7VULN|8BELT|aERES
96	25114 11316	   	238.32	DCR|DCR|1VULN|1RPLT	1aDUST|2AAC|3RPLT|4LWND|5DUR|69RCR|7VULN|8BELT
97	13324 12624	   	238.03	DCR|DCR|1VULN|1RPLT|1ZMB|1SELL	1DUR|2BELT|3RMIN|4ZMB|5SELL|6RPLT|7VULN|8CGEN|9aRCR
98	35311 31124	   	237.98	DCR|DCR|1VULN|1MLV	17LHND|2AAC|3LWND|4LSRHEA|5VULN|6aRCR|8BBNT|9MLV
99	12362 43612	   	237.88	DCR|3VULN|1DMG|2DUR|1AART|1RPLT	14DUR|2RPLT|347VULN|4BPWR|5DMG|69DUST|8RCR|aAART
100	23344 15131	   	237.74	DCR|DCR|1VULN|1MLV|1SELL	1DUST|2RCVC|3LWND|4MLV|59LHND|6aRCR|7SELL|8VULN
101	36222 15131	   	237.74	DCR|DCR|1VULN|1MLV|1SELL	19LHND|2CGEN|3DUST|4MLV|5TLV|6aRCR|7SELL|8VULN
102	23344 15121	   	237.64	DCR|DCR|1VULN|1MLV|1SELL	19DUST|2RCVC|3LWND|4MLV|5LHND|6aRCR|7SELL|8VULN
103	36222 15121	   	237.64	DCR|DCR|1VULN|1MLV|1SELL	1LHND|2CGEN|39DUST|4MLV|5TLV|6aRCR|7SELL|8VULN
104	56222 15121	   	237.64	DCR|DCR|1VULN|1MLV|1SELL	1LWND|2CGEN|39DUST|4MLV|5TLV|6aRCR|7SELL|8VULN
105	21522 15121	   	237.54	DCR|DCR|1VULN|1MLV|1SELL	19DUST|2FEWX|3AME|4MLV|5TLV|6aRCR|7SELL|8VULN
106	21622 15121	   	237.54	DCR|DCR|1VULN|1MLV|1SELL	19DUST|2FEWX|3ERES|4MLV|5TLV|6aRCR|7SELL|8VULN
107	66222 15121	   	237.54	DCR|DCR|1VULN|1MLV|1SELL	1FEWX|2ERES|39DUST|4MLV|5TLV|6aRCR|7SELL|8VULN
108	21523 15121	   	237.44	DCR|DCR|1VULN|1MLV|1SELL	19DUST|2FEWX|3AME|4MLV|5ERES|6aRCR|7SELL|8VULN
