0	Index      	 *	Score 	Summary	Detail	
1	23432 23227	 * 	284.10	DCR|DCR|2DMG|1VULN|2ASPD	13DUST|23DMG|3BPWR|4TBNT|56ASPD|7aRCR|8VULN|9MBVNT
2	23321 22436	   	272.13	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1DUST|2DMG|3VULN|4LHND|5DUR|6aRCR|7RPLT|8BEXP|9CDMG
3	23412 21141	 * 	270.84	DCR|4VULN|3DMG|1CDMG	136DUST|235DMG|356BPWR|4569VULN|7CGEN|8CDMG|aRCR
4	23412 25141	   	270.84	DCR|4VULN|3DMG|1CDMG	136DUST|235DMG|356BPWR|4569VULN|7TLV|8CDMG|aRCR
5	23412 23141	   	270.74	DCR|4VULN|3DMG|1CDMG	136DUST|235DMG|356BPWR|4569VULN|7ERES|8CDMG|aRCR
6	61422 33116	 * 	270.24	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5TBNT|6ASPD|7ERES|89RCR|aDUR
7	61423 22116	 * 	270.24	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5ERES|6BBNT|7ASPD|89RCR|aDUR
8	43413 22352	   	267.56	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1ZMB|2TLV|3BEXP|4MLV|5VULN|69RCR|7RPLT|8CGEN|aDMG
9	23316 56231	 * 	265.42	ACR|DCR|2VULN|1DMG|1MLV	1DUST|2DMG|38VULN|4TLV|5aRCR|6DUR|7MBVNT|9MLV
10	61462 33111	 * 	262.18	DCR|DCR|2VULN|1ASPD	1BELT|23VULN|3BPWR|4AAC|5TBNT|6ASPD|7ERES|89RCR|aDMSP
11	61462 33112	   	262.18	DCR|DCR|2VULN|1ASPD	1BELT|23VULN|3BPWR|4AAC|5TBNT|6ASPD|7ERES|89RCR|aCGEN
12	61462 33113	   	262.18	DCR|DCR|2VULN|1ASPD	1BELT|23VULN|3BPWR|4AAC|5TBNT|6ASPD|7ERES|89RCR|aLHND
13	61463 22111	   	262.18	DCR|DCR|2VULN|1ASPD	1BELT|23VULN|3BPWR|4AAC|5ERES|6BBNT|7ASPD|89RCR|aDMSP
14	61463 22112	   	262.18	DCR|DCR|2VULN|1ASPD	1BELT|23VULN|3BPWR|4AAC|5ERES|6BBNT|7ASPD|89RCR|aCGEN
15	61463 22113	   	262.18	DCR|DCR|2VULN|1ASPD	1BELT|23VULN|3BPWR|4AAC|5ERES|6BBNT|7ASPD|89RCR|aLHND
16	43236 38143	 * 	262.04	ACR|DCR|2VULN|2MLV|1RPLT|2ZMB	19ZMB|2TLV|3LEGI|48RCR|59VULN|6MBVNT|79MLV|9BPWR|aRPLT
17	61426 22111	   	262.03	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5TLV|6BBNT|7ASPD|89RCR|aDMSP
18	61426 22112	   	262.03	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5TLV|6BBNT|7ASPD|89RCR|aCGEN
19	61426 22113	   	262.03	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5TLV|6BBNT|7ASPD|89RCR|aLHND
20	61422 33111	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5TBNT|6ASPD|7ERES|89RCR|aDMSP
21	61422 33112	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5TBNT|6ASPD|7ERES|89RCR|aCGEN
22	61422 33113	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5TBNT|6ASPD|7ERES|89RCR|aLHND
23	61422 33115	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5TBNT|6ASPD|7ERES|89RCR|aBBNT
24	61423 22111	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5ERES|6BBNT|7ASPD|89RCR|aDMSP
25	61423 22112	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5ERES|6BBNT|7ASPD|89RCR|aCGEN
26	61423 22113	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5ERES|6BBNT|7ASPD|89RCR|aLHND
27	61423 22115	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5ERES|6BBNT|7ASPD|89RCR|aTBNT
28	61451 22111	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ERES|5ZMB|6BBNT|7ASPD|89RCR|aDMSP
29	61451 22112	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ERES|5ZMB|6BBNT|7ASPD|89RCR|aCGEN
30	61451 22113	   	261.93	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ERES|5ZMB|6BBNT|7ASPD|89RCR|aLHND
31	61422 33114	   	261.83	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5TBNT|6ASPD|7ERES|89RCR|aDLOT
32	61423 22114	   	261.83	DCR|DCR|2VULN|1ASPD|1ZMB	1BELT|23VULN|3BPWR|4ZMB|5ERES|6BBNT|7ASPD|89RCR|aDLOT
33	32211 26266	   	261.05	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT|1SELL	1TLV|2LHND|3RPLT|4SELL|5MDPS|6ASPD|7VULN|8aRCR|9MLV
34	33612 22356	 * 	260.72	ACR|DCR|3VULN|1MLV	12TLV|34aVULN|59RCR|6LIT|7AAC|8MLV
35	52342 23227	   	259.96	DCR|DCR|1VULN|2ASPD|1CDMG|1SELL	1BBNT|2SELL|3FEWX|46ASPD|5CDMG|7aRCR|8VULN|9MBVNT
36	52342 23236	   	259.81	DCR|DCR|1VULN|2ASPD|1CDMG|2SELL	1BBNT|29SELL|3FEWX|46ASPD|5CDMG|7aRCR|8VULN
37	61433 62133	   	258.19	DCR|DCR|2VULN|1RPLT	1BELT|23VULN|3BPWR|4LWND|5RPLT|6AME|7aRCR|8TBNT|9LIT
38	23412 26215	   	257.19	DCR|4VULN|3DMG	136DUST|235DMG|356BPWR|4569VULN|7BELT|8LIT|aRCR
39	43413 22351	   	257.16	DCR|DCR|1VULN|1MLV|1AART|1RPLT|1ZMB	1ZMB|2TLV|3BEXP|4MLV|5VULN|69RCR|7RPLT|8CGEN|aAART
40	42322 14731	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|24LHND|38VULN|5MBVNT|6LWND|7aRCR|9DUR
41	42612 14731	   	256.59	DCR|DCR|2VULN|1ZMB	1ZMB|2LHND|3DMSP|48VULN|5MBVNT|6LWND|7aRCR|9DUR
