0	Index      	 *	Score 	Summary	Detail	
1	23242 51152	 * 	264.85	DCR|DCR|1VULN|1DMG|1MLV|1AART	1CGEN|2DUST|3VULN|4DMG|5LHND|6FEWX|7AART|89RCR|aMLV
2	62322 33333	 * 	258.55	DCR|DCR|2VULN|2DUR	1LHND|2TBNT|3MDPS|45VULN|6ERES|79RCR|8aDUR
3	62322 33331	   	252.00	DCR|DCR|2VULN	1LHND|2TBNT|3MDPS|45VULN|6ERES|79RCR|8DUR|aBEXP
4	62322 33332	   	252.00	DCR|DCR|2VULN	1aLHND|2TBNT|3MDPS|45VULN|6ERES|79RCR|8DUR
5	62322 33334	   	252.00	DCR|DCR|2VULN	1LHND|2TBNT|3MDPS|45VULN|6ERES|79RCR|8DUR|aBBNT
6	62322 33335	   	252.00	DCR|DCR|2VULN	1LHND|2TBNT|3MDPS|45VULN|6ERES|79RCR|8DUR|aFEWX
7	62322 33336	   	252.00	DCR|DCR|2VULN	1LHND|2TBNT|3MDPS|45VULN|6ERES|79RCR|8DUR|aRCVC
8	23323 12255	   	251.21	DCR|DCR|1VULN|1DMG|1CDMG	1CGEN|2DUST|3TLV|4DMG|5VULN|6LHND|7aRCR|8ERES|9CDMG
9	34121 25432	 * 	251.05	DCR|3VULN|2MLV|1DMG|2CDMG	129FEWX|39MLV|4DMG|57aVULN|69CDMG|8RCR|9BPWR
10	23242 51151	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2DUST|3VULN|4DMG|5LHND|6FEWX|7AART|89RCR|aLIT
11	23242 51153	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2DUST|3VULN|4DMG|5LHND|6FEWX|7AART|89RCR|aLWND
12	63141 22151	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1LHND|2RMIN|3LWND|4DMG|5VULN|6AART|7DUST|89RCR|aLIT
13	63141 22153	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1LHND|2RMIN|3aLWND|4DMG|5VULN|6AART|7DUST|89RCR
14	63141 31151	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1LHND|2RMIN|3LWND|4DMG|5VULN|6DUST|7AART|89RCR|aLIT
15	63141 31153	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1LHND|2RMIN|3aLWND|4DMG|5VULN|6DUST|7AART|89RCR
16	63141 22152	   	247.22	DCR|DCR|1VULN|1DMG|1AART	1LHND|2RMIN|3LWND|4DMG|5VULN|6AART|7DUST|89RCR|aAME
17	63141 31152	   	247.22	DCR|DCR|1VULN|1DMG|1AART	1LHND|2RMIN|3LWND|4DMG|5VULN|6DUST|7AART|89RCR|aAME
18	32113 26662	   	244.99	DCR|DCR|1VULN|1ASPD|1CDMG	1FEWX|2TBNT|3LHND|4AAC|5ASPD|6aRCR|7CDMG|8VULN|9BBNT
19	23343 12255	   	244.79	DCR|DCR|1VULN|1ASPD|1CDMG	1CGEN|2DUST|3TLV|4ASPD|5VULN|6LHND|7aRCR|8ERES|9CDMG
20	23262 51152	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1CGEN|2DUST|3VULN|4AAC|5LHND|6FEWX|7AART|89RCR|aMLV
21	62322 33111	   	243.60	DCR|DCR|2VULN	1LHND|2TBNT|3MDPS|45VULN|6ERES|7aRCR|8LSRREG|9BELT
22	22513 13212	   	237.66	DCR|DCR|1VULN|1DMG	1CGEN|2TBNT|3BELT|4ERES|5AAC|6DMG|7RMIN|89RCR|aVULN
23	25313 13212	   	237.66	DCR|DCR|1VULN|1DMG	1CGEN|2AAC|3AME|4TBNT|5BELT|6DMG|7RMIN|89RCR|aVULN
24	23141 42235	   	237.31	DCR|DCR|1VULN|1DMG|1SELL	1CGEN|2DUST|3LWND|4DMG|5VULN|6TLV|7aRCR|8ERES|9SELL
25	23323 12235	   	237.31	DCR|DCR|1VULN|1DMG|1SELL	1CGEN|2DUST|3TLV|4DMG|5VULN|6LHND|7aRCR|8ERES|9SELL
26	23242 42235	   	237.31	DCR|DCR|1VULN|1DMG|1SELL	1CGEN|2DUST|3VULN|4DMG|5LHND|6TLV|7aRCR|8ERES|9SELL
