0	Index      	 *	Score 	Summary	Detail	
1	13644 22133	 * 	298.84	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	13DMG|23VENICY|3BPWR|4VULN|5AME|6MLV|7CDMG|8aRCR|9AART
2	31611 11362	 * 	293.95	DCR|DCR|3VULN|1ASPD	134VULN|2DUR|5BEXP|6LIT|7ASPD|8aRCR|9BLASTR
3	32611 11362	   	285.64	DCR|DCR|3VULN|1ASPD	134VULN|2LHND|5BEXP|6LIT|7ASPD|8aRCR|9BLASTR
4	12636 51231	   	285.40	DCR|DCR|2DMG|1VULN|1ASPD|1CDMG	15DMG|2LIT|3TBNT|4AME|69RCR|7CDMG|8ASPD|aVULN
5	16216 21315	   	283.94	DCR|DCR|2DMG|1VULN|1MLV	17DMG|2RMIN|3DUR|4VULN|5MLV|6MDPS|8aRCR|9LWND
6	16216 21335	   	283.94	DCR|DCR|2DMG|1VULN|1MLV	17DMG|2RMIN|3DUR|4VULN|5MLV|6MDPS|8aRCR|9LHND
7	16251 42312	   	283.94	DCR|DCR|2DMG|1VULN|1MLV	18DMG|2RMIN|3DUR|4MLV|5AIRARM|6VULN|7aRCR|9LIT
8	16253 42312	   	283.94	DCR|DCR|2DMG|1VULN|1MLV	18DMG|2RMIN|3DUR|4MLV|5MSLTOX|6VULN|7aRCR|9LIT
9	13253 22133	   	281.41	DCR|DCR|2DMG|1VULN|1CDMG	16DMG|2VENICY|35LWND|4VULN|7CDMG|8aRCR|9AART
10	13531 22133	   	281.26	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1DMG|2VENICY|3AME|4RCVC|5VULN|6MLV|7CDMG|8aRCR|9AART
11	31611 16362	   	280.30	DCR|DCR|3VULN	134VULN|2DUR|5BEXP|6LIT|7AAC|8aRCR|9BLASTR
12	31264 42133	   	280.14	DCR|DCR|2VULN|1CDMG	15VULN|2DUR|3RCVC|4AAC|6VENTOX|7CDMG|8aRCR|9AART
13	31661 42133	   	280.04	DCR|DCR|2VULN|1CDMG	13VULN|2DUR|4AAC|5TSLARM|6AELOIC|7CDMG|8aRCR|9AART
14	31663 42133	   	280.04	DCR|DCR|2VULN|1CDMG	13VULN|2DUR|4AAC|5LSRHEA|6AELOIC|7CDMG|8aRCR|9AART
15	31651 42133	   	279.94	DCR|DCR|2VULN|1CDMG	13VULN|2DUR|4BASICY|5NUKE|6AELOIC|7CDMG|8aRCR|9AART
16	36631 11362	   	279.71	DCR|DCR|2VULN|1MLV|1ASPD	13VULN|2MLV|4CGEN|5BEXP|6LIT|7ASPD|8aRCR|9TSLFST
17	31621 11362	   	277.03	DCR|DCR|2VULN|2DUR|1ASPD	13VULN|25DUR|4BEXP|6LIT|7ASPD|8aRCR|9BLASTR
18	31212 56315	 * 	276.80	DCR|DCR|2VULN|1DMG	14VULN|2DUR|3RCVC|5MDPS|6DMG|7DUST|8aRCR|9LWND
19	31212 56335	   	276.80	DCR|DCR|2VULN|1DMG	14VULN|2DUR|3RCVC|5MDPS|6DMG|7DUST|8aRCR|9LHND
20	16412 21315	   	275.53	DCR|DCR|2DMG|1VULN|1MLV	17DMG|2RMIN|3DUST|4VULN|5MLV|6MDPS|8aRCR|9LWND
21	16412 21335	   	275.53	DCR|DCR|2DMG|1VULN|1MLV	17DMG|2RMIN|3DUST|4VULN|5MLV|6MDPS|8aRCR|9LHND
22	33652 23213	   	272.13	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2BELT|3FEWX|4RPLT|5DUR|6MDPS|7aRCR|8DMG|9CDMG
23	32611 16362	   	271.99	DCR|DCR|3VULN	134VULN|2LHND|5BEXP|6LIT|7AAC|8aRCR|9BLASTR
24	32264 42133	   	271.84	DCR|DCR|2VULN|1CDMG	15VULN|2LHND|3RCVC|4AAC|6VENTOX|7CDMG|8aRCR|9AART
25	32661 42133	   	271.74	DCR|DCR|2VULN|1CDMG	13VULN|2LHND|4AAC|5TSLARM|6AELOIC|7CDMG|8aRCR|9AART
26	32651 42133	   	271.64	DCR|DCR|2VULN|1CDMG	13VULN|2LHND|4BASICY|5NUKE|6AELOIC|7CDMG|8aRCR|9AART
27	31211 11362	   	270.48	DCR|DCR|2VULN|1ASPD	14VULN|2DUR|3RCVC|5BEXP|6LIT|7ASPD|8aRCR|9BLASTR
28	31641 11362	   	270.48	DCR|DCR|2VULN|1ASPD	13VULN|2DUR|4LWND|5RCVC|6LIT|7ASPD|8aRCR|9BLASTR
