0	Index      	 *	Score 	Summary	Detail	
1	61251 31326	 * 	299.65	DCR|DCR|3VULN|1DMG|1ASPD	1DMG|246VULN|3CGEN|5LHND|7ASPD|8DUST|9aRCR
2	31262 32426	 * 	284.45	DCR|DCR|2MLV|1VULN|1DMG|1ASPD	1RCVC|2ASPD|37MLV|4LHND|5DUST|6VULN|8DMG|9aRCR
3	31262 32636	   	284.45	DCR|DCR|2MLV|1VULN|1DMG|1ASPD	1RCVC|2ASPD|37MLV|4LHND|5DUST|6VULN|8aRCR|9DMG
4	63513 33236	 * 	283.03	ACR|DCR|3VULN|1DMG|1MLV	1DMG|2aRCR|347VULN|5MLV|6AAC|8LHND|9DUR
5	11613 21321	   	279.49	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7DMSP|8ASPD|aBBNT
6	11613 21323	   	279.49	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7DMSP|8ASPD|aRCVC
7	11613 21325	   	279.49	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7DMSP|8ASPD|aTLV
8	11613 21326	   	279.49	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7DMSP|8ASPD|aLWND
9	11613 24321	   	279.49	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7RCVC|8ASPD|aBBNT
10	11613 24323	   	279.49	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7aRCVC|8ASPD
11	11613 24325	   	279.49	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7RCVC|8ASPD|aTLV
12	11613 24326	   	279.49	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7RCVC|8ASPD|aLWND
13	11613 21322	   	279.39	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7DMSP|8ASPD|aBASARM
14	11613 21324	   	279.39	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7DMSP|8ASPD|aDLOT
15	11613 24322	   	279.39	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7RCVC|8ASPD|aBASARM
16	11613 24324	   	279.39	DCR|DCR|3VULN|1ASPD	13ERES|234VULN|3BPWR|5MSLFST|69RCR|7RCVC|8ASPD|aDLOT
17	61226 31326	   	277.51	DCR|DCR|2VULN|1DMG|1ASPD	1DMG|26VULN|3CGEN|45LHND|7ASPD|8DUST|9aRCR
18	22322 34313	   	276.08	DCR|DCR|2VULN|1MLV|2DUR	19DUR|2MLV|3FEWX|4TSLFST|57VULN|6aRCR|8BASARM
19	22352 34313	   	276.08	DCR|DCR|2VULN|1MLV|2DUR	19DUR|2MLV|3FEWX|4MULHEA|57VULN|6aRCR|8BASARM
20	22652 34313	   	276.08	DCR|DCR|2VULN|1MLV|2DUR	19DUR|2MLV|3FLTFST|4FEWX|57VULN|6aRCR|8BASARM
21	22612 33313	   	275.98	DCR|DCR|2VULN|1MLV|2DUR	19DUR|2MLV|3FLTFST|4DUST|57VULN|6aRCR|8BASARM
22	63513 32122	   	275.65	ACR|DCR|2VULN|1DMG|1MLV|1CDMG|1SELL	1DMG|2aRCR|34VULN|5MLV|6AAC|7RPLT|8SELL|9CDMG
23	23352 64332	   	275.41	DCR|DCR|2VULN|1ASPD	1DUR|2RPLT|39VULN|4LHND|5BEXP|6aRCR|7MBVNT|8ASPD
24	63136 21136	 * 	274.60	ACR|DCR|2VULN|2DMG|1ASPD	16DMG|2aRCR|3CGEN|4AME|56VULN|6BPWR|7ASPD|8TLV|9DUR
25	63513 21236	   	274.44	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	1DMG|2aRCR|34VULN|5MLV|6TLV|7ASPD|8AME|9DUR
26	23531 18382	 * 	273.11	DCR|DCR|2DMG|1VULN	1DUR|2RPLT|38DMG|4MBVNT|5ERES|6FEWX|7VULN|9aRCR
27	23531 54382	   	273.11	DCR|DCR|2DMG|1VULN	1DUR|2RPLT|38DMG|4MBVNT|5ERES|6VULN|7LHND|9aRCR
