0	Index      	 *	Score 	Summary	Detail	
1	51326 21513	 * 	298.88	DCR|DCR|2VULN|1DMG|2CDMG|2DUR	1AAC|28VULN|3DMG|48DUR|5DUST|6LHND|78CDMG|8BPWR|9aRCR
2	34232 12113	 * 	293.13	DCR|DCR|3VULN|1MLV	1DUST|256VULN|3MLV|4RPLT|7BEXP|8RMIN|9aRCR
3	34232 13113	   	293.13	DCR|DCR|3VULN|1MLV	1DUST|256VULN|3MLV|4RPLT|7LWND|8RMIN|9aRCR
4	34232 16113	   	293.13	DCR|DCR|3VULN|1MLV	1DUST|256VULN|3MLV|4RPLT|7LHND|8RMIN|9aRCR
5	36432 12113	   	293.13	DCR|DCR|3VULN|1MLV	1DUST|2MLV|356VULN|4RPLT|7BEXP|8RMIN|9aRCR
6	36432 13113	   	293.13	DCR|DCR|3VULN|1MLV	1DUST|2MLV|356VULN|4RPLT|7LWND|8RMIN|9aRCR
7	36432 16113	   	293.13	DCR|DCR|3VULN|1MLV	1DUST|2MLV|356VULN|4RPLT|7LHND|8RMIN|9aRCR
8	33321 63513	   	290.55	DCR|DCR|3VULN|2DUR	18DUST|2RPLT|37LWND|48DUR|568VULN|8BPWR|9aRCR
9	32421 31513	   	285.67	DCR|DCR|2VULN|2CDMG|1ASPD|1ZMB	1DUST|28LHND|3ASPD|4DUR|58VULN|6ZMB|78CDMG|8BPWR|9aRCR
10	31333 65513	   	284.00	DCR|DCR|3VULN	18DUST|2RCVC|3DUR|4RPLT|58LHND|678VULN|8BPWR|9aRCR
11	31332 15513	   	284.00	DCR|DCR|3VULN	18DUST|2RCVC|3DUR|4RPLT|578VULN|68LHND|8BPWR|9aRCR
12	33421 65213	   	283.90	DCR|DCR|3VULN	1DUST|2RPLT|3FEWX|4DUR|567VULN|8DMSP|9aRCR
13	21126 25241	   	279.59	DCR|DCR|3VULN|1ASPD	1BBNT|248VULN|3LHND|5ASPD|6aRCR|7BELT|9AIRHEA
14	34231 45213	   	279.30	DCR|DCR|2VULN|1MLV	1DUST|27VULN|3MLV|4RPLT|5DUR|6RMIN|8DMSP|9aRCR
15	34221 33113	   	279.20	DCR|DCR|2VULN|1MLV	17DUST|25VULN|3MLV|4DUR|6RPLT|8RMIN|9aRCR
16	34231 65213	   	279.20	DCR|DCR|2VULN|1MLV	1DUST|27VULN|3MLV|4RPLT|5DUR|6ERES|8DMSP|9aRCR
17	36421 33113	   	279.20	DCR|DCR|2VULN|1MLV	17DUST|2MLV|35VULN|4DUR|6RPLT|8RMIN|9aRCR
18	26234 24333	   	277.41	DCR|DCR|2VULN|1DMG|1CDMG	1BBNT|2CDMG|3VENFST|4DUST|5DMG|68RCR|7aVULN|9LIT
19	32411 31513	   	277.37	DCR|DCR|2VULN|2CDMG|1ASPD|1ZMB	1DUST|28LHND|3ASPD|4BEXP|58VULN|6ZMB|78CDMG|8BPWR|9aRCR
20	31233 65513	   	275.70	DCR|DCR|3VULN	18DUST|2RCVC|3BEXP|4RPLT|58LHND|678VULN|8BPWR|9aRCR
21	33361 63513	   	275.70	DCR|DCR|3VULN	18DUST|2RPLT|37LWND|48FEWX|568VULN|8BPWR|9aRCR
22	31232 15513	   	275.70	DCR|DCR|3VULN	18DUST|2RCVC|3BEXP|4RPLT|578VULN|68LHND|8BPWR|9aRCR
23	32532 33213	   	275.60	DCR|DCR|3VULN	13DUST|26LHND|4RPLT|567VULN|6BPWR|8BEXP|9aRCR
24	33132 63113	   	275.60	DCR|DCR|3VULN	17DUST|2RPLT|3ERES|47LHND|567VULN|7BPWR|8RMIN|9aRCR
25	42622 12113	   	275.60	DCR|DCR|3VULN	1CGEN|256VULN|3RPLT|4DUST|7BEXP|8RMIN|9aRCR
26	42622 13113	   	275.60	DCR|DCR|3VULN	1CGEN|256VULN|3RPLT|4DUST|7LWND|8RMIN|9aRCR
27	42622 16113	   	275.60	DCR|DCR|3VULN	1CGEN|256VULN|3RPLT|4DUST|7LHND|8RMIN|9aRCR
28	42632 13113	   	275.60	DCR|DCR|3VULN	1CGEN|256VULN|3RPLT|4BEXP|7DUST|8RMIN|9aRCR
29	32232 63113	   	275.50	DCR|DCR|3VULN	17DUST|2LHND|37AME|4RPLT|567VULN|7BPWR|8RMIN|9aRCR
30	42313 54213	   	273.36	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CGEN|2VULN|3DMG|4TLV|5DUR|6CDMG|7ASPD|8BEXP|9aRCR
31	51121 54313	   	271.20	DCR|DCR|2VULN|1ASPD|1CDMG	1AAC|25VULN|3BEXP|4LHND|6CDMG|7ASPD|8LWND|9aRCR
32	33432 55213	   	270.99	DCR|DCR|2VULN|1MLV	1DUST|2RPLT|3FEWX|4TLV|57VULN|6MLV|8DMSP|9aRCR
33	34232 22113	   	270.99	DCR|DCR|2VULN|1MLV	1DUST|25VULN|3MLV|4RPLT|6RCVC|7BEXP|8RMIN|9aRCR
34	34232 23113	   	270.99	DCR|DCR|2VULN|1MLV	1DUST|25VULN|3MLV|4RPLT|6RCVC|7LWND|8RMIN|9aRCR
35	34232 26113	   	270.99	DCR|DCR|2VULN|1MLV	1DUST|25VULN|3MLV|4RPLT|6RCVC|7LHND|8RMIN|9aRCR
36	36432 22113	   	270.99	DCR|DCR|2VULN|1MLV	1DUST|2MLV|35VULN|4RPLT|6RCVC|7BEXP|8RMIN|9aRCR
37	36432 23113	   	270.99	DCR|DCR|2VULN|1MLV	1DUST|2MLV|35VULN|4RPLT|6RCVC|7LWND|8RMIN|9aRCR
38	36432 26113	   	270.99	DCR|DCR|2VULN|1MLV	1DUST|2MLV|35VULN|4RPLT|6RCVC|7LHND|8RMIN|9aRCR
39	32232 55313	   	270.89	DCR|DCR|2VULN|1MLV	1DUST|2LHND|3AME|4RPLT|57VULN|6MLV|8aRCR|9RCVC
40	33132 55313	   	270.89	DCR|DCR|2VULN|1MLV	1DUST|2RPLT|3ERES|4LHND|57VULN|6MLV|8aRCR|9RCVC
41	34232 32113	   	270.89	DCR|DCR|2VULN|1MLV	16DUST|25VULN|3MLV|4RPLT|7BEXP|8RMIN|9aRCR
42	34232 33113	   	270.89	DCR|DCR|2VULN|1MLV	16DUST|25VULN|3MLV|4RPLT|7LWND|8RMIN|9aRCR
43	34232 36113	   	270.89	DCR|DCR|2VULN|1MLV	16DUST|25VULN|3MLV|4RPLT|7LHND|8RMIN|9aRCR
44	36432 32113	   	270.89	DCR|DCR|2VULN|1MLV	16DUST|2MLV|35VULN|4RPLT|7BEXP|8RMIN|9aRCR
45	36432 33113	   	270.89	DCR|DCR|2VULN|1MLV	16DUST|2MLV|35VULN|4RPLT|7LWND|8RMIN|9aRCR
46	36432 36113	   	270.89	DCR|DCR|2VULN|1MLV	16DUST|2MLV|35VULN|4RPLT|7LHND|8RMIN|9aRCR
47	32232 55333	   	270.79	DCR|DCR|2VULN|1MLV	19DUST|2LHND|3AME|4RPLT|57VULN|6MLV|8aRCR
48	33132 55333	   	270.79	DCR|DCR|2VULN|1MLV	19DUST|2RPLT|3ERES|4LHND|57VULN|6MLV|8aRCR
49	33132 55613	   	270.79	DCR|DCR|2VULN|1MLV	1DUST|2RPLT|38ERES|4LHND|57VULN|6MLV|9aRCR
50	51342 24213	 * 	268.99	DCR|DCR|2DMG|1VULN|1CDMG	1AAC|2VULN|34DMG|5FEWX|6LWND|7CDMG|8BEXP|9aRCR
51	26224 24323	   	268.89	DCR|DCR|2DMG|1VULN|1CDMG	1BBNT|2CDMG|3VENFST|4LWND|5aDMG|68RCR|7VULN|9DMSP
