0	Index      	 *	Score 	Summary	Detail	
1	12153 51111	 * 	284.54	DCR|DCR|2VULN|1MLV|1ASPD|1RPLT	1BBNT|2ASPD|3MLV|4MSLFST|5AELOIC|6RPLT|79RCR|8aVULN
2	12465 21111	 * 	279.56	DCR|DCR|2VULN|2ASPD|1RPLT	1BBNT|25ASPD|3RPLT|45TSLFST|5BPWR|6CGEN|79RCR|8aVULN
3	12465 11111	   	279.46	DCR|DCR|2VULN|2ASPD|1RPLT	1BBNT|25ASPD|3RPLT|45TSLFST|5BPWR|6ERES|79RCR|8aVULN
4	52112 65333	   	268.51	DCR|DCR|2VULN|2DUR|1AART	19BEXP|2AART|3CGEN|4RCVC|59DUR|69VULN|7MBVNT|8aRCR|9BPWR
5	42112 65333	   	268.31	DCR|DCR|2VULN|2DUR|1AART	19DUST|2AART|3CGEN|4RCVC|59DUR|69VULN|7MBVNT|8aRCR|9BPWR
6	12462 21111	   	267.11	DCR|DCR|2VULN|1ASPD|1RPLT	1BBNT|2ASPD|3RPLT|4TSLFST|5RCVC|6CGEN|79RCR|8aVULN
7	12462 51111	   	267.11	DCR|DCR|2VULN|1ASPD|1RPLT	1BBNT|2ASPD|3RPLT|4TSLFST|5RCVC|6TLV|79RCR|8aVULN
8	12462 11111	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1BBNT|2ASPD|3RPLT|4TSLFST|5RCVC|6ERES|79RCR|8aVULN
9	12653 51111	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1BBNT|2ASPD|3CGEN|4MSLFST|5AELOIC|6RPLT|79RCR|8aVULN
10	12153 51113	   	266.64	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1BBNT|2ASPD|3MLV|4MSLFST|5AELOIC|6RPLT|79RCR|8VULN|aDUR
11	12153 51211	   	266.64	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1BBNT|2ASPD|3MLV|4MSLFST|5AELOIC|6RPLT|79RCR|8DUR|aVULN
12	22263 53223	 * 	266.57	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1FEWX|2AART|3ERES|4DMG|5aRCR|6ASPD|7DUR|89VULN
13	52263 53223	   	266.57	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1BEXP|2AART|3ERES|4DMG|5aRCR|6ASPD|7DUR|89VULN
14	42263 53223	   	266.47	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1DUST|2AART|3ERES|4DMG|5aRCR|6ASPD|7DUR|89VULN
15	12465 21113	   	261.66	DCR|DCR|1VULN|2ASPD|1RPLT	1BBNT|25ASPD|3RPLT|45TSLFST|5BPWR|6CGEN|79RCR|8VULN|aDUR
16	12465 21211	   	261.66	DCR|DCR|1VULN|2ASPD|1RPLT	1BBNT|25ASPD|3RPLT|45TSLFST|5BPWR|6CGEN|79RCR|8DUR|aVULN
17	12465 11211	   	261.56	DCR|DCR|1VULN|2ASPD|1RPLT	1BBNT|25ASPD|3RPLT|45TSLFST|5BPWR|6ERES|79RCR|8DUR|aVULN
18	22452 13341	 * 	259.12	DCR|DCR|2DMG|2ASPD|1AART	19FEWX|2AART|34RCVC|5DUST|69DMG|79ASPD|8aRCR|9BPWR
19	12153 51114	   	258.34	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1BBNT|2ASPD|3MLV|4MSLFST|5AELOIC|6RPLT|79RCR|8VULN|aBEXP
20	12153 51115	   	258.34	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1BBNT|2ASPD|3MLV|4MSLFST|5AELOIC|6RPLT|79RCR|8VULN|aLWND
21	12153 51112	   	258.24	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1BBNT|2ASPD|3MLV|4MSLFST|5AELOIC|6RPLT|79RCR|8VULN|aERES
22	12153 51411	   	258.24	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1BBNT|2ASPD|3MLV|4MSLFST|5AELOIC|6RPLT|79RCR|8DUST|aVULN
