0	Index      	 *	Score 	Summary	Detail	
1	11116 34523	 * 	291.05	DCR|3LIT|3VULN|1MLV|1CDMG	19ERES|289VULN|3MLV|4CDMG|569LIT|7RPLT|9BPWR|aRCR
2	22631 14262	 * 	290.97	DCR|3LIT|2FLTARM|2VULN	19LHND|2CGEN|39VULN|4RMIN|568LIT|79FLTARM|9BPWR|aRCR
3	32631 14262	   	290.97	DCR|3LIT|2FLTARM|2VULN	19CGEN|2LHND|39VULN|4RMIN|568LIT|79FLTARM|9BPWR|aRCR
4	12631 14262	   	290.77	DCR|3LIT|2FLTARM|2VULN	19ERES|2LHND|39VULN|4RMIN|568LIT|79FLTARM|9BPWR|aRCR
5	23225 52152	 * 	278.88	DCR|2LIT|2VULN|1MLV|2CDMG|1ASPD	1LHND|24LIT|34CDMG|4BPWR|5ASPD|6RCR|7MLV|8RPLT|9aVULN
6	23225 52432	   	278.88	DCR|2LIT|2VULN|1MLV|2CDMG|1ASPD	1LHND|24LIT|34CDMG|4BPWR|5ASPD|6RCR|7MLV|8aVULN|9RPLT
7	31326 16533	 * 	276.59	ACR|3LIT|2MLV|3VULN	19CGEN|29aVULN|368LIT|4RCR|5RMIN|79MLV|9BPWR
8	23225 54133	 * 	276.49	DCR|3LIT|2VULN|2ASPD|2CDMG|1SELL	1aLHND|249LIT|34CDMG|4aBPWR|5aASPD|6RCR|7aVULN|8SELL
9	23215 24324	   	273.75	DCR|2LIT|3VULN|1MLV|1CDMG	1LHND|29LIT|3CDMG|457VULN|6MLV|8BELT|aRCR
10	15253 43331	 * 	272.57	DCR|3LIT|3VULN|1DMG	18ERES|23BELT|4DMG|58aVULN|6RCR|789LIT|8BPWR
11	31326 14262	 * 	271.77	ACR|3LIT|2FLTARM|2VULN	19CGEN|29VULN|368LIT|4RCR|5aRMIN|79FLTARM|9BPWR
12	31326 14261	   	271.67	ACR|3LIT|2FLTARM|2VULN|1DUR	19CGEN|29VULN|368LIT|4RCR|5RMIN|79FLTARM|9BPWR|aDUR
13	31326 14263	   	271.67	ACR|3LIT|2FLTARM|2VULN	19CGEN|29VULN|368LIT|4RCR|5RMIN|79FLTARM|9BPWR|aERES
14	11326 14262	   	271.57	ACR|3LIT|2FLTARM|2VULN	19ERES|29VULN|368LIT|4RCR|5aRMIN|79FLTARM|9BPWR
15	11326 14261	   	271.47	ACR|3LIT|2FLTARM|2VULN|1DUR	19ERES|29VULN|368LIT|4RCR|5RMIN|79FLTARM|9BPWR|aDUR
16	11326 14263	   	271.47	ACR|3LIT|2FLTARM|2VULN	19aERES|29VULN|368LIT|4RCR|5RMIN|79FLTARM|9BPWR
17	23221 41451	 * 	270.23	DCR|3LIT|1FLTARM|1MLV|2CDMG|1ASPD	1LHND|245LIT|34CDMG|4BPWR|6ASPD|7FLTHEA|8MLV|9RCR|aFLTARM
18	23221 63451	   	270.13	DCR|3LIT|1FLTARM|1MLV|2CDMG|1ASPD	1LHND|245LIT|34CDMG|4BPWR|6TSLARM|7ASPD|8MLV|9RCR|aFLTARM
19	23221 25524	 * 	268.87	DCR|3LIT|3VULN|2CDMG	1LHND|245LIT|34CDMG|4BPWR|69aVULN|7BASICY|8RCR
20	23221 26524	   	268.87	DCR|3LIT|3VULN|2CDMG	1LHND|245LIT|34CDMG|4BPWR|69aVULN|7BLASTR|8RCR
21	31323 41524	   	267.59	ACR|2LIT|3VULN|1MLV|1AART|2ZMB	19CGEN|269VULN|38LIT|4RCR|5MLV|79ZMB|9BPWR|aAART
22	11161 11524	   	267.39	ACR|2LIT|3VULN|1MLV|1AART|2ZMB	19ERES|289VULN|3MLV|4RCR|56LIT|79ZMB|9BPWR|aAART
23	11323 11524	   	267.39	ACR|2LIT|3VULN|1MLV|1AART|2ZMB	19ERES|289VULN|36LIT|4RCR|5MLV|79ZMB|9BPWR|aAART
24	31116 65331	 * 	266.66	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1CGEN|2VULN|3MLV|4CDMG|59LIT|6LWND|7VENICY|8RCR|aFLTARM
25	11366 14133	   	265.80	DCR|3LIT|2VULN|1MLV	17ERES|2aVULN|379LIT|4ZMB|5MLV|67CGEN|7BPWR|8RCR
26	31642 42164	   	265.50	DCR|2LIT|3VULN|1MLV	16aCGEN|23aVULN|4MLV|5MBVNT|7RCR|8ERES|9aLIT|aBPWR
27	31161 41521	   	264.99	ACR|2LIT|3VULN|1MLV|1ASPD|2ZMB	19CGEN|269VULN|3MLV|4RCR|58LIT|79ZMB|9BPWR|aASPD
28	31323 41521	   	264.99	ACR|2LIT|3VULN|1MLV|1ASPD|2ZMB	19CGEN|269VULN|38LIT|4RCR|5MLV|79ZMB|9BPWR|aASPD
29	23226 31625	   	264.97	DCR|2LIT|2VULN|1MLV|2CDMG	15LHND|24LIT|34CDMG|4BPWR|6ZMB|7MLV|89VULN|aRCR
30	11161 11521	   	264.79	ACR|2LIT|3VULN|1MLV|1ASPD|2ZMB	19ERES|289VULN|3MLV|4RCR|56LIT|79ZMB|9BPWR|aASPD
31	11323 11521	   	264.79	ACR|2LIT|3VULN|1MLV|1ASPD|2ZMB	19ERES|289VULN|36LIT|4RCR|5MLV|79ZMB|9BPWR|aASPD
32	31431 14262	   	264.77	DCR|3LIT|2FLTARM|1VULN	19CGEN|2VULN|39LWND|4RMIN|568LIT|79FLTARM|9BPWR|aRCR
33	11431 14262	   	264.57	DCR|3LIT|2FLTARM|1VULN	19ERES|2VULN|39LWND|4RMIN|568LIT|79FLTARM|9BPWR|aRCR
34	31231 14262	   	264.57	DCR|3LIT|2FLTARM|1VULN	19CGEN|2VULN|39DUST|4RMIN|568LIT|79FLTARM|9BPWR|aRCR
35	11463 12115	 * 	264.40	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|279VULN|3LWND|4DMG|5FEWX|6RCR|8MLV|aLIT
36	12663 12115	   	264.40	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|2LHND|379VULN|4DMG|5FEWX|6RCR|8MLV|aLIT
37	22663 12115	   	264.40	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1LHND|2CGEN|379VULN|4DMG|5DUR|6RCR|8MLV|aLIT
38	31463 12115	   	264.40	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1CGEN|279VULN|3LWND|4DMG|5DUR|6RCR|8MLV|aLIT
39	32663 12115	   	264.40	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1CGEN|2LHND|379VULN|4DMG|5DUR|6RCR|8MLV|aLIT
40	11463 12532	   	264.40	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|27aVULN|3LWND|4DMG|5FEWX|6RCR|8LIT|9MLV
41	12663 12532	   	264.40	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|2LHND|37aVULN|4DMG|5FEWX|6RCR|8LIT|9MLV
42	11231 14262	   	264.37	DCR|3LIT|2FLTARM|1VULN	19ERES|2VULN|39DUST|4RMIN|568LIT|79FLTARM|9BPWR|aRCR
43	11263 12115	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|279VULN|3DUST|4DMG|5FEWX|6RCR|8MLV|aLIT
44	31263 12115	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1CGEN|279VULN|3DUST|4DMG|5DUR|6RCR|8MLV|aLIT
45	31264 12115	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1CGEN|279VULN|3DUST|4DMG|5LEGI|6RCR|8MLV|aLIT
46	11263 12532	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|27aVULN|3DUST|4DMG|5FEWX|6RCR|8LIT|9MLV
47	31263 12535	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1CGEN|27aVULN|3DUST|4DMG|5DUR|6RCR|8LIT|9MLV
48	11264 12115	   	264.20	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|279VULN|3DUST|4DMG|5LEGI|6RCR|8MLV|aLIT
49	11264 12532	   	264.20	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|27aVULN|3DUST|4DMG|5LEGI|6RCR|8LIT|9MLV
50	31324 16521	   	264.10	ACR|2LIT|2MLV|3VULN|1ASPD	19CGEN|289VULN|36LIT|4RCR|5ERES|79MLV|9BPWR|aASPD
51	23225 54333	   	264.08	DCR|3LIT|2VULN|2CDMG|1ASPD	1LHND|24aLIT|34CDMG|4BPWR|5ASPD|6RCR|78VULN|9AART
52	11324 16521	   	263.95	ACR|2LIT|2MLV|3VULN|1ASPD	19ERES|289VULN|36LIT|4RCR|5CGEN|79MLV|9BPWR|aASPD
53	11323 41524	 * 	263.68	ACR|4VULN|1LIT|1MLV|1AART|2ZMB	19ERES|2689VULN|3LIT|4RCR|5MLV|79ZMB|9BPWR|aAART
