0	Index      	 *	Score 	Summary	Detail	
1	32235 22522	 * 	318.61	DCR|3LIT|3VULN|1FLTARM|1MLV|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9BEXP|aMLV
2	32235 22532	 * 	313.52	DCR|3LIT|3VULN|1FLTARM|1DMG|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9DMG|aZMB
3	34222 21562	 * 	313.22	DCR|2LIT|2MLV|3VULN|1CDMG|1ASPD	167VULN|28LIT|34MLV|5ASPD|9CDMG|aRCR
4	32235 32363	 * 	311.06	DCR|3LIT|4VULN|1FLTARM	1248VULN|24BPWR|345LIT|6LWND|7FLTARM|9RCR|aZMB
5	32231 23641	 * 	310.69	DCR|2LIT|4VULN|2MLV	1246VULN|24BPWR|34LIT|5LHND|7aMLV|8AART|9RCR
6	32232 23641	   	310.69	DCR|2LIT|4VULN|2MLV	1246VULN|24BPWR|34LIT|5LWND|7aMLV|8AART|9RCR
7	34222 21462	   	307.66	DCR|4VULN|2MLV|1LIT|1CDMG|1ASPD	1678VULN|2LIT|34MLV|5ASPD|9CDMG|aRCR
8	32235 22542	   	307.10	DCR|3LIT|3VULN|1FLTARM|1ASPD|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9ASPD|aZMB
9	32235 22525	   	306.58	DCR|3LIT|3VULN|1FLTARM|1DMG|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9BEXP|aDMG
10	32235 22531	   	306.58	DCR|3LIT|3VULN|1FLTARM|1DMG|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9DMG|aCGEN
11	32235 22534	   	306.58	DCR|3LIT|3VULN|1FLTARM|1DMG|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9DMG|aBEXP
12	32235 22536	   	306.58	DCR|3LIT|3VULN|1FLTARM|1DMG|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9DMG|aTLV
13	32233 52366	   	306.53	DCR|2LIT|4VULN|1MLV|1DMG	1248VULN|24BPWR|34LIT|5DUST|6RCR|7TLV|9DMG|aMLV
14	32233 53535	   	306.53	DCR|2LIT|4VULN|1MLV|1DMG	1248VULN|24BPWR|34LIT|5DUST|6RCR|7BELT|9DMG|aMLV
15	32235 22533	   	306.48	DCR|3LIT|3VULN|1FLTARM|1DMG|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9DMG|aDUR
16	32235 22521	   	305.68	DCR|3LIT|4VULN|1FLTARM|1SELL	124aVULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9BEXP
17	32235 22562	   	305.68	DCR|3LIT|4VULN|1FLTARM|1SELL	124aVULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9RPLT
18	32234 23435	 * 	305.30	DCR|3LIT|4VULN|1MLV	1246VULN|24BPWR|34aLIT|5DUR|7MLV|8ZMB|9RCR
19	31231 21613	   	305.09	DCR|2LIT|4VULN|1FLTARM|1DMG	1467VULN|2RCVC|34LIT|4BPWR|5LHND|8FLTARM|9DMG|aRCR
20	31232 21613	   	305.09	DCR|2LIT|4VULN|1FLTARM|1DMG	1467VULN|2RCVC|34LIT|4BPWR|5LWND|8FLTARM|9DMG|aRCR
21	32234 23433	 * 	304.90	DCR|5VULN|2LIT|1MLV	1246aVULN|24BPWR|34LIT|5DUR|7MLV|8ZMB|9RCR
