0	Index      	 *	Score 	Summary	Detail	
1	12241 32616	 * 	277.15	DCR|2LIT|3VULN|1MLV|1ASPD	1DUST|2SNITOX|3MLV|4ASPD|567VULN|8RCR|9aLIT
2	12251 32115	 * 	274.44	DCR|3VULN|1LIT|1FLTARM|1MLV	1DUST|2SNITOX|3MLV|4CGEN|567VULN|8RCR|9LIT|aFLTARM
3	16331 32115	   	274.44	DCR|3VULN|1LIT|1FLTARM|1MLV	1DUST|2MLV|3TLV|4LSRREG|567VULN|8RCR|9LIT|aFLTARM
4	26624 31243	 * 	266.98	DCR|1LIT|2VULN|2DMG|1MLV	1aLHND|2MLV|3MBVNT|4aVULN|5ZMB|6RCR|7LIT|8aDMG|9RPLT|aBPWR
5	12241 36316	 * 	265.67	DCR|2LIT|2VULN|1MLV|2ASPD	1DUST|2SNITOX|3MLV|48ASPD|56VULN|7aLIT|9RCR
6	43521 33433	 * 	264.09	DCR|1LIT|2VULN|3DMG|1ASPD	14VULN|2LHND|3ASPD|579DMG|6RCR|8ZMB|aLIT
7	12251 32116	   	263.50	DCR|2LIT|3VULN|1MLV	1DUST|2SNITOX|3MLV|4CGEN|567VULN|8RCR|9aLIT
8	16331 32116	   	263.50	DCR|2LIT|3VULN|1MLV	1DUST|2MLV|3TLV|4LSRREG|567VULN|8RCR|9aLIT
9	26624 31225	   	262.85	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2MLV|3MBVNT|4aVULN|5ZMB|6RCR|7LIT|8DMG|9ASPD
10	16552 32132	 * 	262.78	DCR|2MLV|1LIT|2VULN|1DMG	1DUST|24MLV|3ZMB|5LIT|6RCR|7RPLT|8DMG|9aVULN
11	12411 12616	 * 	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1DUST|2SNITOX|3DMG|4RCVC|5MLV|67VULN|8RCR|9aLIT
12	51522 33412	   	259.51	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1CGEN|23LIT|4ZMB|5DUR|6RCR|7VULN|8CDMG|9MLV|aDMG
13	51522 36312	   	259.51	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1CGEN|23LIT|4ZMB|5DUR|6RCR|7CDMG|8VULN|9MLV|aDMG
14	61522 33412	   	259.41	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1DUR	1ERES|23LIT|4ZMB|5DUR|6RCR|7VULN|8CDMG|9MLV|aDMG
