0	Index      	 *	Score 	Summary	Detail	
1	26363 32262	 * 	335.52	DCR|4VULN|1LIT|3DMG|2ASPD|3CDMG	134DMG|2349VULN|349BPWR|5LIT|69aCDMG|7RCR|89ASPD
2	26363 33236	 * 	330.86	DCR|2LIT|3VULN|3DMG|1MLV|1CDMG	134DMG|234VULN|34BPWR|57LIT|6CDMG|8RCR|9BEXP|aMLV
3	26363 32261	   	329.38	DCR|4VULN|1LIT|3DMG|2ASPD|2CDMG	134DMG|2349VULN|349BPWR|5LIT|69CDMG|7RCR|89ASPD|aMBVNT
4	26363 32263	   	329.38	DCR|4VULN|1LIT|3DMG|2ASPD|2CDMG	134DMG|2349VULN|349BPWR|5LIT|69CDMG|7RCR|89ASPD|aERES
5	26363 32234	   	323.44	DCR|3VULN|1LIT|3DMG|1MLV|1CDMG|1ASPD	134DMG|234VULN|34BPWR|5LIT|6CDMG|7RCR|8ASPD|9BEXP|aMLV
6	26363 33221	 * 	317.93	DCR|2LIT|4VULN|3DMG|1CDMG	134DMG|2349VULN|34BPWR|57LIT|6CDMG|8RCR|aRCVC
7	26363 33223	   	317.93	DCR|2LIT|4VULN|3DMG|1CDMG	134DMG|2349VULN|34BPWR|57LIT|6CDMG|8RCR|aLWND
8	26363 33225	   	317.93	DCR|2LIT|4VULN|3DMG|1CDMG	134DMG|2349VULN|34BPWR|57LIT|6CDMG|8RCR|aCGEN
9	26363 33224	   	317.83	DCR|2LIT|4VULN|3DMG|1CDMG	134DMG|2349VULN|34BPWR|57LIT|6CDMG|8RCR|aERES
10	26363 33243	   	317.83	DCR|2LIT|4VULN|3DMG|1CDMG	134DMG|234aVULN|34BPWR|57LIT|6CDMG|8RCR|9VENICY
11	26363 33261	 * 	316.06	DCR|3LIT|3VULN|3DMG|1CDMG	134DMG|234VULN|34BPWR|579LIT|6CDMG|8RCR|aCGEN
12	26363 33262	   	315.96	DCR|3LIT|3VULN|3DMG|1CDMG	134DMG|234VULN|34BPWR|579LIT|6CDMG|8RCR|aBLAICY
13	26363 33263	   	315.96	DCR|3LIT|3VULN|3DMG|1CDMG	134DMG|234VULN|34BPWR|579LIT|6CDMG|8RCR|aTSLARM
14	26363 33211	   	312.42	DCR|2LIT|3VULN|3DMG|1CDMG|1ASPD	134DMG|234VULN|34BPWR|57LIT|6CDMG|8RCR|9ASPD|aTLV
15	26363 33216	   	312.42	DCR|2LIT|3VULN|3DMG|1ASPD|1CDMG	134DMG|234VULN|34BPWR|57LIT|6CDMG|8RCR|9ASPD|aFEWX
16	26363 33212	   	312.32	DCR|2LIT|3VULN|3DMG|1ASPD|1CDMG	134DMG|234VULN|34BPWR|57LIT|6CDMG|8RCR|9ASPD|aERES
17	26363 33213	   	312.32	DCR|2LIT|3VULN|3DMG|1ASPD|1CDMG	134DMG|234VULN|34BPWR|57LIT|6CDMG|8RCR|9ASPD|aLEGI
18	26363 33214	   	312.32	DCR|2LIT|3VULN|3DMG|1ASPD|1CDMG	134DMG|234VULN|34BPWR|57LIT|6CDMG|8RCR|9ASPD|aDUR
19	26363 32211	   	310.51	DCR|4VULN|1LIT|3DMG|1CDMG|1ASPD	134DMG|2349VULN|34BPWR|5LIT|6CDMG|7RCR|8ASPD|aTLV
20	26363 32216	   	310.51	DCR|4VULN|1LIT|3DMG|1ASPD|1CDMG	134DMG|2349VULN|34BPWR|5LIT|6CDMG|7RCR|8ASPD|aFEWX
21	26363 32235	   	310.51	DCR|4VULN|1LIT|3DMG|1ASPD|1CDMG	134DMG|234aVULN|34BPWR|5LIT|6CDMG|7RCR|8ASPD|9BEXP
22	26363 32212	   	310.41	DCR|4VULN|1LIT|3DMG|1ASPD|1CDMG	134DMG|2349VULN|34BPWR|5LIT|6CDMG|7RCR|8ASPD|aERES
23	26363 32213	   	310.41	DCR|4VULN|1LIT|3DMG|1ASPD|1CDMG	134DMG|2349VULN|34BPWR|5LIT|6CDMG|7RCR|8ASPD|aLEGI
24	26363 32214	   	310.41	DCR|4VULN|1LIT|3DMG|1ASPD|1CDMG	134DMG|2349VULN|34BPWR|5LIT|6CDMG|7RCR|8ASPD|aDUR
25	26363 32126	   	309.79	DCR|3VULN|1LIT|3DMG|1MLV|1CDMG	134DMG|234VULN|34BPWR|5LIT|6CDMG|7RCR|89FEWX|aMLV
26	26363 32336	   	309.69	DCR|3VULN|1LIT|3DMG|1MLV|1CDMG	134DMG|234VULN|34BPWR|5LIT|6CDMG|7RCR|8DUR|9LWND|aMLV
27	26316 33331	 * 	306.86	DCR|2MLV|3VULN|1LIT|2DMG	13DMG|237VULN|3BPWR|4LHND|5RPLT|69MLV|8RCR|aLIT
