0	Index      	 *	Score 	Summary	Detail	
1	25332 31352	 * 	319.07	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD|1CDMG	19DMG|24VULN|39ASPD|5MLV|6ERES|79LIT|8RCR|9BPWR|aCDMG
2	25322 31354	 * 	316.87	DCR|2LIT|2VULN|3ASPD|2DMG|1MLV	19DMG|2aVULN|349ASPD|5MLV|6ERES|79LIT|8RCR|9BPWR
3	25322 31353	 * 	306.06	DCR|2LIT|2MLV|3ASPD|2DMG|1VULN	19DMG|2VULN|349ASPD|5aMLV|6ERES|79LIT|8RCR|9BPWR
4	25332 31355	   	305.42	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD	19DMG|24VULN|39ASPD|5MLV|6ERES|79LIT|8RCR|9BPWR|aBEXP
5	25332 31351	   	305.32	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD	19DMG|24VULN|39ASPD|5MLV|6ERES|79LIT|8RCR|9BPWR|aCANARM
6	25332 31353	   	305.32	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD	19DMG|24VULN|39ASPD|5MLV|6ERES|79LIT|8RCR|9BPWR|aDUST
7	25332 31354	   	305.32	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD	19DMG|24VULN|39ASPD|5MLV|6aERES|79LIT|8RCR|9BPWR
8	22234 13613	 * 	298.81	DCR|3LIT|3VULN|3DMG	148DMG|2RMIN|358VULN|678LIT|8BPWR|9TLV|aRCR
9	22234 13653	   	298.81	DCR|3LIT|3VULN|3DMG	148DMG|2RMIN|358VULN|678LIT|8BPWR|9CGEN|aRCR
10	41335 31612	 * 	296.54	DCR|2LIT|2FLTARM|2VULN|1MLV	1CGEN|2RPLT|3aLIT|4ERES|5MLV|6aFLTARM|7TLV|8aVULN|9RCR|aBPWR
11	25343 51322	   	295.87	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1DMG|26VULN|3ASPD|4ZMB|5MLV|79LIT|8RCR|aCDMG
12	25331 21344	 * 	292.13	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	16DMG|24aVULN|3ASPD|5LWND|7LIT|8RCR|9MLV
13	25333 21344	   	292.13	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	16DMG|24aVULN|3ASPD|5FEWX|7LIT|8RCR|9MLV
14	25322 31351	   	290.66	DCR|2LIT|3ASPD|2DMG|1VULN|1MLV	19DMG|2VULN|349ASPD|5MLV|6ERES|79LIT|8RCR|9BPWR|aFEWX
15	25322 31352	   	290.66	DCR|2LIT|3ASPD|2DMG|1VULN|1MLV	19DMG|2VULN|349ASPD|5MLV|6ERES|79LIT|8RCR|9BPWR|aLWND
16	25322 31356	   	290.66	DCR|2LIT|3ASPD|2DMG|1VULN|1MLV	19DMG|2VULN|349ASPD|5MLV|6ERES|79LIT|8RCR|9BPWR|aBEXP
17	25322 31355	   	290.56	DCR|2LIT|3ASPD|2DMG|1VULN|1MLV	19DMG|2VULN|349ASPD|5MLV|6ERES|79LIT|8RCR|9BPWR|aDUST
