0	Index      	 *	Score 	Summary	Detail	
1	32464 11111	 * 	234.95	紫3伤害3攻速2基地爆炸1暴击	17a最后敌人27a伤害39基地爆炸4核5暴击67a攻速7a序列升级8双倍秒伤
2	32464 11311	   	220.21	紫3伤害3攻速1基地爆炸1暴击	17最后敌人27a伤害3基地爆炸4核5暴击67a攻速7a序列升级8低血量敌人9a时间
3	32464 11121	   	220.11	紫3伤害3攻速1基地爆炸1暴击	17a最后敌人27a伤害3基地爆炸4核5暴击67a攻速7a序列升级8双倍秒伤9双倍矿
4	21412 12112	 * 	219.32	紫3伤害2攻速2易伤1全技能1基地爆炸	1立即金币29易伤3基地爆炸4平台5核69攻速7全技能89a伤害9序列升级
5	32464 11322	   	218.01	紫3攻速2伤害1全技能1基地爆炸1暴击	17最后敌人27伤害3基地爆炸4核5暴击67a攻速7序列升级8低血量敌人9全技能
6	32664 33131	 * 	215.32	紫1基础对甲2易伤1伤害1全技能1基地爆炸1暴击	1最后敌人2伤害36易伤4核5暴击7全技能8毒液对毒9基础对甲a基地爆炸
7	21412 12113	   	211.97	紫2伤害2攻速2易伤1全技能1基地爆炸1技能	1立即金币29易伤3基地爆炸4平台5核69攻速7全技能89伤害9序列升级a技能
8	32623 33131	   	210.32	紫1基础对甲2易伤1伤害1全技能1基地爆炸1暴击	1最后敌人2伤害36易伤4暴击5核7全技能8毒液对毒9基础对甲a基地爆炸
9	32623 65131	 * 	209.75	紫1基础对甲2全技能1伤害1基地爆炸1暴击	1最后敌人2伤害3易伤4暴击5核67全技能8毒液对毒9基础对甲a基地爆炸
10	32464 11321	   	209.29	紫2伤害2攻速1全技能1基地爆炸1暴击	17最后敌人27伤害3基地爆炸4核5暴击67攻速7序列升级8低血量敌人9全技能a易伤
11	32464 13122	   	207.16	紫3伤害1攻速1全技能1基地爆炸1暴击	1最后敌人28a伤害3基地爆炸4核5暴击6攻速7易伤9全技能
