0	Index      	 *	Score 	Summary	Detail	
1	62213 17521	 * 	192.36	ACR|2DMG|3VULN|1ASPD|1AART|1AAC	169VULN|2MBVNT|39ERES|4AART|5RCR|7AAC|89DMG|9BPWR|aASPD
2	63222 61411	 * 	192.12	ACR|2ASPD|2AART|2VULN|1BEXP|1CDMG	19VULN|29LIT|3CDMG|4CGEN|5RCR|67AART|89ASPD|9BPWR|aBEXP
3	63232 61411	   	192.02	ACR|2ASPD|2AART|2VULN|1BEXP|1CDMG	19VULN|29LIT|3CDMG|4AME|5RCR|67AART|89ASPD|9BPWR|aBEXP
4	64112 32233	 * 	189.70	ACR|3DMG|2BEXP|1ASPD|1VULN	1VULN|2RPLT|3aBEXP|4LIT|5RCR|689DMG|7ASPD
5	65312 32233	   	189.70	ACR|3DMG|2BEXP|1ASPD|1VULN	1VULN|2aBEXP|3RPLT|4LIT|5RCR|689DMG|7ASPD
6	23111 46421	 * 	189.26	ACR|2DMG|2BEXP|1ASPD|1AART|1AAC	19CGEN|23BEXP|4AART|5RCR|69DUR|7AAC|89DMG|9BPWR|aASPD
7	64112 32232	 * 	188.51	ACR|3DMG|1ASPD|1BEXP|1AART|1VULN	1VULN|2RPLT|3BEXP|4LIT|5RCR|689DMG|7ASPD|aAART
8	65312 32232	   	188.51	ACR|3DMG|1ASPD|1BEXP|1AART|1VULN	1VULN|2BEXP|3RPLT|4LIT|5RCR|689DMG|7ASPD|aAART
9	64112 32262	   	187.69	ACR|2DMG|2BEXP|1ASPD|1AART|1VULN	1VULN|2RPLT|39BEXP|4LIT|5RCR|68DMG|7ASPD|aAART
10	65312 32262	   	187.69	ACR|2DMG|2BEXP|1ASPD|1AART|1VULN	1VULN|29BEXP|3RPLT|4LIT|5RCR|68DMG|7ASPD|aAART
11	62542 48423	 * 	186.02	DCR|3BEXP|2ASPD|2DMG|2VULN	17VULN|2MBVNT|348BEXP|57ASPD|67DMG|7BPWR|9LWND|aRCR
