0	Index      	 *	Score 	Summary	Detail	
1	31614 23333	 * 	232.40	ACR|3ASPD|3BEXP|2DMG|1AART	149ASPD|2RCVC|3VULN|5RCR|679BEXP|89DMG|9BPWR|aAART
2	12312 22565	 * 	229.10	ACR|1BASARM|2ASPD|2BEXP|1DMG|1AART	1DMG|26BEXP|3MDPS|4LHND|5RCR|7AART|89ASPD|aBASARM
3	31614 23331	   	218.75	ACR|3ASPD|3BEXP|2DMG	149ASPD|2RCVC|3VULN|5RCR|679BEXP|89DMG|9BPWR|aFEWX
4	31614 23332	   	218.75	ACR|3ASPD|3BEXP|2DMG	149ASPD|2RCVC|3VULN|5RCR|679BEXP|89DMG|9BPWR|aDUR
5	31614 23335	   	218.75	ACR|3ASPD|3BEXP|2DMG	149ASPD|2RCVC|3VULN|5RCR|679BEXP|89DMG|9BPWR|aRPLT
6	31614 23336	   	218.75	ACR|3ASPD|3BEXP|2DMG	149ASPD|2RCVC|3VULN|5RCR|679BEXP|89DMG|9BPWR|aCGEN
7	31614 23334	   	218.65	ACR|3ASPD|3BEXP|2DMG	149ASPD|2RCVC|3VULN|5RCR|679BEXP|89DMG|9BPWR|aDUST
8	12312 62535	 * 	214.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	16DMG|2BEXP|3MDPS|49LHND|5RCR|7AART|8ASPD|aBASARM
9	12312 12565	   	214.16	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AART	1DMG|2BEXP|3MDPS|4LHND|5RCR|6AEFBLL|7AART|89ASPD|aBASARM
10	32514 23225	   	211.71	ACR|3ASPD|3BEXP|2DMG	14aASPD|26aBEXP|3RCVC|5RCR|7TLV|8LHND|9aDMG|aBPWR
11	12312 22535	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1DMG|26BEXP|3MDPS|49LHND|5RCR|7AART|8ASPD|aBASARM
12	12312 22555	   	211.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1DMG|26BEXP|3MDPS|4LHND|5RCR|7AART|8ASPD|9AEFBLL|aBASARM
13	32312 22525	   	209.03	ACR|1BASARM|2ASPD|2BEXP|1AART	18ASPD|26BEXP|3MDPS|49LHND|5RCR|7AART|aBASARM
14	32312 22545	   	209.03	ACR|1BASARM|2ASPD|2BEXP|1AART	18ASPD|26BEXP|3MDPS|4LHND|5RCR|7AART|9RMIN|aBASARM
15	31614 21326	 * 	208.34	ACR|3ASPD|3VULN|2BASICY|1BEXP	14aASPD|2RCVC|39aVULN|5RCR|6BEXP|7TLV|8aBASICY|aBPWR
16	31614 23321	   	205.28	ACR|2ASPD|2DMG|2BEXP|1AART	14ASPD|2RCVC|3VULN|5RCR|67BEXP|89DMG|aAART
17	31664 23331	   	203.10	ACR|3BEXP|2ASPD|2DMG	19ASPD|24RCVC|3VULN|5RCR|679BEXP|89DMG|9BPWR|aLWND
18	31664 23332	   	203.00	ACR|3BEXP|2ASPD|2DMG	19ASPD|24RCVC|3VULN|5RCR|679BEXP|89DMG|9BPWR|aERES
19	31664 23333	   	203.00	ACR|3BEXP|2ASPD|2DMG	19ASPD|24RCVC|3VULN|5RCR|679BEXP|89DMG|9BPWR|aMBVNT
20	11255 62132	 * 	202.92	ACR|3DMG|2BEXP|2VULN|1ASPD	178DMG|2RCVC|3ZMB|47VULN|5RCR|67BEXP|7BPWR|9ASPD|aLWND
21	11255 62133	   	202.92	ACR|3DMG|2BEXP|2VULN|1ASPD	178DMG|2RCVC|3ZMB|47VULN|5RCR|67BEXP|7BPWR|9ASPD|aFEWX
22	11255 62131	   	202.82	ACR|3DMG|2BEXP|2VULN|1ASPD	178DMG|2RCVC|3ZMB|47VULN|5RCR|67BEXP|7BPWR|9ASPD|aDUST
