0	Index      	 *	Score 	Summary	Detail	
1	31126 22643	 * 	259.60	ACR|3ASPD|3DMG|1BASARM|1BEXP	19ERES|259DMG|3RCR|4BEXP|6LWND|789ASPD|9BPWR|aBASARM
2	31123 15514	 * 	249.02	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART|1BEXP	1ERES|2DMG|3RCR|4BEXP|58ASPD|6AART|7VULN|9LWND|aBASARM
3	31116 22643	   	245.95	ACR|3ASPD|3DMG|1BASARM	19ERES|259DMG|3RCR|4FEWX|6LWND|789ASPD|9BPWR|aBASARM
4	31113 13654	 * 	244.07	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART|1BEXP	1ERES|2DMG|3RCR|4FEWX|5ASPD|6AART|7BEXP|89VULN|aBASARM
5	31123 12654	   	244.07	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART|1BEXP	1ERES|2DMG|3RCR|4BEXP|5ASPD|6AART|7LWND|89VULN|aBASARM
6	31123 15354	   	244.07	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART|1BEXP	1ERES|2DMG|3RCR|4BEXP|5ASPD|6AART|79VULN|8LHND|aBASARM
7	31123 15614	   	244.07	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART|1BEXP	1ERES|2DMG|3RCR|4BEXP|5ASPD|6AART|78VULN|9LWND|aBASARM
8	31113 15514	   	235.37	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART	1ERES|2DMG|3RCR|4FEWX|58ASPD|6AART|7VULN|9LWND|aBASARM
9	31144 21353	 * 	233.31	ACR|1BASARM|2ASPD|2DMG|1VULN	1ERES|26DMG|3RCR|4RMIN|5VULN|7BASARM|8aASPD|9ZMB
10	31144 21311	   	232.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	1ERES|26DMG|3RCR|4aRMIN|5VULN|7BASARM|8ASPD|9AART
11	31144 21313	   	232.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	1ERES|26DMG|3RCR|4RMIN|5VULN|7BASARM|8ASPD|9AART|aMLV
12	31144 21314	   	232.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	1ERES|26DMG|3RCR|4RMIN|5VULN|7BASARM|8ASPD|9AART|aLHND
13	31144 21315	   	232.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	1ERES|26DMG|3RCR|4RMIN|5VULN|7BASARM|8ASPD|9AART|aBELT
14	31144 21316	   	232.37	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	1ERES|26DMG|3RCR|4RMIN|5VULN|7BASARM|8ASPD|9AART|aLIT
15	31144 21312	   	232.27	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	1ERES|26DMG|3RCR|4RMIN|5VULN|7BASARM|8ASPD|9AART|aDUST
16	31113 13143	 * 	231.63	ACR|1BASARM|1ASPD|1DMG|1BASICY|1AART|1BEXP	1ERES|2DMG|3RCR|4FEWX|5ASPD|6AART|7BEXP|8BASARM|9TLV|aBASICY
17	31123 12143	   	231.63	ACR|1BASARM|1ASPD|1DMG|1BASICY|1AART|1BEXP	1ERES|2DMG|3RCR|4BEXP|5ASPD|6AART|7LWND|8BASARM|9TLV|aBASICY
18	31144 21632	   	231.27	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	1ERES|26DMG|3RCR|4RMIN|5VULN|7BASARM|8MDPS|9ASPD|aAART
19	31123 61143	   	230.63	ACR|1BASARM|1ASPD|1DMG|1BASICY|1AART|1BEXP	1ERES|2DMG|3RCR|4BEXP|5ASPD|6LWND|7AART|8BASARM|9TLV|aBASICY
20	31113 13152	   	230.44	ACR|1BASARM|1ASPD|1DMG|1AART|1VULN|1BEXP	1ERES|2DMG|3RCR|49FEWX|5ASPD|6AART|7BEXP|8BASARM|aVULN
21	31123 12122	   	230.44	ACR|1BASARM|1ASPD|1DMG|1AART|1VULN|1BEXP	1ERES|2DMG|3RCR|4BEXP|5ASPD|6AART|79LWND|8BASARM|aVULN
22	31123 12133	   	230.44	ACR|1BASARM|1ASPD|1DMG|1AART|1VULN|1BEXP	1ERES|2DMG|3RCR|4BEXP|5ASPD|6AART|7LWND|8BASARM|9CGEN|aVULN
23	31113 12654	   	230.42	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1ERES|2DMG|3RCR|4FEWX|5ASPD|6AART|7LWND|89VULN|aBASARM
24	31113 15354	   	230.42	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1ERES|2DMG|3RCR|4FEWX|5ASPD|6AART|79VULN|8LHND|aBASARM
25	31113 15614	   	230.42	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1ERES|2DMG|3RCR|4FEWX|5ASPD|6AART|78VULN|9LWND|aBASARM
