0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23322 66411	10	 * 	287.49	橙5易伤3时间1等级	17掉矿24567易伤367时间67序列升级8金币生成9等级a核
2	24223 66213	9	 * 	285.29	橙3易伤3伤害3攻速1时间	167掉矿248攻速378易伤567伤害678序列升级9核a时间
3	23322 63452	7	 * 	282.67	橙4易伤3时间2等级1攻速	18掉矿2456易伤368时间68序列升级78等级9核a攻速
4	23322 56431	8	   	282.57	橙5易伤2时间1暴击1攻速	17掉矿24567易伤37时间7序列升级8暴击9核a攻速
5	23322 44252	5	   	278.85	橙4易伤3时间1等级1攻速	17掉矿2457易伤367时间7序列升级8等级9核a攻速
6	23322 63152	8	   	278.85	橙4易伤3时间1等级1攻速	1掉矿2456易伤368时间6序列升级7等级9核a攻速
7	23362 62152	6	   	278.85	橙4易伤3时间1等级1攻速	1掉矿2568易伤346时间6序列升级7等级9核a攻速
8	23322 56325	10	 * 	277.98	橙5易伤2时间1伤害	17掉矿24567易伤37时间7序列升级8矿等9伤害a核
9	23322 54633	6	   	277.73	橙5易伤2时间1伤害1卖塔	17掉矿24567易伤37时间7序列升级8卖塔9核a伤害
10	23322 56633	7	   	277.73	橙5易伤2时间1伤害1卖塔	17掉矿24567易伤37时间7序列升级8卖塔9核a伤害
11	23322 63116	6	   	274.59	橙4易伤2时间1伤害1等级	1掉矿2456易伤36时间6序列升级7赏金邻近8等级9伤害a核
12	23322 63616	7	   	274.59	橙4易伤2时间1伤害1等级	1掉矿2456易伤36时间6序列升级7等级8赏金塔9伤害a核
13	23322 63535	9	   	274.16	橙5易伤2时间1等级	1掉矿24569易伤36时间6序列升级7等级8基地爆炸a核
14	23362 63224	6	 * 	273.68	橙3易伤3时间1伤害1暴击1攻速	1掉矿256易伤346时间6序列升级7暴击8核9攻速a伤害
15	23322 63415	7	   	271.66	橙4易伤3时间2等级	18掉矿2456易伤368时间68序列升级78等级9低血量敌人a核
16	23322 63425	7	   	271.66	橙4易伤3时间2等级	18掉矿2456易伤368时间68序列升级78等级9敌人爆炸a核
17	23322 63434	9	   	271.66	橙4易伤3时间2等级	19掉矿2456易伤369时间69序列升级79等级8额外掉落a核
18	23322 63451	7	   	271.66	橙4易伤3时间2等级	18掉矿2456易伤368时间68序列升级78等级9核a矿等
19	23122 14743	5	 * 	271.56	橙4易伤3时间1伤害	19掉矿2459易伤3加一6核789时间9序列升级a伤害
20	23322 63453	7	   	271.56	橙4易伤3时间2等级	18a掉矿2456易伤368时间68序列升级78等级9核
21	23322 56432	8	   	271.32	橙5易伤2时间1暴击1卖塔	17掉矿24567易伤37时间7序列升级8暴击9核a卖塔
22	23322 66261	10	   	271.24	橙5易伤3时间	17掉矿24567易伤367时间67序列升级89敌人爆炸a核
23	23322 66333	10	   	271.24	橙5易伤3时间	179掉矿24567易伤367时间679序列升级89基地爆炸a核
24	23322 44353	5	   	271.14	橙5易伤3时间	17掉矿2457a易伤367时间7序列升级8金币生成9核
25	23322 56231	10	   	271.14	橙5易伤3时间	17掉矿24567易伤379时间7序列升级8最后敌人a核
26	23362 56321	10	   	271.14	橙5易伤3时间	17掉矿25678易伤347时间7序列升级9最后敌人a核
27	23122 18137	5	   	271.04	橙5易伤3时间	17a掉矿2457a易伤3加一6核7a序列升级89a时间
28	23122 18145	5	   	271.04	橙5易伤3时间	179掉矿24579易伤3加一6核79序列升级89a时间
29	61623 43121	5	 * 	270.63	橙2易伤3时间2伤害3攻速	149攻速2金币生成368时间59伤害79易伤9序列升级a核
30	61623 51121	7	   	270.63	橙2易伤3时间2伤害3攻速	149攻速2金币生成378时间59伤害69易伤9序列升级a核
31	61623 63121	6	   	270.63	橙2易伤3时间2伤害3攻速	149攻速2金币生成368时间59伤害79易伤9序列升级a核
32	61221 62134	9	 * 	269.31	橙4易伤3攻速2时间	14a攻速2金币生成379a易伤5立即金币6核8a时间a序列升级
33	24223 66211	10	   	269.04	橙3易伤3伤害3攻速	167掉矿248攻速378易伤567伤害678序列升级9核a矿等
34	24223 66211	9	   	269.04	橙3易伤3伤害3攻速	167掉矿248攻速378易伤567伤害678序列升级9核a最后敌人
35	24223 66212	10	   	269.04	橙3易伤3伤害3攻速	167掉矿248攻速378易伤567伤害678序列升级9核a基地爆炸
36	24223 66212	9	   	269.04	橙3易伤3伤害3攻速	167掉矿248攻速378易伤567伤害678序列升级9核a敌人爆炸
37	24223 66213	10	   	268.94	橙3易伤3伤害3攻速	167掉矿248攻速378易伤567伤害678序列升级9核a挖尘
38	23322 54631	6	   	268.67	橙5易伤2时间1攻速1卖塔	17掉矿24567易伤37时间7序列升级8卖塔9核a攻速
39	23322 56631	7	   	268.67	橙5易伤2时间1攻速1卖塔	17掉矿24567易伤37时间7序列升级8卖塔9核a攻速
40	23322 44251	5	   	267.85	橙4易伤3时间1等级	17掉矿2457易伤367时间7序列升级8等级9核a矿等
41	23322 63151	8	   	267.85	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7等级9核a矿等
42	23322 63155	8	   	267.85	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7等级9核a随机矿
43	23322 63156	8	   	267.85	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7等级9核a策反
44	23322 44215	5	   	267.85	橙4易伤3时间1等级	17掉矿2457易伤367时间7序列升级8等级9低血量敌人a核
45	23322 44225	5	   	267.85	橙4易伤3时间1等级	17掉矿2457易伤367时间7序列升级8等级9敌人爆炸a核
46	23322 61165	6	   	267.85	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7基地爆炸9等级a核
47	23322 62165	6	   	267.85	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7最后敌人9等级a核
48	23322 63115	8	   	267.85	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7等级9低血量敌人a核
49	23322 63125	8	   	267.85	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7等级9敌人爆炸a核
50	23322 63135	9	   	267.85	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7等级9最后敌人a核
51	23322 63155	9	   	267.85	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7等级9敌人爆炸a核
52	23322 63215	7	   	267.85	橙4易伤3时间1等级	1掉矿2456易伤369时间6序列升级7等级8最后敌人a核
53	23322 63414	8	   	267.85	橙4易伤3时间1等级	1掉矿2456易伤369时间6序列升级7等级8额外掉落a核
54	23362 62115	6	   	267.85	橙4易伤3时间1等级	1掉矿2568易伤346时间6序列升级7等级9低血量敌人a核
55	23362 62125	6	   	267.85	橙4易伤3时间1等级	1掉矿2568易伤346时间6序列升级7等级9敌人爆炸a核
56	23362 62151	6	   	267.85	橙4易伤3时间1等级	1掉矿2568易伤346时间6序列升级7等级9核a矿等
57	23321 56231	10	   	267.75	橙4易伤3时间1等级	157掉矿2467易伤379时间7序列升级8等级a核
58	23322 44253	5	   	267.75	橙4易伤3时间1等级	17a掉矿2457易伤367时间7序列升级8等级9核
59	23322 62165	7	   	267.75	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7挖青9等级a核
