0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41325 11213	6	 * 	279.53	橙4易伤3伤害2时间	179敌人爆炸2随机矿3a时间467a易伤57a伤害7a序列升级8核
2	15423 23121	8	 * 	277.65	橙5易伤3时间1伤害	17矿等24678易伤357时间7序列升级9核a伤害
3	41322 21213	6	 * 	271.70	橙3易伤3伤害3时间	179敌人爆炸2随机矿35a时间47a易伤67a伤害7a序列升级8核
4	41325 21213	6	   	271.70	橙3易伤3伤害3时间	179敌人爆炸2随机矿36a时间47a易伤57a伤害7a序列升级8核
5	41325 41213	5	   	271.70	橙3易伤3伤害3时间	179敌人爆炸2随机矿36a时间47a易伤57a伤害7a序列升级8核
6	15123 22241	6	 * 	267.43	橙5易伤2伤害1时间	17矿等2479a易伤3基地爆炸5时间67伤害7序列升级8核
7	15223 22241	6	   	267.43	橙5易伤2伤害1时间	17矿等2479a易伤3敌人爆炸5时间67伤害7序列升级8核
8	41325 11241	6	   	267.43	橙5易伤2伤害1时间	17敌人爆炸2随机矿3时间4679a易伤57伤害7序列升级8核
9	15123 22231	6	   	263.67	橙4易伤2伤害2时间	17矿等247a易伤3基地爆炸59时间67伤害7序列升级8核
10	35122 22241	6	   	263.67	橙4易伤2伤害2时间	17金币生成279a易伤3基地爆炸45时间67伤害7序列升级8核
11	35125 52231	6	   	263.67	橙4易伤2伤害2时间	17金币生成267a易伤3基地爆炸49时间57伤害7序列升级8核
12	35222 22241	6	   	263.67	橙4易伤2伤害2时间	17金币生成279a易伤3敌人爆炸45时间67伤害7序列升级8核
13	41322 21241	6	   	263.67	橙4易伤2伤害2时间	17敌人爆炸2随机矿35时间479a易伤67伤害7序列升级8核
14	41325 21241	6	   	263.67	橙4易伤2伤害2时间	17敌人爆炸2随机矿36时间479a易伤57伤害7序列升级8核
15	15423 23122	8	   	257.59	橙5易伤3时间	17矿等24678易伤357时间7序列升级9核a低血量敌人
16	15423 23123	8	   	257.59	橙5易伤3时间	17矿等24678易伤357时间7序列升级9核a最后敌人
17	15423 23124	8	   	257.59	橙5易伤3时间	17矿等24678易伤357时间7序列升级9核a立即金币
18	15423 23125	8	   	257.59	橙5易伤3时间	17矿等24678易伤357时间7序列升级9核a敌人爆炸
19	15423 23163	9	   	257.59	橙5易伤3时间	17矿等24678易伤357时间7序列升级9随机矿a核
20	15423 23324	10	   	257.59	橙5易伤3时间	17矿等2467a易伤357时间7序列升级8金币生成9核
21	15423 23125	10	   	257.49	橙5易伤3时间	17矿等24678易伤357时间7序列升级9掉矿a核
