0	Index      	 *	Score 	Summary	Detail	
1	11252 35633	 * 	297.50	橙橙1等级1易伤1矿等1攻速	1易伤2矿等3等级4攻速5最后敌人6随机技能7技能点8a核9金币生成
2	13632 35633	 * 	295.11	橙橙2易伤1等级1攻速	12易伤3攻速4低血量敌人5最后敌人6随机技能7等级8a核9金币生成
3	32133 13636	 * 	286.93	橙橙3易伤1技能1卖塔	1卖塔25平台36a易伤4技能7全技能89核
4	32133 43636	 * 	286.93	橙橙3易伤1技能1卖塔	1卖塔25平台36a易伤4技能6序列升级7全技能89核
5	11313 48338	 * 	283.57	橙橙2易伤1矿等	13易伤2矿等4时间5加一6低血量敌人7a核8最后敌人9随机技能
6	11333 18338	   	283.57	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6时间7a核8最后敌人9随机技能
7	11311 68338	   	283.47	橙橙2易伤1矿等	13易伤2矿等4时间5挖尘6加一7a核8最后敌人9随机技能
8	11311 68438	   	283.47	橙橙2易伤1矿等	13易伤2矿等4时间5挖尘6加一7a核8低血量敌人9随机技能
9	11313 38338	   	283.47	橙橙2易伤1矿等	13易伤2矿等4时间5加一6挖尘7a核8最后敌人9随机技能
10	11313 38438	   	283.47	橙橙2易伤1矿等	13易伤2矿等4时间5加一6挖尘7a核8低血量敌人9随机技能
11	11363 18338	   	283.47	橙橙2易伤1矿等	13易伤2矿等4基地爆炸5加一6时间7a核8最后敌人9随机技能
12	11363 18438	   	283.47	橙橙2易伤1矿等	13易伤2矿等4基地爆炸5加一6时间7a核8低血量敌人9随机技能
13	11313 48148	   	283.47	橙橙2易伤1矿等	13易伤2矿等4时间5加一6低血量敌人7a核8随机技能9基地爆炸
14	11333 18148	   	283.47	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6时间7a核8随机技能9基地爆炸
15	11253 56322	 * 	283.11	橙2易伤2矿等1等级1伤害1攻速	19易伤29矿等3等级4攻速5平台69敌人爆炸7核8全技能9序列升级a伤害
16	11435 41323	 * 	283.11	橙3易伤2矿等2等级	19a易伤2a矿等3赏金邻近4敌人爆炸5低血量敌人6a等级7全技能8核a序列升级
17	11635 41323	   	283.11	橙3易伤2矿等2等级	19a易伤2a矿等3赏金塔4敌人爆炸5低血量敌人6a等级7全技能8核a序列升级
18	11451 41323	   	283.01	橙3易伤2矿等2等级	19a易伤2a矿等3赏金邻近4最后敌人5基地爆炸6a等级7全技能8核a序列升级
19	11461 41323	   	283.01	橙3易伤2矿等2等级	19a易伤2a矿等3赏金邻近4低血量敌人5基地爆炸6a等级7全技能8核a序列升级
20	11651 41323	   	283.01	橙3易伤2矿等2等级	19a易伤2a矿等3赏金塔4最后敌人5基地爆炸6a等级7全技能8核a序列升级
