0	Index      	 *	Score 	Summary	Detail	
1	16333 43116	 * 	326.98	DCR|DCR|4VULN|1TLV|1CDMG	138aVULN|238AME|38BPWR|4TLV|5CDMG|68AEFBLL|79RCR
2	16333 43111	   	316.12	DCR|DCR|3VULN|1TLV|1CDMG	138VULN|238AME|38BPWR|4TLV|5CDMG|68AEFBLL|79RCR|aAART
3	16353 43111	 * 	312.62	DCR|DCR|3VULN|1MLV|1CDMG	138VULN|238AME|38BPWR|4MLV|5CDMG|68AEFBLL|79RCR|aAART
4	16333 43112	   	307.81	DCR|DCR|3VULN|1TLV|1CDMG	138VULN|238AME|38BPWR|4TLV|5CDMG|68AEFBLL|79RCR|aRPLT
5	16333 43113	   	307.81	DCR|DCR|3VULN|1TLV|1CDMG	138VULN|238AME|38BPWR|4TLV|5CDMG|68AEFBLL|79RCR|aLHND
6	16333 43114	   	307.71	DCR|DCR|3VULN|1TLV|1CDMG	138VULN|238AME|38BPWR|4TLV|5CDMG|68AEFBLL|79RCR|aERES
7	16333 43115	   	307.71	DCR|DCR|3VULN|1TLV|1CDMG	138VULN|238AME|38BPWR|4TLV|5CDMG|68AEFBLL|79RCR|aDUST
8	16353 43112	   	304.31	DCR|DCR|3VULN|1MLV|1CDMG	138VULN|238AME|38BPWR|4MLV|5CDMG|68AEFBLL|79RCR|aRPLT
9	16353 43113	   	304.31	DCR|DCR|3VULN|1MLV|1CDMG	138VULN|238AME|38BPWR|4MLV|5CDMG|68AEFBLL|79RCR|aLHND
10	12314 33122	 * 	300.02	DCR|DCR|2MLV|1VULN|1TLV	1VULN|2LHND|3MDPS|49MLV|5FEWX|6LWND|7TLV|8aRCR
11	12312 52122	   	299.92	DCR|DCR|2MLV|1VULN|1TLV	1VULN|2LHND|3MDPS|49MLV|5DUST|6TLV|7LWND|8aRCR
12	12332 22122	   	299.92	DCR|DCR|2MLV|1VULN|1TLV	1VULN|2LHND|3MDPS|4TLV|5DUST|69MLV|7LWND|8aRCR
13	11342 51532	   	297.86	DCR|DCR|1VULN|1TLV|1MLV	1VULN|2BELT|3DUR|4AART|5TLV|6RAT|7TBNT|8aRCR|9MLV
