0	Index      	 *	Score 	Summary	Detail	
1	36434 11333	 * 	274.89	DCR|3MLV|2VULN|2AAC|1CDMG	1aAEWIND|2CDMG|35aMLV|49AAC|6aVULN|7MDPS|8RCR|aBPWR
2	23322 25642	 * 	273.59	DCR|3VULN|1TLV|1MLV|1DMG	1DUR|27aVULN|3RPLT|4MLV|5TLV|6DMG|8RCR|9RAT
3	23322 23416	 * 	267.28	DCR|2VULN|2MLV|1TLV|1DMG	1DUR|2aVULN|3RPLT|49MLV|5TLV|6DMG|7ERES|8RCR
4	23322 25613	   	267.28	DCR|2VULN|2MLV|1TLV|1DMG	1DUR|27VULN|3RPLT|4aMLV|5TLV|6DMG|8RCR|9LSRHEA
5	23532 21214	 * 	266.42	DCR|DCR|2VULN|2RAT	1DUR|29VULN|3SNIFST|4AEWIND|59RAT|6FEWX|79LWND|8aRCR|9BPWR
6	32115 54132	 * 	266.42	ACR|DCR|2VULN|1TLV|1DMG	1AEWIND|2FRZICY|3TLV|4ERES|57RCR|6RAT|89VULN|aDMG
7	23532 24214	   	266.22	DCR|DCR|2VULN|2RAT	1DUR|29VULN|3SNIFST|4AEWIND|59RAT|6FEWX|79DUST|8aRCR|9BPWR
8	23351 25413	 * 	265.58	DCR|4VULN|2MLV|2DUR	1aDUR|267aVULN|3RPLT|4LHND|5FEWX|8RCR|9aMLV|aBPWR
9	23322 25632	 * 	260.78	DCR|2VULN|2DMG|1TLV|1MLV	1DUR|27VULN|3RPLT|4MLV|5TLV|6aDMG|8RCR|9BBNT
10	23216 25162	   	260.70	DCR|2VULN|2MLV|1TLV|2DUR	16DUR|29VULN|3RAT|47MLV|5BEXP|8RCR|aTLV
11	23322 35451	   	260.14	DCR|3VULN|1TLV|1MLV|1CDMG	1DUR|27aVULN|3RPLT|4MLV|5TLV|6BEXP|8RCR|9CDMG
12	23322 15355	   	260.09	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUR|27VULN|3RPLT|4MLV|5TLV|6LHND|8RCR|9AAC|aDMG
13	23333 35415	   	260.09	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUR|27VULN|3RPLT|4AAC|5LWND|6TLV|8RCR|9MLV|aDMG
14	23216 12162	   	260.08	DCR|3VULN|1TLV|1MLV|2DUR	17DUR|279VULN|3RAT|4MLV|57BEXP|6DMSP|7BPWR|8RCR|aTLV
15	23322 25612	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUR|27VULN|3RPLT|4MLV|5TLV|6DMG|8RCR|9LSRHEA|aAAC
16	45215 22113	 * 	259.85	DCR|3VULN|3MLV	179BEXP|2aCGEN|37aMLV|4RAT|5ZMB|67aVULN|7aBPWR|8RCR
17	32113 51333	   	258.83	DCR|2VULN|2MLV|1TLV|1DMG|1SELL	1AEWIND|2aFRZICY|3TLV|4ERES|5aMLV|6DMG|7aVULN|8SELL|9RCR|aBPWR
18	36432 11333	 * 	258.77	DCR|2VULN|2MLV|2AAC|2CDMG	1aAEWIND|25CDMG|3aMLV|49AAC|6aVULN|7MDPS|8RCR|aBPWR
19	26363 31151	 * 	258.70	DCR|3VULN|2DMG|1MLV|2DUR	19DUR|2BEXP|3MDPS|49DMG|5CGEN|6MLV|789VULN|9BPWR|aRCR
20	23322 25643	   	258.44	DCR|2VULN|1TLV|1MLV|1DMG	1DUR|27VULN|3RPLT|4MLV|5TLV|6DMG|8RCR|9RAT|aAART
21	31435 24131	 * 	258.24	DCR|4VULN|1TLV|1MLV	1AEWIND|2TLV|3DLOT|4568VULN|7MLV|9RCR|aRMIN
22	31435 24132	   	258.24	DCR|4VULN|1TLV|1MLV	1AEWIND|2TLV|3DLOT|4568VULN|7MLV|9RCR|aDMSP
23	31435 24133	   	258.14	DCR|4VULN|1TLV|1MLV	1AEWIND|2TLV|3DLOT|4568VULN|7MLV|9RCR|aAEBURN
24	32115 54123	 * 	258.13	ACR|DCR|1VULN|1TLV|1MLV|1CDMG	1AEWIND|2FRZICY|3TLV|4ERES|57RCR|6RAT|8VULN|9MLV|aCDMG
25	43532 21214	   	258.01	DCR|DCR|2VULN|2RAT	1BEXP|29VULN|3SNIFST|4AEWIND|59RAT|6FEWX|79LWND|8aRCR|9BPWR
26	23322 25651	 * 	257.37	DCR|2VULN|2TLV|1MLV|1DMG	1DUR|27VULN|3RPLT|4MLV|59TLV|6DMG|8RCR|aRCVC
27	23322 25652	   	257.37	DCR|2VULN|2TLV|1MLV|1DMG	1DUR|27VULN|3aRPLT|4MLV|59TLV|6DMG|8RCR
28	23322 25653	   	257.37	DCR|2VULN|2TLV|1MLV|1DMG	1DUR|27VULN|3RPLT|4MLV|59TLV|6DMG|8RCR|aLHND
29	23322 25661	   	257.37	DCR|2VULN|2TLV|1MLV|1DMG	1DUR|27VULN|3RPLT|4MLV|5aTLV|6DMG|8RCR|9LHND
30	23322 23426	   	257.27	DCR|2VULN|2TLV|1MLV|1DMG	1DUR|2aVULN|3RPLT|4MLV|59TLV|6DMG|7ERES|8RCR
31	23322 35452	   	256.74	DCR|2VULN|1TLV|1MLV|1DMG|1CDMG	1DUR|27VULN|3RPLT|4MLV|5TLV|6BEXP|8RCR|9CDMG|aDMG
32	23322 25641	   	256.68	DCR|2VULN|1TLV|1MLV|1DMG|2DUR	1aDUR|27VULN|3RPLT|4MLV|5TLV|6DMG|8RCR|9RAT
33	32115 54133	   	254.66	ACR|DCR|2VULN|1TLV	1AEWIND|2FRZICY|3TLV|4ERES|57RCR|6RAT|89VULN|aDUR
