0	Index      	 *	Score 	Summary	Detail	
1	62613 33231	 * 	302.77	DCR|3VULN|2MLV|2AAC|1TLV	19AAC|2TLV|348VULN|5AART|6RCR|7aMLV
2	21253 21463	 * 	293.35	DCR|DCR|2VULN|1TLV|1AAC	1BEXP|2AME|39VULN|4TLV|5LWND|68RCR|7AEWIND|aAAC
3	21253 24433	   	293.35	DCR|DCR|2VULN|1TLV|1AAC	1BEXP|2AME|37VULN|4TLV|5LWND|68RCR|9AEFRZ|aAAC
4	42333 62632	 * 	288.20	DCR|4VULN|3MLV	1AART|259aVULN|39aBEXP|4DUST|6RCR|7RAT|89aMLV|9aBPWR
5	62613 33222	   	287.43	DCR|3VULN|2MLV|1TLV|1AAC|1SELL	1AAC|2TLV|348VULN|5AART|6RCR|7aMLV|9SELL
6	62613 33235	   	286.89	DCR|3VULN|2AAC|1TLV|1MLV	19AAC|2TLV|348VULN|5AART|6RCR|7MLV|aDUR
7	62333 21344	 * 	286.34	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC|1CDMG|1SELL	1AAC|2aTLV|3aMLV|4SELL|5CDMG|6VULN|7aASPD|8MDPS|9RCR|aBPWR
8	62613 33233	   	285.52	DCR|3VULN|2AAC|1TLV|1MLV	19AAC|2TLV|348VULN|5AART|6RCR|7MLV|aRAT
9	21253 21451	   	284.76	DCR|DCR|2VULN|1TLV	1BEXP|2AME|3aVULN|4TLV|5LWND|68RCR|7AEWIND|9DUR
10	21253 24413	   	284.76	DCR|DCR|2VULN|1TLV	1BEXP|2AME|37VULN|4TLV|5LWND|68RCR|9SNIFST|aDUR
11	23253 21451	   	284.66	DCR|DCR|2VULN|1TLV	1BEXP|2ERES|3aVULN|4TLV|5LWND|68RCR|7AEWIND|9DUR
12	23253 24413	   	284.66	DCR|DCR|2VULN|1TLV	1BEXP|2ERES|37VULN|4TLV|5LWND|68RCR|9SNIFST|aDUR
13	62613 33152	   	283.55	DCR|3VULN|1TLV|1MLV|1DMG|1AAC	1AAC|2TLV|349VULN|5AART|6RCR|7MLV|8TBNT|aDMG
14	62613 33262	   	283.55	DCR|3VULN|1TLV|1MLV|1DMG|1AAC	1AAC|2TLV|348VULN|5AART|6RCR|7MLV|9BBNT|aDMG
15	53134 42116	   	281.42	DCR|DCR|2VULN|1DMG|1AAC	1ZMB|2RCVC|3AAC|4MBVNT|5LIT|69RCR|7DMG|8aVULN
16	42222 16362	   	280.01	DCR|2VULN|2MLV|1DMG|2CDMG|1ASPD	1AART|27VULN|37CDMG|4DUR|5ASPD|67MLV|7BPWR|8FEWX|9DMG|aRCR
17	21253 21443	 * 	279.44	DCR|DCR|2TLV|1VULN|1AAC	1BEXP|2AME|3VULN|49TLV|5LWND|68RCR|7AEWIND|aAAC
18	62613 31231	   	278.59	DCR|3VULN|2AAC|1TLV|1MLV	19AAC|2TLV|348VULN|5AART|6RCR|7ZMB|aMLV
19	62613 33232	   	278.59	DCR|3VULN|2AAC|1TLV|1MLV	19AAC|2TLV|348VULN|5AART|6RCR|7MLV|aAME
20	62613 35231	   	278.59	DCR|3VULN|2AAC|1TLV|1MLV	19AAC|2TLV|348VULN|5AART|6RCR|7CGEN|aMLV
21	62613 33234	   	278.49	DCR|3VULN|2AAC|1TLV|1MLV	19AAC|2TLV|348VULN|5AART|6RCR|7MLV|aBEXP
22	62613 33236	   	278.49	DCR|3VULN|2AAC|1TLV|1MLV	19AAC|2TLV|348VULN|5AART|6RCR|7MLV|aAEBURN
23	62613 33221	   	278.34	DCR|3VULN|2AAC|1TLV|1MLV|1SELL	1aAAC|2TLV|348VULN|5AART|6RCR|7MLV|9SELL
24	62613 33214	 * 	277.66	DCR|3VULN|2TLV|1MLV|1AAC	1AAC|2aTLV|348VULN|5AART|6RCR|7MLV|9LWND
