0	Index      	 *	Score 	Summary	Detail	
1	11536 33632	 * 	294.30	DCR|DCR|2VULN|2DMG	1BBNT|2aLWND|3DUR|4BELT|5aDMG|6AART|78RCR|9aVULN|aBPWR
2	12513 23231	 * 	288.09	DCR|DCR|2MLV|1VULN|1DMG	1BBNT|23MLV|4AME|5DMG|6CGEN|7aRCR|8VULN|9TBNT
3	22635 53212	 * 	285.41	DCR|DCR|2VULN|1MLV|1AAC	1RMIN|2FEWX|36CGEN|46VULN|5RCVC|6BPWR|78RCR|9AAC|aMLV
4	21635 53212	   	285.31	DCR|DCR|2VULN|1MLV|1AAC	1RMIN|2DUST|36CGEN|46VULN|5RCVC|6BPWR|78RCR|9AAC|aMLV
5	22253 23211	 * 	285.09	DCR|DCR|2TLV|1VULN|1AAC	1RMIN|26FEWX|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9AAC|aVULN
6	21253 23211	   	284.89	DCR|DCR|2TLV|1VULN|1AAC	1RMIN|26DUST|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9AAC|aVULN
7	22253 23266	   	281.85	DCR|DCR|2TLV|1VULN|1CDMG	1RMIN|26FEWX|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9VULN|aCDMG
8	21253 23213	 * 	281.39	DCR|DCR|2TLV|1MLV|1AAC	1RMIN|26DUST|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9AAC|aMLV
9	22635 53211	 * 	278.96	DCR|DCR|3VULN|1AAC	1RMIN|2FEWX|36CGEN|46aVULN|5RCVC|6BPWR|78RCR|9AAC
10	21635 53211	   	278.86	DCR|DCR|3VULN|1AAC	1RMIN|2DUST|36CGEN|46aVULN|5RCVC|6BPWR|78RCR|9AAC
11	22613 53211	   	276.89	DCR|DCR|2TLV|1VULN|1AAC	1RMIN|26FEWX|3CGEN|4AME|56TLV|6BPWR|78RCR|9AAC|aVULN
12	22223 23211	   	276.79	DCR|DCR|2TLV|1VULN|1AAC	1RMIN|26FEWX|3AEBURN|4LHND|56TLV|6BPWR|78RCR|9AAC|aVULN
13	56123 53211	   	276.79	DCR|DCR|2TLV|1VULN|1AAC	12CGEN|3LEGI|46LHND|56TLV|6BPWR|78RCR|9AAC|aVULN
14	21613 53211	   	276.69	DCR|DCR|2TLV|1VULN|1AAC	1RMIN|26DUST|3CGEN|4AME|56TLV|6BPWR|78RCR|9AAC|aVULN
15	21223 23211	   	276.59	DCR|DCR|2TLV|1VULN|1AAC	1RMIN|26DUST|3AEBURN|4LHND|56TLV|6BPWR|78RCR|9AAC|aVULN
16	45232 11251	 * 	275.32	DCR|DCR|1VULN|2AAC|1ASPD|1CDMG	1ASPD|27AAC|3FEWX|4VULN|5BEXP|6aRCR|8MDPS|9CDMG
17	22253 23264	   	275.14	DCR|DCR|2TLV|1VULN	1RMIN|26FEWX|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9VULN|aRAT
18	22253 23262	   	274.75	DCR|DCR|2TLV|1VULN|2DUR	1RMIN|26FEWX|3AEBURN|4aDUR|56TLV|6BPWR|78RCR|9VULN
19	22635 33262	 * 	274.31	DCR|DCR|1VULN|1TLV|1MLV	1RMIN|2FEWX|3CGEN|4VULN|56RCVC|78RCR|9TLV|aMLV
20	54123 63212	   	273.86	DCR|DCR|1VULN|1MLV|1AAC|2DUR	1CGEN|24DUR|3VULN|5AME|6AEPOI|78RCR|9AAC|aMLV
21	21223 23213	   	273.08	DCR|DCR|2TLV|1MLV|1AAC	1RMIN|26DUST|3AEBURN|4LHND|56TLV|6BPWR|78RCR|9AAC|aMLV
22	22253 23215	 * 	273.06	DCR|DCR|2TLV|1DMG|1AAC	1RMIN|26FEWX|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9AAC|aDMG
23	21253 23215	   	272.86	DCR|DCR|2TLV|1DMG|1AAC	1RMIN|26DUST|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9AAC|aDMG
24	22635 33261	 * 	271.92	DCR|DCR|2VULN|1TLV	1RMIN|2FEWX|3CGEN|4aVULN|56RCVC|78RCR|9TLV
25	54123 63211	   	271.48	DCR|DCR|2VULN|1AAC|2DUR	1CGEN|24DUR|3aVULN|5AME|6AEPOI|78RCR|9AAC
26	22635 53222	   	268.42	DCR|DCR|2VULN|1MLV	1RMIN|2FEWX|36CGEN|46VULN|5RCVC|6BPWR|78RCR|9ERES|aMLV
27	21635 53222	   	268.32	DCR|DCR|2VULN|1MLV	1RMIN|2DUST|36CGEN|46VULN|5RCVC|6BPWR|78RCR|9ERES|aMLV
28	22253 23265	   	268.20	DCR|DCR|2TLV|1VULN	1RMIN|26FEWX|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9VULN|aLIT
29	22253 23221	   	268.10	DCR|DCR|2TLV|1VULN	1RMIN|26FEWX|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9ERES|aVULN
30	22253 23261	   	268.10	DCR|DCR|2TLV|1VULN	1RMIN|26FEWX|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9VULN|aMDPS
31	22253 23263	   	268.10	DCR|DCR|2TLV|1VULN|1MSE	1RMIN|26FEWX|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9VULN|aMSE
32	21253 23261	   	268.00	DCR|DCR|2TLV|1VULN	1RMIN|26DUST|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9CGEN|aVULN
33	21253 23221	   	267.90	DCR|DCR|2TLV|1VULN	1RMIN|26DUST|3AEBURN|4DUR|56TLV|6BPWR|78RCR|9ERES|aVULN
34	41116 22432	 * 	267.66	DCR|2VULN|2AAC|1TLV|1MLV|1ASPD	1ASPD|2RAT|3TLV|4aAAC|5MLV|68VULN|7LIT|9RCR
35	22613 53215	   	264.86	DCR|DCR|2TLV|1DMG|1AAC	1RMIN|26FEWX|3CGEN|4AME|56TLV|6BPWR|78RCR|9AAC|aDMG
36	22223 23215	   	264.76	DCR|DCR|2TLV|1DMG|1AAC	1RMIN|26FEWX|3AEBURN|4LHND|56TLV|6BPWR|78RCR|9AAC|aDMG
37	56123 53213	   	264.76	DCR|DCR|2TLV|1DMG|1AAC	12CGEN|3LEGI|46LHND|56TLV|6BPWR|78RCR|9AAC|aDMG
38	22253 23255	   	264.70	DCR|DCR|2TLV|1MLV	1RMIN|269FEWX|3AEBURN|4DUR|56TLV|6BPWR|78RCR|aMLV
39	21613 53215	   	264.66	DCR|DCR|2TLV|1DMG|1AAC	1RMIN|26DUST|3CGEN|4AME|56TLV|6BPWR|78RCR|9AAC|aDMG
40	21223 23215	   	264.56	DCR|DCR|2TLV|1DMG|1AAC	1RMIN|26DUST|3AEBURN|4LHND|56TLV|6BPWR|78RCR|9AAC|aDMG
