0	Index      	 *	Score 	Summary	Detail	
1	61331 63243	 * 	324.29	ACR|DCR|4VULN|1TLV|1MLV|2DUR	135aVULN|26RCR|45DUR|5BPWR|7ERES|8TLV|9MLV
2	61331 63252	   	324.20	ACR|DCR|3VULN|1TLV|1MLV|1DMG|2DUR	135VULN|26RCR|45DUR|5BPWR|7ERES|8TLV|9DMG|aMLV
3	61324 33261	   	313.58	ACR|DCR|3VULN|1TLV|1DMG|1AAC|2RAT	136VULN|29RCR|4AAC|56RAT|6BPWR|7MBVNT|8DMG|aTLV
4	61331 61152	   	312.36	ACR|DCR|4VULN|1MLV|1DMG|2DUR	1358VULN|26RCR|45DUR|5BPWR|7FEWX|9DMG|aMLV
5	61331 66132	   	305.02	ACR|DCR|4VULN|1TLV|2DUR	1358VULN|26RCR|45DUR|5BPWR|7BASICY|9TLV|aRAT
6	61331 63231	   	304.14	ACR|DCR|3VULN|1TLV|1MLV|2DUR	135VULN|26RCR|45DUR|5BPWR|7ERES|8TLV|9LHND|aMLV
7	61331 63241	   	304.14	ACR|DCR|3VULN|1TLV|1MLV|2DUR	135VULN|26RCR|45DUR|5BPWR|7ERES|8TLV|9MLV|aRCVC
8	61331 63242	   	304.04	ACR|DCR|3VULN|1TLV|1MLV|2DUR	135VULN|26RCR|45DUR|5BPWR|7ERES|8TLV|9MLV|aBASARM
9	61331 61153	 * 	303.81	ACR|DCR|5VULN|1DMG|2DUR	1358aVULN|26RCR|45DUR|5BPWR|7FEWX|9DMG
10	61232 14418	 * 	301.71	ACR|DCR|2VULN|2MLV|1DMG|1AAC	15VULN|28RCR|3MBVNT|4AAC|6DMG|7aMLV|9RAT
11	61234 24418	   	301.71	ACR|DCR|2VULN|2MLV|1DMG|1AAC	16VULN|28RCR|3MBVNT|4AAC|5DMG|7aMLV|9RAT
12	61316 14331	 * 	300.04	ACR|5VULN|3MLV|2TLV	1348aVULN|2RCR|5BELT|68TLV|789MLV|8BPWR
13	61324 33264	 * 	299.08	ACR|DCR|3VULN|2DMG|1AAC|2RAT	136VULN|29RCR|4AAC|56RAT|6BPWR|7MBVNT|8aDMG
14	61331 63223	   	298.08	ACR|DCR|4VULN|1TLV|2DUR	135aVULN|26RCR|45DUR|5BPWR|7ERES|8TLV|9CGEN
15	61331 66131	   	298.08	ACR|DCR|4VULN|1TLV|2DUR	1358VULN|26RCR|45DUR|5BPWR|7BASICY|9TLV|aLWND
16	61331 63216	   	298.00	ACR|DCR|3VULN|1TLV|1DMG|2DUR	135VULN|26RCR|45DUR|5BPWR|7ERES|8TLV|9LIT|aDMG
17	61331 63251	   	298.00	ACR|DCR|3VULN|1TLV|1DMG|2DUR	135VULN|26RCR|45DUR|5BPWR|7ERES|8TLV|9DMG|aRCVC
18	61331 63262	   	297.98	ACR|DCR|4VULN|1TLV|2DUR	135aVULN|26RCR|45DUR|5BPWR|79ERES|8TLV
19	61331 66133	   	297.98	ACR|DCR|4VULN|1TLV|2DUR	1358VULN|26RCR|45DUR|5BPWR|7BASICY|9TLV|aERES
20	61331 63253	   	297.90	ACR|DCR|3VULN|1TLV|1DMG|2DUR	135VULN|26RCR|45DUR|5BPWR|7ERES|8TLV|9DMG|aAEFBLL
21	61232 14441	   	294.67	ACR|DCR|2VULN|2MLV|1DMG|1AAC	15VULN|28RCR|3MBVNT|4AAC|6DMG|7aMLV|9ERES
22	61234 24441	   	294.67	ACR|DCR|2VULN|2MLV|1DMG|1AAC	16VULN|28RCR|3MBVNT|4AAC|5DMG|7aMLV|9ERES
