0	Index      	 *	Score 	Summary	Detail	
1	12651 41131	 * 	419.93	紫5易伤1双倍秒伤2时间	12468易伤37时间5核9攻速a双倍秒伤
2	12651 32341	 * 	415.57	紫4易伤2双倍秒伤	1249易伤3时间5核6策反7金币生成8a双倍秒伤
3	12651 36311	   	415.57	紫2双倍秒伤3易伤	124易伤3时间5核6策反7随机矿8a双倍秒伤9立即金币
4	12211 52611	 * 	411.78	橙2双倍秒伤2易伤	12易伤3最后敌人4矿等5时间6核7敌人爆炸89双倍秒伤a随机矿
5	12211 52612	   	411.78	橙2双倍秒伤2易伤	12易伤3最后敌人4矿等5时间6核7敌人爆炸89双倍秒伤a随机技能
6	12211 52613	   	411.78	橙2双倍秒伤2易伤	12易伤3最后敌人4矿等5时间6核7敌人爆炸89双倍秒伤a掉矿
7	12211 52615	   	411.78	橙2双倍秒伤2易伤	12易伤3最后敌人4矿等5时间6核7敌人爆炸89双倍秒伤a毒气减费
8	12211 52616	   	411.78	橙2双倍秒伤2易伤	12易伤3最后敌人4矿等5时间6核7敌人爆炸89双倍秒伤a技能点
9	12241 52611	   	411.68	橙2双倍秒伤2易伤	12易伤3最后敌人4掉矿5时间6核7敌人爆炸89双倍秒伤a随机矿
10	12241 52612	   	411.68	橙2双倍秒伤2易伤	12易伤3最后敌人4掉矿5时间6核7敌人爆炸89双倍秒伤a随机技能
11	12241 52613	   	411.68	橙2双倍秒伤2易伤	12易伤3最后敌人4a掉矿5时间6核7敌人爆炸89双倍秒伤
12	12111 41354	   	407.58	紫5易伤1双倍秒伤	12368易伤3序列升级4敌人爆炸5核7时间9最后敌人a双倍秒伤
13	12651 42323	   	407.58	紫5易伤1双倍秒伤	12467易伤3时间5核8平台9技能a双倍秒伤
14	12651 42232	   	407.48	紫5易伤1双倍秒伤	12467易伤3时间5核8赏金塔9平台a双倍秒伤
15	12628 28344	 * 	407.45	橙3易伤1双倍秒伤2时间1伤害	129易伤37时间4加一5策反6核8伤害a双倍秒伤
16	12651 42213	   	407.38	紫5易伤1双倍秒伤	12467易伤3时间5核8赏金塔9赏金邻近a双倍秒伤
17	12652 42121	   	402.13	橙3易伤1双倍秒伤1暴击	124易伤3时间5挖青6核7挖尘8暴击9双倍秒伤a基地爆炸
18	12652 42122	   	402.13	橙3易伤1双倍秒伤1暴击	124易伤3时间5挖青6核7挖尘8暴击9双倍秒伤a导弹对毒
19	12652 42123	   	402.13	橙3易伤1双倍秒伤1暴击	124易伤3时间5挖青6核7a挖尘8暴击9双倍秒伤
20	12651 41212	   	400.15	紫4易伤1双倍秒伤2时间	1246易伤37时间5核8金币生成9全技能a双倍秒伤
21	11632 11124	   	395.52	2双倍秒伤3易伤1等级	147易伤2等级3全技能5时间6攻速8矿等9a双倍秒伤
22	11632 11224	   	395.52	2双倍秒伤3易伤1等级	147易伤2等级3全技能5时间6攻速8金币生成9a双倍秒伤
23	12622 46344	   	394.99	橙3易伤1双倍秒伤1伤害	129易伤3时间4加一56随机矿7核8伤害a双倍秒伤
24	12112 15321	   	394.89	橙3易伤1双倍秒伤1伤害	123易伤3序列升级4敌人爆炸5挖青6伤害7核8攻速9时间a双倍秒伤
25	12622 86344	   	394.89	橙3易伤1双倍秒伤1伤害	129易伤3时间4加一5随机矿6烈焰减费7核8伤害a双倍秒伤
26	12628 23344	   	394.89	橙3易伤1双倍秒伤1伤害	129易伤3时间4加一5策反6核7暴雪减费8伤害a双倍秒伤
27	12652 15331	   	394.89	橙3易伤1双倍秒伤1伤害	124易伤3时间5挖青6伤害7核8攻速9最后敌人a双倍秒伤
28	12353 11515	   	394.79	4易伤2双倍秒伤	1268易伤3金币生成4头目5策反7时间9a双倍秒伤
29	13363 52353	   	391.68	橙2双倍秒伤1易伤1伤害1卖塔	1易伤25最后敌人3伤害4卖塔6时间7核8全技能9a双倍秒伤
30	23363 52353	   	391.68	橙2双倍秒伤1易伤1伤害1卖塔	15最后敌人2易伤3伤害4卖塔6时间7核8全技能9a双倍秒伤
31	13363 51232	 * 	391.51	4易伤1双倍秒伤3伤害3时间1卖塔	1789易伤25最后敌人378伤害4卖塔678时间78序列升级a双倍秒伤
