0	Index      	 *	Score 	Summary	Detail	
1	62131 41115	 * 	297.04	DCR|DCR|2VULN|1TLV|1CDMG	1BEXP|2LWND|36VULN|4RAT|5CDMG|7aRCR|8TLV|9ERES
2	31363 22345	   	293.55	DCR|DCR|2VULN|1TLV|1AAC	1RCVC|2LWND|3CGEN|4AAC|56VULN|7FEWX|89RCR|aTLV
3	43223 21345	   	293.55	DCR|DCR|2VULN|1TLV|1AAC	1CGEN|2AAC|34FEWX|56VULN|7LWND|89RCR|aTLV
4	43333 22345	   	293.55	DCR|DCR|2VULN|1TLV|1AAC	13CGEN|2AAC|4LWND|56VULN|7FEWX|89RCR|aTLV
5	43133 22345	   	293.45	DCR|DCR|2VULN|1TLV|1AAC	1CGEN|2AAC|3AEWIND|4LWND|56VULN|7FEWX|89RCR|aTLV
6	43223 23345	   	293.45	DCR|DCR|2VULN|1TLV|1AAC	1CGEN|2AAC|34FEWX|56VULN|7AETHUN|89RCR|aTLV
7	13121 51346	 * 	288.68	DCR|DCR|1VULN|2AAC|1TLV	1ERES|27AAC|3AEWIND|4DUR|5LHND|6VULN|89RCR|aTLV
8	13133 21346	   	288.68	DCR|DCR|1VULN|2AAC|1TLV	1ERES|27AAC|3AEWIND|4LWND|5VULN|6DUR|89RCR|aTLV
9	13433 21346	   	288.68	DCR|DCR|1VULN|2AAC|1TLV	1ERES|27AAC|3AEBURN|4LWND|5VULN|6DUR|89RCR|aTLV
10	62141 33342	 * 	286.13	DCR|DCR|2DMG|1VULN|1TLV	1BEXP|24LWND|3VULN|57DMG|6TLV|89RCR|aZMB
11	62141 33343	   	286.13	DCR|DCR|2DMG|1VULN|1TLV	1BEXP|24LWND|3VULN|57DMG|6TLV|89RCR|aCGEN
12	62141 33341	   	286.03	DCR|DCR|2DMG|1VULN|1TLV|1MSE	1BEXP|24LWND|3VULN|57DMG|6TLV|89RCR|aMSE
13	15315 41132	 * 	282.99	DCR|DCR|1VULN|1TLV|1MLV	1ERES|2MLV|3CGEN|4DUR|5RPLT|69RCR|7BBNT|8VULN|aTLV
14	31361 21346	   	280.57	DCR|DCR|1VULN|2AAC|1TLV	1RCVC|2LWND|3CGEN|47AAC|5LHND|6VULN|89RCR|aTLV
15	43213 21345	   	280.57	DCR|DCR|1VULN|2AAC|1TLV	1CGEN|27AAC|35FEWX|4LWND|6VULN|89RCR|aTLV
16	43221 21345	   	280.57	DCR|DCR|1VULN|2AAC|1TLV	1CGEN|27AAC|34FEWX|5LHND|6VULN|89RCR|aTLV
17	43223 31345	   	280.57	DCR|DCR|1VULN|2AAC|1TLV	1CGEN|27AAC|34FEWX|5VULN|6LWND|89RCR|aTLV
18	43331 21346	   	280.57	DCR|DCR|1VULN|2AAC|1TLV	13CGEN|27AAC|4LWND|5LHND|6VULN|89RCR|aTLV
19	13214 21345	   	280.47	DCR|DCR|1VULN|2AAC|1TLV	1ERES|27AAC|36FEWX|4LWND|5VULN|89RCR|aTLV
20	43131 21346	   	280.47	DCR|DCR|1VULN|1TLV|2AAC	1CGEN|27AAC|3AEWIND|4LWND|5LHND|6VULN|89RCR|aTLV
21	13131 51346	   	280.37	DCR|DCR|1VULN|2AAC|1TLV	1ERES|27AAC|3AEWIND|4LWND|5LHND|6VULN|89RCR|aTLV
22	13133 41345	   	280.37	DCR|DCR|1VULN|2AAC|1TLV	1ERES|27AAC|3AEWIND|4LWND|5VULN|6FEWX|89RCR|aTLV
23	13123 21346	   	280.13	DCR|DCR|1VULN|1TLV|1AAC|2DUR	1ERES|2AAC|3AEWIND|46DUR|5VULN|7LWND|89RCR|aTLV
24	13423 21346	   	280.13	DCR|DCR|1VULN|1TLV|1AAC|2DUR	1ERES|2AAC|3AEBURN|46DUR|5VULN|7LWND|89RCR|aTLV
25	13123 23346	   	280.03	DCR|DCR|1VULN|1TLV|1AAC|2DUR	1ERES|2AAC|3AEWIND|46DUR|5VULN|7AETHUN|89RCR|aTLV
26	13423 23346	   	280.03	DCR|DCR|1VULN|1TLV|1AAC|2DUR	1ERES|2AAC|3AEBURN|46DUR|5VULN|7AETHUN|89RCR|aTLV
27	15261 33342	 * 	277.28	DCR|DCR|2DMG|1TLV|1MLV	1ERES|2MLV|3FEWX|4AETHUN|57DMG|6TLV|89RCR|aZMB
28	15261 33343	   	277.28	DCR|DCR|2DMG|1TLV|1MLV	1ERES|2MLV|3FEWX|4AETHUN|57DMG|6TLV|89RCR|aCGEN
29	15261 33341	   	277.18	DCR|DCR|2DMG|1TLV|1MLV|1MSE	1ERES|2MLV|3FEWX|4AETHUN|57DMG|6TLV|89RCR|aMSE
30	63511 33342	   	277.18	DCR|DCR|2DMG|1TLV|1MLV	1BEXP|2AETHUN|3MLV|4ERES|57DMG|6TLV|89RCR|aZMB
31	63511 33343	   	277.18	DCR|DCR|2DMG|1TLV|1MLV	1BEXP|2AETHUN|3MLV|4ERES|57DMG|6TLV|89RCR|aCGEN
32	63511 33341	   	277.08	DCR|DCR|2DMG|1TLV|1MLV|1MSE	1BEXP|2AETHUN|3MLV|4ERES|57DMG|6TLV|89RCR|aMSE
33	33533 22345	   	276.66	DCR|DCR|2VULN|1TLV	1RCVC|2ZMB|3CGEN|4LWND|56VULN|7FEWX|89RCR|aTLV
34	13121 51345	 * 	276.65	DCR|DCR|1VULN|2AAC|1DMG	1ERES|27AAC|3AEWIND|4DUR|5LHND|6VULN|89RCR|aDMG
35	13133 21345	   	276.65	DCR|DCR|1VULN|2AAC|1DMG	1ERES|27AAC|3AEWIND|4LWND|5VULN|6DUR|89RCR|aDMG
