0	Index      	 *	Score 	Summary	Detail	
1	22234 35236	 * 	305.52	DCR|DCR|1VULN|1TLV|2ASPD|1MLV	1CGEN|2TBNT|3TLV|45ASPD|6MDPS|7MLV|8aRCR|9VULN
2	65312 71441	 * 	300.39	DCR|DCR|2VULN|1TLV|1AAC	1AAC|2CGEN|3RAT|4MBVNT|59VULN|6TLV|7aRCR|8ZMB
3	65312 71331	   	300.29	DCR|DCR|2VULN|1TLV|1AAC	1AAC|2CGEN|3RAT|4MBVNT|58VULN|6TLV|7aRCR|9NUKE
4	22232 35236	   	290.93	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1CGEN|2TBNT|3TLV|4ASPD|5DMSP|6MDPS|7MLV|8aRCR|9VULN
5	34235 25333	 * 	287.99	DCR|DCR|3VULN|1DMG	1ERES|2MBVNT|36CGEN|46aVULN|5RPLT|6BPWR|78RCR|9DMG
6	21445 15333	   	287.89	DCR|DCR|3VULN|1DMG	1CGEN|26aVULN|3MBVNT|4ERES|5RPLT|78RCR|9DMG
7	21445 25333	   	287.89	DCR|DCR|3VULN|1DMG	1CGEN|26aVULN|3MBVNT|46ERES|5RPLT|6BPWR|78RCR|9DMG
8	34235 15333	   	287.89	DCR|DCR|3VULN|1DMG	1ERES|2MBVNT|3CGEN|46aVULN|5RPLT|78RCR|9DMG
9	46312 71331	   	283.39	DCR|DCR|2VULN|1TLV	1ZMB|2CGEN|3RAT|4MBVNT|58VULN|6TLV|7aRCR|9NUKE
10	65312 71131	   	278.82	DCR|DCR|1VULN|1TLV|1AAC|2RAT	1AAC|2CGEN|38RAT|4MBVNT|5VULN|6TLV|7aRCR|9NUKE
11	34235 25331	   	278.18	DCR|DCR|2VULN|1DMG|1CDMG	1ERES|2MBVNT|36CGEN|46VULN|5RPLT|6BPWR|78RCR|9DMG|aCDMG
12	21445 15331	   	278.08	DCR|DCR|2VULN|1DMG|1CDMG	1CGEN|26VULN|3MBVNT|4ERES|5RPLT|78RCR|9DMG|aCDMG
13	21445 25331	   	278.08	DCR|DCR|2VULN|1DMG|1CDMG	1CGEN|26VULN|3MBVNT|46ERES|5RPLT|6BPWR|78RCR|9DMG|aCDMG
14	34235 15331	   	278.08	DCR|DCR|2VULN|1DMG|1CDMG	1ERES|2MBVNT|3CGEN|46VULN|5RPLT|78RCR|9DMG|aCDMG
