0	Index      	 *	Score 	Summary	Detail	
1	53622 33224	 * 	312.97	DCR|5VULN|2MLV|2DMG	1367aVULN|2RPLT|47DMG|57MLV|7BPWR|8RAT|9RCR
2	53622 33412	   	304.53	DCR|4VULN|2MLV|2DMG|1ASPD	1367VULN|2RPLT|47DMG|57MLV|7BPWR|8ERES|9RCR|aASPD
3	53622 33222	   	303.62	DCR|4VULN|2MLV|2DMG	1367VULN|2RPLT|47DMG|57MLV|7BPWR|8RAT|9RCR|aDUR
4	22533 46611	 * 	296.81	DCR|3VULN|2MLV|2TLV|1DMG	1MBVNT|2aTLV|3CGEN|46aVULN|5DMG|7AME|8aMLV|9RCR|aBPWR
5	53622 33221	   	295.32	DCR|4VULN|2MLV|2DMG	1367VULN|2RPLT|47DMG|57MLV|7BPWR|8RAT|9RCR|aTBNT
6	53622 33223	   	295.32	DCR|4VULN|2MLV|2DMG	1367VULN|2RPLT|47DMG|57MLV|7BPWR|8RAT|9RCR|aLHND
7	53622 33225	   	295.32	DCR|4VULN|2MLV|2DMG	1367VULN|2RPLT|47DMG|57MLV|7BPWR|8RAT|9RCR|aLWND
8	53622 33226	   	295.22	DCR|4VULN|2MLV|2DMG	1367VULN|2RPLT|47DMG|57MLV|7BPWR|8RAT|9RCR|aERES
9	22251 11161	 * 	292.89	ACR|DCR|2MLV|2TLV|1VULN|1AAC	1MBVNT|28TLV|39RCR|4CGEN|58ERES|6AAC|78MLV|8BPWR|aVULN
10	22243 86164	 * 	291.44	ACR|DCR|2VULN|2TLV|2DMG	1MBVNT|27TLV|39RCR|4RCVC|5BBNT|67DMG|7BPWR|8aVULN
11	54433 23232	 * 	291.26	DCR|DCR|2VULN|1MLV|1CDMG	12VULN|3AEPOI|4RAT|5TBNT|6aRCR|7AME|8CDMG|9MLV
12	22532 54364	 * 	290.63	DCR|DCR|2VULN|2TLV	1MBVNT|28TLV|3CGEN|47VULN|5AEFBLL|6aRCR|9LIT
13	22347 54364	   	290.53	DCR|DCR|2VULN|2TLV	1MBVNT|28TLV|3AEFBLL|47VULN|5ERES|6aRCR|9LIT
14	53622 33411	   	288.28	DCR|4VULN|2MLV|2DMG	1367VULN|2aRPLT|47DMG|57MLV|7BPWR|8ERES|9RCR
15	53622 33413	   	288.28	DCR|4VULN|2MLV|2DMG	1367VULN|2RPLT|47DMG|57MLV|7BPWR|8ERES|9RCR|aBBNT
16	22127 55434	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1MBVNT|2TLV|3ASPD|4DMG|5VULN|6RPLT|7aRCR|8LIT|9ERES
17	22427 55434	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1MBVNT|2TLV|3DMG|4ASPD|5VULN|6RPLT|7aRCR|8LIT|9ERES
