0	Index      	 *	Score 	Summary	Detail	
1	42131 33426	 * 	294.79	DCR|4VULN|2DMG|1TLV|1AAC|2DUR	1368VULN|28DMG|48DUR|5AAC|7RPLT|8BPWR|9TLV|aRCR
2	44261 22311	 * 	293.53	DCR|3MLV|2VULN|3TLV	17VULN|2MDPS|3AART|467TLV|567MLV|67BPWR|8LWND|9RCR|aFEWX
3	44261 22312	   	293.43	DCR|3MLV|2VULN|3TLV	17VULN|2MDPS|3AART|467TLV|567MLV|67BPWR|8LWND|9RCR|aDUST
4	44261 22313	   	293.43	DCR|3MLV|2VULN|3TLV|1SELL	17VULN|2MDPS|3AART|467TLV|567MLV|67BPWR|8LWND|9RCR|aSELL
5	42133 63521	 * 	292.07	DCR|4VULN|2TLV|2DMG|2DUR	1378VULN|26DMG|47DUR|57TLV|7BPWR|9LHND|aRCR
6	42133 33311	   	291.97	DCR|4VULN|2TLV|2DMG|2DUR	1367VULN|29DMG|47DUR|57TLV|7BPWR|8DUST|aRCR
7	45131 12251	 * 	285.62	DCR|3VULN|2MLV|1TLV|1AAC	138VULN|26MLV|4DUR|5AAC|7TLV|9CGEN|aRCR
8	45131 12241	   	285.52	DCR|3VULN|2MLV|1TLV|1AAC	138VULN|26MLV|4DUR|5AAC|7TLV|9ERES|aRCR
9	45133 22243	 * 	283.19	DCR|3VULN|1TLV|1MLV|1DMG|2DUR|2RAT	138VULN|2MLV|48DUR|5TLV|6BEXP|78RAT|8BPWR|9RCR|aDMG
10	42133 13621	 * 	280.83	DCR|2VULN|2MLV|2TLV|1DMG	13VULN|2DMG|4DUR|57TLV|69MLV|8CGEN|aRCR
11	41153 33512	 * 	280.53	DCR|3VULN|2MLV|1DMG|1AAC	138VULN|2AAC|4AART|5RAT|6RCR|7DMG|9aMLV
12	42111 33426	   	279.94	DCR|4VULN|2DMG|1TLV|1AAC	1368VULN|28DMG|48LHND|5AAC|7RPLT|8BPWR|9TLV|aRCR
13	45123 21343	 * 	279.79	DCR|4VULN|2MLV|1TLV	1379VULN|27MLV|4TBNT|57LWND|6RMIN|7BPWR|8TLV|aRCR
14	36333 21155	 * 	277.78	DCR|DCR|1TLV|1DMG|1AAC|2RAT|1CDMG	13LHND|2CDMG|4TLV|5AAC|67RAT|8DMG|9aRCR
15	23533 21155	   	277.68	DCR|DCR|1TLV|1DMG|1AAC|2RAT|1CDMG	1LWND|2AEFRZ|3CDMG|4TLV|5AAC|67RAT|8DMG|9aRCR
