0	Index      	 *	Score 	Summary	Detail	
1	44133 21314	 * 	281.69	DCR|DCR|2MLV|1DMG|1ASPD|1CDMG	1CDMG|2DMG|3TBNT|47MLV|5DUST|6ASPD|8aRCR|9AEPOI
2	46113 52313	 * 	280.44	ACR|DCR|2MLV|1VULN|1DMG|1AAC|1CDMG	1CDMG|26MLV|3TBNT|4VULN|5aRCR|7AAC|8BELT|9DMG
3	46313 52313	   	280.44	ACR|DCR|2MLV|1VULN|1DMG|1AAC|1CDMG	1CDMG|26MLV|3VULN|4BBNT|5aRCR|7AAC|8BELT|9DMG
4	43641 11333	 * 	277.98	DCR|DCR|2VULN|1DMG|1CDMG	1CDMG|27VULN|3DUST|4MBVNT|5BEXP|6DMG|8aRCR|9LHND
5	33116 53252	 * 	276.46	DCR|DCR|2VULN|1TLV	1BELT|28FEWX|38AEFRZ|4aVULN|5TLV|69RCR|78AEFBLL|8BPWR
6	31116 53252	   	276.26	DCR|DCR|2VULN|1TLV	1BELT|28DUST|38AEFRZ|4aVULN|5TLV|69RCR|78AEFBLL|8BPWR
7	33333 56251	 * 	276.23	DCR|DCR|3VULN|1NUKE	1BELT|24FEWX|345VULN|4BPWR|6BEXP|7aRCR|8NUKE|9AART
8	44322 12533	 * 	276.04	DCR|3VULN|2DMG|1TLV|3CDMG	16aCDMG|24DMG|34aVULN|4aBPWR|5LWND|7TLV|8RCR|9aFEWX
9	31333 56251	   	276.03	DCR|DCR|3VULN|1NUKE	1BELT|24DUST|345VULN|4BPWR|6BEXP|7aRCR|8NUKE|9AART
10	62116 62323	 * 	275.49	DCR|DCR|1VULN|2ASPD|1DMG	1LIT|2DUR|3BEXP|4LEGI|57ASPD|68RCR|9DMG|aVULN
11	25561 12112	 * 	274.50	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1AAC	1FEWX|2AAC|3BEXP|49RCR|5DMG|6DLOT|7TLV|8VULN|aMLV
12	53161 12112	   	274.40	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1AAC	1AEWIND|2MDPS|3AAC|49RCR|5DMG|6DLOT|7TLV|8VULN|aMLV
13	53263 12112	   	274.40	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1AAC	1AEWIND|2MDPS|3DMG|49RCR|5AAC|6DLOT|7TLV|8VULN|aMLV
14	43641 21333	   	274.16	DCR|DCR|2VULN|1ASPD|1CDMG	1CDMG|27VULN|3DUST|4MBVNT|5BEXP|6ASPD|8aRCR|9LHND
15	24423 51333	   	272.93	DCR|DCR|2VULN|1DMG	14FEWX|2RPLT|3DMG|5DUR|67VULN|8aRCR|9LHND
16	25312 22334	 * 	272.44	DCR|DCR|1TLV|1DMG|1AAC|1CDMG	1FEWX|2AAC|3DUR|4TLV|5CDMG|6DMG|7AETHUN|8aRCR|9LHND
17	62116 62333	   	272.32	DCR|DCR|1VULN|2ASPD|1AAC	1LIT|2DUR|3BEXP|4LEGI|57ASPD|68RCR|9AAC|aVULN
18	24523 21334	 * 	271.06	DCR|DCR|2TLV|1VULN	14FEWX|2RPLT|39TLV|5DUR|6LHND|7VULN|8aRCR
19	44322 12522	   	269.80	DCR|3VULN|2DMG|1TLV|2CDMG	16CDMG|24DMG|34aVULN|4BPWR|5LWND|7TLV|8RCR|9BBNT
20	44323 32522	   	269.80	DCR|3VULN|2DMG|1TLV|2CDMG	15CDMG|24DMG|34aVULN|4BPWR|6LHND|7TLV|8RCR|9BBNT
21	25334 51333	   	269.66	DCR|DCR|2VULN|1AAC	1FEWX|2AAC|3DUR|4AEWIND|5RPLT|67VULN|8aRCR|9LHND
22	43423 13433	 * 	269.64	DCR|3VULN|3TLV|3CDMG|1SELL	19aCDMG|29aVULN|3SELL|4RPLT|5DUR|6AEBURN|79aTLV|8RCR|9aBPWR
23	52223 51333	   	268.92	DCR|DCR|2VULN|1ASPD	1AEWIND|2ASPD|3DUST|4RPLT|5DUR|67VULN|8aRCR|9LHND
24	11164 51323	 * 	267.94	ACR|DCR|3VULN|1DMG|1AAC	1LHND|2LWND|3AAC|48RCR|5LIT|67aVULN|9DMG
25	43352 36311	 * 	267.58	DCR|2MLV|1VULN|1TLV|3CDMG|1AAC|2RAT	147CDMG|2VULN|37RAT|57MLV|6AAC|7BPWR|8TBNT|9RCR|aTLV
26	44623 13233	 * 	265.19	DCR|2VULN|2MLV|1DMG|1ASPD|1CDMG	1CDMG|2DMG|3BELT|4DUR|5ASPD|6aMLV|7RCR|89VULN
27	21235 51333	   	264.53	DCR|DCR|2VULN|1DMG	1FEWX|2LWND|3DMG|4RPLT|5AEPOI|67VULN|8aRCR|9LHND
28	24443 11333	   	264.53	DCR|DCR|2VULN|1DMG	16FEWX|2RPLT|3DMG|47VULN|5DUST|8aRCR|9LHND
29	21112 22334	   	264.13	DCR|DCR|1TLV|1DMG|1AAC|1CDMG	1FEWX|2LWND|3AAC|4TLV|5CDMG|6DMG|7AETHUN|8aRCR|9LHND
30	21212 52334	   	264.13	DCR|DCR|1TLV|1DMG|1AAC|1CDMG	1FEWX|2LWND|3DMG|4TLV|5CDMG|6AAC|7AETHUN|8aRCR|9LHND
31	25512 22334	   	264.03	DCR|DCR|1TLV|1DMG|1AAC|1CDMG	1FEWX|2AAC|3BEXP|4TLV|5CDMG|6DMG|7AETHUN|8aRCR|9LHND
32	35316 53233	   	262.65	DCR|DCR|2TLV|1VULN	14BELT|28LWND|3VULN|58TLV|6aRCR|78AEFBLL|8BPWR|9ERES
33	53161 12114	 * 	262.37	ACR|DCR|2TLV|1VULN|1DMG|1AAC	1AEWIND|2MDPS|3AAC|49RCR|5DMG|6DLOT|7aTLV|8VULN
34	53263 12114	   	262.37	ACR|DCR|2TLV|1VULN|1DMG|1AAC	1AEWIND|2MDPS|3DMG|49RCR|5AAC|6DLOT|7aTLV|8VULN
35	21135 51333	   	261.35	DCR|DCR|2VULN|1AAC	1FEWX|2LWND|3AAC|4RPLT|5AEPOI|67VULN|8aRCR|9LHND
36	44132 31723	 * 	261.02	DCR|3MLV|2TLV|1DMG|2CDMG	18CDMG|2DMG|3TBNT|478MLV|58TLV|6MBVNT|8BPWR|9RCR|aAART
37	33336 51523	 * 	260.34	DCR|3VULN|1TLV|1MLV|1CDMG	1BELT|24FEWX|348VULN|4BPWR|5TLV|6RCR|7DUR|9CDMG|aMLV
38	33336 51633	   	260.34	DCR|3VULN|1TLV|1MLV|1CDMG	1BELT|24FEWX|349VULN|4BPWR|5TLV|6RCR|7DUR|8CDMG|aMLV
39	31336 51523	   	260.14	DCR|3VULN|1TLV|1MLV|1CDMG	1BELT|24DUST|348VULN|4BPWR|5TLV|6RCR|7DUR|9CDMG|aMLV
40	31336 51633	   	260.14	DCR|3VULN|1TLV|1MLV|1CDMG	1BELT|24DUST|349VULN|4BPWR|5TLV|6RCR|7DUR|8CDMG|aMLV
41	46113 53313	   	259.63	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1NUKE	1CDMG|26MLV|3TBNT|4VULN|5aRCR|7ASPD|8BELT|9NUKE
42	46313 53313	   	259.63	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1NUKE	1CDMG|26MLV|3VULN|4BBNT|5aRCR|7ASPD|8BELT|9NUKE
43	12313 35161	 * 	259.58	ACR|DCR|2VULN|1TLV|3DUR	19LHND|2AME|369DUR|4TLV|5aRCR|7BEXP|89VULN|9BPWR
44	12326 43161	   	259.58	ACR|DCR|2VULN|1TLV|3DUR	19LHND|2AME|349DUR|5aRCR|6BEXP|7TLV|89VULN|9BPWR
45	22313 35161	   	259.58	ACR|DCR|2VULN|1TLV|3DUR	19FEWX|2AME|369DUR|4TLV|5aRCR|7BEXP|89VULN|9BPWR
46	22326 43161	   	259.58	ACR|DCR|2VULN|1TLV|3DUR	19FEWX|2AME|349DUR|5aRCR|6BEXP|7TLV|89VULN|9BPWR
47	35362 51223	 * 	259.44	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1BELT|2LWND|34VULN|5DMG|6RCR|7DUR|8ASPD|9MLV|aTLV
48	22324 51334	   	259.42	DCR|DCR|2VULN|2DUR	1FEWX|2AME|34DUR|5RPLT|67VULN|8aRCR|9LHND
49	44131 33314	 * 	258.84	DCR|DCR|2DMG|1MLV|1CDMG	1CDMG|25DMG|3TBNT|4MLV|6ZMB|7DUST|8aRCR|9AEPOI
50	33335 61134	   	258.31	DCR|DCR|2VULN|1CDMG	1BELT|24FEWX|34VULN|4BPWR|5BBNT|6aRCR|7RMIN|8CDMG|9CGEN
51	33335 62134	   	258.21	DCR|DCR|2VULN|1CDMG	1BELT|24FEWX|34VULN|4BPWR|5BBNT|6aRCR|7ERES|8CDMG|9CGEN
52	31335 61134	   	258.11	DCR|DCR|2VULN|1CDMG	1BELT|24DUST|34VULN|4BPWR|5BBNT|6aRCR|7RMIN|8CDMG|9CGEN
53	31335 62134	   	258.01	DCR|DCR|2VULN|1CDMG	1BELT|24DUST|34VULN|4BPWR|5BBNT|6aRCR|7ERES|8CDMG|9CGEN
54	53261 12112	   	257.40	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1NUKE	1AEWIND|2MDPS|3DMG|49RCR|5NUKE|6DLOT|7TLV|8VULN|aMLV
55	24523 21314	   	256.78	DCR|DCR|1VULN|1TLV	14FEWX|2RPLT|3TLV|5DUR|6LHND|7VULN|8aRCR|9AEBURN
56	24523 21324	   	256.78	DCR|DCR|1VULN|1TLV	14FEWX|2RPLT|3TLV|5DUR|6LHND|7VULN|8aRCR|9AEFBLL
57	15361 12114	   	256.70	ACR|DCR|1VULN|1TLV|1DMG|1AAC	1LHND|2AAC|3DUR|49RCR|5DMG|6DLOT|7AME|8VULN|aTLV
58	25561 12111	   	256.60	ACR|DCR|1VULN|1TLV|1DMG|1AAC	1FEWX|2AAC|3BEXP|49RCR|5DMG|6DLOT|7TLV|8VULN|aDUR
59	53161 12111	   	256.50	ACR|DCR|1VULN|1TLV|1DMG|1AAC	1AEWIND|2MDPS|3AAC|49RCR|5DMG|6DLOT|7TLV|8VULN|aDUR
60	53263 12111	   	256.50	ACR|DCR|1VULN|1TLV|1DMG|1AAC	1AEWIND|2MDPS|3DMG|49RCR|5AAC|6DLOT|7TLV|8VULN|aDUR
61	12313 56323	   	256.16	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1LHND|2AME|3DUR|4TLV|58RCR|6LIT|7ASPD|9DMG|aVULN
62	46113 32313	   	256.15	ACR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1CDMG|2MLV|3TBNT|4VULN|5aRCR|6AEWIND|7AAC|8BELT|9DMG
63	46313 32313	   	256.15	ACR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1CDMG|2MLV|3VULN|4BBNT|5aRCR|6AEWIND|7AAC|8BELT|9DMG
64	44131 31322	 * 	256.10	DCR|2VULN|3DMG|1MLV|2CDMG	18CDMG|258DMG|3TBNT|4MLV|6ZMB|78VULN|8BPWR|9MDPS|aRCR
65	62116 62313	   	255.33	DCR|DCR|1VULN|2ASPD	1LIT|2DUR|3BEXP|4LEGI|57ASPD|68RCR|9ERES|aVULN
66	46333 32352	 * 	255.10	DCR|2VULN|2TLV|3CDMG|1MLV	15aCDMG|2MLV|3aVULN|4AEFRZ|6LHND|7aTLV|8RCVC|9RCR|aBPWR
67	12661 12432	   	254.76	ACR|DCR|2VULN|1TLV	1LHND|2AME|3AART|46RCR|5ERES|78VULN|9RAT|aTLV
68	12661 12532	   	254.76	ACR|DCR|2VULN|1TLV	1LHND|2AME|3AART|46RCR|5ERES|79VULN|8RAT|aTLV
69	22661 12432	   	254.76	ACR|DCR|2VULN|1TLV	1FEWX|2AME|3AART|46RCR|5ERES|78VULN|9RAT|aTLV
70	22661 12532	   	254.76	ACR|DCR|2VULN|1TLV	1FEWX|2AME|3AART|46RCR|5ERES|79VULN|8RAT|aTLV
71	42313 36363	   	254.49	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2AART|3AEFRZ|4LIT|5ASPD|6aRCR|7VULN|8MDPS|9RMIN
72	46162 22322	 * 	254.17	DCR|3MLV|2ASPD|1DMG|2CDMG|1AAC	15CDMG|25aMLV|3TBNT|4AAC|5BPWR|67ASPD|8RCR|9DMG
73	33336 51223	   	253.65	DCR|2VULN|2TLV|1MLV|1ASPD	1BELT|24FEWX|34VULN|4BPWR|5aTLV|6RCR|7DUR|8ASPD|9MLV
74	33366 51223	   	253.55	DCR|2VULN|2TLV|1MLV|1ASPD	1BELT|2FEWX|34VULN|5aTLV|6RCR|7DUR|8ASPD|9MLV
75	11264 51323	 * 	253.48	ACR|DCR|2VULN|2DMG	1LHND|2LWND|39DMG|48RCR|5LIT|67VULN|aAART
76	21264 51321	   	253.48	ACR|DCR|2VULN|2DMG	1FEWX|2LWND|39DMG|48RCR|5LIT|67VULN|aDUR
77	31336 51223	   	253.45	DCR|2VULN|2TLV|1MLV|1ASPD	1BELT|24DUST|34VULN|4BPWR|5aTLV|6RCR|7DUR|8ASPD|9MLV
78	31366 51223	   	253.45	DCR|2VULN|2TLV|1MLV|1ASPD	1BELT|2DUST|34VULN|5aTLV|6RCR|7DUR|8ASPD|9MLV
79	43265 13233	 * 	253.36	DCR|3VULN|2TLV|2RAT|1CDMG	1CDMG|28aVULN|3ERES|49RAT|57TLV|6RCR
80	12313 56333	   	252.99	ACR|DCR|1VULN|1TLV|1AAC|1ASPD	1LHND|2AME|3DUR|4TLV|58RCR|6LIT|7ASPD|9AAC|aVULN
81	24123 51334	   	252.87	DCR|DCR|2VULN	14FEWX|2RPLT|3CGEN|5DUR|67VULN|8aRCR|9LHND
82	11411 32561	   	252.77	DCR|DCR|2VULN	1LHND|2LWND|3BBNT|4DUST|56VULN|7aRCR|8FEWX|9DUR
83	13221 32561	   	252.77	DCR|DCR|2VULN	1LHND|2BBNT|3DUST|4LWND|56VULN|7aRCR|8FEWX|9DUR
84	21411 32361	   	252.77	DCR|DCR|2VULN	1FEWX|2LWND|3BBNT|4DUST|56VULN|7aRCR|8LHND|9DUR
85	23221 32361	   	252.77	DCR|DCR|2VULN	1FEWX|2BBNT|3DUST|4LWND|56VULN|7aRCR|8LHND|9DUR
86	44132 31721	   	252.71	DCR|3MLV|2TLV|1DMG|2CDMG	18CDMG|2DMG|3TBNT|478MLV|58TLV|6MBVNT|8BPWR|9RCR|aBBNT
87	44132 31722	   	252.71	DCR|3MLV|2TLV|1DMG|2CDMG	18CDMG|2DMG|3TBNT|478MLV|58TLV|6MBVNT|8BPWR|9RCR|aLHND
88	11411 32461	   	252.67	DCR|DCR|2VULN	1LHND|2LWND|3BBNT|4DUST|56VULN|7aRCR|8LEGI|9DUR
89	13221 32461	   	252.67	DCR|DCR|2VULN	1LHND|2BBNT|3DUST|4LWND|56VULN|7aRCR|8LEGI|9DUR
90	23111 32361	   	252.67	DCR|DCR|2VULN	1FEWX|2BBNT|3BEXP|4DUST|56VULN|7aRCR|8LHND|9DUR
91	23311 32361	   	252.67	DCR|DCR|2VULN	1FEWX|2BBNT|3LEGI|4DUST|56VULN|7aRCR|8LHND|9DUR
