0	Index      	 *	Score 	Summary	Detail	
1	61363 43231	 * 	304.56	橙5易伤3矿等1暴击	12468易伤3立即金币568矿等68序列升级78低血量敌人9核a暴击
2	21343 25331	 * 	296.39	橙橙3易伤1伤害	1低血量敌人27a易伤3额外掉落4伤害5敌人爆炸68核9时间
3	21344 25331	   	296.39	橙橙3易伤1伤害	1低血量敌人27a易伤3额外掉落4伤害5最后敌人68核9时间
4	31343 25331	   	296.39	橙橙3易伤1伤害	1最后敌人27a易伤3额外掉落4伤害5敌人爆炸68核9时间
5	31344 25331	   	296.39	橙橙3易伤1伤害	1最后敌人27a易伤3额外掉落4伤害5低血量敌人68核9时间
6	61363 43233	   	290.91	橙5易伤3矿等	12468易伤3立即金币568矿等68序列升级78低血量敌人9核a雷电
7	61363 43232	   	290.81	橙5易伤3矿等	12468易伤3立即金币568矿等68序列升级78低血量敌人9核a挖尘
8	51343 25333	 * 	290.42	橙橙2易伤2伤害	1基地爆炸27易伤3额外掉落4a伤害5敌人爆炸68核9全技能
9	51343 25332	   	289.08	橙橙2易伤1伤害1攻速	1基地爆炸27易伤3额外掉落4伤害5敌人爆炸68核9全技能a攻速
10	61223 63363	 * 	285.17	橙3易伤2等级1伤害1技能1暴击	123易伤3序列升级49等级5暴击6时间7核8技能a伤害
11	21334 25336	 * 	284.86	橙橙2易伤1等级	1低血量敌人27易伤3额外掉落4核弹5最后敌人68核9时间a等级
12	31334 25336	   	284.86	橙橙2易伤1等级	1最后敌人27易伤3额外掉落4核弹5低血量敌人68核9时间a等级
13	61221 12265	 * 	284.26	橙4易伤2等级2伤害	1238易伤38序列升级48等级5敌人爆炸69伤害78低血量敌人a核
14	61223 63316	 * 	284.07	橙3易伤1等级1矿等1技能1暴击	123易伤3序列升级4等级5暴击6时间7核8技能9随机技能a矿等
15	21343 25333	   	282.59	橙橙2易伤1伤害	1低血量敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a核弹
16	21344 25333	   	282.59	橙橙2易伤1伤害	1低血量敌人27易伤3额外掉落4伤害5最后敌人68核9时间a核弹
17	31343 25333	   	282.59	橙橙2易伤1伤害	1最后敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a核弹
18	31344 25333	   	282.59	橙橙2易伤1伤害	1最后敌人27易伤3额外掉落4伤害5低血量敌人68核9时间a核弹
19	21343 25334	   	281.24	橙橙2易伤1伤害	1低血量敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a全技能
20	31343 25334	   	281.24	橙橙2易伤1伤害	1最后敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a全技能
21	51343 25331	   	281.14	橙橙2易伤1伤害	1基地爆炸27易伤3额外掉落4伤害5敌人爆炸68核9全技能a时间
22	21343 25335	   	279.87	橙橙2易伤1伤害	1低血量敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a随机技能
23	21343 25351	   	279.87	橙橙2易伤1伤害	1低血量敌人27易伤3额外掉落4伤害5敌人爆炸68核9随机技能a时间
24	31343 25335	   	279.87	橙橙2易伤1伤害	1最后敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a随机技能
25	31343 25351	   	279.87	橙橙2易伤1伤害	1最后敌人27易伤3额外掉落4伤害5敌人爆炸68核9随机技能a时间
26	61363 41313	   	277.53	橙4易伤2矿等1伤害	1246易伤3立即金币56矿等6序列升级7掉矿8伤害9随机技能a核
27	61223 23363	   	276.95	橙4易伤2等级1技能1暴击	123a易伤3序列升级49等级5暴击6敌人爆炸7核8技能
28	21333 25331	   	276.23	橙橙3易伤	1低血量敌人27a易伤3额外掉落4核弹5敌人爆炸68核9时间
29	21334 25331	   	276.23	橙橙3易伤	1低血量敌人27a易伤3额外掉落4核弹5最后敌人68核9时间
30	31333 25331	   	276.23	橙橙3易伤	1最后敌人27a易伤3额外掉落4核弹5敌人爆炸68核9时间
31	31334 25331	   	276.23	橙橙3易伤	1最后敌人27a易伤3额外掉落4核弹5低血量敌人68核9时间
32	65333 25331	   	276.13	橙橙3易伤	17a易伤2雷电减费3额外掉落4核弹5敌人爆炸68核9时间
33	61223 23256	   	275.77	橙3易伤1等级1矿等1技能1暴击	123易伤3序列升级4等级5暴击6敌人爆炸7核8随机技能9技能a矿等
34	61223 23316	   	275.77	橙3易伤1等级1矿等1技能1暴击	123易伤3序列升级4等级5暴击6敌人爆炸7核8技能9随机技能a矿等
35	61263 26331	 * 	274.69	橙4易伤1等级1矿等1攻速	1234易伤3序列升级5矿等6低血量敌人7核8策反9攻速a等级
36	61261 11113	 * 	274.60	紫4易伤1等级1矿等1伤害1技能1攻速	1234易伤3序列升级5核6技能7矿等8等级9伤害a攻速
37	61224 36213	   	274.60	橙3易伤1等级1矿等1伤害1攻速	123易伤3序列升级4等级5技能点6矿等7核8立即金币9伤害a攻速
38	61263 26131	   	274.59	橙4易伤1等级1矿等1攻速	1234易伤3序列升级5矿等6低血量敌人7核8掉矿9攻速a等级
