0	Index      	 *	Score 	Summary	Detail	
1	11323 24365	 * 	294.75	橙橙2易伤2矿等	16矿等2挖尘3散射对甲45易伤7金币生成8双倍物品9a核
2	12161 23354	   	274.08	橙橙1易伤1矿等1攻速	1矿等2随机技能3平台4挖尘5攻速68核7金币生成9易伤a时间
3	32111 15334	 * 	272.42	橙橙1易伤2攻速1技能	1立即金币2技能34攻速5全技能6策反79核8爆破对冰a易伤
4	14132 23234	 * 	271.66	紫橙2易伤2矿等1暴击	1a矿等2低血量敌人3双倍矿4a最后敌人59核6暴击7掉矿8a易伤a序列升级
5	11142 23234	   	271.36	紫橙2易伤2矿等1暴击	1a矿等2a挖尘3挖青4立即金币59核6暴击7掉矿8a易伤a序列升级
6	11142 52234	   	271.36	紫橙2易伤2矿等1暴击	1a矿等2a挖尘3挖青4立即金币59核6掉矿7暴击8a易伤a序列升级
7	11622 52234	   	271.26	紫橙2易伤2矿等1暴击	1a矿等2挖尘34a基地爆炸59核6掉矿7暴击8a易伤a序列升级
8	32111 15336	 * 	269.56	橙橙1等级2攻速1技能	1立即金币2技能34攻速5全技能6策反79核8爆破对冰a等级
9	12344 62123	 * 	269.25	橙橙1易伤1矿等1伤害1卖塔	1矿等2随机技能3立即金币4伤害5易伤6卖塔7双倍秒伤8基地爆炸9a核
10	12244 62123	 * 	269.15	橙橙1易伤1矿等1伤害1卖塔	1矿等2随机技能3毒气减费4伤害5易伤6卖塔7双倍秒伤8基地爆炸9a核
11	12161 23311	 * 	267.78	橙橙1矿等1伤害1技能1攻速	1矿等2随机技能3平台4挖尘5攻速68核7金币生成9伤害a技能
12	12464 23232	 * 	266.38	橙2易伤1等级1矿等1伤害1攻速	1矿等2随机技能3攻速4伤害5等级67易伤8策反9时间a核
13	12161 23353	   	265.78	橙橙1易伤1矿等1攻速	1矿等2随机技能3a平台4挖尘5攻速68核7金币生成9易伤
14	12161 23355	   	265.78	橙橙1易伤1矿等1攻速	1矿等2随机技能3平台4挖尘5攻速68核7金币生成9易伤a技能点
15	12161 23351	   	265.68	橙橙1易伤1矿等1攻速1挖怪	1矿等2随机技能3平台4挖尘5攻速68核7金币生成9易伤a挖怪
16	12161 23352	   	265.68	橙橙1易伤1矿等1攻速	1矿等2随机技能3平台4挖尘5攻速68核7金币生成9易伤a掉矿
17	12161 23356	   	265.68	橙橙1易伤1矿等1攻速	1矿等2随机技能3平台4挖尘5攻速68核7金币生成9易伤a激光对绿
18	12434 62123	   	265.33	橙橙1易伤1矿等1攻速1卖塔	1矿等2随机技能3攻速4烈焰减费5易伤6卖塔7双倍秒伤8基地爆炸9a核
19	12434 62323	   	265.33	橙橙1易伤1矿等1攻速1卖塔	1矿等2随机技能3攻速4烈焰减费5易伤6卖塔7双倍秒伤8挖尘9a核
20	43361 22743	 * 	264.99	橙橙1等级1伤害1攻速	1平台2时间3伤害4随机技能5攻速6a核7加一8掉矿9等级
21	43361 23443	   	264.99	橙橙1等级1伤害1攻速	1平台2时间3伤害4随机技能5攻速6a核7掉矿8加一9等级
