0	Index      	 *	Score 	Summary	Detail	
1	33512 54342	 * 	220.68	ACR|3BEXP|2DMG|1VULN|1ASPD|1CDMG	19DUST|2MBVNT|3RCR|489BEXP|5VULN|6CDMG|79DMG|9BPWR|aASPD
2	53512 38441	 * 	218.87	ACR|3BEXP|2VULN|2DMG|1ASPD	19FEWX|2MBVNT|3RCR|469BEXP|5aVULN|7ASPD|89DMG|9BPWR
3	33512 68441	   	218.67	ACR|2VULN|3BEXP|2DMG|1ASPD	19DUST|2MBVNT|3RCR|49aBEXP|56VULN|7ASPD|89DMG|9BPWR
4	33512 38441	   	218.67	ACR|3BEXP|2VULN|2DMG|1ASPD	19DUST|2MBVNT|3RCR|469BEXP|5aVULN|7ASPD|89DMG|9BPWR
5	33512 55242	 * 	218.64	ACR|3ASPD|2VULN|2BEXP|1CDMG	19DUST|2MBVNT|3RCR|49BEXP|57VULN|6CDMG|89aASPD|9BPWR
6	41121 24341	 * 	218.21	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART	12BEXP|3MLV|4RCR|5VULN|6ZMB|7AART|8DMG|9AME|aBASARM
7	33512 56242	 * 	216.28	ACR|3ASPD|3BEXP|1VULN|1CDMG	19DUST|2MBVNT|3RCR|479BEXP|5VULN|6CDMG|89aASPD|9BPWR
8	33522 15842	 * 	216.05	ACR|3ASPD|2VULN|2DMG	19DUST|2MBVNT|3RCR|45VULN|69DMG|79aASPD|8LEGI|9BPWR
9	13121 44241	 * 	215.68	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1AAC	1RCVC|2BEXP|3MLV|4RCR|5VULN|6ASPD|7AART|8AAC|9AME|aBASARM
10	13121 64361	   	215.68	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1AAC	1RCVC|2BEXP|3MLV|4RCR|5VULN|6ERES|7AART|8DMG|9AAC|aBASARM
11	53426 82223	 * 	215.15	ACR|2BASARM|2DMG|1ASPD|1BEXP|1SELL	17FEWX|2MBVNT|3LIT|47DMG|5RCR|67BASARM|7BPWR|8SELL|9BEXP|aASPD
12	13121 43541	   	214.68	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1AAC	1RCVC|2BEXP|3MLV|4RCR|5VULN|6ASPD|7AAC|8AART|9AME|aBASARM
13	33547 21327	 * 	214.62	ACR|1BASARM|2DMG|1VULN|1ASPD	1DUST|2MBVNT|3RCR|4BELT|57DMG|6ZMB|8VULN|9ASPD|aBASARM
14	53426 82214	 * 	212.74	ACR|2BASARM|3DMG|1AART|1SELL	17FEWX|2MBVNT|3LIT|47aDMG|5RCR|67BASARM|7BPWR|8SELL|9AART
15	33512 54343	   	212.25	ACR|3BEXP|2VULN|2DMG|1CDMG	19DUST|2MBVNT|3RCR|489BEXP|5aVULN|6CDMG|79DMG|9BPWR
16	33522 15841	   	212.05	ACR|2VULN|2ASPD|2DMG|1BEXP	19DUST|2MBVNT|3RCR|45VULN|69DMG|79ASPD|8LEGI|9BPWR|aBEXP
17	53426 82233	 * 	211.85	ACR|2BASARM|2DMG|1VULN|1BEXP|1SELL	17FEWX|2MBVNT|3LIT|47DMG|5RCR|67BASARM|7BPWR|8SELL|9VULN|aBEXP
18	13125 41521	 * 	210.73	ACR|3ASPD|2BEXP|1DMG|1VULN	1RCVC|27BEXP|3MLV|4RCR|57LWND|678ASPD|7BPWR|9DMG|aVULN
19	52214 42122	 * 	210.71	ACR|1BASARM|2ASPD|1DMG|1CDMG	1FEWX|2LIT|3RCR|4RPLT|5BASARM|6BELT|79ASPD|8DMG|aCDMG
20	33511 24278	   	210.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUST|2MBVNT|3RCR|4BEXP|59DMG|6RPLT|7ASPD|8LWND|aBASARM
21	33513 21474	   	210.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUST|2MBVNT|3RCR|4BEXP|5LHND|6ASPD|7LWND|89DMG|aBASARM
22	33564 21474	   	210.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1DUST|2MBVNT|3RCR|4LHND|5BEXP|6ASPD|7LWND|89DMG|aBASARM
23	32414 13226	 * 	209.93	ACR|3DMG|2BEXP|1VULN|1ASPD|1AAC	1aDUST|24LIT|34aDMG|4aBPWR|5RCR|6ASPD|7VULN|8aBEXP|9AAC
24	13125 41263	 * 	209.72	ACR|2ASPD|2BEXP|1VULN|1BASICY|1AART	1RCVC|27BEXP|3MLV|4RCR|57LWND|67ASPD|7BPWR|8VULN|9BASICY|aAART
25	33525 51242	 * 	209.57	ACR|3VULN|3ASPD|2CDMG	19DUST|2MBVNT|3RCR|469VULN|56CDMG|69BPWR|7LHND|89aASPD
26	33512 54442	   	209.42	ACR|2DMG|2BEXP|1VULN|1ASPD|1CDMG	19DUST|2MBVNT|3RCR|49BEXP|5VULN|6CDMG|79DMG|8DMSP|9BPWR|aASPD
27	33512 72312	 * 	208.91	ACR|2ASPD|2BEXP|1VULN|1AART|1CDMG	1DUST|2MBVNT|3RCR|47BEXP|5VULN|6AART|8CDMG|9aASPD
28	33522 15844	 * 	208.40	ACR|3VULN|2ASPD|2DMG	19DUST|2MBVNT|3RCR|45aVULN|69DMG|79ASPD|8LEGI|9BPWR
29	33512 72411	 * 	208.00	ACR|3BEXP|1VULN|1ASPD|1DMG|1AART	1DUST|2MBVNT|3RCR|478BEXP|5VULN|6AART|9ASPD|aDMG
30	53511 24228	 * 	207.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1FEWX|2MBVNT|3RCR|49BEXP|5DMG|6RPLT|7ASPD|8LWND|aBASARM
31	33511 24228	   	207.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUST|2MBVNT|3RCR|49BEXP|5DMG|6RPLT|7ASPD|8LWND|aBASARM
32	33513 21434	   	207.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUST|2MBVNT|3RCR|49BEXP|5LHND|6ASPD|7LWND|8DMG|aBASARM
33	33564 21434	   	207.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUST|2MBVNT|3RCR|4LHND|59BEXP|6ASPD|7LWND|8DMG|aBASARM
34	53512 25441	   	207.60	ACR|2VULN|2DMG|2BEXP|1ASPD	179FEWX|2MBVNT|3RCR|49BEXP|5aVULN|6ASPD|89DMG|9BPWR
35	41121 62115	 * 	207.45	ACR|3BEXP|2VULN|2ASPD|1CDMG	127BEXP|3aMLV|4RCR|5aVULN|6ERES|8CDMG|9aASPD|aBPWR
36	33512 68442	   	207.40	ACR|2VULN|2DMG|2BEXP|1ASPD	19DUST|2MBVNT|3RCR|49BEXP|56VULN|7ASPD|89DMG|9BPWR|aBELT
37	33512 68444	   	207.40	ACR|2VULN|2DMG|2BEXP|1ASPD	19DUST|2MBVNT|3RCR|49BEXP|56VULN|7ASPD|89DMG|9BPWR|aLIT
38	13121 24341	   	207.38	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RCVC|2BEXP|3MLV|4RCR|5VULN|6ZMB|7AART|8DMG|9AME|aBASARM
39	33512 68341	 * 	207.30	ACR|2VULN|2ASPD|2BEXP|1DMG	1DUST|2MBVNT|3RCR|4aBEXP|56VULN|78ASPD|9DMG
40	33512 68421	   	207.30	ACR|2VULN|2ASPD|2BEXP|1DMG	1DUST|2MBVNT|3RCR|4aBEXP|56VULN|79ASPD|8DMG
41	33512 68443	   	207.30	ACR|2VULN|2DMG|2BEXP|1ASPD	19DUST|2MBVNT|3RCR|49BEXP|56VULN|7ASPD|89DMG|9BPWR|aAEFBLL
42	13121 44341	   	207.28	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RCVC|2BEXP|3MLV|4RCR|5VULN|6ASPD|7AART|8NUKE|9AME|aBASARM
43	33511 52438	   	207.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1DUST|2MBVNT|3RCR|4BEXP|5DMG|6CGEN|7VULN|8AART|9RPLT|aBASARM
44	53527 42121	 * 	206.81	ACR|2BASARM|2VULN|2BEXP	168FEWX|2MBVNT|3RCR|4aVULN|5MDPS|7aBEXP|9aBASARM|aBPWR
45	53522 11342	 * 	206.77	ACR|3VULN|3ASPD|1DMG	19FEWX|2MBVNT|3RCR|459VULN|6DMG|7LHND|89aASPD|9BPWR
46	53426 82432	 * 	206.75	ACR|2BASARM|2DMG|1VULN|1AAC	178FEWX|2MBVNT|3LIT|47DMG|5RCR|67BASARM|7BPWR|9VULN|aAAC
47	13121 13364	   	206.70	ACR|2VULN|2ASPD|2BEXP|1DMG	1RCVC|27BEXP|367MLV|4RCR|57VULN|7BPWR|8aASPD|9DMG
48	13122 53364	   	206.70	ACR|2VULN|2ASPD|2BEXP|1DMG	1RCVC|27BEXP|357MLV|4RCR|67VULN|7BPWR|8aASPD|9DMG
49	25123 41321	   	206.62	ACR|3ASPD|2BEXP|1DMG|1VULN	17CGEN|27BEXP|3AEFBLL|4RCR|5DUR|678ASPD|7BPWR|9DMG|aVULN
50	33522 11342	   	206.57	ACR|3VULN|3ASPD|1DMG	19DUST|2MBVNT|3RCR|459VULN|6DMG|7LHND|89aASPD|9BPWR
51	46223 41321	   	206.52	ACR|3ASPD|2BEXP|1DMG|1VULN	17BEXP|23ERES|4RCR|57DUR|678ASPD|7BPWR|9DMG|aVULN
52	46123 41321	   	206.42	ACR|3ASPD|2BEXP|1DMG|1VULN	17BEXP|27ERES|3AEFBLL|4RCR|5DUR|678ASPD|7BPWR|9DMG|aVULN
53	53512 38442	   	206.23	ACR|3BEXP|2DMG|1VULN|1ASPD	19FEWX|2MBVNT|3RCR|469BEXP|5VULN|7ASPD|89DMG|9BPWR|aCGEN
54	53512 38443	   	206.23	ACR|3BEXP|2DMG|1VULN|1ASPD	19FEWX|2MBVNT|3RCR|469BEXP|5VULN|7ASPD|89DMG|9BPWR|aMLV
55	53512 38444	   	206.23	ACR|3BEXP|2DMG|1VULN|1ASPD	19FEWX|2MBVNT|3RCR|469BEXP|5VULN|7ASPD|89DMG|9BPWR|aLIT
56	33512 38442	   	206.03	ACR|3BEXP|2DMG|1VULN|1ASPD	19DUST|2MBVNT|3RCR|469BEXP|5VULN|7ASPD|89DMG|9BPWR|aCGEN
57	33512 38443	   	206.03	ACR|3BEXP|2DMG|1VULN|1ASPD	19DUST|2MBVNT|3RCR|469BEXP|5VULN|7ASPD|89DMG|9BPWR|aMLV
58	33512 38444	   	206.03	ACR|3BEXP|2DMG|1VULN|1ASPD	19DUST|2MBVNT|3RCR|469BEXP|5VULN|7ASPD|89DMG|9BPWR|aLIT
59	33512 38446	   	206.03	ACR|3BEXP|2DMG|1VULN|1ASPD	19DUST|2MBVNT|3RCR|469BEXP|5VULN|7ASPD|89DMG|9BPWR|aZMB
60	33512 38447	   	206.03	ACR|3BEXP|2DMG|1VULN|1ASPD	19DUST|2MBVNT|3RCR|469BEXP|5VULN|7ASPD|89DMG|9BPWR|aRPLT
61	53512 38421	 * 	206.03	ACR|3BEXP|2ASPD|1VULN|1DMG	1FEWX|2MBVNT|3RCR|46aBEXP|5VULN|79ASPD|8DMG
62	33512 38341	   	205.93	ACR|3BEXP|2ASPD|1VULN|1DMG	1DUST|2MBVNT|3RCR|46aBEXP|5VULN|78ASPD|9DMG
63	33512 38421	   	205.93	ACR|3BEXP|2ASPD|1VULN|1DMG	1DUST|2MBVNT|3RCR|46aBEXP|5VULN|79ASPD|8DMG
64	33512 38471	   	205.93	ACR|3BEXP|2DMG|1VULN|1ASPD	1DUST|2MBVNT|3RCR|46aBEXP|5VULN|7ASPD|89DMG
65	33512 38445	   	205.93	ACR|3BEXP|2DMG|1VULN|1ASPD	19DUST|2MBVNT|3RCR|469BEXP|5VULN|7ASPD|89DMG|9BPWR|aTLV
66	41121 24351	   	205.58	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART|1CDMG	12BEXP|3MLV|4RCR|5VULN|6ZMB|7AART|8DMG|9CDMG|aASPD
67	33512 72412	 * 	205.52	ACR|3BEXP|2ASPD|1VULN|1AART	1DUST|2MBVNT|3RCR|478BEXP|5VULN|6AART|9aASPD
68	41121 24241	   	205.45	ACR|1BASARM|2BEXP|1VULN|1AART|1AAC	12BEXP|3MLV|4RCR|5VULN|6ZMB|7AART|8AAC|9AME|aBASARM
69	25123 41324	 * 	205.44	ACR|3ASPD|2DMG|2BEXP	17CGEN|27BEXP|3AEFBLL|4RCR|5DUR|678ASPD|7BPWR|9aDMG
70	53426 82213	 * 	205.39	ACR|2BASARM|2DMG|1AART|1AAC|1SELL	17FEWX|2MBVNT|3LIT|47DMG|5RCR|67BASARM|7BPWR|8SELL|9AART|aAAC
71	53512 22841	   	205.11	ACR|2VULN|3BEXP|2ASPD|1AAC	19FEWX|2MBVNT|3RCR|48aBEXP|59VULN|69ASPD|7AAC|9BPWR
72	33512 53242	   	204.91	ACR|3ASPD|2BEXP|1VULN|1CDMG	179DUST|2MBVNT|3RCR|49BEXP|5VULN|6CDMG|89aASPD|9BPWR
73	33512 38541	   	204.91	ACR|2VULN|3BEXP|2ASPD|1AAC	19DUST|2MBVNT|3RCR|46aBEXP|59VULN|79ASPD|8AAC|9BPWR
74	41121 23541	   	204.45	ACR|1BASARM|2BEXP|1VULN|1AART|1AAC	12BEXP|3MLV|4RCR|5VULN|6ZMB|7AAC|8AART|9AME|aBASARM
75	13121 42331	 * 	204.14	ACR|3BEXP|2ASPD|1VULN|1BASICY	1RCVC|27aBEXP|3MLV|4RCR|5VULN|68ASPD|9BASICY
76	53512 22348	   	203.66	ACR|3VULN|2ASPD|1BEXP|1CDMG|1AAC	19FEWX|2MBVNT|3RCR|4BEXP|589VULN|69ASPD|7AAC|9BPWR|aCDMG
77	41121 42142	 * 	203.54	ACR|3BEXP|2ASPD|1VULN|2CDMG	127BEXP|39MLV|4RCR|5VULN|69ASPD|89CDMG|9BPWR|aRCVC
78	33512 22348	   	203.46	ACR|3VULN|2ASPD|1BEXP|1CDMG|1AAC	19DUST|2MBVNT|3RCR|4BEXP|589VULN|69ASPD|7AAC|9BPWR|aCDMG
79	52235 13121	   	203.37	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1FEWX|2LIT|3RCR|4LWND|5SNIHEL|6BEXP|7BASARM|8CDMG|9VULN|aDMG
80	52235 13421	   	203.37	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1FEWX|2LIT|3RCR|4LWND|5SNIHEL|6BEXP|7BASARM|8VULN|9CDMG|aDMG
81	52251 13121	   	203.37	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1FEWX|2LIT|3RCR|4VENFST|5LHND|6BEXP|7BASARM|8CDMG|9VULN|aDMG
82	52251 13421	   	203.37	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1FEWX|2LIT|3RCR|4VENFST|5LHND|6BEXP|7BASARM|8VULN|9CDMG|aDMG
83	52265 13121	   	203.37	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1FEWX|2LIT|3RCR|4LHND|5SNIHEL|6BEXP|7BASARM|8CDMG|9VULN|aDMG
84	33543 64233	   	203.27	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG	1DUST|2MBVNT|3RCR|4BELT|5LWND|6ASPD|7BASARM|8CDMG|9BEXP|aVULN
85	43221 24341	   	203.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1BEXP|2MLV|3AEMAG|4RCR|5VULN|6ZMB|7AART|8DMG|9AME|aBASARM
86	13125 41523	 * 	203.23	ACR|3ASPD|3BEXP|1DMG	1RCVC|27aBEXP|3MLV|4RCR|57LWND|678ASPD|7BPWR|9DMG
87	33525 23642	   	202.87	ACR|2VULN|2DMG|1ASPD|1CDMG|1AAC	18DUST|2MBVNT|3RCR|48VULN|5CDMG|6CGEN|78DMG|8BPWR|9AAC|aASPD
88	33525 13642	   	202.77	ACR|2VULN|2DMG|1ASPD|1CDMG|1AAC	18DUST|2MBVNT|3RCR|48VULN|5CDMG|6ERES|78DMG|8BPWR|9AAC|aASPD
89	41121 42422	   	202.74	ACR|3BEXP|2ASPD|1VULN|1DMG	127BEXP|3MLV|4RCR|5VULN|6aASPD|8DMG|9RCVC
90	33522 16463	 * 	202.36	ACR|2VULN|2DMG|2CDMG|1AART	18aDUST|2MBVNT|3RCR|45VULN|6aDMG|7AART|9aCDMG|aBPWR
91	13121 44522	 * 	202.15	ACR|2VULN|2BEXP|1ASPD|1AART|1CDMG	1RCVC|28BEXP|3MLV|4RCR|59VULN|6ASPD|7AART|aCDMG
92	41121 42141	   	202.13	ACR|3BEXP|2ASPD|1VULN|2CDMG	127BEXP|39MLV|4RCR|5VULN|69ASPD|89CDMG|9BPWR|aDUST
93	41121 42143	   	202.13	ACR|3BEXP|2ASPD|1VULN|2CDMG	127BEXP|39MLV|4RCR|5VULN|69ASPD|89CDMG|9BPWR|aERES
