0	Index      	 *	Score 	Summary	Detail	
1	61463 32213	 * 	222.08	ACR|2ASPD|2DMG|1VULN|2CDMG|1AART	18CDMG|2LIT|3RCR|48ASPD|58DMG|6BELT|7AART|8BPWR|9RCVC|aVULN
2	61463 13212	 * 	206.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1CDMG|2LIT|3RCR|4ASPD|5DMG|6SNITOX|7BEXP|8TLV|9ZMB|aBASARM
3	61463 32212	   	200.77	ACR|2ASPD|2DMG|2CDMG|1AART	18CDMG|2LIT|3RCR|48ASPD|58DMG|6BELT|7AART|8BPWR|9RCVC|aMLV
4	61463 32211	   	200.67	ACR|2ASPD|2DMG|2CDMG|1AART	18CDMG|2LIT|3RCR|48ASPD|58DMG|6BELT|7AART|8BPWR|9RCVC|aTLV
5	61462 23133	   	200.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2LIT|3RCR|4ASPD|5BEXP|6DUR|7AME|8LEGI|9BASARM|aAART
6	61463 32231	   	200.02	ACR|2ASPD|2DMG|2CDMG|1AART	18CDMG|2LIT|3RCR|48ASPD|58DMG|6BELT|7AART|8BPWR|9CGEN|aRMIN
7	61463 32233	   	200.02	ACR|2ASPD|2DMG|2CDMG|1AART	18CDMG|2LIT|3RCR|48ASPD|58DMG|6BELT|7AART|8BPWR|9CGEN|aLHND
8	61463 32232	   	199.92	ACR|2ASPD|2DMG|2CDMG|1AART	18CDMG|2LIT|3RCR|48ASPD|58DMG|6BELT|7AART|8BPWR|9CGEN|aSPLARM
9	61411 21313	 * 	193.12	ACR|1BASARM|1ASPD|2CDMG|1BEXP	14CDMG|246LIT|3RCR|4BPWR|5BELT|7FEWX|8BEXP|9BASARM|aASPD
10	61413 31413	   	193.12	ACR|1BASARM|1ASPD|2CDMG|1BEXP	14CDMG|247LIT|3RCR|4BPWR|5BEXP|6BELT|8LHND|9BASARM|aASPD
11	61423 14112	   	193.02	ACR|1BASARM|1ASPD|2CDMG|1BEXP	17CDMG|27LIT|3RCR|4MLV|5ASPD|67VENFST|7BPWR|8FEWX|9BEXP|aBASARM
12	61423 14212	   	193.02	ACR|1BASARM|1ASPD|2CDMG|1BEXP	17CDMG|27LIT|3RCR|4MLV|5ASPD|67VENFST|7BPWR|8LWND|9BEXP|aBASARM
13	61423 14312	   	193.02	ACR|1BASARM|1ASPD|2CDMG|1BEXP	17CDMG|27LIT|3RCR|4MLV|5ASPD|67VENFST|7BPWR|8LHND|9BEXP|aBASARM
14	61411 25113	   	193.02	ACR|1BASARM|1ASPD|2CDMG|1BEXP	14CDMG|246LIT|3RCR|4BPWR|5BELT|7BEXP|8LEGI|9BASARM|aASPD
15	61413 31113	   	193.02	ACR|1BASARM|1ASPD|2CDMG|1BEXP	14CDMG|247LIT|3RCR|4BPWR|5BEXP|6BELT|8LEGI|9BASARM|aASPD
16	61415 31313	   	193.02	ACR|1BASARM|1ASPD|2CDMG|1BEXP	14CDMG|247LIT|3RCR|4BPWR|5DUST|6BELT|8BEXP|9BASARM|aASPD
17	61463 11212	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1CDMG|2LIT|3RCR|4ASPD|5DMG|6SNITOX|7LWND|8TLV|9ZMB|aBASARM
18	26356 31331	 * 	192.87	DCR|3VULN|2BASARM|2ASPD	18ASPD|2RCVC|3AEMAG|48BASARM|5LHND|6ERES|789VULN|8BPWR|aRCR
19	61423 16412	   	192.82	ACR|1BASARM|1ASPD|2CDMG|1BEXP	18CDMG|2LIT|3RCR|4MLV|5ASPD|6VENFST|7MBVNT|9BEXP|aBASARM
