0	Index      	 *	Score 	Summary	Detail	
1	64334 13212	 * 	224.79	ACR|3DMG|1BASARM|2BEXP|1AART	1AART|29aDMG|3RCVC|46BEXP|5RCR|7LIT|8BASARM
2	64334 13211	   	222.78	ACR|1BASARM|2DMG|2BEXP|1AART|1CDMG	1AART|29DMG|3RCVC|46BEXP|5RCR|7LIT|8BASARM|aCDMG
3	53221 66231	 * 	220.08	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1AAC	1BELT|2RCR|3AAC|4BEXP|5AART|6MLV|7BASARM|8CGEN|9DMG|aASPD
4	53121 66231	   	211.77	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1BELT|2RCR|3RMIN|4BEXP|5AART|6MLV|7BASARM|8CGEN|9DMG|aASPD
5	53121 26231	   	211.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1BELT|2RCR|3RMIN|4BEXP|5AART|6AME|7BASARM|8CGEN|9DMG|aASPD
6	53121 26631	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1BELT|2RCR|3RMIN|4BEXP|5AART|6AME|7BASARM|8ERES|9DMG|aASPD
7	64334 13213	   	209.13	ACR|1BASARM|2DMG|2BEXP|1AART	1AART|29DMG|3RCVC|46BEXP|5RCR|7LIT|8BASARM|aLWND
8	64334 13232	   	209.13	ACR|1BASARM|2DMG|2BEXP|1AART	1AART|2aDMG|3RCVC|46BEXP|5RCR|7LIT|8BASARM|9LHND
9	53512 12215	   	208.14	ACR|1BASARM|2BEXP|1DMG|1AAC	1BELT|2RCR|3RPLT|47BEXP|5VULN|6DMG|8FEWX|9AAC|aBASARM
10	53521 12215	   	208.14	ACR|1BASARM|2BEXP|1DMG|1AAC	1BELT|2RCR|3RPLT|4VULN|57BEXP|6DMG|8FEWX|9AAC|aBASARM
11	53512 12315	   	208.04	ACR|1BASARM|2BEXP|1DMG|1AAC	1BELT|2RCR|3RPLT|47BEXP|5VULN|6DMG|8DUST|9AAC|aBASARM
12	53521 12315	   	208.04	ACR|1BASARM|2BEXP|1DMG|1AAC	1BELT|2RCR|3RPLT|4VULN|57BEXP|6DMG|8DUST|9AAC|aBASARM
13	45221 12341	 * 	207.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUR|26BEXP|3RCR|4ERES|5LWND|7FEWX|8BASARM|9DMG|aASPD
