0	Index      	 *	Score 	Summary	Detail	
1	21111 52422	 * 	263.46	橙2易伤3伤害2时间1等级1全技能	18时间2全技能389伤害4基地爆炸5等级68易伤7随机矿8序列升级a核
2	23432 61142	 * 	259.29	橙橙1易伤1矿等1时间1全技能1暴击	1时间2烈焰减费3暴击4易伤5双倍秒伤6全技能79核8额外掉落a矿等
3	52263 21326	 * 	252.15	橙橙1易伤1伤害1矿等1暴击	1最后敌人2双倍秒伤3雷电4伤害5易伤6a核7额外掉落8暴击9矿等
4	25342 61741	 * 	248.90	橙橙1易伤2时间1伤害	19时间2加一3赏金塔4伤害5易伤6随机技能7a核8雷电
5	25431 25461	 * 	246.17	橙橙1等级1伤害1矿等1时间	1时间2加一3等级4矿等5雷电6随机技能7伤害8赏金邻近9a核
6	25413 53511	 * 	243.74	橙3易伤3时间1等级1全技能	168时间2加一3等级48最后敌人568易伤68序列升级7全技能9平台a核
7	23432 61141	   	243.69	橙橙1易伤1时间1全技能1暴击	1时间2烈焰减费3暴击4易伤5双倍秒伤6全技能79核8额外掉落a基地爆炸
8	23432 61143	   	243.59	橙橙1易伤1时间1全技能1暴击	1时间2烈焰减费3暴击4易伤5双倍秒伤6全技能79核8额外掉落a赏金邻近
9	26253 32611	 * 	242.69	橙橙1易伤1等级1时间	1时间2雷电3易伤4最后敌人5基地爆炸69核7赏金邻近8随机技能a等级
10	22461 13336	 * 	242.59	橙橙2易伤1时间	1时间2赏金邻近37易伤49金币生成5毒液对黄6a核8随机矿
11	25422 13355	   	242.59	橙橙1易伤1等级1时间	1时间2加一3等级4头目5易伤6随机矿7平台8a核9加农对毒
12	26252 32611	   	242.59	橙橙1易伤1等级1时间	1时间2雷电3易伤4最后敌人5挖青69核7赏金邻近8随机技能a等级
13	51361 13413	   	242.59	橙橙1易伤1等级1时间	1最后敌人2时间3赏金塔4金币生成5加农对毒69核7易伤8低血量敌人a等级
14	51311 15124	   	242.49	橙橙2易伤1时间	1最后敌人2时间3赏金塔4技能点5加农对毒6a核79易伤8平台
15	51311 15412	   	242.49	橙橙1易伤1等级1时间	1最后敌人2时间3赏金塔4技能点5加农对毒69核7易伤8低血量敌人a等级
16	51311 15512	   	242.49	橙橙1易伤1等级1时间	1最后敌人2时间3赏金塔4技能点5加农对毒69核7易伤8敌人爆炸a等级
17	51621 15212	   	242.49	橙橙1易伤1等级1时间	1最后敌人2时间3激光对绿4等级5赏金邻近69核7易伤8挖尘a低血量敌人
18	63116 13413	   	242.49	橙橙1易伤1等级1时间	1掉矿2赏金邻近3喷火对愈4最后敌人5时间69核7易伤8低血量敌人a等级
19	34116 15212	   	242.39	橙橙1易伤1等级1时间	1技能点2赏金塔3喷火对愈4最后敌人5时间69核7易伤8挖尘a等级
20	34136 15212	   	242.39	橙橙1易伤1等级1时间	1技能点2赏金塔3喷火对愈4基地爆炸5时间69核7易伤8挖尘a等级
21	51311 15212	   	242.39	橙橙1易伤1等级1时间	1最后敌人2时间3赏金塔4技能点5加农对毒69核7易伤8挖尘a等级
22	51621 15211	   	242.39	橙橙1易伤1等级1时间	1最后敌人2时间3激光对绿4等级5赏金邻近69核7易伤8挖尘a技能点
23	51621 15213	   	242.39	橙橙1易伤1等级1时间	1最后敌人2时间3激光对绿4等级5赏金邻近69核7易伤8挖尘a双倍秒伤
24	22411 13346	   	242.29	橙橙2易伤1时间	1时间2赏金邻近39易伤4技能点5毒液对黄6a核7掉矿8烈焰减费
25	11111 52422	   	237.16	橙2易伤3伤害1等级1全技能	18挖尘2全技能389伤害4基地爆炸5等级68易伤7随机矿8序列升级a核
26	52263 21316	   	236.45	橙橙1易伤1伤害1暴击	1最后敌人2双倍秒伤3雷电4伤害5易伤6a核7额外掉落8暴击9掉矿
27	11111 52453	   	235.15	橙2易伤2伤害1等级1时间1全技能	18挖尘2全技能38伤害4基地爆炸5等级68易伤7随机矿8序列升级9时间a核
28	21111 32663	 * 	234.20	橙3等级2伤害2矿等2时间1全技能	18时间2全技能38伤害4基地爆炸569等级78矿等8序列升级a核
