0	Index      	 *	Score 	Summary	Detail	
1	13142 31532	 * 	255.04	橙橙2易伤1等级	1电塔对黄2等级3平台4毒液对黄5雷电减费6a核79易伤8敌人爆炸
2	13141 32232	 * 	252.82	橙橙2等级1易伤1时间	1电塔对黄27等级3平台4毒液对黄5挖尘6a核8时间9易伤
3	43141 32632	   	245.09	橙橙1易伤1等级1导弹对毒	1掉矿2导弹对毒3平台4毒液对黄5挖尘6a核7等级8金币生成9易伤
4	13141 31252	   	242.49	橙橙1易伤1等级1时间	1电塔对黄2等级3平台4毒液对黄5挖尘6a核7易伤8时间9立即金币
5	13141 34232	   	242.49	橙橙1易伤1等级1时间	1电塔对黄2等级3平台4毒液对黄5挖尘6a核7双倍矿8时间9易伤
6	13141 35232	   	242.49	橙橙1易伤1等级1时间	1电塔对黄2等级3平台4毒液对黄5挖尘6a核7立即金币8时间9易伤
7	13141 36232	   	242.39	橙橙1易伤1等级1时间	1电塔对黄2等级3平台4毒液对黄57挖尘6a核8时间9易伤
8	13141 32632	   	239.17	橙橙2等级1易伤	1电塔对黄27等级3平台4毒液对黄5挖尘6a核8敌人爆炸9易伤
9	13142 31642	   	239.17	橙橙2等级1易伤	1电塔对黄28等级3平台4毒液对黄5雷电减费6a核7易伤9最后敌人
10	13142 31132	   	239.07	橙橙2等级1易伤	19电塔对黄29等级3平台4毒液对黄5雷电减费6a核7易伤89挖尘9序列升级
11	61236 22153	 * 	237.45	橙橙3时间1矿等1暴击	1随机技能248时间3矿等5暴击6挖尘7a核9技能点
12	42131 52412	 * 	234.87	紫橙2易伤1等级1时间	1掉矿28核3金币生成4等级5时间6挖尘79易伤a立即金币
13	63223 84742	   	234.87	紫橙2易伤1等级1时间	1随机技能2双倍秒伤3时间4加一59核67易伤8低血量敌人a等级
14	42131 52411	   	234.77	紫橙2易伤1等级1时间	1a掉矿28核3金币生成4等级5时间6挖尘79易伤
15	42131 52413	   	234.77	紫橙2易伤1等级1时间	1掉矿28核3金币生成4等级5时间6挖尘79易伤a赏金邻近
16	23313 55623	 * 	233.29	橙3易伤3伤害1全技能	13a雷电23a伤害3a序列升级4烈焰减费5敌人爆炸67a易伤8核9全技能
17	61236 22235	   	232.94	橙橙2时间1矿等1暴击	1随机技能24时间3矿等5暴击6挖尘7a核8攻速9散射对甲
18	43141 31252	   	232.54	橙橙1易伤1导弹对毒1时间	1掉矿2导弹对毒3平台4毒液对黄5挖尘6a核7易伤8时间9立即金币
19	43141 34232	   	232.54	橙橙1易伤1导弹对毒1时间	1掉矿2导弹对毒3平台4毒液对黄5挖尘6a核7双倍矿8时间9易伤
20	43141 35232	   	232.54	橙橙1易伤1导弹对毒1时间	1掉矿2导弹对毒3平台4毒液对黄5挖尘6a核7立即金币8时间9易伤
21	43141 36232	   	232.44	橙橙1易伤1导弹对毒1时间	1掉矿2导弹对毒3平台4毒液对黄57挖尘6a核8时间9易伤
22	42313 53412	 * 	230.81	紫橙3易伤1时间	1掉矿28核359易伤4敌人爆炸6挖尘7最后敌人a时间
23	42321 53412	   	230.81	紫橙3易伤1时间	14掉矿28核349易伤4序列升级5时间6挖尘7最后敌人a立即金币
24	42321 53411	   	230.71	紫橙3易伤1时间	14a掉矿28核349易伤4序列升级5时间6挖尘7最后敌人
25	42321 53413	   	230.71	紫橙3易伤1时间	14掉矿28核349易伤4序列升级5时间6挖尘7最后敌人a赏金邻近
26	23325 23266	 * 	230.49	橙2易伤2伤害1等级1矿等	136雷电23伤害3序列升级4等级5矿等7a易伤8攻速9核
