0	Index      	 *	Score 	Summary	Detail	
1	32411 62233	 * 	300.72	DCR|3VULN|2TLV|3CDMG|2AEFBLL	17AEFBLL|24aLIT|37aVULN|567CDMG|7aBPWR|8RCR|9aTLV
2	16533 52332	 * 	292.20	DCR|3VULN|2TLV|2DMG	178LWND|24TLV|357VULN|67DMG|7BPWR|9LIT|aRCR
3	26533 52112	   	287.81	DCR|3VULN|2TLV|2DMG|1AART|2MSE	17MSE|24TLV|357VULN|67DMG|7BPWR|8AART|9DMSP|aRCR
4	16533 41322	   	284.08	DCR|3VULN|2TLV|1DMG	1LWND|24TLV|359VULN|6AME|7DUR|8RCR|aDMG
5	26163 52112	 * 	283.18	DCR|2TLV|2VULN|2DMG|1AEBURN|1AART|2MSE	17MSE|27TLV|3AEBURN|45VULN|67DMG|7BPWR|8AART|9DMSP|aRCR
6	26263 52112	 * 	283.18	DCR|2TLV|2VULN|2DMG|1AEFBLL|1AART|2MSE	17MSE|27TLV|3AEFBLL|45VULN|67DMG|7BPWR|8AART|9DMSP|aRCR
7	56132 31123	 * 	282.28	DCR|3TLV|2VULN|1DMG|2DUR	1BELT|2DMSP|39VULN|459TLV|6RPLT|7RCR|89DUR|9BPWR|aDMG
8	33622 61325	 * 	282.18	ACR|2TLV|2VULN|2AEFBLL|2DUR|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5RCR|6BEXP|7aDUR|89TLV|9BPWR
9	33623 11325	   	282.18	DCR|2TLV|2VULN|2AEFBLL|2DUR|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5FEWX|6aDUR|7RCR|89TLV|9BPWR
10	33626 11325	   	282.18	DCR|2TLV|2VULN|2AEFBLL|2DUR|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5BEXP|6aDUR|7RCR|89TLV|9BPWR
11	33622 61322	   	280.07	ACR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5RCR|6BEXP|7DUR|89TLV|9BPWR|aRAT
12	33623 11322	   	280.07	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5FEWX|6DUR|7RCR|89TLV|9BPWR|aRAT
13	33626 11322	   	280.07	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5BEXP|6DUR|7RCR|89TLV|9BPWR|aRAT
14	33625 11322	   	279.97	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5DUST|6DUR|7RCR|89TLV|9BPWR|aRAT
15	16533 41312	 * 	279.45	DCR|2TLV|2VULN|1DMG|1AEPOI	1LWND|24TLV|35VULN|6AME|7DUR|8RCR|9AEPOI|aDMG
16	33622 36225	 * 	279.35	ACR|2TLV|2VULN|2AEFBLL|2CDMG	19AEFBLL|2BELT|36CDMG|49VULN|5RCR|79TLV|8MDPS|9BPWR|aDUR
17	16533 41321	   	275.02	DCR|3VULN|2TLV|1AART	1LWND|24TLV|359VULN|6AME|7DUR|8RCR|aAART
18	16533 32243	   	274.42	DCR|3VULN|2TLV|1AEFBLL	1LWND|24TLV|359VULN|6LIT|7CGEN|8RCR|aAEFBLL
19	34613 23112	 * 	274.42	ACR|3VULN|2TLV|2AEFBLL	1aAEFBLL|2AEFRZ|3aTLV|4RCR|57aVULN|6AAC|8BELT|9DMSP|aBPWR
20	33622 61321	   	273.14	ACR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5RCR|6BEXP|7DUR|89TLV|9BPWR|aMLV
21	33622 61323	   	273.14	ACR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5RCR|6aBEXP|7DUR|89TLV|9BPWR
22	33622 61326	   	273.14	ACR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5RCR|6BEXP|7DUR|89TLV|9BPWR|aLIT
23	33623 11321	   	273.14	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5FEWX|6DUR|7RCR|89TLV|9BPWR|aMLV
24	33623 11323	   	273.14	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5FEWX|6DUR|7RCR|89TLV|9BPWR|aBEXP
25	33623 11326	   	273.14	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5FEWX|6DUR|7RCR|89TLV|9BPWR|aLIT
26	33626 11321	   	273.14	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5BEXP|6DUR|7RCR|89TLV|9BPWR|aMLV
27	33626 11323	   	273.14	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5aBEXP|6DUR|7RCR|89TLV|9BPWR
28	33626 11326	   	273.14	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5BEXP|6DUR|7RCR|89TLV|9BPWR|aLIT
29	56132 31533	   	273.14	DCR|3TLV|2VULN|1DMG	1BELT|2DMSP|38VULN|458TLV|6RPLT|7RCR|8BPWR|9DUR|aDMG
30	33622 61324	   	273.04	ACR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5RCR|6BEXP|7DUR|89TLV|9BPWR|aDUST
31	33623 11324	   	273.04	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5FEWX|6DUR|7RCR|89TLV|9BPWR|aDUST
32	33625 11321	   	273.04	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5DUST|6DUR|7RCR|89TLV|9BPWR|aMLV
33	33625 11323	   	273.04	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5DUST|6DUR|7RCR|89TLV|9BPWR|aBEXP
34	33625 11325	   	273.04	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5DUST|6DUR|7RCR|89TLV|9BPWR|aRPLT
35	33626 11324	   	273.04	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5BEXP|6DUR|7RCR|89TLV|9BPWR|aDUST
36	33625 11324	   	272.94	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5aDUST|6DUR|7RCR|89TLV|9BPWR
37	33625 11326	   	272.94	DCR|2TLV|2VULN|2AEFBLL|1CDMG	19AEFBLL|2BELT|3CDMG|49VULN|5DUST|6DUR|7RCR|89TLV|9BPWR|aMDPS
38	33213 65332	 * 	272.39	ACR|DCR|1TLV|1VULN|1AEFBLL|1AEBURN	1AEFBLL|2BELT|3AEBURN|4RAT|5aRCR|6TLV|7MDPS|8FRZFST|9VULN
39	16533 41323	   	270.95	DCR|3VULN|2TLV	1LWND|24TLV|359VULN|6AME|7DUR|8RCR|aZMB
